,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,13,rhodes,Rhodes,Centre,60-56,60,56,"6, 22, 17, 15, 60","19, 11, 18, 8, 56",6,22,17,15,60,19,11,18,8,56,9-4 (2-0 SAA),8-5 (1-1 SAA),01/04/19,Win,714,No Location Recorded,6:00 PM,H,0,Start Period 1,,,,,,,,,1,,,,,,
1,13,rhodes,Rhodes,Centre,60-56,60,56,"6, 22, 17, 15, 60","19, 11, 18, 8, 56",6,22,17,15,60,19,11,18,8,56,9-4 (2-0 SAA),8-5 (1-1 SAA),01/04/19,Win,714,No Location Recorded,6:00 PM,H,1,09:40,"MISS LAYUP by MAYEUX,ALLI",,,,,,,"MISS LAYUP by MAYEUX,ALLI",1,layup,missed,rhodes,alli mayeux,,580
2,13,rhodes,Rhodes,Centre,60-56,60,56,"6, 22, 17, 15, 60","19, 11, 18, 8, 56",6,22,17,15,60,19,11,18,8,56,9-4 (2-0 SAA),8-5 (1-1 SAA),01/04/19,Win,714,No Location Recorded,6:00 PM,H,2,--,,,,,"REBOUND DEF by RICE,MADISON",,,"REBOUND DEF by RICE,MADISON",1,defensive rebound,,Centre,madison rice,,
3,13,rhodes,Rhodes,Centre,60-56,60,56,"6, 22, 17, 15, 60","19, 11, 18, 8, 56",6,22,17,15,60,19,11,18,8,56,9-4 (2-0 SAA),8-5 (1-1 SAA),01/04/19,Win,714,No Location Recorded,6:00 PM,H,3,09:32,,,,,"MISS 3PTR by WILSON,KATHLEEN",,,"MISS 3PTR by WILSON,KATHLEEN",1,three pointer,missed,Centre,kathleen wilson,,572
4,13,rhodes,Rhodes,Centre,60-56,60,56,"6, 22, 17, 15, 60","19, 11, 18, 8, 56",6,22,17,15,60,19,11,18,8,56,9-4 (2-0 SAA),8-5 (1-1 SAA),01/04/19,Win,714,No Location Recorded,6:00 PM,H,4,--,"REBOUND DEF by WHITESIDE,LINDSEY",,,,,,,"REBOUND DEF by WHITESIDE,LINDSEY",1,defensive rebound,,rhodes,lindsey whiteside,,
5,13,rhodes,Rhodes,Centre,60-56,60,56,"6, 22, 17, 15, 60","19, 11, 18, 8, 56",6,22,17,15,60,19,11,18,8,56,9-4 (2-0 SAA),8-5 (1-1 SAA),01/04/19,Win,714,No Location Recorded,6:00 PM,H,5,09:11,,,,,"FOUL  by STEWART,ABIGAIL",,,"FOUL  by STEWART,ABIGAIL",1,foul,,Centre,abigail stewart,,551
6,13,rhodes,Rhodes,Centre,60-56,60,56,"6, 22, 17, 15, 60","19, 11, 18, 8, 56",6,22,17,15,60,19,11,18,8,56,9-4 (2-0 SAA),8-5 (1-1 SAA),01/04/19,Win,714,No Location Recorded,6:00 PM,H,6,09:11,,,,,"SUB IN by FEE,MIKAYLA",,,"SUB IN by FEE,MIKAYLA",1,subbing in,,Centre,mikayla fee,,551
7,13,rhodes,Rhodes,Centre,60-56,60,56,"6, 22, 17, 15, 60","19, 11, 18, 8, 56",6,22,17,15,60,19,11,18,8,56,9-4 (2-0 SAA),8-5 (1-1 SAA),01/04/19,Win,714,No Location Recorded,6:00 PM,H,7,09:11,,,,,"SUB OUT by STEWART,ABIGAIL",,,"SUB OUT by STEWART,ABIGAIL",1,subbing out,,Centre,abigail stewart,,551
8,13,rhodes,Rhodes,Centre,60-56,60,56,"6, 22, 17, 15, 60","19, 11, 18, 8, 56",6,22,17,15,60,19,11,18,8,56,9-4 (2-0 SAA),8-5 (1-1 SAA),01/04/19,Win,714,No Location Recorded,6:00 PM,H,8,09:03,"GOOD LAYUP by DOWNEY,KIERA(in the paint)",2 (+2),,0,,RHODES 2-0 (-2),,"GOOD LAYUP by DOWNEY,KIERA(in the paint)",1,layup,good,rhodes,kiera downey,2,543
9,13,rhodes,Rhodes,Centre,60-56,60,56,"6, 22, 17, 15, 60","19, 11, 18, 8, 56",6,22,17,15,60,19,11,18,8,56,9-4 (2-0 SAA),8-5 (1-1 SAA),01/04/19,Win,714,No Location Recorded,6:00 PM,H,9,08:26,,,,,"MISS JUMPER by FEE,MIKAYLA",,,"MISS JUMPER by FEE,MIKAYLA",1,jumper,missed,Centre,mikayla fee,,506
