,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,21,rhodes,Centre,Rhodes,48-45,48,45,"12, 8, 10, 18, 48","11, 18, 10, 6, 45",12,8,10,18,48,11,18,10,6,45,11-10,11-10,02/01/19,Win,200,No Location Recorded,6:00 PM,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,21,rhodes,Centre,Rhodes,48-45,48,45,"12, 8, 10, 18, 48","11, 18, 10, 6, 45",12,8,10,18,48,11,18,10,6,45,11-10,11-10,02/01/19,Win,200,No Location Recorded,6:00 PM,A,1,09:22,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1,turnover,,rhodes,,,562
2,21,rhodes,Centre,Rhodes,48-45,48,45,"12, 8, 10, 18, 48","11, 18, 10, 6, 45",12,8,10,18,48,11,18,10,6,45,11-10,11-10,02/01/19,Win,200,No Location Recorded,6:00 PM,A,2,09:19,,,,,"SUB IN by DOWNEY,KIERA",,,"SUB IN by DOWNEY,KIERA",1,subbing in,,rhodes,kiera downey,,559
3,21,rhodes,Centre,Rhodes,48-45,48,45,"12, 8, 10, 18, 48","11, 18, 10, 6, 45",12,8,10,18,48,11,18,10,6,45,11-10,11-10,02/01/19,Win,200,No Location Recorded,6:00 PM,A,3,09:19,,,,,"SUB OUT by SUMMERS,DANIELLE",,,"SUB OUT by SUMMERS,DANIELLE",1,subbing out,,rhodes,danielle summers,,559
4,21,rhodes,Centre,Rhodes,48-45,48,45,"12, 8, 10, 18, 48","11, 18, 10, 6, 45",12,8,10,18,48,11,18,10,6,45,11-10,11-10,02/01/19,Win,200,No Location Recorded,6:00 PM,A,4,09:01,"MISS JUMPER by WEHBY,ABIGAIL",,,,,,,"MISS JUMPER by WEHBY,ABIGAIL",1,jumper,missed,Centre,abigail wehby,,541
5,21,rhodes,Centre,Rhodes,48-45,48,45,"12, 8, 10, 18, 48","11, 18, 10, 6, 45",12,8,10,18,48,11,18,10,6,45,11-10,11-10,02/01/19,Win,200,No Location Recorded,6:00 PM,A,5,--,,,,,"REBOUND DEF by MUHAMMAD,MORIAH",,,"REBOUND DEF by MUHAMMAD,MORIAH",1,defensive rebound,,rhodes,moriah muhammad,,
6,21,rhodes,Centre,Rhodes,48-45,48,45,"12, 8, 10, 18, 48","11, 18, 10, 6, 45",12,8,10,18,48,11,18,10,6,45,11-10,11-10,02/01/19,Win,200,No Location Recorded,6:00 PM,A,6,08:41,,,,,"MISS LAYUP by OWENS,ALYSSA",,,"MISS LAYUP by OWENS,ALYSSA",1,layup,missed,rhodes,alyssa owens,,521
7,21,rhodes,Centre,Rhodes,48-45,48,45,"12, 8, 10, 18, 48","11, 18, 10, 6, 45",12,8,10,18,48,11,18,10,6,45,11-10,11-10,02/01/19,Win,200,No Location Recorded,6:00 PM,A,7,--,"REBOUND DEF by STEWART,ABIGAIL",,,,,,,"REBOUND DEF by STEWART,ABIGAIL",1,defensive rebound,,Centre,abigail stewart,,
8,21,rhodes,Centre,Rhodes,48-45,48,45,"12, 8, 10, 18, 48","11, 18, 10, 6, 45",12,8,10,18,48,11,18,10,6,45,11-10,11-10,02/01/19,Win,200,No Location Recorded,6:00 PM,A,8,08:09,"MISS 3PTR by MARCUM,MADISON",,,,,,,"MISS 3PTR by MARCUM,MADISON",1,three pointer,missed,Centre,madison marcum,,489
9,21,rhodes,Centre,Rhodes,48-45,48,45,"12, 8, 10, 18, 48","11, 18, 10, 6, 45",12,8,10,18,48,11,18,10,6,45,11-10,11-10,02/01/19,Win,200,No Location Recorded,6:00 PM,A,9,--,,,,,"REBOUND DEF by YOUNG,ALLIE",,,"REBOUND DEF by YOUNG,ALLIE",1,defensive rebound,,rhodes,allie young,,
10,21,rhodes,Centre,Rhodes,48-45,48,45,"12, 8, 10, 18, 48","11, 18, 10, 6, 45",12,8,10,18,48,11,18,10,6,45,11-10,11-10,02/01/19,Win,200,No Location Recorded,6:00 PM,A,10,07:45,,,,,"MISS JUMPER by WHITESIDE,LINDSEY",,,"MISS JUMPER by WHITESIDE,LINDSEY",1,jumper,missed,rhodes,lindsey whiteside,,465
11,21,rhodes,Centre,Rhodes,48-45,48,45,"12, 8, 10, 18, 48","11, 18, 10, 6, 45",12,8,10,18,48,11,18,10,6,45,11-10,11-10,02/01/19,Win,200,No Location Recorded,6:00 PM,A,11,--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
12,21,rhodes,Centre,Rhodes,48-45,48,45,"12, 8, 10, 18, 48","11, 18, 10, 6, 45",12,8,10,18,48,11,18,10,6,45,11-10,11-10,02/01/19,Win,200,No Location Recorded,6:00 PM,A,12,07:42,,,,,"SUB IN by MAYEUX,ALLI",,,"SUB IN by MAYEUX,ALLI",1,subbing in,,rhodes,alli mayeux,,462
13,21,rhodes,Centre,Rhodes,48-45,48,45,"12, 8, 10, 18, 48","11, 18, 10, 6, 45",12,8,10,18,48,11,18,10,6,45,11-10,11-10,02/01/19,Win,200,No Location Recorded,6:00 PM,A,13,07:42,,,,,"SUB OUT by MUHAMMAD,MORIAH",,,"SUB OUT by MUHAMMAD,MORIAH",1,subbing out,,rhodes,moriah muhammad,,462
14,21,rhodes,Centre,Rhodes,48-45,48,45,"12, 8, 10, 18, 48","11, 18, 10, 6, 45",12,8,10,18,48,11,18,10,6,45,11-10,11-10,02/01/19,Win,200,No Location Recorded,6:00 PM,A,14,07:25,"MISS JUMPER by STEWART,ABIGAIL",,,,,,,"MISS JUMPER by STEWART,ABIGAIL",1,jumper,missed,Centre,abigail stewart,,445
15,21,rhodes,Centre,Rhodes,48-45,48,45,"12, 8, 10, 18, 48","11, 18, 10, 6, 45",12,8,10,18,48,11,18,10,6,45,11-10,11-10,02/01/19,Win,200,No Location Recorded,6:00 PM,A,15,--,,,,,"REBOUND DEF by YOUNG,ALLIE",,,"REBOUND DEF by YOUNG,ALLIE",1,defensive rebound,,rhodes,allie young,,
16,21,rhodes,Centre,Rhodes,48-45,48,45,"12, 8, 10, 18, 48","11, 18, 10, 6, 45",12,8,10,18,48,11,18,10,6,45,11-10,11-10,02/01/19,Win,200,No Location Recorded,6:00 PM,A,16,07:10,,,,,"MISS JUMPER by DOWNEY,KIERA",,,"MISS JUMPER by DOWNEY,KIERA",1,jumper,missed,rhodes,kiera downey,,430
17,21,rhodes,Centre,Rhodes,48-45,48,45,"12, 8, 10, 18, 48","11, 18, 10, 6, 45",12,8,10,18,48,11,18,10,6,45,11-10,11-10,02/01/19,Win,200,No Location Recorded,6:00 PM,A,17,--,"REBOUND DEF by WILSON,KATHLEEN",,,,,,,"REBOUND DEF by WILSON,KATHLEEN",1,defensive rebound,,Centre,kathleen wilson,,
