,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,OGLE,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,27,oglethorpe,Centre,Oglethorpe,35-54,35,54,"10, 4, 12, 9, 35","16, 6, 17, 15, 54",10,4,12,9,35,16,6,17,15,54,13-13,21-5,02/23/19,Lose,74,No Location Recorded,6:00 PM,N,0,Start Period 1,,,,,,,,,1,,,,,,
1,27,oglethorpe,Centre,Oglethorpe,35-54,35,54,"10, 4, 12, 9, 35","16, 6, 17, 15, 54",10,4,12,9,35,16,6,17,15,54,13-13,21-5,02/23/19,Lose,74,No Location Recorded,6:00 PM,N,1,09:39,"MISS 3PTR by RICE,MADISON",,,,,,,"MISS 3PTR by RICE,MADISON",1,three pointer,missed,Centre,madison rice,,579
2,27,oglethorpe,Centre,Oglethorpe,35-54,35,54,"10, 4, 12, 9, 35","16, 6, 17, 15, 54",10,4,12,9,35,16,6,17,15,54,13-13,21-5,02/23/19,Lose,74,No Location Recorded,6:00 PM,N,2,--,,,,,"REBOUND DEF by RANSOM,LAUREN",,,"REBOUND DEF by RANSOM,LAUREN",1,defensive rebound,,oglethorpe,lauren ransom,,
3,27,oglethorpe,Centre,Oglethorpe,35-54,35,54,"10, 4, 12, 9, 35","16, 6, 17, 15, 54",10,4,12,9,35,16,6,17,15,54,13-13,21-5,02/23/19,Lose,74,No Location Recorded,6:00 PM,N,3,09:14,,,,,"MISS JUMPER by RANSOM,LAUREN",,,"MISS JUMPER by RANSOM,LAUREN",1,jumper,missed,oglethorpe,lauren ransom,,554
4,27,oglethorpe,Centre,Oglethorpe,35-54,35,54,"10, 4, 12, 9, 35","16, 6, 17, 15, 54",10,4,12,9,35,16,6,17,15,54,13-13,21-5,02/23/19,Lose,74,No Location Recorded,6:00 PM,N,4,--,"REBOUND DEF by WEHBY,ABIGAIL",,,,,,,"REBOUND DEF by WEHBY,ABIGAIL",1,defensive rebound,,Centre,abigail wehby,,
5,27,oglethorpe,Centre,Oglethorpe,35-54,35,54,"10, 4, 12, 9, 35","16, 6, 17, 15, 54",10,4,12,9,35,16,6,17,15,54,13-13,21-5,02/23/19,Lose,74,No Location Recorded,6:00 PM,N,5,08:44,"MISS JUMPER by WILSON,KAT",,,,,,,"MISS JUMPER by WILSON,KAT",1,jumper,missed,Centre,kat wilson,,524
6,27,oglethorpe,Centre,Oglethorpe,35-54,35,54,"10, 4, 12, 9, 35","16, 6, 17, 15, 54",10,4,12,9,35,16,6,17,15,54,13-13,21-5,02/23/19,Lose,74,No Location Recorded,6:00 PM,N,6,--,"REBOUND OFF by RICE,MADISON",,,,,,,"REBOUND OFF by RICE,MADISON",1,offensive rebound,,Centre,madison rice,,
7,27,oglethorpe,Centre,Oglethorpe,35-54,35,54,"10, 4, 12, 9, 35","16, 6, 17, 15, 54",10,4,12,9,35,16,6,17,15,54,13-13,21-5,02/23/19,Lose,74,No Location Recorded,6:00 PM,N,7,08:41,"MISS JUMPER by RICE,MADISON",,,,,,,"MISS JUMPER by RICE,MADISON",1,jumper,missed,Centre,madison rice,,521
8,27,oglethorpe,Centre,Oglethorpe,35-54,35,54,"10, 4, 12, 9, 35","16, 6, 17, 15, 54",10,4,12,9,35,16,6,17,15,54,13-13,21-5,02/23/19,Lose,74,No Location Recorded,6:00 PM,N,8,--,"REBOUND OFF by WILSON,KAT",,,,,,,"REBOUND OFF by WILSON,KAT",1,offensive rebound,,Centre,kat wilson,,
9,27,oglethorpe,Centre,Oglethorpe,35-54,35,54,"10, 4, 12, 9, 35","16, 6, 17, 15, 54",10,4,12,9,35,16,6,17,15,54,13-13,21-5,02/23/19,Lose,74,No Location Recorded,6:00 PM,N,9,08:37,"GOOD LAYUP by WILSON,KAT(in the paint)",2 (+2),,0,,CENTRE-W 2-0 (+2),,"GOOD LAYUP by WILSON,KAT(in the paint)",1,layup,good,Centre,kat wilson,2,517
