,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE-W,Away Team Score,Play Team Indicator,Home Team Score,SUWB,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,3,spalding,CENTRE,Spalding,45-39,45,39,"9, 11, 14, 11, 45","6, 19, 9, 5, 39",9,11,14,11,45,6,19,9,5,39,3-0,1-2,11/20/18,Win,245,No Location Recorded,7:00 PM,A,0,Start Period 1,,,,,,,,,1,,,,,,
1,3,spalding,CENTRE,Spalding,45-39,45,39,"9, 11, 14, 11, 45","6, 19, 9, 5, 39",9,11,14,11,45,6,19,9,5,39,3-0,1-2,11/20/18,Win,245,No Location Recorded,7:00 PM,A,1,09:32,"MISS LAYUP by STEWART,ABIGAIL",,,,,,,"MISS LAYUP by STEWART,ABIGAIL",1,layup,missed,Centre,abigail stewart,,572
2,3,spalding,CENTRE,Spalding,45-39,45,39,"9, 11, 14, 11, 45","6, 19, 9, 5, 39",9,11,14,11,45,6,19,9,5,39,3-0,1-2,11/20/18,Win,245,No Location Recorded,7:00 PM,A,2,--,"REBOUND OFF by MARCUM,MADISON",,,,,,,"REBOUND OFF by MARCUM,MADISON",1,offensive rebound,,Centre,madison marcum,,
3,3,spalding,CENTRE,Spalding,45-39,45,39,"9, 11, 14, 11, 45","6, 19, 9, 5, 39",9,11,14,11,45,6,19,9,5,39,3-0,1-2,11/20/18,Win,245,No Location Recorded,7:00 PM,A,3,09:07,"MISS LAYUP by WEHBY,ABIGAIL",,,,,,,"MISS LAYUP by WEHBY,ABIGAIL",1,layup,missed,Centre,abigail wehby,,547
4,3,spalding,CENTRE,Spalding,45-39,45,39,"9, 11, 14, 11, 45","6, 19, 9, 5, 39",9,11,14,11,45,6,19,9,5,39,3-0,1-2,11/20/18,Win,245,No Location Recorded,7:00 PM,A,4,--,"REBOUND OFF by RICE,MADISON",,,,,,,"REBOUND OFF by RICE,MADISON",1,offensive rebound,,Centre,madison rice,,
5,3,spalding,CENTRE,Spalding,45-39,45,39,"9, 11, 14, 11, 45","6, 19, 9, 5, 39",9,11,14,11,45,6,19,9,5,39,3-0,1-2,11/20/18,Win,245,No Location Recorded,7:00 PM,A,5,09:04,"GOOD LAYUP by RICE,MADISON(in the paint)",2 (+2),,0,,CENTRE-W 2-0 (+2),,"GOOD LAYUP by RICE,MADISON(in the paint)",1,layup,good,Centre,madison rice,2,544
6,3,spalding,CENTRE,Spalding,45-39,45,39,"9, 11, 14, 11, 45","6, 19, 9, 5, 39",9,11,14,11,45,6,19,9,5,39,3-0,1-2,11/20/18,Win,245,No Location Recorded,7:00 PM,A,6,08:45,,,,,"MISS JUMPER by GAHAGAN,TSE",,,"MISS JUMPER by GAHAGAN,TSE",1,jumper,missed,spalding,tse gahagan,,525
7,3,spalding,CENTRE,Spalding,45-39,45,39,"9, 11, 14, 11, 45","6, 19, 9, 5, 39",9,11,14,11,45,6,19,9,5,39,3-0,1-2,11/20/18,Win,245,No Location Recorded,7:00 PM,A,7,--,,,,,"REBOUND OFF by GAHAGAN,TSE",,,"REBOUND OFF by GAHAGAN,TSE",1,offensive rebound,,spalding,tse gahagan,,
8,3,spalding,CENTRE,Spalding,45-39,45,39,"9, 11, 14, 11, 45","6, 19, 9, 5, 39",9,11,14,11,45,6,19,9,5,39,3-0,1-2,11/20/18,Win,245,No Location Recorded,7:00 PM,A,8,08:32,,2,,3 (+1),"GOOD 3PTR by RENFRO,HANNAH",SUWB 2-3 (-1),,"GOOD 3PTR by RENFRO,HANNAH",1,three pointer,good,spalding,hannah renfro,3,512
9,3,spalding,CENTRE,Spalding,45-39,45,39,"9, 11, 14, 11, 45","6, 19, 9, 5, 39",9,11,14,11,45,6,19,9,5,39,3-0,1-2,11/20/18,Win,245,No Location Recorded,7:00 PM,A,9,--,,,,,"ASSIST  by GOEING,MEGAN",,,"ASSIST  by GOEING,MEGAN",1,assist,,spalding,megan goeing,,
10,3,spalding,CENTRE,Spalding,45-39,45,39,"9, 11, 14, 11, 45","6, 19, 9, 5, 39",9,11,14,11,45,6,19,9,5,39,3-0,1-2,11/20/18,Win,245,No Location Recorded,7:00 PM,A,10,08:22,"TURNOVER  by WILSON,KATHLEEN",,,,,,,"TURNOVER  by WILSON,KATHLEEN",1,turnover,,Centre,kathleen wilson,,502
11,3,spalding,CENTRE,Spalding,45-39,45,39,"9, 11, 14, 11, 45","6, 19, 9, 5, 39",9,11,14,11,45,6,19,9,5,39,3-0,1-2,11/20/18,Win,245,No Location Recorded,7:00 PM,A,11,08:21,,,,,"STEAL  by RENFRO,HANNAH",,,"STEAL  by RENFRO,HANNAH",1,steal,,spalding,,,501
12,3,spalding,CENTRE,Spalding,45-39,45,39,"9, 11, 14, 11, 45","6, 19, 9, 5, 39",9,11,14,11,45,6,19,9,5,39,3-0,1-2,11/20/18,Win,245,No Location Recorded,7:00 PM,A,12,08:17,,,,,"MISS LAYUP by JUST,ALLISON",,,"MISS LAYUP by JUST,ALLISON",1,layup,missed,spalding,allison just,,497
13,3,spalding,CENTRE,Spalding,45-39,45,39,"9, 11, 14, 11, 45","6, 19, 9, 5, 39",9,11,14,11,45,6,19,9,5,39,3-0,1-2,11/20/18,Win,245,No Location Recorded,7:00 PM,A,13,--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
14,3,spalding,CENTRE,Spalding,45-39,45,39,"9, 11, 14, 11, 45","6, 19, 9, 5, 39",9,11,14,11,45,6,19,9,5,39,3-0,1-2,11/20/18,Win,245,No Location Recorded,7:00 PM,A,14,08:13,"SUB IN by MURRAY,KYLEE",,,,,,,"SUB IN by MURRAY,KYLEE",1,subbing in,,Centre,kylee murray,,493
15,3,spalding,CENTRE,Spalding,45-39,45,39,"9, 11, 14, 11, 45","6, 19, 9, 5, 39",9,11,14,11,45,6,19,9,5,39,3-0,1-2,11/20/18,Win,245,No Location Recorded,7:00 PM,A,15,08:13,"SUB OUT by WILSON,KATHLEEN",,,,,,,"SUB OUT by WILSON,KATHLEEN",1,subbing out,,Centre,kathleen wilson,,493
16,3,spalding,CENTRE,Spalding,45-39,45,39,"9, 11, 14, 11, 45","6, 19, 9, 5, 39",9,11,14,11,45,6,19,9,5,39,3-0,1-2,11/20/18,Win,245,No Location Recorded,7:00 PM,A,16,07:58,"GOOD JUMPER by STEWART,ABIGAIL(in the paint)",4 (+1),,3,,CENTRE-W 4-3 (+1),,"GOOD JUMPER by STEWART,ABIGAIL(in the paint)",1,jumper,good,Centre,abigail stewart,2,478
17,3,spalding,CENTRE,Spalding,45-39,45,39,"9, 11, 14, 11, 45","6, 19, 9, 5, 39",9,11,14,11,45,6,19,9,5,39,3-0,1-2,11/20/18,Win,245,No Location Recorded,7:00 PM,A,17,--,"ASSIST  by WEHBY,ABIGAIL",,,,,,,"ASSIST  by WEHBY,ABIGAIL",1,assist,,Centre,abigail wehby,,
18,3,spalding,CENTRE,Spalding,45-39,45,39,"9, 11, 14, 11, 45","6, 19, 9, 5, 39",9,11,14,11,45,6,19,9,5,39,3-0,1-2,11/20/18,Win,245,No Location Recorded,7:00 PM,A,18,07:46,,,,,"MISS 3PTR by GOEING,MEGAN",,,"MISS 3PTR by GOEING,MEGAN",1,three pointer,missed,spalding,megan goeing,,466
19,3,spalding,CENTRE,Spalding,45-39,45,39,"9, 11, 14, 11, 45","6, 19, 9, 5, 39",9,11,14,11,45,6,19,9,5,39,3-0,1-2,11/20/18,Win,245,No Location Recorded,7:00 PM,A,19,--,"REBOUND DEF by RICE,MADISON",,,,,,,"REBOUND DEF by RICE,MADISON",1,defensive rebound,,Centre,madison rice,,
20,3,spalding,CENTRE,Spalding,45-39,45,39,"9, 11, 14, 11, 45","6, 19, 9, 5, 39",9,11,14,11,45,6,19,9,5,39,3-0,1-2,11/20/18,Win,245,No Location Recorded,7:00 PM,A,20,07:21,"MISS 3PTR by RICE,MADISON",,,,,,,"MISS 3PTR by RICE,MADISON",1,three pointer,missed,Centre,madison rice,,441
21,3,spalding,CENTRE,Spalding,45-39,45,39,"9, 11, 14, 11, 45","6, 19, 9, 5, 39",9,11,14,11,45,6,19,9,5,39,3-0,1-2,11/20/18,Win,245,No Location Recorded,7:00 PM,A,21,--,,,,,"REBOUND DEF by WRIGHT,HUNTER",,,"REBOUND DEF by WRIGHT,HUNTER",1,defensive rebound,,spalding,hunter wright,,
22,3,spalding,CENTRE,Spalding,45-39,45,39,"9, 11, 14, 11, 45","6, 19, 9, 5, 39",9,11,14,11,45,6,19,9,5,39,3-0,1-2,11/20/18,Win,245,No Location Recorded,7:00 PM,A,22,07:10,,,,,"MISS 3PTR by WRIGHT,HUNTER",,,"MISS 3PTR by WRIGHT,HUNTER",1,three pointer,missed,spalding,hunter wright,,430
23,3,spalding,CENTRE,Spalding,45-39,45,39,"9, 11, 14, 11, 45","6, 19, 9, 5, 39",9,11,14,11,45,6,19,9,5,39,3-0,1-2,11/20/18,Win,245,No Location Recorded,7:00 PM,A,23,--,"REBOUND DEF by RICE,MADISON",,,,,,,"REBOUND DEF by RICE,MADISON",1,defensive rebound,,Centre,madison rice,,
