,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CEN,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
0,4,hanover,Centre,Hanover,37-50,37,50,"4, 9, 9, 15, 37","14, 9, 18, 9, 50",4,9,9,15,37,14,9,18,9,50,3-1,2-1,11/24/18,Lose,100,No Location Recorded,8:00 PM,N,0,Start Period 1,,,,,,,,,1,,,,,,
1,4,hanover,Centre,Hanover,37-50,37,50,"4, 9, 9, 15, 37","14, 9, 18, 9, 50",4,9,9,15,37,14,9,18,9,50,3-1,2-1,11/24/18,Lose,100,No Location Recorded,8:00 PM,N,1,09:47,,0,,2 (+2),"GOOD LAYUP by HARTMAN,KATIE(in the paint)",HC 0-2 (-2),,"GOOD LAYUP by HARTMAN,KATIE(in the paint)",1,layup,good,hanover,katie hartman,2,587
2,4,hanover,Centre,Hanover,37-50,37,50,"4, 9, 9, 15, 37","14, 9, 18, 9, 50",4,9,9,15,37,14,9,18,9,50,3-1,2-1,11/24/18,Lose,100,No Location Recorded,8:00 PM,N,2,09:24,"MISS JUMPER by WEHBY,ABIGAIL",,,,,,,"MISS JUMPER by WEHBY,ABIGAIL",1,jumper,missed,Centre,abigail wehby,,564
3,4,hanover,Centre,Hanover,37-50,37,50,"4, 9, 9, 15, 37","14, 9, 18, 9, 50",4,9,9,15,37,14,9,18,9,50,3-1,2-1,11/24/18,Lose,100,No Location Recorded,8:00 PM,N,3,--,,,,,"REBOUND DEF by CROMER,CLAIRE",,,"REBOUND DEF by CROMER,CLAIRE",1,defensive rebound,,hanover,claire cromer,,
4,4,hanover,Centre,Hanover,37-50,37,50,"4, 9, 9, 15, 37","14, 9, 18, 9, 50",4,9,9,15,37,14,9,18,9,50,3-1,2-1,11/24/18,Lose,100,No Location Recorded,8:00 PM,N,4,09:11,,,,,"MISS LAYUP by TODD,BROOKE",,,"MISS LAYUP by TODD,BROOKE",1,layup,missed,hanover,brooke todd,,551
5,4,hanover,Centre,Hanover,37-50,37,50,"4, 9, 9, 15, 37","14, 9, 18, 9, 50",4,9,9,15,37,14,9,18,9,50,3-1,2-1,11/24/18,Lose,100,No Location Recorded,8:00 PM,N,5,09:11,"BLOCK  by WEHBY,ABIGAIL",,,,,,,"BLOCK  by WEHBY,ABIGAIL",1,block,,Centre,abigail wehby,,551
6,4,hanover,Centre,Hanover,37-50,37,50,"4, 9, 9, 15, 37","14, 9, 18, 9, 50",4,9,9,15,37,14,9,18,9,50,3-1,2-1,11/24/18,Lose,100,No Location Recorded,8:00 PM,N,6,--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
7,4,hanover,Centre,Hanover,37-50,37,50,"4, 9, 9, 15, 37","14, 9, 18, 9, 50",4,9,9,15,37,14,9,18,9,50,3-1,2-1,11/24/18,Lose,100,No Location Recorded,8:00 PM,N,7,08:32,"MISS 3PTR by MARCUM,MADISON",,,,,,,"MISS 3PTR by MARCUM,MADISON",1,three pointer,missed,Centre,madison marcum,,512
8,4,hanover,Centre,Hanover,37-50,37,50,"4, 9, 9, 15, 37","14, 9, 18, 9, 50",4,9,9,15,37,14,9,18,9,50,3-1,2-1,11/24/18,Lose,100,No Location Recorded,8:00 PM,N,8,--,,,,,"REBOUND DEF by MOTTER,MALEHA",,,"REBOUND DEF by MOTTER,MALEHA",1,defensive rebound,,hanover,maleha motter,,
9,4,hanover,Centre,Hanover,37-50,37,50,"4, 9, 9, 15, 37","14, 9, 18, 9, 50",4,9,9,15,37,14,9,18,9,50,3-1,2-1,11/24/18,Lose,100,No Location Recorded,8:00 PM,N,9,08:19,,0,,4 (+4),"GOOD LAYUP by NALL,ALEXIS(in the paint)",HC 0-4 (-4),,"GOOD LAYUP by NALL,ALEXIS(in the paint)",1,layup,good,hanover,alexis nall,2,499
