Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
jumper,missed,thomas more,573.0,3.0
defensive rebound,,Centre,,
foul,,thomas more,561.0,18.0
foul,,thomas more,560.0,29.0
three pointer,missed,Centre,542.0,12.0
defensive rebound,,thomas more,,
jumper,good,thomas more,539.0,27.0
three pointer,missed,Centre,508.0,29.0
offensive rebound,,Centre,,
jumper,good,Centre,489.0,11.0
layup,missed,thomas more,475.0,16.0
offensive rebound,,thomas more,,
layup,good,thomas more,459.0,14.0
turnover,,Centre,442.0,13.0
subbing in,,Centre,442.0,30.0
subbing in,,Centre,442.0,30.0
subbing out,,Centre,442.0,30.0
subbing out,,Centre,442.0,30.0
subbing in,,thomas more,442.0,30.0
subbing out,,thomas more,442.0,30.0
layup,good,thomas more,424.0,12.0
subbing in,,Centre,410.0,16.0
subbing in,,Centre,410.0,16.0
subbing in,,Centre,410.0,16.0
subbing out,,Centre,410.0,16.0
subbing out,,Centre,410.0,16.0
subbing out,,Centre,410.0,16.0
timeout,,Centre,388.0,-6.0
defensive rebound,,thomas more,,
layup,good,thomas more,379.0,15.0
jumper,missed,Centre,366.0,17.0
defensive rebound,,thomas more,,
turnover,,thomas more,354.0,18.0
subbing in,,Centre,354.0,30.0
subbing out,,Centre,354.0,30.0
subbing in,,thomas more,354.0,30.0
subbing out,,thomas more,354.0,30.0
subbing in,,Centre,337.0,13.0
subbing out,,Centre,337.0,13.0
turnover,,Centre,333.0,9.0
three pointer,missed,thomas more,318.0,15.0
defensive rebound,,Centre,,
three pointer,good,Centre,283.0,25.0
assist,,Centre,,
three pointer,missed,thomas more,267.0,14.0
deadball rebound,,Centre,,
timeout,,Centre,264.0,27.0
subbing in,,thomas more,264.0,27.0
subbing out,,thomas more,264.0,27.0
jumper,missed,Centre,229.0,22.0
defensive rebound,,thomas more,,
layup,missed,thomas more,221.0,22.0
offensive rebound,,thomas more,,
layup,good,thomas more,212.0,21.0
assist,,thomas more,,
turnover,,Centre,197.0,15.0
subbing in,,Centre,197.0,30.0
subbing in,,Centre,197.0,30.0
subbing in,,Centre,197.0,30.0
subbing in,,Centre,197.0,30.0
subbing in,,Centre,197.0,30.0
