Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
layup,missed,oglethorpe,586.0,16.0
defensive rebound,,Centre,,
three pointer,missed,Centre,559.0,3.0
defensive rebound,,Centre,,
foul,,Centre,538.0,9.0
free throw,missed,oglethorpe,538.0,30.0
deadball rebound,,Centre,,
free throw,missed,oglethorpe,538.0,30.0
offensive rebound,,oglethorpe,,
layup,missed,oglethorpe,538.0,30.0
offensive rebound,,oglethorpe,,
layup,missed,oglethorpe,538.0,30.0
offensive rebound,,oglethorpe,,
subbing in,,Centre,538.0,30.0
subbing out,,Centre,538.0,30.0
layup,missed,oglethorpe,529.0,21.0
offensive rebound,,oglethorpe,,
jumper,missed,oglethorpe,522.0,23.0
defensive rebound,,Centre,,
three pointer,good,Centre,493.0,1.0
layup,missed,oglethorpe,469.0,6.0
defensive rebound,,Centre,,
subbing in,,oglethorpe,448.0,9.0
subbing in,,oglethorpe,448.0,9.0
subbing in,,oglethorpe,448.0,9.0
subbing out,,oglethorpe,448.0,9.0
subbing out,,oglethorpe,448.0,9.0
subbing out,,oglethorpe,448.0,9.0
three pointer,missed,Centre,438.0,29.0
defensive rebound,,oglethorpe,,
foul,,Centre,426.0,18.0
subbing in,,Centre,426.0,30.0
subbing in,,Centre,426.0,30.0
subbing in,,Centre,426.0,30.0
subbing in,,Centre,426.0,30.0
subbing in,,Centre,426.0,30.0
subbing out,,Centre,426.0,30.0
subbing out,,Centre,426.0,30.0
subbing out,,Centre,426.0,30.0
subbing out,,Centre,426.0,30.0
subbing out,,Centre,426.0,30.0
three pointer,missed,oglethorpe,419.0,23.0
defensive rebound,,Centre,,
layup,missed,Centre,407.0,18.0
offensive rebound,,Centre,,
turnover,,Centre,403.0,26.0
steal,,oglethorpe,403.0,30.0
layup,missed,oglethorpe,403.0,30.0
defensive rebound,,Centre,,
turnover,,Centre,394.0,21.0
steal,,oglethorpe,390.0,26.0
layup,missed,oglethorpe,379.0,19.0
defensive rebound,,Centre,,
jumper,missed,Centre,354.0,5.0
deadball rebound,,Centre,,
foul,,oglethorpe,353.0,29.0
subbing in,,Centre,353.0,30.0
subbing in,,Centre,353.0,30.0
subbing in,,Centre,353.0,30.0
subbing out,,Centre,353.0,30.0
subbing out,,Centre,353.0,30.0
subbing out,,Centre,353.0,30.0
subbing in,,oglethorpe,353.0,30.0
subbing in,,oglethorpe,353.0,30.0
subbing in,,oglethorpe,353.0,30.0
subbing out,,oglethorpe,353.0,30.0
subbing out,,oglethorpe,353.0,30.0
subbing out,,oglethorpe,353.0,30.0
three pointer,missed,Centre,349.0,26.0
defensive rebound,,oglethorpe,,
layup,missed,oglethorpe,315.0,26.0
offensive rebound,,oglethorpe,,
layup,good,oglethorpe,310.0,25.0
timeout,,oglethorpe,295.0,15.0
layup,missed,Centre,290.0,10.0
defensive rebound,,oglethorpe,,
subbing in,,Centre,287.0,27.0
subbing in,,Centre,287.0,27.0
