Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
jumper,missed,Centre,596.0,26.0
defensive rebound,,millsaps,,
jumper,missed,millsaps,588.0,22.0
defensive rebound,,Centre,,
turnover,,Centre,588.0,30.0
steal,,millsaps,588.0,30.0
turnover,,Centre,588.0,30.0
steal,,millsaps,588.0,30.0
foul,,Centre,588.0,30.0
free throw,good,millsaps,588.0,30.0
free throw,missed,millsaps,588.0,30.0
defensive rebound,,Centre,,
subbing in,,Centre,588.0,30.0
subbing out,,Centre,588.0,30.0
jumper,good,Centre,500.0,-28.0
foul,,Centre,500.0,30.0
subbing in,,Centre,439.0,-31.0
subbing in,,Centre,439.0,-31.0
subbing in,,Centre,439.0,-31.0
subbing out,,Centre,439.0,-31.0
subbing out,,Centre,439.0,-31.0
subbing out,,Centre,439.0,-31.0
turnover,,millsaps,423.0,-17.0
three pointer,good,Centre,423.0,30.0
assist,,Centre,,
turnover,,millsaps,423.0,30.0
jumper,missed,Centre,423.0,30.0
offensive rebound,,Centre,,
subbing in,,millsaps,423.0,30.0
subbing in,,millsaps,423.0,30.0
subbing out,,millsaps,423.0,30.0
subbing out,,millsaps,423.0,30.0
jumper,missed,millsaps,378.0,15.0
defensive rebound,,Centre,,
jumper,missed,Centre,366.0,18.0
offensive rebound,,Centre,,
jumper,missed,Centre,366.0,30.0
offensive rebound,,Centre,,
three pointer,missed,millsaps,366.0,30.0
defensive rebound,,Centre,,
subbing in,,Centre,354.0,18.0
subbing out,,Centre,354.0,18.0
subbing in,,millsaps,354.0,18.0
subbing out,,millsaps,354.0,18.0
jumper,missed,Centre,345.0,9.0
defensive rebound,,millsaps,,
subbing in,,Centre,335.0,20.0
subbing in,,Centre,335.0,20.0
subbing out,,Centre,335.0,20.0
subbing out,,Centre,335.0,20.0
jumper,missed,millsaps,301.0,16.0
defensive rebound,,Centre,,
turnover,,Centre,294.0,23.0
steal,,millsaps,294.0,30.0
foul,,Centre,274.0,10.0
free throw,missed,millsaps,274.0,30.0
deadball rebound,,Centre,,
free throw,missed,millsaps,274.0,30.0
defensive rebound,,Centre,,
subbing in,,Centre,274.0,30.0
subbing in,,Centre,274.0,30.0
subbing in,,Centre,274.0,30.0
subbing in,,Centre,274.0,30.0
subbing out,,Centre,274.0,30.0
subbing out,,Centre,274.0,30.0
subbing out,,Centre,274.0,30.0
subbing out,,Centre,274.0,30.0
subbing in,,millsaps,274.0,30.0
subbing in,,millsaps,274.0,30.0
subbing in,,millsaps,274.0,30.0
subbing in,,millsaps,274.0,30.0
subbing out,,millsaps,274.0,30.0
subbing out,,millsaps,274.0,30.0
subbing out,,millsaps,274.0,30.0
three pointer,good,Centre,246.0,2.0
assist,,Centre,,
turnover,,millsaps,246.0,30.0
steal,,Centre,246.0,30.0
foul,,millsaps,177.0,-9.0
jumper,good,Centre,177.0,30.0
turnover,,millsaps,177.0,30.0
jumper,good,Centre,122.0,5.0
assist,,Centre,,
foul,,Centre,91.0,29.0
free throw,missed,millsaps,91.0,30.0
deadball rebound,,Centre,,
free throw,good,millsaps,91.0,30.0
subbing in,,millsaps,91.0,30.0
subbing out,,millsaps,91.0,30.0
turnover,,Centre,87.0,26.0
