Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
three pointer,missed,birmingham-southern,577.0,7.0
defensive rebound,,Centre,,
jumper,good,Centre,549.0,2.0
jumper,missed,birmingham-southern,530.0,11.0
defensive rebound,,Centre,,
layup,missed,Centre,507.0,7.0
defensive rebound,,birmingham-southern,,
turnover,,birmingham-southern,489.0,12.0
three pointer,missed,Centre,467.0,8.0
defensive rebound,,birmingham-southern,,
three pointer,good,birmingham-southern,450.0,13.0
assist,,birmingham-southern,,
turnover,,Centre,414.0,24.0
steal,,birmingham-southern,410.0,26.0
jumper,missed,birmingham-southern,389.0,9.0
defensive rebound,,Centre,,
foul,,birmingham-southern,363.0,4.0
subbing in,,birmingham-southern,363.0,30.0
subbing out,,birmingham-southern,363.0,30.0
subbing in,,Centre,363.0,30.0
subbing in,,Centre,363.0,30.0
subbing in,,Centre,363.0,30.0
subbing out,,Centre,363.0,30.0
subbing out,,Centre,363.0,30.0
subbing out,,Centre,363.0,30.0
turnover,,Centre,354.0,21.0
steal,,birmingham-southern,352.0,28.0
turnover,,birmingham-southern,320.0,28.0
steal,,Centre,320.0,30.0
three pointer,missed,Centre,300.0,10.0
offensive rebound,,Centre,,
layup,missed,Centre,281.0,11.0
block,,birmingham-southern,281.0,11.0
offensive rebound,,Centre,,
timeout,,Centre,279.0,9.0
foul,,birmingham-southern,272.0,2.0
free throw,good,Centre,272.0,30.0
free throw,good,Centre,272.0,30.0
subbing in,,Centre,272.0,30.0
subbing in,,Centre,272.0,30.0
subbing out,,Centre,272.0,30.0
subbing out,,Centre,272.0,30.0
jumper,good,birmingham-southern,264.0,22.0
layup,good,Centre,249.0,15.0
jumper,missed,birmingham-southern,238.0,19.0
defensive rebound,,Centre,,
turnover,,Centre,227.0,19.0
subbing in,,birmingham-southern,227.0,30.0
subbing out,,birmingham-southern,227.0,30.0
jumper,missed,birmingham-southern,210.0,13.0
defensive rebound,,Centre,,
three pointer,good,Centre,180.0,0.0
assist,,Centre,,
jumper,missed,birmingham-southern,155.0,5.0
block,,Centre,155.0,30.0
defensive rebound,,Centre,,
layup,missed,Centre,130.0,5.0
offensive rebound,,Centre,,
layup,missed,Centre,125.0,25.0
offensive rebound,,Centre,,
layup,missed,Centre,120.0,25.0
defensive rebound,,birmingham-southern,,
jumper,missed,birmingham-southern,114.0,24.0
defensive rebound,,Centre,,
foul,,birmingham-southern,87.0,3.0
free throw,missed,Centre,87.0,30.0
deadball rebound,,Centre,,
free throw,good,Centre,87.0,30.0
subbing in,,birmingham-southern,87.0,30.0
subbing out,,birmingham-southern,87.0,30.0
subbing in,,Centre,87.0,30.0
subbing in,,Centre,87.0,30.0
subbing in,,Centre,87.0,30.0
subbing in,,Centre,87.0,30.0
subbing in,,Centre,87.0,30.0
subbing out,,Centre,87.0,30.0
subbing out,,Centre,87.0,30.0
subbing out,,Centre,87.0,30.0
subbing out,,Centre,87.0,30.0
subbing out,,Centre,87.0,30.0
jumper,good,birmingham-southern,67.0,10.0
layup,missed,Centre,48.0,11.0
defensive rebound,,Centre,,
layup,missed,birmingham-southern,31.0,13.0
defensive rebound,,Centre,,
foul,,birmingham-southern,28.0,28.0
three pointer,missed,Centre,12.0,12.0
defensive rebound,,birmingham-southern,,
three pointer,missed,birmingham-southern,4.0,4.0
defensive rebound,,Centre,,
,,,,
subbing in,,birmingham-southern,600.0,599.0
subbing out,,birmingham-southern,600.0,599.0
subbing in,,birmingham-southern,592.0,591.0
subbing in,,birmingham-southern,592.0,591.0
subbing out,,birmingham-southern,592.0,591.0
subbing out,,birmingham-southern,592.0,591.0
jumper,good,birmingham-southern,585.0,584.0
foul,,Centre,585.0,30.0
free throw,missed,birmingham-southern,585.0,30.0
defensive rebound,,Centre,,
turnover,,Centre,563.0,8.0
steal,,birmingham-southern,561.0,28.0
layup,good,birmingham-southern,558.0,27.0
foul,,birmingham-southern,533.0,5.0
free throw,good,Centre,533.0,30.0
free throw,missed,Centre,525.0,30.0
defensive rebound,,birmingham-southern,,
subbing in,,birmingham-southern,525.0,22.0
subbing out,,birmingham-southern,525.0,22.0
layup,missed,birmingham-southern,506.0,3.0
defensive rebound,,Centre,,
layup,good,Centre,490.0,14.0
assist,,Centre,,
three pointer,missed,birmingham-southern,474.0,14.0
offensive rebound,,birmingham-southern,,
turnover,,birmingham-southern,456.0,12.0
steal,,Centre,454.0,28.0
three pointer,missed,Centre,446.0,22.0
offensive rebound,,Centre,,
layup,missed,Centre,442.0,26.0
block,,birmingham-southern,442.0,30.0
defensive rebound,,birmingham-southern,,
jumper,missed,birmingham-southern,435.0,23.0
defensive rebound,,Centre,,
foul,,birmingham-southern,424.0,19.0
free throw,good,Centre,424.0,30.0
subbing in,,birmingham-southern,417.0,23.0
subbing in,,birmingham-southern,417.0,23.0
subbing in,,birmingham-southern,417.0,23.0
subbing in,,birmingham-southern,417.0,23.0
subbing out,,birmingham-southern,417.0,23.0
subbing out,,birmingham-southern,417.0,23.0
subbing out,,birmingham-southern,417.0,23.0
subbing out,,birmingham-southern,417.0,23.0
subbing in,,Centre,417.0,23.0
subbing in,,Centre,417.0,23.0
subbing in,,Centre,417.0,23.0
subbing in,,Centre,417.0,23.0
subbing out,,Centre,417.0,23.0
subbing out,,Centre,417.0,23.0
subbing out,,Centre,417.0,23.0
subbing out,,Centre,417.0,23.0
free throw,missed,Centre,416.0,30.0
defensive rebound,,birmingham-southern,,
three pointer,good,birmingham-southern,399.0,5.0
assist,,birmingham-southern,,
three pointer,good,Centre,374.0,5.0
assist,,Centre,,
three pointer,good,birmingham-southern,355.0,11.0
assist,,birmingham-southern,,
timeout,,Centre,345.0,20.0
subbing in,,Centre,341.0,16.0
subbing out,,Centre,341.0,16.0
layup,missed,Centre,327.0,2.0
defensive rebound,,birmingham-southern,,
jumper,good,birmingham-southern,301.0,4.0
jumper,missed,Centre,277.0,6.0
offensive rebound,,Centre,,
layup,missed,Centre,260.0,13.0
block,,birmingham-southern,260.0,30.0
defensive rebound,,birmingham-southern,,
three pointer,good,birmingham-southern,251.0,21.0
assist,,birmingham-southern,,
layup,missed,Centre,219.0,28.0
defensive rebound,,birmingham-southern,,
layup,missed,birmingham-southern,199.0,10.0
defensive rebound,,Centre,,
jumper,missed,Centre,169.0,0.0
block,,birmingham-southern,169.0,30.0
defensive rebound,,birmingham-southern,,
jumper,missed,birmingham-southern,152.0,13.0
defensive rebound,,Centre,,
jumper,good,Centre,124.0,2.0
jumper,missed,birmingham-southern,103.0,9.0
offensive rebound,,birmingham-southern,,
turnover,,birmingham-southern,99.0,26.0
steal,,Centre,98.0,29.0
jumper,good,Centre,89.0,21.0
assist,,Centre,,
jumper,good,birmingham-southern,73.0,14.0
turnover,,Centre,51.0,8.0
subbing in,,birmingham-southern,51.0,30.0
subbing out,,birmingham-southern,51.0,30.0
subbing in,,Centre,51.0,30.0
subbing in,,Centre,51.0,30.0
subbing in,,Centre,51.0,30.0
subbing in,,Centre,51.0,30.0
subbing in,,Centre,51.0,30.0
subbing out,,Centre,51.0,30.0
subbing out,,Centre,51.0,30.0
subbing out,,Centre,51.0,30.0
subbing out,,Centre,51.0,30.0
subbing out,,Centre,51.0,30.0
foul,,Centre,42.0,21.0
free throw,good,birmingham-southern,42.0,30.0
free throw,missed,birmingham-southern,42.0,30.0
defensive rebound,,Centre,,
subbing in,,birmingham-southern,42.0,30.0
subbing out,,birmingham-southern,42.0,30.0
subbing in,,Centre,42.0,30.0
subbing out,,Centre,42.0,30.0
jumper,missed,Centre,22.0,22.0
offensive rebound,,Centre,,
jumper,missed,Centre,18.0,18.0
block,,birmingham-southern,18.0,18.0
offensive rebound,,Centre,,
foul,,birmingham-southern,13.0,13.0
turnover,,Centre,13.0,13.0
subbing in,,birmingham-southern,13.0,13.0
subbing out,,birmingham-southern,13.0,13.0
turnover,,birmingham-southern,10.0,10.0
jumper,missed,Centre,4.0,4.0
offensive rebound,,Centre,,
foul,,birmingham-southern,3.0,3.0
free throw,good,Centre,3.0,3.0
free throw,good,Centre,3.0,3.0
subbing in,,Centre,3.0,3.0
subbing in,,Centre,3.0,3.0
subbing out,,Centre,3.0,3.0
subbing out,,Centre,3.0,3.0
three pointer,missed,birmingham-southern,0.0,0.0
deadball rebound,,Centre,,
,,,,
jumper,good,Centre,579.0,9.0
jumper,good,birmingham-southern,562.0,13.0
assist,,birmingham-southern,,
layup,good,Centre,545.0,13.0
layup,good,birmingham-southern,517.0,2.0
layup,missed,Centre,496.0,9.0
defensive rebound,,birmingham-southern,,
three pointer,missed,birmingham-southern,477.0,11.0
defensive rebound,,Centre,,
jumper,good,Centre,463.0,16.0
three pointer,good,birmingham-southern,449.0,16.0
assist,,birmingham-southern,,
three pointer,good,Centre,420.0,1.0
assist,,Centre,,
layup,good,birmingham-southern,389.0,29.0
jumper,missed,Centre,376.0,17.0
defensive rebound,,birmingham-southern,,
layup,good,birmingham-southern,359.0,13.0
foul,,Centre,359.0,30.0
free throw,good,birmingham-southern,359.0,30.0
subbing in,,Centre,359.0,30.0
subbing in,,Centre,359.0,30.0
subbing in,,Centre,359.0,30.0
subbing in,,Centre,359.0,30.0
subbing in,,Centre,359.0,30.0
subbing out,,Centre,359.0,30.0
subbing out,,Centre,359.0,30.0
subbing out,,Centre,359.0,30.0
subbing out,,Centre,359.0,30.0
subbing out,,Centre,359.0,30.0
layup,missed,Centre,341.0,12.0
offensive rebound,,Centre,,
foul,,birmingham-southern,338.0,27.0
free throw,missed,Centre,338.0,30.0
deadball rebound,,Centre,,
free throw,good,Centre,338.0,30.0
three pointer,missed,birmingham-southern,321.0,13.0
offensive rebound,,birmingham-southern,,
jumper,missed,birmingham-southern,308.0,17.0
offensive rebound,,birmingham-southern,,
turnover,,birmingham-southern,303.0,25.0
jumper,missed,Centre,289.0,16.0
defensive rebound,,birmingham-southern,,
timeout,,Centre,286.0,27.0
jumper,missed,birmingham-southern,260.0,1.0
defensive rebound,,Centre,,
three pointer,good,Centre,236.0,6.0
assist,,Centre,,
jumper,missed,birmingham-southern,210.0,4.0
defensive rebound,,Centre,,
