Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
jumper,missed,Centre,582.0,12.0
defensive rebound,,hendrix,,
foul,,Centre,571.0,19.0
jumper,missed,hendrix,564.0,23.0
defensive rebound,,Centre,,
jumper,good,Centre,551.0,17.0
assist,,Centre,,
jumper,missed,hendrix,514.0,23.0
defensive rebound,,Centre,,
jumper,missed,Centre,496.0,12.0
offensive rebound,,Centre,,
jumper,missed,Centre,494.0,28.0
defensive rebound,,hendrix,,
jumper,missed,hendrix,474.0,10.0
defensive rebound,,Centre,,
three pointer,missed,Centre,464.0,20.0
defensive rebound,,hendrix,,
layup,missed,hendrix,449.0,15.0
defensive rebound,,Centre,,
three pointer,missed,Centre,444.0,25.0
defensive rebound,,hendrix,,
layup,missed,hendrix,435.0,21.0
block,,Centre,435.0,30.0
defensive rebound,,Centre,,
jumper,missed,Centre,412.0,7.0
defensive rebound,,hendrix,,
foul,,Centre,404.0,22.0
free throw,good,hendrix,404.0,30.0
free throw,missed,hendrix,404.0,30.0
defensive rebound,,Centre,,
defensive rebound,,hendrix,,
subbing in,,Centre,404.0,30.0
subbing in,,Centre,404.0,30.0
subbing in,,Centre,404.0,30.0
subbing in,,Centre,404.0,30.0
subbing in,,Centre,404.0,30.0
subbing out,,Centre,404.0,30.0
subbing out,,Centre,404.0,30.0
subbing out,,Centre,404.0,30.0
subbing out,,Centre,404.0,30.0
subbing out,,Centre,404.0,30.0
subbing in,,hendrix,404.0,30.0
subbing in,,hendrix,404.0,30.0
subbing out,,hendrix,404.0,30.0
subbing out,,hendrix,404.0,30.0
foul,,Centre,399.0,25.0
turnover,,hendrix,399.0,30.0
steal,,Centre,399.0,30.0
foul,,hendrix,397.0,28.0
free throw,good,Centre,391.0,30.0
free throw,good,Centre,383.0,30.0
turnover,,hendrix,352.0,15.0
steal,,Centre,351.0,29.0
turnover,,Centre,346.0,25.0
steal,,hendrix,346.0,30.0
foul,,Centre,346.0,30.0
free throw,missed,hendrix,346.0,30.0
deadball rebound,,Centre,,
free throw,missed,hendrix,346.0,30.0
defensive rebound,,Centre,,
subbing in,,hendrix,346.0,30.0
subbing in,,hendrix,346.0,30.0
subbing out,,hendrix,346.0,30.0
subbing out,,hendrix,346.0,30.0
jumper,missed,Centre,325.0,9.0
defensive rebound,,hendrix,,
three pointer,missed,hendrix,313.0,18.0
offensive rebound,,hendrix,,
foul,,Centre,291.0,8.0
timeout,,hendrix,291.0,30.0
free throw,good,hendrix,291.0,30.0
free throw,missed,hendrix,291.0,30.0
defensive rebound,,Centre,,
subbing in,,Centre,291.0,30.0
subbing in,,Centre,291.0,30.0
subbing in,,Centre,291.0,30.0
subbing in,,Centre,291.0,30.0
subbing in,,Centre,291.0,30.0
subbing out,,Centre,291.0,30.0
subbing out,,Centre,291.0,30.0
subbing out,,Centre,291.0,30.0
subbing out,,Centre,291.0,30.0
subbing out,,Centre,291.0,30.0
jumper,good,Centre,276.0,15.0
jumper,missed,hendrix,261.0,15.0
defensive rebound,,Centre,,
three pointer,good,Centre,230.0,29.0
turnover,,hendrix,209.0,9.0
subbing in,,hendrix,209.0,30.0
subbing in,,hendrix,209.0,30.0
subbing out,,hendrix,209.0,30.0
subbing out,,hendrix,209.0,30.0
three pointer,good,Centre,197.0,18.0
assist,,Centre,,
timeout,,Centre,193.0,26.0
jumper,good,hendrix,183.0,16.0
turnover,,Centre,166.0,13.0
three pointer,missed,hendrix,166.0,30.0
defensive rebound,,Centre,,
foul,,hendrix,160.0,24.0
three pointer,missed,Centre,138.0,8.0
defensive rebound,,hendrix,,
jumper,missed,hendrix,132.0,24.0
offensive rebound,,hendrix,,
