Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
jumper,missed,Centre,579.0,9.0
offensive rebound,,Centre,,
jumper,missed,Centre,569.0,20.0
defensive rebound,,sewanee,,
three pointer,good,sewanee,543.0,4.0
three pointer,good,Centre,523.0,10.0
assist,,Centre,,
jumper,missed,sewanee,500.0,7.0
block,,Centre,500.0,30.0
defensive rebound,,Centre,,
three pointer,missed,Centre,500.0,30.0
defensive rebound,,sewanee,,
turnover,,sewanee,475.0,5.0
three pointer,good,Centre,464.0,19.0
assist,,Centre,,
foul,,Centre,442.0,8.0
free throw,good,sewanee,442.0,30.0
free throw,good,sewanee,442.0,30.0
subbing in,,Centre,442.0,30.0
subbing in,,Centre,442.0,30.0
subbing in,,Centre,442.0,30.0
subbing out,,Centre,442.0,30.0
subbing out,,Centre,442.0,30.0
subbing out,,Centre,442.0,30.0
foul,,sewanee,430.0,18.0
subbing in,,sewanee,430.0,30.0
subbing in,,sewanee,430.0,30.0
subbing out,,sewanee,430.0,30.0
subbing out,,sewanee,430.0,30.0
foul,,Centre,426.0,26.0
turnover,,Centre,425.0,29.0
layup,good,sewanee,408.0,13.0
assist,,sewanee,,
three pointer,missed,Centre,385.0,7.0
offensive rebound,,Centre,,
jumper,missed,Centre,382.0,27.0
offensive rebound,,Centre,,
jumper,good,Centre,378.0,26.0
jumper,good,sewanee,357.0,9.0
three pointer,good,Centre,333.0,6.0
assist,,Centre,,
jumper,missed,sewanee,310.0,7.0
defensive rebound,,Centre,,
jumper,good,Centre,280.0,0.0
jumper,good,sewanee,267.0,17.0
turnover,,Centre,248.0,11.0
steal,,sewanee,248.0,30.0
timeout,,Centre,248.0,30.0
subbing in,,Centre,248.0,30.0
subbing in,,Centre,248.0,30.0
subbing in,,Centre,248.0,30.0
subbing out,,Centre,248.0,30.0
subbing out,,Centre,248.0,30.0
subbing out,,Centre,248.0,30.0
subbing in,,sewanee,248.0,30.0
subbing in,,sewanee,248.0,30.0
subbing out,,sewanee,248.0,30.0
subbing out,,sewanee,248.0,30.0
three pointer,good,sewanee,246.0,28.0
jumper,missed,Centre,233.0,17.0
defensive rebound,,sewanee,,
turnover,,sewanee,223.0,20.0
subbing in,,Centre,221.0,28.0
subbing out,,Centre,221.0,28.0
three pointer,good,Centre,190.0,27.0
assist,,Centre,,
turnover,,sewanee,173.0,13.0
steal,,Centre,170.0,27.0
jumper,missed,Centre,150.0,10.0
defensive rebound,,sewanee,,
three pointer,good,sewanee,139.0,19.0
assist,,sewanee,,
turnover,,Centre,112.0,3.0
steal,,sewanee,111.0,29.0
foul,,Centre,108.0,27.0
free throw,missed,sewanee,108.0,30.0
deadball rebound,,Centre,,
free throw,missed,sewanee,108.0,30.0
defensive rebound,,Centre,,
subbing in,,Centre,108.0,30.0
subbing in,,Centre,108.0,30.0
subbing in,,Centre,108.0,30.0
subbing in,,Centre,108.0,30.0
subbing out,,Centre,108.0,30.0
subbing out,,Centre,108.0,30.0
subbing out,,Centre,108.0,30.0
subbing out,,Centre,108.0,30.0
subbing in,,sewanee,108.0,30.0
subbing out,,sewanee,108.0,30.0
jumper,good,Centre,88.0,10.0
jumper,missed,sewanee,64.0,6.0
block,,Centre,64.0,30.0
defensive rebound,,Centre,,
subbing in,,sewanee,55.0,21.0
subbing out,,sewanee,55.0,21.0
jumper,missed,Centre,45.0,11.0
defensive rebound,,sewanee,,
jumper,good,sewanee,28.0,28.0
three pointer,missed,Centre,9.0,9.0
defensive rebound,,Centre,,
turnover,,sewanee,2.0,2.0
,,,,
subbing in,,sewanee,600.0,585.0
subbing in,,sewanee,600.0,585.0
subbing in,,sewanee,600.0,585.0
subbing out,,sewanee,600.0,585.0
subbing out,,sewanee,600.0,585.0
subbing out,,sewanee,600.0,585.0
jumper,good,Centre,585.0,570.0
jumper,missed,sewanee,558.0,3.0
block,,Centre,558.0,30.0
defensive rebound,,Centre,,
turnover,,Centre,548.0,20.0
steal,,sewanee,547.0,29.0
three pointer,missed,sewanee,519.0,2.0
defensive rebound,,Centre,,
three pointer,good,Centre,499.0,10.0
assist,,Centre,,
foul,,Centre,486.0,17.0
free throw,good,sewanee,486.0,30.0
free throw,good,sewanee,486.0,30.0
subbing in,,Centre,486.0,30.0
subbing in,,Centre,486.0,30.0
subbing out,,Centre,486.0,30.0
subbing out,,Centre,486.0,30.0
jumper,good,Centre,465.0,9.0
three pointer,good,sewanee,454.0,19.0
assist,,sewanee,,
three pointer,missed,Centre,435.0,11.0
defensive rebound,,sewanee,,
turnover,,sewanee,424.0,19.0
steal,,Centre,423.0,29.0
jumper,missed,Centre,418.0,25.0
offensive rebound,,Centre,,
jumper,missed,Centre,410.0,22.0
defensive rebound,,sewanee,,
three pointer,good,sewanee,392.0,12.0
assist,,sewanee,,
turnover,,Centre,372.0,10.0
steal,,sewanee,370.0,28.0
jumper,missed,sewanee,366.0,26.0
offensive rebound,,sewanee,,
three pointer,missed,sewanee,340.0,4.0
offensive rebound,,sewanee,,
jumper,missed,sewanee,322.0,12.0
block,,Centre,322.0,12.0
offensive rebound,,sewanee,,
jumper,missed,sewanee,319.0,9.0
defensive rebound,,Centre,,
foul,,sewanee,312.0,23.0
free throw,good,Centre,312.0,30.0
free throw,good,Centre,312.0,30.0
subbing in,,Centre,312.0,30.0
subbing in,,Centre,312.0,30.0
subbing in,,Centre,312.0,30.0
subbing in,,Centre,312.0,30.0
subbing in,,Centre,312.0,30.0
subbing out,,Centre,312.0,30.0
subbing out,,Centre,312.0,30.0
subbing out,,Centre,312.0,30.0
subbing out,,Centre,312.0,30.0
subbing out,,Centre,312.0,30.0
subbing in,,sewanee,312.0,30.0
subbing in,,sewanee,312.0,30.0
subbing in,,sewanee,312.0,30.0
subbing out,,sewanee,312.0,30.0
subbing out,,sewanee,312.0,30.0
subbing out,,sewanee,312.0,30.0
three pointer,good,sewanee,301.0,19.0
assist,,sewanee,,
turnover,,Centre,279.0,8.0
timeout,,Centre,279.0,30.0
three pointer,missed,sewanee,267.0,18.0
offensive rebound,,sewanee,,
foul,,Centre,264.0,27.0
turnover,,sewanee,250.0,16.0
steal,,Centre,248.0,28.0
foul,,sewanee,226.0,8.0
free throw,good,Centre,226.0,30.0
free throw,missed,Centre,226.0,30.0
defensive rebound,,sewanee,,
foul,,Centre,225.0,29.0
subbing in,,Centre,225.0,30.0
subbing out,,Centre,225.0,30.0
subbing in,,sewanee,225.0,30.0
subbing out,,sewanee,225.0,30.0
layup,good,sewanee,202.0,7.0
foul,,Centre,202.0,30.0
free throw,missed,sewanee,202.0,30.0
defensive rebound,,Centre,,
three pointer,missed,Centre,194.0,22.0
defensive rebound,,sewanee,,
jumper,good,sewanee,168.0,4.0
assist,,sewanee,,
jumper,missed,Centre,145.0,7.0
defensive rebound,,sewanee,,
foul,,sewanee,135.0,20.0
turnover,,sewanee,135.0,30.0
subbing in,,Centre,135.0,30.0
subbing in,,Centre,135.0,30.0
subbing in,,Centre,135.0,30.0
subbing in,,Centre,135.0,30.0
subbing in,,Centre,135.0,30.0
subbing out,,Centre,135.0,30.0
subbing out,,Centre,135.0,30.0
subbing out,,Centre,135.0,30.0
subbing out,,Centre,135.0,30.0
subbing out,,Centre,135.0,30.0
subbing in,,sewanee,135.0,30.0
subbing in,,sewanee,135.0,30.0
subbing out,,sewanee,135.0,30.0
subbing out,,sewanee,135.0,30.0
foul,,sewanee,113.0,8.0
jumper,good,Centre,110.0,27.0
assist,,Centre,,
jumper,good,sewanee,97.0,17.0
assist,,sewanee,,
foul,,sewanee,72.0,5.0
free throw,good,Centre,72.0,30.0
free throw,good,Centre,72.0,30.0
subbing in,,Centre,72.0,30.0
subbing out,,Centre,72.0,30.0
jumper,missed,sewanee,51.0,9.0
defensive rebound,,Centre,,
turnover,,Centre,30.0,30.0
steal,,sewanee,25.0,25.0
layup,good,sewanee,22.0,22.0
assist,,sewanee,,
three pointer,missed,Centre,10.0,10.0
defensive rebound,,sewanee,,
three pointer,missed,sewanee,0.0,0.0
block,,Centre,0.0,0.0
defensive rebound,,Centre,,
,,,,
subbing in,,sewanee,600.0,30.0
subbing in,,sewanee,600.0,30.0
subbing out,,sewanee,600.0,30.0
subbing out,,sewanee,600.0,30.0
jumper,missed,sewanee,590.0,20.0
defensive rebound,,Centre,,
foul,,sewanee,566.0,6.0
free throw,good,Centre,566.0,30.0
free throw,missed,Centre,566.0,30.0
deadball rebound,,Centre,,
subbing in,,sewanee,566.0,30.0
subbing out,,sewanee,566.0,30.0
foul,,sewanee,558.0,22.0
turnover,,sewanee,558.0,30.0
jumper,good,Centre,538.0,10.0
turnover,,Centre,498.0,20.0
layup,good,sewanee,483.0,15.0
three pointer,missed,Centre,461.0,8.0
defensive rebound,,sewanee,,
jumper,missed,sewanee,447.0,16.0
defensive rebound,,Centre,,
turnover,,Centre,441.0,24.0
steal,,sewanee,440.0,29.0
layup,good,sewanee,436.0,26.0
jumper,missed,Centre,405.0,29.0
defensive rebound,,sewanee,,
turnover,,sewanee,392.0,17.0
steal,,Centre,391.0,29.0
turnover,,Centre,382.0,21.0
subbing in,,Centre,382.0,30.0
subbing in,,Centre,382.0,30.0
subbing in,,Centre,382.0,30.0
subbing in,,Centre,382.0,30.0
subbing in,,Centre,382.0,30.0
subbing out,,Centre,382.0,30.0
subbing out,,Centre,382.0,30.0
subbing out,,Centre,382.0,30.0
subbing out,,Centre,382.0,30.0
subbing out,,Centre,382.0,30.0
subbing in,,sewanee,382.0,30.0
subbing out,,sewanee,382.0,30.0
turnover,,sewanee,357.0,5.0
steal,,Centre,357.0,30.0
subbing in,,sewanee,357.0,30.0
subbing out,,sewanee,357.0,30.0
turnover,,Centre,353.0,26.0
three pointer,good,sewanee,341.0,18.0
assist,,sewanee,,
timeout,,Centre,330.0,19.0
timeout,,Centre,330.0,19.0
subbing in,,Centre,330.0,19.0
subbing in,,Centre,330.0,19.0
subbing in,,Centre,330.0,19.0
subbing in,,Centre,330.0,19.0
subbing in,,Centre,330.0,19.0
subbing out,,Centre,330.0,19.0
subbing out,,Centre,330.0,19.0
subbing out,,Centre,330.0,19.0
subbing out,,Centre,330.0,19.0
subbing out,,Centre,330.0,19.0
three pointer,missed,Centre,317.0,6.0
defensive rebound,,sewanee,,
turnover,,sewanee,308.0,21.0
steal,,Centre,307.0,29.0
foul,,Centre,297.0,20.0
turnover,,Centre,297.0,30.0
timeout,,Centre,297.0,30.0
subbing in,,Centre,297.0,30.0
subbing out,,Centre,297.0,30.0
subbing in,,sewanee,297.0,30.0
subbing in,,sewanee,297.0,30.0
subbing out,,sewanee,297.0,30.0
subbing out,,sewanee,297.0,30.0
three pointer,good,sewanee,275.0,8.0
jumper,missed,Centre,251.0,6.0
defensive rebound,,Centre,,
foul,,sewanee,235.0,14.0
turnover,,sewanee,235.0,30.0
subbing in,,Centre,235.0,30.0
subbing out,,Centre,235.0,30.0
jumper,good,Centre,208.0,3.0
assist,,Centre,,
turnover,,sewanee,199.0,21.0
steal,,Centre,198.0,29.0
foul,,sewanee,197.0,29.0
free throw,good,Centre,197.0,30.0
free throw,good,Centre,197.0,30.0
subbing in,,Centre,197.0,30.0
subbing out,,Centre,197.0,30.0
subbing in,,sewanee,197.0,30.0
subbing out,,sewanee,197.0,30.0
three pointer,missed,sewanee,185.0,18.0
offensive rebound,,sewanee,,
jumper,missed,sewanee,176.0,21.0
defensive rebound,,Centre,,
three pointer,missed,Centre,163.0,17.0
offensive rebound,,Centre,,
jumper,good,Centre,160.0,27.0
turnover,,sewanee,127.0,27.0
timeout,,Centre,126.0,29.0
subbing in,,Centre,126.0,29.0
subbing out,,Centre,126.0,29.0
foul,,sewanee,118.0,21.0
free throw,good,Centre,118.0,30.0
free throw,good,Centre,118.0,30.0
subbing in,,Centre,118.0,30.0
subbing out,,Centre,118.0,30.0
subbing in,,sewanee,118.0,30.0
subbing out,,sewanee,118.0,30.0
jumper,good,sewanee,89.0,1.0
jumper,missed,Centre,69.0,10.0
defensive rebound,,sewanee,,
three pointer,good,sewanee,42.0,3.0
assist,,sewanee,,
turnover,,Centre,22.0,22.0
steal,,sewanee,21.0,21.0
foul,,Centre,4.0,4.0
free throw,good,sewanee,4.0,4.0
free throw,missed,sewanee,4.0,4.0
offensive rebound,,sewanee,,
jumper,missed,sewanee,2.0,2.0
block,,Centre,2.0,2.0
offensive rebound,,sewanee,,
,,,,
subbing in,,Centre,600.0,588.0
subbing out,,Centre,600.0,588.0
subbing in,,sewanee,600.0,588.0
subbing in,,sewanee,600.0,588.0
subbing out,,sewanee,600.0,588.0
subbing out,,sewanee,600.0,588.0
layup,good,sewanee,586.0,574.0
assist,,sewanee,,
three pointer,missed,Centre,567.0,11.0
defensive rebound,,sewanee,,
three pointer,good,sewanee,558.0,21.0
timeout,,Centre,550.0,22.0
timeout,,Centre,550.0,22.0
turnover,,Centre,527.0,29.0
steal,,sewanee,526.0,29.0
jumper,good,sewanee,507.0,11.0
assist,,sewanee,,
layup,good,Centre,479.0,2.0
foul,,sewanee,464.0,15.0
turnover,,sewanee,464.0,30.0
subbing in,,Centre,464.0,30.0
subbing in,,Centre,464.0,30.0
subbing out,,Centre,464.0,30.0
subbing out,,Centre,464.0,30.0
subbing in,,sewanee,464.0,30.0
subbing in,,sewanee,464.0,30.0
subbing out,,sewanee,464.0,30.0
subbing out,,sewanee,464.0,30.0
jumper,missed,Centre,443.0,9.0
defensive rebound,,sewanee,,
foul,,Centre,413.0,0.0
free throw,good,sewanee,413.0,30.0
free throw,good,sewanee,413.0,30.0
subbing in,,Centre,413.0,30.0
subbing in,,Centre,413.0,30.0
subbing in,,Centre,413.0,30.0
subbing out,,Centre,413.0,30.0
subbing out,,Centre,413.0,30.0
subbing out,,Centre,413.0,30.0
turnover,,Centre,407.0,24.0
steal,,sewanee,404.0,27.0
layup,good,sewanee,403.0,29.0
turnover,,Centre,389.0,16.0
steal,,sewanee,388.0,29.0
layup,good,sewanee,386.0,28.0
foul,,sewanee,372.0,16.0
free throw,good,Centre,372.0,30.0
free throw,good,Centre,372.0,30.0
subbing in,,sewanee,372.0,30.0
subbing out,,sewanee,372.0,30.0
jumper,missed,sewanee,358.0,16.0
block,,Centre,358.0,30.0
defensive rebound,,Centre,,
turnover,,Centre,345.0,17.0
steal,,sewanee,343.0,28.0
foul,,Centre,339.0,26.0
free throw,good,sewanee,339.0,30.0
free throw,missed,sewanee,339.0,30.0
defensive rebound,,Centre,,
subbing in,,Centre,339.0,30.0
subbing in,,Centre,339.0,30.0
subbing out,,Centre,339.0,30.0
subbing out,,Centre,339.0,30.0
foul,,Centre,330.0,21.0
turnover,,Centre,330.0,30.0
jumper,missed,sewanee,318.0,18.0
defensive rebound,,Centre,,
jumper,good,Centre,309.0,21.0
three pointer,missed,sewanee,283.0,4.0
defensive rebound,,Centre,,
foul,,sewanee,277.0,24.0
timeout,,Centre,277.0,30.0
subbing in,,sewanee,277.0,30.0
subbing out,,sewanee,277.0,30.0
subbing in,,Centre,264.0,17.0
subbing in,,Centre,264.0,17.0
subbing out,,Centre,264.0,17.0
subbing out,,Centre,264.0,17.0
jumper,missed,Centre,254.0,7.0
offensive rebound,,Centre,,
jumper,missed,Centre,251.0,27.0
offensive rebound,,Centre,,
jumper,missed,Centre,243.0,22.0
offensive rebound,,Centre,,
layup,missed,Centre,227.0,14.0
defensive rebound,,sewanee,,
jumper,missed,sewanee,210.0,13.0
defensive rebound,,Centre,,
jumper,missed,Centre,194.0,14.0
offensive rebound,,Centre,,
foul,,sewanee,193.0,29.0
free throw,good,Centre,193.0,30.0
free throw,missed,Centre,193.0,30.0
defensive rebound,,sewanee,,
subbing in,,sewanee,193.0,30.0
subbing in,,sewanee,193.0,30.0
subbing out,,sewanee,193.0,30.0
subbing out,,sewanee,193.0,30.0
layup,good,sewanee,173.0,10.0
assist,,sewanee,,
jumper,missed,Centre,147.0,4.0
