Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
jumper,good,covenant,586.0,16.0
jumper,missed,Centre,574.0,18.0
defensive rebound,,covenant,,
layup,good,covenant,563.0,19.0
assist,,covenant,,
three pointer,missed,Centre,547.0,14.0
defensive rebound,,covenant,,
jumper,missed,covenant,519.0,2.0
offensive rebound,,covenant,,
layup,good,covenant,512.0,23.0
assist,,covenant,,
turnover,,Centre,497.0,15.0
steal,,covenant,495.0,28.0
foul,,Centre,491.0,26.0
subbing in,,Centre,491.0,30.0
subbing in,,Centre,491.0,30.0
subbing out,,Centre,491.0,30.0
subbing out,,Centre,491.0,30.0
jumper,missed,covenant,480.0,19.0
block,,Centre,480.0,19.0
offensive rebound,,covenant,,
three pointer,missed,covenant,476.0,15.0
offensive rebound,,covenant,,
jumper,missed,covenant,454.0,8.0
defensive rebound,,Centre,,
subbing in,,Centre,451.0,27.0
subbing in,,Centre,451.0,27.0
subbing out,,Centre,451.0,27.0
subbing out,,Centre,451.0,27.0
jumper,missed,Centre,444.0,20.0
offensive rebound,,Centre,,
three pointer,missed,Centre,438.0,24.0
defensive rebound,,Centre,,
foul,,Centre,412.0,4.0
free throw,missed,covenant,412.0,30.0
deadball rebound,,Centre,,
free throw,missed,covenant,412.0,30.0
defensive rebound,,Centre,,
subbing in,,covenant,412.0,30.0
subbing in,,covenant,412.0,30.0
subbing out,,covenant,412.0,30.0
subbing out,,covenant,412.0,30.0
layup,good,Centre,394.0,12.0
assist,,Centre,,
subbing in,,covenant,372.0,8.0
subbing out,,covenant,372.0,8.0
subbing in,,Centre,372.0,8.0
subbing out,,Centre,372.0,8.0
turnover,,covenant,357.0,23.0
turnover,,Centre,356.0,29.0
foul,,Centre,355.0,29.0
free throw,missed,covenant,355.0,30.0
deadball rebound,,Centre,,
free throw,good,covenant,355.0,30.0
subbing in,,covenant,355.0,30.0
subbing in,,covenant,355.0,30.0
subbing out,,covenant,355.0,30.0
subbing out,,covenant,355.0,30.0
turnover,,Centre,351.0,26.0
steal,,covenant,350.0,29.0
turnover,,covenant,346.0,26.0
