Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
layup,good,hanover,587.0,17.0
jumper,missed,Centre,564.0,7.0
defensive rebound,,hanover,,
layup,missed,hanover,551.0,17.0
block,,Centre,551.0,30.0
defensive rebound,,Centre,,
three pointer,missed,Centre,512.0,21.0
defensive rebound,,hanover,,
layup,good,hanover,499.0,17.0
jumper,missed,Centre,473.0,4.0
defensive rebound,,hanover,,
three pointer,missed,hanover,462.0,19.0
defensive rebound,,Centre,,
foul,,hanover,445.0,13.0
subbing in,,Centre,445.0,30.0
subbing in,,Centre,445.0,30.0
subbing out,,Centre,445.0,30.0
subbing out,,Centre,445.0,30.0
jumper,missed,Centre,439.0,24.0
defensive rebound,,hanover,,
turnover,,hanover,428.0,19.0
subbing in,,Centre,428.0,30.0
subbing in,,Centre,428.0,30.0
subbing in,,Centre,428.0,30.0
subbing out,,Centre,428.0,30.0
subbing out,,Centre,428.0,30.0
subbing out,,Centre,428.0,30.0
subbing in,,hanover,428.0,30.0
subbing out,,hanover,428.0,30.0
jumper,missed,Centre,427.0,29.0
defensive rebound,,hanover,,
layup,missed,hanover,420.0,23.0
defensive rebound,,Centre,,
defensive rebound,,hanover,,
three pointer,missed,Centre,413.0,23.0
jumper,missed,hanover,387.0,4.0
defensive rebound,,Centre,,
jumper,missed,Centre,369.0,12.0
defensive rebound,,hanover,,
three pointer,missed,hanover,361.0,22.0
offensive rebound,,hanover,,
three pointer,missed,hanover,332.0,1.0
defensive rebound,,Centre,,
foul,,hanover,329.0,27.0
turnover,,Centre,329.0,30.0
steal,,hanover,329.0,30.0
subbing in,,hanover,329.0,30.0
subbing in,,hanover,329.0,30.0
subbing out,,hanover,329.0,30.0
subbing out,,hanover,329.0,30.0
foul,,Centre,307.0,8.0
free throw,missed,hanover,294.0,30.0
deadball rebound,,Centre,,
free throw,good,hanover,294.0,30.0
subbing in,,Centre,294.0,30.0
subbing in,,Centre,294.0,30.0
subbing out,,Centre,294.0,30.0
subbing out,,Centre,294.0,30.0
turnover,,Centre,258.0,11.0
steal,,hanover,250.0,22.0
layup,good,hanover,250.0,30.0
timeout,,Centre,250.0,30.0
jumper,missed,Centre,232.0,12.0
defensive rebound,,hanover,,
turnover,,hanover,232.0,30.0
jumper,missed,Centre,232.0,30.0
defensive rebound,,hanover,,
subbing in,,Centre,232.0,30.0
subbing in,,Centre,232.0,30.0
subbing out,,Centre,232.0,30.0
subbing out,,Centre,232.0,30.0
