Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
jumper,missed,Centre,581.0,11.0
defensive rebound,,north central (ill.),,
layup,good,north central (ill.),570.0,19.0
jumper,good,Centre,535.0,25.0
assist,,Centre,,
turnover,,north central (ill.),515.0,10.0
steal,,Centre,513.0,28.0
three pointer,good,Centre,494.0,11.0
assist,,Centre,,
layup,missed,north central (ill.),477.0,13.0
deadball rebound,,Centre,,
foul,,Centre,476.0,29.0
subbing in,,Centre,476.0,30.0
subbing out,,Centre,476.0,30.0
jumper,missed,north central (ill.),472.0,26.0
defensive rebound,,Centre,,
turnover,,Centre,446.0,4.0
steal,,north central (ill.),446.0,30.0
jumper,missed,north central (ill.),431.0,15.0
defensive rebound,,Centre,,
layup,missed,Centre,424.0,23.0
defensive rebound,,north central (ill.),,
three pointer,missed,north central (ill.),409.0,15.0
deadball rebound,,Centre,,
foul,,Centre,407.0,28.0
subbing in,,north central (ill.),407.0,30.0
subbing out,,north central (ill.),407.0,30.0
subbing in,,Centre,407.0,30.0
subbing in,,Centre,407.0,30.0
subbing in,,Centre,407.0,30.0
subbing in,,Centre,407.0,30.0
subbing in,,Centre,407.0,30.0
subbing out,,Centre,407.0,30.0
subbing out,,Centre,407.0,30.0
subbing out,,Centre,407.0,30.0
subbing out,,Centre,407.0,30.0
subbing out,,Centre,407.0,30.0
jumper,missed,north central (ill.),396.0,19.0
defensive rebound,,Centre,,
turnover,,Centre,378.0,12.0
jumper,good,north central (ill.),365.0,17.0
layup,missed,Centre,347.0,12.0
block,,north central (ill.),347.0,30.0
defensive rebound,,north central (ill.),,
turnover,,north central (ill.),332.0,15.0
steal,,Centre,331.0,29.0
layup,missed,Centre,321.0,20.0
block,,north central (ill.),321.0,30.0
defensive rebound,,Centre,,
turnover,,north central (ill.),302.0,11.0
steal,,Centre,301.0,29.0
three pointer,missed,Centre,268.0,27.0
defensive rebound,,north central (ill.),,
layup,missed,north central (ill.),261.0,23.0
offensive rebound,,north central (ill.),,
foul,,Centre,244.0,13.0
subbing in,,Centre,244.0,30.0
subbing in,,Centre,244.0,30.0
subbing in,,Centre,244.0,30.0
subbing in,,Centre,244.0,30.0
subbing in,,Centre,244.0,30.0
subbing out,,Centre,244.0,30.0
subbing out,,Centre,244.0,30.0
subbing out,,Centre,244.0,30.0
subbing out,,Centre,244.0,30.0
subbing out,,Centre,244.0,30.0
turnover,,north central (ill.),238.0,24.0
subbing in,,north central (ill.),238.0,30.0
subbing out,,north central (ill.),238.0,30.0
three pointer,missed,Centre,221.0,13.0
defensive rebound,,north central (ill.),,
foul,,Centre,190.0,29.0
free throw,good,north central (ill.),190.0,30.0
free throw,good,north central (ill.),190.0,30.0
subbing in,,north central (ill.),190.0,30.0
subbing in,,north central (ill.),190.0,30.0
subbing out,,north central (ill.),190.0,30.0
subbing out,,north central (ill.),190.0,30.0
three pointer,good,Centre,179.0,19.0
assist,,Centre,,
foul,,north central (ill.),155.0,6.0
turnover,,north central (ill.),155.0,30.0
jumper,missed,Centre,142.0,17.0
offensive rebound,,Centre,,
three pointer,missed,Centre,139.0,27.0
defensive rebound,,north central (ill.),,
jumper,missed,north central (ill.),120.0,11.0
defensive rebound,,Centre,,
