Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
three pointer,good,Centre,575.0,5.0
assist,,Centre,,
three pointer,missed,maryville (tn),555.0,10.0
defensive rebound,,Centre,,
three pointer,missed,Centre,545.0,20.0
defensive rebound,,maryville (tn),,
three pointer,missed,maryville (tn),531.0,16.0
offensive rebound,,maryville (tn),,
three pointer,missed,maryville (tn),509.0,8.0
defensive rebound,,Centre,,
jumper,good,Centre,502.0,23.0
jumper,good,maryville (tn),490.0,18.0
jumper,missed,Centre,473.0,13.0
defensive rebound,,maryville (tn),,
jumper,missed,maryville (tn),460.0,17.0
offensive rebound,,maryville (tn),,
layup,missed,maryville (tn),455.0,25.0
defensive rebound,,Centre,,
subbing in,,maryville (tn),455.0,30.0
subbing in,,maryville (tn),455.0,30.0
subbing out,,maryville (tn),455.0,30.0
subbing out,,maryville (tn),455.0,30.0
jumper,missed,Centre,429.0,4.0
defensive rebound,,maryville (tn),,
layup,missed,maryville (tn),424.0,25.0
defensive rebound,,Centre,,
three pointer,missed,Centre,410.0,16.0
defensive rebound,,maryville (tn),,
foul,,Centre,410.0,30.0
subbing in,,Centre,410.0,30.0
subbing in,,Centre,410.0,30.0
subbing in,,Centre,410.0,30.0
subbing in,,Centre,410.0,30.0
subbing in,,Centre,410.0,30.0
subbing out,,Centre,410.0,30.0
subbing out,,Centre,410.0,30.0
subbing out,,Centre,410.0,30.0
subbing out,,Centre,410.0,30.0
subbing out,,Centre,410.0,30.0
three pointer,missed,maryville (tn),396.0,16.0
defensive rebound,,Centre,,
layup,good,Centre,381.0,15.0
assist,,Centre,,
jumper,good,maryville (tn),361.0,10.0
turnover,,Centre,345.0,14.0
steal,,maryville (tn),345.0,30.0
foul,,Centre,345.0,30.0
subbing in,,maryville (tn),345.0,30.0
subbing in,,maryville (tn),345.0,30.0
subbing in,,maryville (tn),345.0,30.0
subbing out,,maryville (tn),345.0,30.0
subbing out,,maryville (tn),345.0,30.0
subbing out,,maryville (tn),345.0,30.0
turnover,,maryville (tn),343.0,28.0
turnover,,Centre,309.0,26.0
