Play Type,Shot Outcome,Shot Clock,Team,Time(seconds)
three pointer,missed,12.0,Centre,582.0
three pointer,good,20.0,covenant,572.0
layup,good,6.0,covenant,519.0
jumper,missed,6.0,Centre,495.0
jumper,missed,15.0,Centre,474.0
layup,good,21.0,covenant,465.0
jumper,missed,17.0,Centre,452.0
three pointer,good,20.0,covenant,442.0
three pointer,missed,6.0,Centre,418.0
layup,good,17.0,covenant,405.0
jumper,good,16.0,Centre,391.0
layup,missed,14.0,covenant,350.0
jumper,good,9.0,Centre,290.0
three pointer,missed,26.0,covenant,239.0
three pointer,missed,9.0,Centre,218.0
three pointer,missed,15.0,Centre,203.0
jumper,missed,19.0,covenant,112.0
three pointer,good,23.0,covenant,105.0
jumper,missed,18.0,Centre,93.0
jumper,good,28.0,Centre,28.0
layup,missed,570.0,covenant,595.0
three pointer,missed,9.0,Centre,568.0
jumper,missed,26.0,Centre,564.0
jumper,missed,28.0,covenant,532.0
layup,good,12.0,covenant,497.0
jumper,missed,27.0,Centre,464.0
layup,missed,20.0,covenant,454.0
layup,good,13.0,covenant,405.0
three pointer,missed,14.0,Centre,389.0
three pointer,good,28.0,Centre,379.0
jumper,good,8.0,covenant,356.0
three pointer,good,3.0,Centre,329.0
jumper,missed,20.0,covenant,319.0
three pointer,good,20.0,Centre,296.0
jumper,missed,15.0,covenant,281.0
layup,good,2.0,covenant,238.0
jumper,missed,7.0,Centre,215.0
jumper,missed,28.0,Centre,213.0
jumper,good,25.0,Centre,208.0
three pointer,missed,4.0,covenant,182.0
three pointer,missed,12.0,Centre,164.0
three pointer,missed,8.0,Centre,135.0
three pointer,missed,16.0,Centre,113.0
three pointer,good,22.0,covenant,105.0
three pointer,missed,26.0,Centre,71.0
layup,missed,17.0,covenant,58.0
jumper,good,20.0,Centre,48.0
three pointer,missed,30.0,covenant,30.0
jumper,good,9.0,Centre,9.0
jumper,good,574.0,covenant,592.0
three pointer,missed,12.0,Centre,574.0
jumper,good,23.0,Centre,567.0
jumper,missed,15.0,Centre,539.0
jumper,good,1.0,Centre,510.0
jumper,good,17.0,Centre,483.0
three pointer,missed,22.0,Centre,462.0
three pointer,good,4.0,Centre,400.0
jumper,missed,2.0,covenant,372.0
jumper,missed,27.0,covenant,369.0
layup,good,1.0,Centre,320.0
jumper,missed,16.0,covenant,306.0
layup,missed,12.0,Centre,288.0
jumper,missed,15.0,covenant,272.0
jumper,missed,28.0,covenant,270.0
jumper,missed,4.0,covenant,216.0
jumper,good,20.0,covenant,205.0
three pointer,good,13.0,Centre,188.0
jumper,missed,19.0,covenant,177.0
three pointer,missed,22.0,Centre,169.0
jumper,missed,18.0,covenant,157.0
three pointer,good,20.0,Centre,147.0
three pointer,missed,15.0,covenant,132.0
three pointer,missed,10.0,Centre,112.0
three pointer,missed,19.0,Centre,101.0
jumper,missed,20.0,covenant,54.0
three pointer,good,8.0,Centre,32.0
three pointer,missed,0.0,covenant,0.0
layup,good,19.0,Centre,589.0
jumper,missed,12.0,covenant,571.0
jumper,missed,26.0,covenant,567.0
layup,good,26.0,covenant,538.0
three pointer,missed,19.0,covenant,497.0
three pointer,good,14.0,Centre,447.0
jumper,missed,14.0,covenant,431.0
jumper,missed,27.0,covenant,428.0
jumper,missed,28.0,Centre,396.0
jumper,good,26.0,Centre,392.0
three pointer,good,22.0,covenant,384.0
jumper,missed,28.0,Centre,352.0
three pointer,missed,4.0,covenant,326.0
layup,good,7.0,Centre,303.0
jumper,good,25.0,Centre,256.0
jumper,good,13.0,covenant,239.0
layup,good,8.0,Centre,217.0
jumper,missed,11.0,Centre,165.0
jumper,missed,12.0,Centre,138.0
jumper,missed,12.0,covenant,120.0
jumper,good,26.0,covenant,116.0
jumper,missed,29.0,Centre,85.0
jumper,missed,11.0,Centre,34.0
three pointer,good,10.0,Centre,580.0
jumper,good,11.0,ferrum,561.0
jumper,missed,14.0,Centre,545.0
jumper,good,27.0,Centre,542.0
three pointer,missed,30.0,Centre,525.0
three pointer,good,7.0,Centre,481.0
three pointer,missed,16.0,Centre,449.0
jumper,missed,4.0,ferrum,423.0
three pointer,good,29.0,Centre,404.0
three pointer,missed,17.0,ferrum,391.0
three pointer,missed,3.0,Centre,364.0
three pointer,missed,14.0,ferrum,289.0
jumper,missed,18.0,ferrum,247.0
three pointer,missed,22.0,Centre,197.0
jumper,missed,23.0,Centre,190.0
layup,good,6.0,ferrum,166.0
jumper,missed,20.0,ferrum,136.0
jumper,good,0.0,Centre,106.0
three pointer,good,3.0,ferrum,79.0
three pointer,good,25.0,Centre,53.0
jumper,missed,27.0,Centre,27.0
layup,good,572.0,Centre,588.0
three pointer,missed,4.0,ferrum,562.0
jumper,good,13.0,Centre,542.0
layup,good,19.0,ferrum,508.0
layup,missed,12.0,ferrum,469.0
jumper,missed,3.0,Centre,442.0
three pointer,missed,13.0,Centre,403.0
three pointer,missed,12.0,Centre,382.0
three pointer,missed,22.0,ferrum,344.0
jumper,good,25.0,Centre,309.0
jumper,missed,26.0,ferrum,255.0
three pointer,missed,10.0,Centre,235.0
jumper,good,20.0,Centre,225.0
layup,missed,14.0,ferrum,167.0
three pointer,missed,11.0,Centre,148.0
three pointer,missed,12.0,ferrum,126.0
layup,missed,11.0,ferrum,105.0
jumper,good,0.0,Centre,75.0
jumper,missed,15.0,ferrum,60.0
jumper,missed,16.0,Centre,46.0
three pointer,missed,23.0,Centre,23.0
three pointer,good,8.0,ferrum,8.0
three pointer,missed,8.0,ferrum,567.0
three pointer,missed,20.0,Centre,557.0
jumper,good,5.0,ferrum,532.0
layup,good,10.0,Centre,512.0
three pointer,missed,11.0,ferrum,493.0
jumper,missed,17.0,ferrum,480.0
three pointer,missed,0.0,Centre,450.0
jumper,missed,20.0,ferrum,440.0
layup,good,22.0,Centre,432.0
three pointer,missed,24.0,ferrum,417.0
jumper,missed,10.0,Centre,394.0
jumper,missed,17.0,ferrum,380.0
three pointer,missed,28.0,Centre,344.0
three pointer,missed,16.0,ferrum,330.0
three pointer,missed,8.0,ferrum,300.0
layup,good,8.0,Centre,278.0
jumper,missed,2.0,ferrum,228.0
three pointer,missed,0.0,ferrum,173.0
jumper,missed,19.0,Centre,162.0
jumper,missed,9.0,Centre,128.0
jumper,missed,9.0,ferrum,106.0
jumper,good,6.0,Centre,81.0
layup,missed,3.0,ferrum,54.0
layup,good,4.0,ferrum,4.0
layup,missed,19.0,Centre,584.0
layup,missed,3.0,ferrum,543.0
three pointer,missed,20.0,Centre,533.0
layup,good,27.0,Centre,530.0
three pointer,missed,8.0,ferrum,508.0
three pointer,missed,22.0,Centre,500.0
jumper,missed,12.0,Centre,474.0
three pointer,good,7.0,Centre,416.0
jumper,missed,6.0,ferrum,392.0
jumper,missed,18.0,Centre,380.0
jumper,good,7.0,Centre,331.0
three pointer,missed,13.0,Centre,314.0
jumper,missed,25.0,ferrum,272.0
jumper,missed,2.0,Centre,244.0
three pointer,missed,21.0,ferrum,184.0
jumper,good,30.0,ferrum,183.0
jumper,missed,27.0,ferrum,180.0
three pointer,missed,6.0,Centre,156.0
jumper,good,5.0,ferrum,128.0
jumper,missed,4.0,Centre,102.0
jumper,missed,22.0,ferrum,92.0
jumper,missed,27.0,ferrum,89.0
three pointer,missed,26.0,ferrum,85.0
layup,good,1.0,ferrum,1.0
three pointer,good,8.0,hanover,1178.0
three pointer,missed,17.0,Centre,1165.0
three pointer,missed,13.0,Centre,1141.0
jumper,good,2.0,Centre,1113.0
layup,good,17.0,hanover,1100.0
layup,missed,25.0,hanover,1087.0
layup,good,19.0,hanover,1071.0
three pointer,good,15.0,Centre,1056.0
three pointer,good,19.0,hanover,1045.0
jumper,good,12.0,Centre,1027.0
three pointer,good,10.0,Centre,982.0
layup,missed,16.0,hanover,968.0
layup,good,28.0,hanover,966.0
three pointer,good,23.0,Centre,929.0
jumper,missed,15.0,hanover,914.0
jumper,missed,22.0,Centre,906.0
three pointer,missed,23.0,hanover,899.0
jumper,good,10.0,Centre,879.0
layup,good,23.0,hanover,847.0
three pointer,good,20.0,Centre,836.0
layup,good,24.0,hanover,823.0
three pointer,good,18.0,Centre,811.0
three pointer,good,15.0,hanover,796.0
layup,good,27.0,Centre,763.0
jumper,missed,21.0,hanover,754.0
layup,missed,13.0,hanover,716.0
three pointer,missed,13.0,hanover,685.0
jumper,missed,25.0,Centre,675.0
layup,missed,22.0,hanover,667.0
jumper,good,22.0,Centre,659.0
jumper,missed,18.0,hanover,647.0
three pointer,missed,18.0,hanover,635.0
three pointer,missed,14.0,hanover,619.0
jumper,good,25.0,Centre,599.0
jumper,good,26.0,Centre,574.0
jumper,missed,13.0,hanover,541.0
layup,good,20.0,Centre,531.0
three pointer,good,10.0,hanover,511.0
three pointer,missed,12.0,Centre,493.0
layup,missed,15.0,hanover,477.0
layup,missed,25.0,hanover,472.0
jumper,missed,10.0,Centre,452.0
layup,missed,24.0,hanover,446.0
layup,good,23.0,Centre,439.0
layup,missed,13.0,hanover,389.0
layup,missed,25.0,Centre,368.0
layup,good,15.0,Centre,358.0
layup,missed,19.0,Centre,345.0
layup,good,27.0,Centre,342.0
three pointer,good,24.0,hanover,336.0
three pointer,missed,6.0,Centre,312.0
jumper,missed,20.0,hanover,302.0
layup,missed,2.0,hanover,263.0
layup,good,19.0,hanover,252.0
jumper,good,15.0,Centre,237.0
layup,missed,18.0,hanover,225.0
layup,missed,24.0,Centre,219.0
three pointer,missed,20.0,Centre,215.0
layup,missed,9.0,Centre,171.0
layup,missed,18.0,hanover,151.0
jumper,good,23.0,Centre,144.0
layup,missed,19.0,hanover,133.0
jumper,good,23.0,Centre,126.0
three pointer,missed,22.0,hanover,118.0
layup,missed,12.0,Centre,100.0
layup,missed,19.0,Centre,61.0
