Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
layup,missed,Centre,585.0,15.0
defensive rebound,,marymount,,
turnover,,marymount,577.0,22.0
jumper,missed,Centre,559.0,12.0
defensive rebound,,Centre,,
foul,,Centre,518.0,19.0
free throw,good,marymount,518.0,30.0
free throw,good,marymount,518.0,30.0
three pointer,missed,Centre,508.0,20.0
defensive rebound,,marymount,,
turnover,,marymount,488.0,10.0
steal,,Centre,485.0,27.0
jumper,good,Centre,477.0,22.0
layup,good,marymount,452.0,5.0
assist,,marymount,,
turnover,,Centre,438.0,16.0
subbing in,,Centre,438.0,30.0
subbing out,,Centre,438.0,30.0
subbing in,,marymount,438.0,30.0
subbing in,,marymount,438.0,30.0
subbing out,,marymount,438.0,30.0
subbing out,,marymount,438.0,30.0
turnover,,marymount,431.0,23.0
foul,,Centre,399.0,28.0
turnover,,Centre,399.0,30.0
subbing in,,Centre,399.0,30.0
subbing in,,Centre,399.0,30.0
subbing in,,Centre,399.0,30.0
subbing out,,Centre,399.0,30.0
subbing out,,Centre,399.0,30.0
subbing out,,Centre,399.0,30.0
foul,,Centre,388.0,19.0
free throw,missed,marymount,388.0,30.0
deadball rebound,,Centre,,
free throw,good,marymount,388.0,30.0
subbing in,,marymount,388.0,30.0
subbing in,,marymount,388.0,30.0
subbing out,,marymount,388.0,30.0
subbing out,,marymount,388.0,30.0
turnover,,Centre,379.0,21.0
steal,,marymount,379.0,30.0
subbing in,,Centre,379.0,30.0
subbing out,,Centre,379.0,30.0
turnover,,marymount,361.0,12.0
layup,good,Centre,333.0,2.0
assist,,Centre,,
layup,good,marymount,303.0,0.0
assist,,marymount,,
jumper,good,Centre,288.0,15.0
assist,,Centre,,
layup,good,marymount,270.0,12.0
assist,,marymount,,
three pointer,missed,Centre,253.0,13.0
defensive rebound,,marymount,,
jumper,missed,marymount,236.0,13.0
defensive rebound,,Centre,,
jumper,missed,Centre,224.0,18.0
offensive rebound,,Centre,,
three pointer,missed,Centre,217.0,23.0
defensive rebound,,marymount,,
turnover,,marymount,191.0,4.0
subbing in,,Centre,191.0,30.0
subbing in,,Centre,191.0,30.0
subbing in,,Centre,191.0,30.0
subbing in,,Centre,191.0,30.0
subbing out,,Centre,191.0,30.0
subbing out,,Centre,191.0,30.0
subbing out,,Centre,191.0,30.0
subbing out,,Centre,191.0,30.0
subbing in,,marymount,191.0,30.0
subbing in,,marymount,191.0,30.0
subbing in,,marymount,191.0,30.0
subbing out,,marymount,191.0,30.0
subbing out,,marymount,191.0,30.0
subbing out,,marymount,191.0,30.0
three pointer,good,Centre,183.0,22.0
assist,,Centre,,
timeout,,Centre,174.0,21.0
three pointer,missed,marymount,145.0,22.0
defensive rebound,,Centre,,
subbing in,,marymount,142.0,27.0
subbing in,,marymount,142.0,27.0
subbing out,,marymount,142.0,27.0
subbing out,,marymount,142.0,27.0
turnover,,Centre,139.0,24.0
steal,,marymount,137.0,28.0
layup,missed,marymount,136.0,29.0
offensive rebound,,marymount,,
layup,good,marymount,131.0,25.0
three pointer,missed,Centre,97.0,26.0
defensive rebound,,marymount,,
layup,missed,marymount,80.0,13.0
defensive rebound,,Centre,,
turnover,,Centre,48.0,28.0
subbing in,,Centre,48.0,30.0
subbing in,,Centre,48.0,30.0
subbing out,,Centre,48.0,30.0
subbing out,,Centre,48.0,30.0
subbing in,,marymount,48.0,30.0
subbing in,,marymount,48.0,30.0
subbing out,,marymount,48.0,30.0
subbing out,,marymount,48.0,30.0
layup,missed,marymount,27.0,27.0
block,,Centre,27.0,27.0
offensive rebound,,marymount,,
jumper,missed,marymount,19.0,19.0
offensive rebound,,marymount,,
layup,missed,marymount,16.0,16.0
defensive rebound,,Centre,,
three pointer,missed,Centre,4.0,4.0
defensive rebound,,marymount,,
,,,,
subbing in,,Centre,600.0,582.0
subbing in,,Centre,600.0,582.0
subbing out,,Centre,600.0,582.0
subbing out,,Centre,600.0,582.0
jumper,missed,Centre,574.0,556.0
defensive rebound,,marymount,,
layup,good,marymount,557.0,13.0
jumper,good,Centre,542.0,15.0
three pointer,missed,marymount,514.0,2.0
defensive rebound,,Centre,,
three pointer,missed,Centre,507.0,23.0
defensive rebound,,marymount,,
foul,,Centre,502.0,25.0
subbing in,,Centre,502.0,30.0
subbing in,,Centre,502.0,30.0
subbing in,,Centre,502.0,30.0
subbing in,,Centre,502.0,30.0
subbing out,,Centre,502.0,30.0
subbing out,,Centre,502.0,30.0
subbing out,,Centre,502.0,30.0
subbing out,,Centre,502.0,30.0
subbing in,,marymount,502.0,30.0
subbing in,,marymount,502.0,30.0
subbing out,,marymount,502.0,30.0
subbing out,,marymount,502.0,30.0
foul,,Centre,478.0,6.0
free throw,missed,marymount,478.0,30.0
deadball rebound,,Centre,,
free throw,good,marymount,478.0,30.0
subbing in,,Centre,478.0,30.0
subbing out,,Centre,478.0,30.0
turnover,,Centre,471.0,23.0
steal,,marymount,469.0,28.0
turnover,,marymount,468.0,29.0
layup,good,Centre,452.0,14.0
assist,,Centre,,
layup,good,marymount,436.0,14.0
turnover,,Centre,423.0,17.0
subbing in,,Centre,423.0,30.0
subbing out,,Centre,423.0,30.0
subbing in,,marymount,423.0,30.0
subbing in,,marymount,423.0,30.0
subbing out,,marymount,423.0,30.0
subbing out,,marymount,423.0,30.0
layup,missed,marymount,399.0,6.0
offensive rebound,,marymount,,
foul,,Centre,390.0,21.0
layup,missed,marymount,370.0,10.0
defensive rebound,,Centre,,
jumper,missed,Centre,354.0,14.0
defensive rebound,,marymount,,
turnover,,marymount,325.0,1.0
subbing in,,Centre,325.0,30.0
subbing in,,Centre,325.0,30.0
subbing out,,Centre,325.0,30.0
subbing out,,Centre,325.0,30.0
subbing in,,marymount,325.0,30.0
subbing in,,marymount,325.0,30.0
subbing out,,marymount,325.0,30.0
subbing out,,marymount,325.0,30.0
layup,missed,Centre,309.0,14.0
defensive rebound,,marymount,,
turnover,,marymount,299.0,20.0
steal,,Centre,296.0,27.0
three pointer,missed,Centre,293.0,27.0
defensive rebound,,marymount,,
layup,good,marymount,270.0,7.0
assist,,marymount,,
