Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
foul,,Centre,585.0,15.0
foul,,methodist,585.0,30.0
turnover,,methodist,585.0,30.0
subbing in,,Centre,585.0,30.0
subbing out,,Centre,585.0,30.0
jumper,missed,Centre,556.0,1.0
block,,methodist,556.0,30.0
defensive rebound,,methodist,,
jumper,missed,methodist,533.0,7.0
defensive rebound,,Centre,,
turnover,,Centre,516.0,13.0
steal,,methodist,514.0,28.0
layup,missed,methodist,495.0,11.0
defensive rebound,,Centre,,
layup,missed,Centre,483.0,18.0
defensive rebound,,methodist,,
layup,missed,methodist,474.0,21.0
defensive rebound,,Centre,,
jumper,missed,Centre,463.0,19.0
offensive rebound,,Centre,,
foul,,methodist,463.0,30.0
free throw,missed,Centre,463.0,30.0
deadball rebound,,Centre,,
free throw,good,Centre,463.0,30.0
subbing in,,Centre,463.0,30.0
subbing out,,Centre,463.0,30.0
layup,missed,methodist,445.0,12.0
defensive rebound,,Centre,,
jumper,missed,Centre,421.0,6.0
defensive rebound,,methodist,,
jumper,missed,methodist,413.0,22.0
defensive rebound,,Centre,,
turnover,,Centre,404.0,21.0
steal,,methodist,402.0,28.0
three pointer,good,methodist,387.0,15.0
assist,,methodist,,
turnover,,Centre,360.0,3.0
steal,,methodist,359.0,29.0
foul,,Centre,342.0,13.0
free throw,missed,methodist,342.0,30.0
deadball rebound,,Centre,,
free throw,good,methodist,342.0,30.0
subbing in,,Centre,342.0,30.0
subbing in,,Centre,342.0,30.0
subbing in,,Centre,342.0,30.0
subbing in,,Centre,342.0,30.0
subbing out,,Centre,342.0,30.0
subbing out,,Centre,342.0,30.0
subbing out,,Centre,342.0,30.0
subbing out,,Centre,342.0,30.0
subbing in,,methodist,342.0,30.0
subbing in,,methodist,342.0,30.0
subbing out,,methodist,342.0,30.0
subbing out,,methodist,342.0,30.0
jumper,missed,Centre,327.0,15.0
offensive rebound,,Centre,,
layup,good,Centre,315.0,18.0
assist,,Centre,,
jumper,good,methodist,303.0,18.0
assist,,methodist,,
jumper,missed,Centre,290.0,17.0
offensive rebound,,Centre,,
layup,missed,Centre,284.0,24.0
defensive rebound,,methodist,,
layup,missed,methodist,273.0,19.0
defensive rebound,,Centre,,
three pointer,missed,Centre,264.0,21.0
offensive rebound,,Centre,,
layup,missed,Centre,259.0,25.0
offensive rebound,,Centre,,
layup,good,Centre,250.0,21.0
turnover,,methodist,232.0,12.0
timeout,,Centre,232.0,30.0
three pointer,good,Centre,215.0,13.0
assist,,Centre,,
turnover,,methodist,201.0,16.0
steal,,Centre,198.0,27.0
layup,missed,Centre,193.0,25.0
offensive rebound,,Centre,,
subbing in,,Centre,193.0,30.0
subbing in,,Centre,193.0,30.0
subbing in,,Centre,193.0,30.0
subbing out,,Centre,193.0,30.0
subbing out,,Centre,193.0,30.0
subbing out,,Centre,193.0,30.0
layup,missed,Centre,192.0,29.0
defensive rebound,,Centre,,
subbing in,,Centre,192.0,30.0
subbing out,,Centre,192.0,30.0
turnover,,methodist,179.0,17.0
steal,,Centre,179.0,30.0
subbing in,,methodist,179.0,30.0
subbing in,,methodist,179.0,30.0
subbing out,,methodist,179.0,30.0
subbing out,,methodist,179.0,30.0
foul,,methodist,172.0,23.0
turnover,,Centre,153.0,11.0
steal,,methodist,152.0,29.0
subbing in,,Centre,152.0,30.0
subbing out,,Centre,152.0,30.0
jumper,good,methodist,136.0,14.0
layup,good,Centre,124.0,18.0
layup,missed,methodist,105.0,11.0
offensive rebound,,methodist,,
three pointer,missed,methodist,101.0,26.0
defensive rebound,,Centre,,
foul,,methodist,97.0,26.0
subbing in,,Centre,97.0,30.0
subbing out,,Centre,97.0,30.0
subbing in,,methodist,97.0,30.0
subbing out,,methodist,97.0,30.0
foul,,methodist,81.0,14.0
free throw,good,Centre,81.0,30.0
free throw,good,Centre,81.0,30.0
subbing in,,Centre,81.0,30.0
subbing out,,Centre,81.0,30.0
subbing in,,methodist,81.0,30.0
subbing out,,methodist,81.0,30.0
turnover,,methodist,73.0,22.0
foul,,methodist,73.0,30.0
foul,,methodist,60.0,17.0
free throw,missed,Centre,60.0,30.0
deadball rebound,,Centre,,
free throw,missed,Centre,60.0,30.0
defensive rebound,,methodist,,
foul,,Centre,45.0,15.0
subbing in,,Centre,45.0,30.0
subbing out,,Centre,45.0,30.0
turnover,,methodist,42.0,27.0
jumper,good,Centre,27.0,27.0
layup,missed,methodist,12.0,12.0
defensive rebound,,Centre,,
three pointer,missed,Centre,0.0,0.0
offensive rebound,,Centre,,
,,,,
subbing in,,Centre,600.0,30.0
