Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
three pointer,missed,piedmont,584.0,14.0
offensive rebound,,piedmont,,
three pointer,good,piedmont,578.0,24.0
turnover,,Centre,567.0,19.0
steal,,piedmont,565.0,28.0
jumper,missed,piedmont,563.0,28.0
offensive rebound,,piedmont,,
jumper,missed,piedmont,540.0,7.0
block,,Centre,540.0,30.0
defensive rebound,,Centre,,
jumper,good,Centre,523.0,13.0
jumper,good,piedmont,504.0,11.0
assist,,piedmont,,
foul,,piedmont,492.0,18.0
free throw,good,Centre,492.0,30.0
free throw,missed,Centre,492.0,30.0
defensive rebound,,piedmont,,
three pointer,missed,piedmont,473.0,11.0
offensive rebound,,piedmont,,
layup,missed,piedmont,469.0,26.0
block,,Centre,469.0,30.0
defensive rebound,,Centre,,
jumper,missed,Centre,444.0,5.0
offensive rebound,,Centre,,
layup,missed,Centre,438.0,24.0
offensive rebound,,Centre,,
turnover,,Centre,434.0,26.0
steal,,piedmont,432.0,28.0
three pointer,missed,piedmont,428.0,26.0
offensive rebound,,piedmont,,
layup,good,piedmont,424.0,26.0
layup,good,Centre,413.0,19.0
three pointer,missed,piedmont,397.0,14.0
deadball rebound,,Centre,,
foul,,piedmont,394.0,27.0
subbing in,,Centre,394.0,30.0
subbing in,,Centre,394.0,30.0
subbing out,,Centre,394.0,30.0
subbing out,,Centre,394.0,30.0
subbing in,,piedmont,394.0,30.0
subbing out,,piedmont,394.0,30.0
turnover,,Centre,379.0,15.0
steal,,piedmont,377.0,28.0
turnover,,piedmont,372.0,25.0
subbing in,,Centre,372.0,30.0
subbing in,,Centre,372.0,30.0
subbing out,,Centre,372.0,30.0
subbing out,,Centre,372.0,30.0
turnover,,Centre,358.0,16.0
steal,,piedmont,358.0,30.0
subbing in,,piedmont,358.0,30.0
subbing out,,piedmont,358.0,30.0
turnover,,piedmont,347.0,19.0
layup,missed,Centre,330.0,13.0
defensive rebound,,piedmont,,
three pointer,missed,piedmont,323.0,23.0
defensive rebound,,Centre,,
subbing in,,piedmont,319.0,26.0
subbing out,,piedmont,319.0,26.0
foul,,piedmont,293.0,0.0
foul,,Centre,291.0,28.0
turnover,,Centre,291.0,30.0
subbing in,,piedmont,291.0,30.0
subbing out,,piedmont,291.0,30.0
three pointer,missed,piedmont,268.0,7.0
defensive rebound,,Centre,,
turnover,,Centre,250.0,12.0
steal,,piedmont,249.0,29.0
jumper,missed,piedmont,241.0,22.0
defensive rebound,,Centre,,
three pointer,missed,Centre,228.0,17.0
defensive rebound,,piedmont,,
three pointer,missed,piedmont,217.0,19.0
defensive rebound,,Centre,,
jumper,good,Centre,198.0,11.0
layup,missed,piedmont,181.0,13.0
offensive rebound,,piedmont,,
jumper,good,piedmont,174.0,23.0
layup,good,Centre,153.0,9.0
assist,,Centre,,
subbing in,,piedmont,139.0,16.0
subbing in,,piedmont,139.0,16.0
subbing in,,piedmont,139.0,16.0
subbing out,,piedmont,139.0,16.0
subbing out,,piedmont,139.0,16.0
subbing out,,piedmont,139.0,16.0
subbing in,,Centre,136.0,13.0
subbing in,,Centre,136.0,13.0
subbing in,,Centre,136.0,13.0
subbing in,,Centre,136.0,13.0
subbing out,,Centre,136.0,13.0
subbing out,,Centre,136.0,13.0
subbing out,,Centre,136.0,13.0
subbing out,,Centre,136.0,13.0
layup,missed,piedmont,125.0,2.0
block,,Centre,125.0,30.0
defensive rebound,,Centre,,
three pointer,good,Centre,111.0,16.0
assist,,Centre,,
layup,missed,piedmont,87.0,6.0
defensive rebound,,Centre,,
jumper,good,Centre,78.0,21.0
assist,,Centre,,
timeout,,Centre,70.0,22.0
subbing in,,piedmont,64.0,16.0
subbing out,,piedmont,64.0,16.0
three pointer,missed,piedmont,47.0,29.0
defensive rebound,,Centre,,
subbing in,,piedmont,47.0,30.0
subbing out,,piedmont,47.0,30.0
turnover,,Centre,39.0,22.0
steal,,piedmont,37.0,28.0
three pointer,good,piedmont,35.0,28.0
jumper,good,Centre,13.0,13.0
three pointer,missed,piedmont,0.0,0.0
deadball rebound,,Centre,,
,,,,
subbing in,,Centre,600.0,30.0
subbing out,,Centre,600.0,30.0
subbing in,,piedmont,600.0,30.0
