Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
turnover,,ripon college,1187.0,17.0
steal,,Centre,1185.0,28.0
layup,good,Centre,1172.0,17.0
layup,good,ripon college,1152.0,10.0
three pointer,missed,Centre,1126.0,4.0
defensive rebound,,ripon college,,
turnover,,ripon college,1109.0,13.0
layup,good,Centre,1097.0,18.0
three pointer,missed,ripon college,1074.0,7.0
defensive rebound,,Centre,,
three pointer,good,Centre,1061.0,17.0
assist,,Centre,,
layup,missed,ripon college,1031.0,0.0
defensive rebound,,Centre,,
jumper,good,Centre,1023.0,22.0
foul,,Centre,996.0,3.0
subbing in,,Centre,996.0,30.0
subbing out,,Centre,996.0,30.0
subbing in,,ripon college,996.0,30.0
subbing out,,ripon college,996.0,30.0
jumper,good,ripon college,983.0,17.0
assist,,ripon college,,
free throw,missed,Centre,962.0,30.0
deadball rebound,,Centre,,
free throw,good,Centre,962.0,30.0
subbing in,,Centre,962.0,30.0
subbing in,,Centre,962.0,30.0
subbing out,,Centre,962.0,30.0
subbing out,,Centre,962.0,30.0
layup,missed,ripon college,936.0,13.0
defensive rebound,,Centre,,
three pointer,missed,Centre,924.0,18.0
offensive rebound,,Centre,,
three pointer,missed,Centre,920.0,26.0
defensive rebound,,Centre,,
subbing in,,Centre,916.0,26.0
subbing in,,Centre,916.0,26.0
subbing out,,Centre,916.0,26.0
subbing out,,Centre,916.0,26.0
jumper,missed,ripon college,886.0,26.0
defensive rebound,,Centre,,
jumper,missed,Centre,875.0,19.0
defensive rebound,,ripon college,,
subbing in,,ripon college,867.0,22.0
subbing in,,ripon college,867.0,22.0
subbing out,,ripon college,867.0,22.0
subbing out,,ripon college,867.0,22.0
jumper,missed,ripon college,855.0,10.0
defensive rebound,,Centre,,
layup,good,Centre,849.0,24.0
assist,,Centre,,
subbing in,,ripon college,838.0,19.0
subbing out,,ripon college,838.0,19.0
foul,,Centre,813.0,24.0
free throw,good,ripon college,813.0,30.0
free throw,good,ripon college,813.0,30.0
jumper,good,Centre,800.0,17.0
assist,,Centre,,
three pointer,good,ripon college,786.0,16.0
assist,,ripon college,,
jumper,good,Centre,776.0,20.0
assist,,Centre,,
three pointer,missed,ripon college,758.0,12.0
defensive rebound,,Centre,,
layup,missed,Centre,748.0,20.0
block,,ripon college,748.0,20.0
offensive rebound,,Centre,,
subbing in,,Centre,741.0,13.0
subbing in,,Centre,741.0,13.0
subbing in,,Centre,741.0,13.0
subbing in,,Centre,741.0,13.0
subbing out,,Centre,741.0,13.0
subbing out,,Centre,741.0,13.0
subbing out,,Centre,741.0,13.0
subbing out,,Centre,741.0,13.0
layup,missed,Centre,732.0,4.0
defensive rebound,,ripon college,,
timeout,,Centre,732.0,30.0
subbing in,,ripon college,732.0,30.0
subbing in,,ripon college,732.0,30.0
subbing out,,ripon college,732.0,30.0
subbing out,,ripon college,732.0,30.0
foul,,Centre,721.0,19.0
subbing in,,Centre,721.0,30.0
subbing out,,Centre,721.0,30.0
turnover,,ripon college,704.0,13.0
steal,,Centre,703.0,29.0
layup,good,Centre,689.0,16.0
three pointer,good,ripon college,673.0,14.0
assist,,ripon college,,
turnover,,Centre,657.0,14.0
foul,,Centre,657.0,30.0
three pointer,good,ripon college,643.0,16.0
assist,,ripon college,,
timeout,,Centre,631.0,18.0
subbing in,,ripon college,631.0,18.0
subbing out,,ripon college,631.0,18.0
turnover,,Centre,622.0,9.0
steal,,ripon college,621.0,29.0
turnover,,ripon college,615.0,24.0
foul,,ripon college,615.0,30.0
foul,,ripon college,615.0,30.0
layup,good,Centre,605.0,20.0
jumper,good,ripon college,581.0,6.0
assist,,ripon college,,
three pointer,missed,Centre,566.0,15.0
