Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
three pointer,missed,Centre,1178.0,608.0
defensive rebound,,Centre,,
turnover,,asbury university,1166.0,18.0
three pointer,good,Centre,1151.0,15.0
assist,,Centre,,
three pointer,good,asbury university,1122.0,1.0
assist,,asbury university,,
foul,,asbury university,1094.0,2.0
three pointer,missed,Centre,1088.0,24.0
defensive rebound,,asbury university,,
turnover,,asbury university,1077.0,19.0
turnover,,Centre,1071.0,24.0
steal,,asbury university,1070.0,29.0
layup,good,asbury university,1066.0,26.0
assist,,asbury university,,
foul,,Centre,1065.0,29.0
free throw,good,asbury university,1065.0,30.0
turnover,,Centre,1053.0,18.0
layup,good,asbury university,1043.0,20.0
jumper,missed,Centre,1031.0,18.0
block,,asbury university,1031.0,30.0
defensive rebound,,asbury university,,
three pointer,missed,asbury university,1024.0,23.0
defensive rebound,,Centre,,
three pointer,good,Centre,1009.0,15.0
assist,,Centre,,
timeout,,Centre,997.0,18.0
subbing in,,asbury university,997.0,18.0
subbing in,,asbury university,997.0,18.0
subbing in,,asbury university,997.0,18.0
subbing in,,asbury university,997.0,18.0
subbing in,,asbury university,997.0,18.0
subbing out,,asbury university,997.0,18.0
subbing out,,asbury university,997.0,18.0
subbing out,,asbury university,997.0,18.0
subbing out,,asbury university,997.0,18.0
subbing out,,asbury university,997.0,18.0
subbing in,,Centre,997.0,18.0
subbing in,,Centre,997.0,18.0
subbing in,,Centre,997.0,18.0
subbing out,,Centre,997.0,18.0
subbing out,,Centre,997.0,18.0
subbing out,,Centre,997.0,18.0
three pointer,missed,asbury university,985.0,6.0
offensive rebound,,asbury university,,
layup,good,asbury university,981.0,26.0
three pointer,missed,Centre,965.0,14.0
offensive rebound,,Centre,,
turnover,,Centre,953.0,18.0
layup,missed,asbury university,940.0,17.0
offensive rebound,,asbury university,,
turnover,,asbury university,921.0,11.0
subbing in,,asbury university,920.0,29.0
subbing out,,asbury university,920.0,29.0
jumper,missed,Centre,897.0,6.0
block,,asbury university,897.0,6.0
offensive rebound,,Centre,,
jumper,good,Centre,892.0,1.0
three pointer,good,asbury university,883.0,21.0
assist,,asbury university,,
foul,,asbury university,873.0,20.0
jumper,missed,Centre,873.0,30.0
offensive rebound,,Centre,,
subbing in,,asbury university,873.0,30.0
subbing in,,asbury university,873.0,30.0
subbing in,,asbury university,873.0,30.0
subbing out,,asbury university,873.0,30.0
subbing out,,asbury university,873.0,30.0
subbing out,,asbury university,873.0,30.0
subbing in,,Centre,873.0,30.0
subbing out,,Centre,873.0,30.0
foul,,asbury university,868.0,25.0
free throw,good,Centre,868.0,30.0
free throw,good,Centre,868.0,30.0
subbing in,,asbury university,868.0,30.0
subbing out,,asbury university,868.0,30.0
jumper,missed,asbury university,853.0,15.0
defensive rebound,,Centre,,
three pointer,missed,Centre,837.0,14.0
defensive rebound,,asbury university,,
foul,,Centre,810.0,3.0
subbing in,,Centre,810.0,30.0
subbing out,,Centre,810.0,30.0
layup,good,asbury university,807.0,27.0
layup,good,Centre,790.0,13.0
layup,good,asbury university,767.0,7.0
turnover,,Centre,756.0,19.0
steal,,asbury university,754.0,28.0
layup,good,asbury university,752.0,28.0
assist,,asbury university,,
timeout,,Centre,747.0,25.0
three pointer,missed,Centre,726.0,4.0
defensive rebound,,asbury university,,
three pointer,good,asbury university,710.0,14.0
assist,,asbury university,,
foul,,asbury university,681.0,1.0
layup,good,Centre,681.0,30.0
assist,,Centre,,
subbing in,,Centre,681.0,30.0
subbing out,,Centre,681.0,30.0
three pointer,missed,asbury university,673.0,22.0
defensive rebound,,Centre,,
foul,,asbury university,653.0,10.0
free throw,good,Centre,653.0,30.0
free throw,good,Centre,653.0,30.0
subbing in,,asbury university,653.0,30.0
subbing out,,asbury university,653.0,30.0
subbing in,,Centre,653.0,30.0
subbing out,,Centre,653.0,30.0
turnover,,asbury university,646.0,23.0
steal,,Centre,644.0,28.0
foul,,asbury university,629.0,15.0
free throw,good,Centre,629.0,30.0
timeout,,Centre,629.0,30.0
free throw,good,Centre,629.0,30.0
subbing in,,asbury university,629.0,30.0
subbing out,,asbury university,629.0,30.0
turnover,,asbury university,607.0,8.0
three pointer,good,Centre,589.0,12.0
assist,,Centre,,
jumper,good,asbury university,569.0,10.0
turnover,,Centre,551.0,12.0
steal,,asbury university,549.0,28.0
three pointer,missed,asbury university,536.0,17.0
defensive rebound,,Centre,,
jumper,missed,Centre,518.0,12.0
defensive rebound,,asbury university,,
three pointer,missed,asbury university,508.0,20.0
defensive rebound,,Centre,,
jumper,good,Centre,488.0,10.0
layup,missed,asbury university,470.0,12.0
defensive rebound,,Centre,,
three pointer,missed,Centre,463.0,23.0
defensive rebound,,asbury university,,
jumper,good,asbury university,447.0,14.0
assist,,asbury university,,
foul,,asbury university,445.0,28.0
layup,missed,Centre,441.0,26.0
defensive rebound,,asbury university,,
