Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
layup,good,bluffton university,590.0,20.0
assist,,bluffton university,,
foul,,Centre,563.0,3.0
turnover,,Centre,563.0,30.0
jumper,good,bluffton university,543.0,10.0
assist,,bluffton university,,
layup,missed,Centre,522.0,9.0
defensive rebound,,bluffton university,,
jumper,missed,bluffton university,505.0,13.0
offensive rebound,,bluffton university,,
layup,missed,bluffton university,499.0,24.0
defensive rebound,,Centre,,
subbing in,,Centre,495.0,26.0
subbing out,,Centre,495.0,26.0
jumper,good,Centre,484.0,15.0
jumper,missed,bluffton university,466.0,12.0
defensive rebound,,Centre,,
turnover,,Centre,457.0,21.0
layup,good,bluffton university,451.0,24.0
assist,,bluffton university,,
layup,missed,Centre,435.0,14.0
block,,bluffton university,435.0,14.0
offensive rebound,,Centre,,
turnover,,Centre,426.0,5.0
subbing in,,Centre,426.0,30.0
subbing out,,Centre,426.0,30.0
turnover,,bluffton university,395.0,29.0
steal,,Centre,395.0,30.0
jumper,missed,Centre,373.0,8.0
offensive rebound,,Centre,,
layup,missed,Centre,367.0,24.0
block,,bluffton university,367.0,30.0
defensive rebound,,bluffton university,,
jumper,missed,bluffton university,354.0,17.0
defensive rebound,,Centre,,
turnover,,Centre,349.0,25.0
steal,,bluffton university,347.0,28.0
turnover,,bluffton university,337.0,20.0
steal,,Centre,336.0,29.0
foul,,bluffton university,333.0,27.0
subbing in,,Centre,327.0,24.0
subbing in,,Centre,327.0,24.0
subbing in,,Centre,327.0,24.0
subbing out,,Centre,327.0,24.0
subbing out,,Centre,327.0,24.0
subbing out,,Centre,327.0,24.0
subbing in,,bluffton university,327.0,24.0
subbing in,,bluffton university,327.0,24.0
subbing out,,bluffton university,327.0,24.0
subbing out,,bluffton university,327.0,24.0
turnover,,Centre,325.0,22.0
subbing in,,Centre,317.0,22.0
subbing out,,Centre,317.0,22.0
turnover,,bluffton university,311.0,16.0
jumper,good,Centre,296.0,15.0
assist,,Centre,,
layup,good,bluffton university,277.0,11.0
assist,,bluffton university,,
subbing in,,Centre,275.0,28.0
subbing out,,Centre,275.0,28.0
subbing in,,bluffton university,275.0,28.0
subbing out,,bluffton university,275.0,28.0
layup,good,Centre,266.0,19.0
foul,,Centre,247.0,11.0
subbing in,,bluffton university,247.0,30.0
subbing out,,bluffton university,247.0,30.0
foul,,Centre,240.0,23.0
three pointer,missed,bluffton university,228.0,18.0
offensive rebound,,bluffton university,,
layup,missed,bluffton university,225.0,27.0
offensive rebound,,bluffton university,,
jumper,missed,bluffton university,210.0,15.0
defensive rebound,,Centre,,
foul,,bluffton university,202.0,22.0
subbing in,,Centre,202.0,30.0
subbing out,,Centre,202.0,30.0
jumper,good,Centre,194.0,22.0
assist,,Centre,,
layup,good,bluffton university,180.0,16.0
assist,,bluffton university,,
foul,,Centre,180.0,30.0
free throw,missed,bluffton university,180.0,30.0
defensive rebound,,Centre,,
subbing in,,Centre,180.0,30.0
subbing out,,Centre,180.0,30.0
subbing in,,bluffton university,180.0,30.0
subbing in,,bluffton university,180.0,30.0
subbing out,,bluffton university,180.0,30.0
subbing out,,bluffton university,180.0,30.0
turnover,,Centre,173.0,23.0
steal,,bluffton university,172.0,29.0
layup,good,bluffton university,157.0,15.0
assist,,bluffton university,,
layup,missed,Centre,138.0,11.0
defensive rebound,,bluffton university,,
foul,,Centre,119.0,11.0
free throw,good,bluffton university,119.0,30.0
free throw,good,bluffton university,119.0,30.0
subbing in,,Centre,119.0,30.0
subbing in,,Centre,119.0,30.0
subbing out,,Centre,119.0,30.0
subbing out,,Centre,119.0,30.0
subbing in,,bluffton university,119.0,30.0
subbing in,,bluffton university,119.0,30.0
subbing out,,bluffton university,119.0,30.0
subbing out,,bluffton university,119.0,30.0
jumper,missed,Centre,95.0,6.0
defensive rebound,,bluffton university,,
layup,missed,bluffton university,86.0,21.0
defensive rebound,,Centre,,
jumper,good,Centre,70.0,14.0
turnover,,bluffton university,55.0,15.0
subbing in,,Centre,55.0,30.0
subbing out,,Centre,55.0,30.0
jumper,good,Centre,31.0,6.0
assist,,Centre,,
jumper,missed,bluffton university,21.0,21.0
offensive rebound,,bluffton university,,
foul,,Centre,18.0,18.0
free throw,good,bluffton university,18.0,18.0
free throw,good,bluffton university,18.0,18.0
subbing in,,Centre,18.0,18.0
subbing in,,Centre,18.0,18.0
subbing in,,Centre,18.0,18.0
subbing out,,Centre,18.0,18.0
subbing out,,Centre,18.0,18.0
subbing out,,Centre,18.0,18.0
jumper,missed,Centre,3.0,3.0
offensive rebound,,Centre,,
foul,,bluffton university,1.0,1.0
foul,,bluffton university,1.0,1.0
free throw,missed,Centre,1.0,1.0
deadball rebound,,Centre,,
free throw,good,Centre,1.0,1.0
,,,,
subbing in,,bluffton university,600.0,599.0
subbing in,,bluffton university,600.0,599.0
subbing out,,bluffton university,600.0,599.0
subbing out,,bluffton university,600.0,599.0
jumper,missed,bluffton university,582.0,581.0
block,,Centre,582.0,30.0
defensive rebound,,Centre,,
turnover,,Centre,557.0,5.0
jumper,missed,bluffton university,541.0,14.0
offensive rebound,,bluffton university,,
foul,,Centre,539.0,28.0
free throw,good,bluffton university,539.0,30.0
free throw,good,bluffton university,539.0,30.0
subbing in,,Centre,539.0,30.0
subbing out,,Centre,539.0,30.0
jumper,missed,Centre,511.0,2.0
offensive rebound,,Centre,,
foul,,bluffton university,511.0,30.0
jumper,missed,Centre,486.0,5.0
defensive rebound,,bluffton university,,
three pointer,missed,bluffton university,457.0,1.0
defensive rebound,,Centre,,
layup,missed,Centre,450.0,23.0
block,,bluffton university,450.0,30.0
defensive rebound,,bluffton university,,
jumper,missed,bluffton university,442.0,22.0
defensive rebound,,Centre,,
timeout,,Centre,440.0,28.0
subbing in,,Centre,440.0,28.0
subbing out,,Centre,440.0,28.0
subbing in,,bluffton university,440.0,28.0
subbing in,,bluffton university,440.0,28.0
subbing out,,bluffton university,440.0,28.0
subbing out,,bluffton university,440.0,28.0
jumper,missed,Centre,414.0,2.0
defensive rebound,,bluffton university,,
foul,,Centre,414.0,30.0
subbing in,,Centre,414.0,30.0
subbing in,,Centre,414.0,30.0
subbing out,,Centre,414.0,30.0
subbing out,,Centre,414.0,30.0
layup,good,bluffton university,400.0,16.0
assist,,bluffton university,,
jumper,missed,Centre,369.0,29.0
offensive rebound,,Centre,,
layup,missed,Centre,365.0,26.0
defensive rebound,,bluffton university,,
layup,missed,bluffton university,351.0,16.0
defensive rebound,,Centre,,
jumper,missed,Centre,331.0,10.0
defensive rebound,,bluffton university,,
layup,good,bluffton university,314.0,13.0
assist,,bluffton university,,
jumper,missed,Centre,294.0,10.0
defensive rebound,,bluffton university,,
layup,good,bluffton university,287.0,23.0
timeout,,Centre,284.0,27.0
subbing in,,Centre,284.0,27.0
subbing in,,Centre,284.0,27.0
subbing in,,Centre,284.0,27.0
subbing out,,Centre,284.0,27.0
subbing out,,Centre,284.0,27.0
subbing out,,Centre,284.0,27.0
subbing in,,bluffton university,284.0,27.0
subbing out,,bluffton university,284.0,27.0
foul,,Centre,253.0,26.0
turnover,,Centre,253.0,30.0
subbing in,,Centre,253.0,30.0
subbing out,,Centre,253.0,30.0
turnover,,bluffton university,238.0,15.0
layup,missed,Centre,217.0,9.0
defensive rebound,,bluffton university,,
foul,,Centre,217.0,30.0
three pointer,missed,bluffton university,199.0,12.0
defensive rebound,,Centre,,
foul,,bluffton university,191.0,22.0
layup,missed,Centre,181.0,20.0
defensive rebound,,bluffton university,,
jumper,missed,bluffton university,170.0,19.0
defensive rebound,,Centre,,
three pointer,missed,Centre,159.0,19.0
defensive rebound,,bluffton university,,
three pointer,missed,bluffton university,148.0,19.0
defensive rebound,,Centre,,
turnover,,Centre,117.0,29.0
subbing in,,Centre,117.0,30.0
subbing out,,Centre,117.0,30.0
subbing in,,bluffton university,117.0,30.0
subbing out,,bluffton university,117.0,30.0
jumper,good,bluffton university,104.0,17.0
assist,,bluffton university,,
turnover,,Centre,69.0,25.0
subbing in,,bluffton university,69.0,30.0
subbing out,,bluffton university,69.0,30.0
jumper,missed,bluffton university,53.0,14.0
defensive rebound,,Centre,,
turnover,,Centre,42.0,19.0
turnover,,bluffton university,17.0,17.0
steal,,Centre,15.0,15.0
turnover,,Centre,5.0,5.0
turnover,,bluffton university,1.0,1.0
,,,,
jumper,missed,Centre,583.0,571.0
defensive rebound,,bluffton university,,
jumper,missed,bluffton university,565.0,12.0
defensive rebound,,Centre,,
jumper,missed,Centre,549.0,14.0
defensive rebound,,bluffton university,,
layup,good,bluffton university,527.0,8.0
assist,,bluffton university,,
turnover,,Centre,509.0,12.0
steal,,bluffton university,508.0,29.0
layup,good,bluffton university,498.0,20.0
assist,,bluffton university,,
jumper,missed,Centre,480.0,12.0
defensive rebound,,bluffton university,,
layup,missed,bluffton university,469.0,19.0
block,,Centre,469.0,30.0
defensive rebound,,Centre,,
jumper,missed,Centre,457.0,18.0
defensive rebound,,bluffton university,,
jumper,missed,bluffton university,448.0,21.0
defensive rebound,,Centre,,
three pointer,good,Centre,428.0,10.0
assist,,Centre,,
subbing in,,Centre,403.0,5.0
subbing in,,Centre,403.0,5.0
subbing in,,Centre,403.0,5.0
subbing out,,Centre,403.0,5.0
subbing out,,Centre,403.0,5.0
subbing out,,Centre,403.0,5.0
turnover,,bluffton university,399.0,1.0
foul,,Centre,386.0,17.0
