Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
three pointer,missed,Centre,1172.0,602.0
defensive rebound,,mississippi college,,
jumper,missed,mississippi college,1142.0,0.0
defensive rebound,,Centre,,
three pointer,missed,Centre,1125.0,13.0
offensive rebound,,Centre,,
turnover,,Centre,1120.0,25.0
steal,,mississippi college,1118.0,28.0
layup,good,mississippi college,1101.0,13.0
jumper,good,Centre,1066.0,25.0
assist,,Centre,,
three pointer,missed,mississippi college,1057.0,21.0
offensive rebound,,mississippi college,,
layup,missed,mississippi college,1052.0,25.0
offensive rebound,,mississippi college,,
layup,good,mississippi college,1049.0,27.0
three pointer,good,Centre,1031.0,12.0
assist,,Centre,,
jumper,missed,mississippi college,1010.0,9.0
defensive rebound,,Centre,,
three pointer,missed,Centre,995.0,15.0
offensive rebound,,Centre,,
jumper,good,Centre,990.0,25.0
turnover,,mississippi college,976.0,16.0
subbing in,,mississippi college,976.0,30.0
subbing out,,mississippi college,976.0,30.0
subbing in,,Centre,976.0,30.0
subbing in,,Centre,976.0,30.0
subbing out,,Centre,976.0,30.0
subbing out,,Centre,976.0,30.0
foul,,mississippi college,964.0,18.0
free throw,good,Centre,964.0,30.0
free throw,good,Centre,964.0,30.0
layup,good,mississippi college,946.0,12.0
assist,,mississippi college,,
three pointer,good,Centre,919.0,3.0
assist,,Centre,,
jumper,good,mississippi college,902.0,13.0
three pointer,missed,Centre,893.0,21.0
defensive rebound,,mississippi college,,
three pointer,good,mississippi college,867.0,4.0
assist,,mississippi college,,
timeout,,Centre,863.0,26.0
subbing in,,Centre,863.0,26.0
subbing in,,Centre,863.0,26.0
subbing in,,Centre,863.0,26.0
subbing out,,Centre,863.0,26.0
subbing out,,Centre,863.0,26.0
subbing out,,Centre,863.0,26.0
jumper,good,Centre,834.0,27.0
turnover,,mississippi college,819.0,15.0
subbing in,,mississippi college,819.0,30.0
subbing in,,mississippi college,819.0,30.0
subbing in,,mississippi college,819.0,30.0
subbing out,,mississippi college,819.0,30.0
subbing out,,mississippi college,819.0,30.0
subbing out,,mississippi college,819.0,30.0
turnover,,Centre,802.0,13.0
steal,,mississippi college,801.0,29.0
layup,missed,mississippi college,774.0,3.0
defensive rebound,,Centre,,
subbing in,,mississippi college,769.0,25.0
subbing out,,mississippi college,769.0,25.0
foul,,mississippi college,751.0,7.0
free throw,good,Centre,751.0,30.0
free throw,good,Centre,751.0,30.0
subbing in,,mississippi college,751.0,30.0
subbing out,,mississippi college,751.0,30.0
jumper,missed,mississippi college,730.0,9.0
defensive rebound,,Centre,,
jumper,missed,Centre,725.0,25.0
defensive rebound,,mississippi college,,
turnover,,mississippi college,698.0,3.0
steal,,Centre,698.0,30.0
layup,missed,Centre,693.0,25.0
defensive rebound,,Centre,,
timeout,,Centre,692.0,29.0
subbing in,,Centre,692.0,29.0
subbing in,,Centre,692.0,29.0
subbing out,,Centre,692.0,29.0
subbing out,,Centre,692.0,29.0
turnover,,mississippi college,683.0,20.0
subbing in,,mississippi college,683.0,30.0
subbing out,,mississippi college,683.0,30.0
layup,missed,Centre,673.0,20.0
defensive rebound,,mississippi college,,
jumper,missed,mississippi college,658.0,15.0
defensive rebound,,Centre,,
turnover,,Centre,641.0,13.0
subbing in,,Centre,641.0,30.0
subbing out,,Centre,641.0,30.0
jumper,missed,mississippi college,620.0,9.0
offensive rebound,,mississippi college,,
layup,good,mississippi college,615.0,25.0
jumper,good,Centre,604.0,19.0
assist,,Centre,,
foul,,Centre,577.0,3.0
subbing in,,Centre,577.0,30.0
subbing in,,Centre,577.0,30.0
subbing out,,Centre,577.0,30.0
subbing out,,Centre,577.0,30.0
foul,,Centre,574.0,27.0
free throw,good,mississippi college,574.0,30.0
free throw,good,mississippi college,574.0,30.0
jumper,missed,Centre,550.0,6.0
offensive rebound,,Centre,,
layup,good,Centre,547.0,27.0
layup,missed,mississippi college,529.0,12.0
offensive rebound,,mississippi college,,
timeout,,Centre,525.0,26.0
subbing in,,mississippi college,525.0,26.0
subbing out,,mississippi college,525.0,26.0
subbing in,,Centre,525.0,26.0
subbing out,,Centre,525.0,26.0
jumper,missed,mississippi college,520.0,21.0
offensive rebound,,mississippi college,,
foul,,Centre,518.0,28.0
turnover,,mississippi college,507.0,19.0
