Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
jumper,missed,Centre,571.0,1.0
offensive rebound,,Centre,,
three pointer,missed,Centre,546.0,5.0
defensive rebound,,Centre,,
jumper,missed,salem,536.0,20.0
offensive rebound,,salem,,
jumper,missed,salem,529.0,23.0
defensive rebound,,Centre,,
three pointer,missed,Centre,509.0,10.0
offensive rebound,,Centre,,
jumper,good,Centre,500.0,21.0
jumper,missed,salem,477.0,7.0
defensive rebound,,Centre,,
jumper,good,Centre,459.0,12.0
assist,,Centre,,
subbing in,,Centre,459.0,30.0
subbing in,,Centre,459.0,30.0
subbing out,,Centre,459.0,30.0
subbing out,,Centre,459.0,30.0
jumper,missed,salem,443.0,14.0
offensive rebound,,salem,,
layup,missed,salem,438.0,25.0
offensive rebound,,salem,,
turnover,,salem,434.0,26.0
steal,,Centre,433.0,29.0
jumper,missed,Centre,430.0,27.0
defensive rebound,,salem,,
jumper,good,salem,424.0,24.0
assist,,salem,,
three pointer,good,Centre,400.0,6.0
assist,,Centre,,
jumper,missed,salem,376.0,6.0
offensive rebound,,salem,,
jumper,missed,salem,373.0,27.0
defensive rebound,,Centre,,
three pointer,good,Centre,356.0,13.0
assist,,Centre,,
jumper,missed,salem,333.0,7.0
defensive rebound,,Centre,,
three pointer,missed,Centre,325.0,22.0
offensive rebound,,Centre,,
layup,good,Centre,321.0,26.0
timeout,,Centre,320.0,29.0
subbing in,,Centre,320.0,29.0
subbing in,,Centre,320.0,29.0
subbing out,,Centre,320.0,29.0
subbing out,,Centre,320.0,29.0
subbing in,,salem,298.0,7.0
subbing out,,salem,298.0,7.0
layup,good,salem,293.0,2.0
assist,,salem,,
layup,good,Centre,272.0,9.0
assist,,Centre,,
layup,good,salem,249.0,7.0
foul,,salem,249.0,30.0
free throw,good,salem,249.0,30.0
subbing in,,Centre,249.0,30.0
subbing out,,Centre,249.0,30.0
layup,missed,Centre,226.0,7.0
defensive rebound,,salem,,
turnover,,salem,219.0,23.0
turnover,,Centre,204.0,15.0
three pointer,missed,salem,201.0,27.0
defensive rebound,,Centre,,
foul,,Centre,195.0,24.0
subbing in,,Centre,195.0,30.0
subbing in,,Centre,195.0,30.0
subbing in,,Centre,195.0,30.0
subbing in,,Centre,195.0,30.0
subbing in,,Centre,195.0,30.0
subbing out,,Centre,195.0,30.0
subbing out,,Centre,195.0,30.0
subbing out,,Centre,195.0,30.0
subbing out,,Centre,195.0,30.0
subbing out,,Centre,195.0,30.0
jumper,good,Centre,164.0,29.0
layup,good,salem,157.0,23.0
three pointer,missed,Centre,133.0,6.0
defensive rebound,,salem,,
jumper,missed,salem,119.0,16.0
defensive rebound,,Centre,,
layup,good,Centre,98.0,9.0
assist,,Centre,,
layup,good,salem,80.0,12.0
three pointer,missed,Centre,64.0,14.0
defensive rebound,,salem,,
jumper,missed,salem,50.0,16.0
defensive rebound,,Centre,,
subbing in,,Centre,49.0,29.0
