Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
layup,missed,college of wooster,588.0,18.0
defensive rebound,,Centre,,
foul,,college of wooster,579.0,21.0
jumper,good,Centre,571.0,22.0
jumper,missed,college of wooster,541.0,0.0
offensive rebound,,college of wooster,,
jumper,missed,college of wooster,538.0,27.0
block,,Centre,538.0,30.0
defensive rebound,,Centre,,
turnover,,Centre,531.0,23.0
jumper,missed,college of wooster,519.0,18.0
defensive rebound,,Centre,,
three pointer,missed,Centre,498.0,9.0
offensive rebound,,Centre,,
foul,,Centre,493.0,25.0
turnover,,Centre,493.0,30.0
subbing in,,Centre,493.0,30.0
subbing out,,Centre,493.0,30.0
turnover,,college of wooster,481.0,18.0
layup,good,Centre,457.0,6.0
turnover,,college of wooster,448.0,21.0
steal,,Centre,446.0,28.0
jumper,missed,Centre,441.0,25.0
offensive rebound,,Centre,,
jumper,missed,Centre,438.0,27.0
defensive rebound,,college of wooster,,
foul,,Centre,430.0,22.0
free throw,good,college of wooster,430.0,30.0
free throw,good,college of wooster,430.0,30.0
subbing in,,Centre,430.0,30.0
subbing in,,Centre,430.0,30.0
subbing in,,Centre,430.0,30.0
subbing out,,Centre,430.0,30.0
subbing out,,Centre,430.0,30.0
subbing out,,Centre,430.0,30.0
turnover,,Centre,409.0,9.0
steal,,college of wooster,407.0,28.0
jumper,missed,college of wooster,391.0,14.0
defensive rebound,,Centre,,
foul,,college of wooster,389.0,28.0
turnover,,Centre,374.0,15.0
steal,,college of wooster,372.0,28.0
layup,missed,college of wooster,366.0,24.0
block,,Centre,366.0,30.0
defensive rebound,,Centre,,
jumper,missed,Centre,359.0,23.0
defensive rebound,,college of wooster,,
timeout,,Centre,355.0,26.0
timeout,,Centre,355.0,26.0
subbing in,,Centre,355.0,26.0
subbing out,,Centre,355.0,26.0
foul,,Centre,345.0,16.0
free throw,good,college of wooster,345.0,30.0
free throw,good,college of wooster,345.0,30.0
subbing in,,college of wooster,345.0,30.0
subbing in,,college of wooster,345.0,30.0
subbing out,,college of wooster,345.0,30.0
subbing out,,college of wooster,345.0,30.0
subbing in,,Centre,345.0,30.0
subbing out,,Centre,345.0,30.0
jumper,missed,Centre,329.0,14.0
defensive rebound,,college of wooster,,
foul,,Centre,314.0,15.0
turnover,,college of wooster,314.0,30.0
steal,,Centre,314.0,30.0
layup,good,Centre,314.0,30.0
subbing in,,college of wooster,314.0,30.0
subbing out,,college of wooster,314.0,30.0
jumper,missed,college of wooster,296.0,12.0
offensive rebound,,Centre,,
subbing in,,college of wooster,287.0,21.0
subbing out,,college of wooster,287.0,21.0
subbing in,,Centre,287.0,21.0
subbing out,,Centre,287.0,21.0
turnover,,college of wooster,274.0,8.0
steal,,Centre,272.0,28.0
foul,,Centre,256.0,14.0
turnover,,Centre,256.0,30.0
subbing in,,Centre,256.0,30.0
subbing in,,Centre,256.0,30.0
subbing in,,Centre,256.0,30.0
subbing out,,Centre,256.0,30.0
subbing out,,Centre,256.0,30.0
subbing out,,Centre,256.0,30.0
jumper,missed,college of wooster,241.0,15.0
defensive rebound,,Centre,,
foul,,college of wooster,239.0,28.0
subbing in,,Centre,239.0,30.0
subbing out,,Centre,239.0,30.0
jumper,good,Centre,229.0,20.0
assist,,Centre,,
turnover,,college of wooster,211.0,12.0
steal,,Centre,210.0,29.0
jumper,missed,Centre,196.0,16.0
defensive rebound,,college of wooster,,
turnover,,college of wooster,190.0,24.0
steal,,Centre,189.0,29.0
layup,good,Centre,180.0,21.0
turnover,,college of wooster,176.0,26.0
turnover,,Centre,163.0,17.0
layup,missed,college of wooster,141.0,8.0
offensive rebound,,college of wooster,,
foul,,Centre,135.0,24.0
free throw,good,college of wooster,135.0,30.0
free throw,good,college of wooster,135.0,30.0
subbing in,,Centre,135.0,30.0
subbing out,,Centre,135.0,30.0
foul,,college of wooster,118.0,13.0
free throw,good,Centre,118.0,30.0
free throw,good,Centre,118.0,30.0
jumper,good,college of wooster,101.0,13.0
assist,,college of wooster,,
foul,,college of wooster,82.0,11.0
free throw,good,Centre,82.0,30.0
free throw,good,Centre,82.0,30.0
jumper,missed,college of wooster,70.0,18.0
defensive rebound,,Centre,,
layup,missed,Centre,44.0,4.0
offensive rebound,,Centre,,
jumper,good,Centre,36.0,22.0
foul,,college of wooster,36.0,30.0
free throw,good,Centre,36.0,30.0
subbing in,,Centre,36.0,30.0
subbing out,,Centre,36.0,30.0
turnover,,college of wooster,29.0,29.0
turnover,,Centre,19.0,19.0
steal,,college of wooster,18.0,18.0
foul,,Centre,14.0,14.0
free throw,good,college of wooster,14.0,14.0
free throw,good,college of wooster,14.0,14.0
three pointer,good,Centre,1.0,1.0
assist,,Centre,,
,,,,
