Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
layup,good,hope college,589.0,19.0
assist,,hope college,,
jumper,missed,Centre,570.0,11.0
defensive rebound,,hope college,,
three pointer,good,hope college,562.0,22.0
assist,,hope college,,
jumper,missed,Centre,531.0,29.0
block,,hope college,531.0,30.0
defensive rebound,,hope college,,
jumper,good,hope college,516.0,15.0
assist,,hope college,,
timeout,,Centre,515.0,29.0
subbing in,,Centre,502.0,16.0
subbing in,,Centre,502.0,16.0
subbing in,,Centre,502.0,16.0
subbing out,,Centre,502.0,16.0
subbing out,,Centre,502.0,16.0
subbing out,,Centre,502.0,16.0
jumper,missed,Centre,496.0,10.0
offensive rebound,,Centre,,
layup,missed,Centre,490.0,24.0
defensive rebound,,hope college,,
layup,missed,hope college,484.0,24.0
defensive rebound,,Centre,,
jumper,missed,Centre,474.0,20.0
defensive rebound,,hope college,,
layup,good,hope college,467.0,23.0
turnover,,Centre,451.0,14.0
steal,,hope college,449.0,28.0
layup,missed,hope college,446.0,27.0
defensive rebound,,Centre,,
three pointer,good,Centre,438.0,22.0
assist,,Centre,,
layup,missed,hope college,417.0,9.0
offensive rebound,,hope college,,
layup,missed,hope college,414.0,27.0
offensive rebound,,hope college,,
layup,missed,hope college,399.0,15.0
defensive rebound,,Centre,,
layup,missed,Centre,393.0,24.0
defensive rebound,,hope college,,
layup,missed,hope college,385.0,22.0
offensive rebound,,hope college,,
,,,381.0,30.0
timeout,,Centre,381.0,30.0
subbing in,,hope college,381.0,30.0
subbing in,,hope college,381.0,30.0
subbing in,,hope college,381.0,30.0
subbing out,,hope college,381.0,30.0
subbing out,,hope college,381.0,30.0
subbing out,,hope college,381.0,30.0
subbing in,,Centre,381.0,30.0
subbing in,,Centre,381.0,30.0
subbing out,,Centre,381.0,30.0
subbing out,,Centre,381.0,30.0
three pointer,missed,Centre,365.0,10.0
offensive rebound,,Centre,,
subbing in,,hope college,364.0,29.0
subbing out,,hope college,364.0,29.0
jumper,missed,Centre,358.0,23.0
defensive rebound,,hope college,,
three pointer,missed,hope college,347.0,19.0
defensive rebound,,Centre,,
turnover,,Centre,332.0,15.0
steal,,hope college,330.0,28.0
layup,good,hope college,328.0,28.0
foul,,Centre,328.0,30.0
free throw,missed,hope college,328.0,30.0
defensive rebound,,Centre,,
subbing in,,Centre,328.0,30.0
subbing out,,Centre,328.0,30.0
turnover,,Centre,311.0,13.0
steal,,hope college,310.0,29.0
three pointer,missed,hope college,304.0,24.0
offensive rebound,,hope college,,
jumper,good,hope college,296.0,22.0
assist,,hope college,,
turnover,,Centre,273.0,7.0
steal,,hope college,272.0,29.0
three pointer,missed,hope college,262.0,20.0
defensive rebound,,Centre,,
layup,missed,Centre,253.0,21.0
offensive rebound,,Centre,,
subbing in,,Centre,253.0,30.0
subbing in,,Centre,253.0,30.0
subbing in,,Centre,253.0,30.0
subbing out,,Centre,253.0,30.0
subbing out,,Centre,253.0,30.0
