Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
jumper,missed,mt. st. joseph,570.0,0.0
defensive rebound,,Centre,,
jumper,missed,Centre,539.0,29.0
defensive rebound,,Centre,,
jumper,missed,mt. st. joseph,515.0,6.0
defensive rebound,,Centre,,
turnover,,Centre,504.0,19.0
foul,,Centre,476.0,2.0
subbing out,,Centre,476.0,30.0
subbing in,,Centre,476.0,30.0
free throw,missed,mt. st. joseph,476.0,30.0
deadball rebound,,Centre,,
free throw,missed,mt. st. joseph,476.0,30.0
defensive rebound,,Centre,,
three pointer,missed,Centre,468.0,22.0
defensive rebound,,mt. st. joseph,,
layup,good,mt. st. joseph,455.0,17.0
turnover,,Centre,444.0,19.0
steal,,mt. st. joseph,444.0,30.0
layup,missed,mt. st. joseph,438.0,24.0
defensive rebound,,Centre,,
layup,good,Centre,427.0,19.0
turnover,,mt. st. joseph,398.0,1.0
subbing out,,Centre,398.0,30.0
subbing out,,Centre,398.0,30.0
subbing in,,Centre,398.0,30.0
subbing in,,Centre,398.0,30.0
subbing out,,mt. st. joseph,398.0,30.0
subbing out,,mt. st. joseph,398.0,30.0
subbing in,,mt. st. joseph,398.0,30.0
subbing in,,mt. st. joseph,398.0,30.0
three pointer,good,Centre,385.0,17.0
assist,,Centre,,
jumper,good,mt. st. joseph,358.0,3.0
assist,,mt. st. joseph,,
jumper,missed,Centre,344.0,16.0
defensive rebound,,mt. st. joseph,,
jumper,missed,mt. st. joseph,315.0,1.0
defensive rebound,,Centre,,
jumper,good,Centre,287.0,2.0
three pointer,missed,mt. st. joseph,256.0,29.0
defensive rebound,,Centre,,
turnover,,Centre,244.0,18.0
steal,,mt. st. joseph,244.0,30.0
three pointer,good,mt. st. joseph,237.0,23.0
assist,,mt. st. joseph,,
jumper,good,Centre,204.0,27.0
turnover,,mt. st. joseph,189.0,15.0
steal,,Centre,189.0,30.0
timeout,,mt. st. joseph,169.0,10.0
subbing out,,Centre,169.0,10.0
subbing out,,Centre,169.0,10.0
subbing out,,Centre,169.0,10.0
subbing in,,Centre,169.0,10.0
subbing in,,Centre,169.0,10.0
subbing in,,Centre,169.0,10.0
subbing out,,mt. st. joseph,169.0,10.0
subbing out,,mt. st. joseph,169.0,10.0
subbing out,,mt. st. joseph,169.0,10.0
subbing in,,mt. st. joseph,169.0,10.0
subbing in,,mt. st. joseph,169.0,10.0
subbing in,,mt. st. joseph,169.0,10.0
jumper,missed,Centre,152.0,23.0
offensive rebound,,Centre,,
block,,mt. st. joseph,152.0,30.0
turnover,,Centre,150.0,28.0
turnover,,mt. st. joseph,129.0,9.0
steal,,Centre,129.0,30.0
three pointer,missed,Centre,124.0,25.0
defensive rebound,,mt. st. joseph,,
three pointer,good,mt. st. joseph,112.0,18.0
assist,,mt. st. joseph,,
layup,missed,Centre,84.0,2.0
defensive rebound,,mt. st. joseph,,
foul,,Centre,79.0,25.0
subbing out,,Centre,79.0,30.0
