Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
jumper,missed,Centre,1177.0,607.0
defensive rebound,,colorado college,,
turnover,,colorado college,1153.0,6.0
jumper,missed,Centre,1142.0,19.0
defensive rebound,,colorado college,,
layup,missed,colorado college,1134.0,22.0
defensive rebound,,Centre,,
jumper,missed,Centre,1127.0,23.0
defensive rebound,,colorado college,,
layup,good,colorado college,1117.0,20.0
foul,,colorado college,1083.0,26.0
free throw,good,Centre,1083.0,30.0
free throw,good,Centre,1083.0,30.0
subbing in,,Centre,1083.0,30.0
subbing in,,Centre,1083.0,30.0
subbing in,,Centre,1083.0,30.0
subbing out,,Centre,1083.0,30.0
subbing out,,Centre,1083.0,30.0
subbing out,,Centre,1083.0,30.0
foul,,Centre,1066.0,13.0
free throw,good,colorado college,1066.0,30.0
free throw,good,colorado college,1066.0,30.0
subbing in,,Centre,1066.0,30.0
subbing out,,Centre,1066.0,30.0
jumper,good,Centre,1054.0,18.0
three pointer,missed,colorado college,1030.0,6.0
defensive rebound,,Centre,,
jumper,missed,Centre,1010.0,10.0
defensive rebound,,colorado college,,
jumper,good,colorado college,990.0,10.0
assist,,colorado college,,
jumper,missed,Centre,968.0,8.0
block,,colorado college,968.0,30.0
defensive rebound,,colorado college,,
layup,missed,colorado college,939.0,1.0
defensive rebound,,Centre,,
three pointer,missed,Centre,930.0,21.0
defensive rebound,,Centre,,
subbing in,,Centre,926.0,26.0
subbing in,,Centre,926.0,26.0
subbing in,,Centre,926.0,26.0
subbing in,,Centre,926.0,26.0
subbing out,,Centre,926.0,26.0
subbing out,,Centre,926.0,26.0
subbing out,,Centre,926.0,26.0
subbing out,,Centre,926.0,26.0
subbing in,,colorado college,926.0,26.0
subbing out,,colorado college,926.0,26.0
layup,missed,colorado college,904.0,4.0
defensive rebound,,Centre,,
jumper,missed,Centre,885.0,11.0
defensive rebound,,colorado college,,
layup,good,colorado college,872.0,17.0
foul,,colorado college,852.0,10.0
free throw,good,Centre,852.0,30.0
free throw,good,Centre,852.0,30.0
subbing in,,colorado college,852.0,30.0
subbing out,,colorado college,852.0,30.0
layup,good,colorado college,839.0,17.0
turnover,,Centre,821.0,12.0
steal,,colorado college,820.0,29.0
foul,,Centre,811.0,21.0
free throw,good,colorado college,811.0,30.0
free throw,good,colorado college,811.0,30.0
subbing in,,Centre,811.0,30.0
subbing in,,Centre,811.0,30.0
subbing out,,Centre,811.0,30.0
subbing out,,Centre,811.0,30.0
foul,,colorado college,801.0,20.0
free throw,good,Centre,801.0,30.0
free throw,good,Centre,801.0,30.0
layup,good,colorado college,787.0,16.0
assist,,colorado college,,
jumper,missed,Centre,770.0,13.0
defensive rebound,,colorado college,,
jumper,missed,colorado college,747.0,7.0
defensive rebound,,Centre,,
turnover,,Centre,738.0,21.0
steal,,colorado college,737.0,29.0
layup,missed,colorado college,729.0,22.0
defensive rebound,,Centre,,
turnover,,Centre,721.0,22.0
steal,,colorado college,720.0,29.0
layup,good,colorado college,718.0,28.0
assist,,colorado college,,
jumper,good,Centre,693.0,5.0
three pointer,missed,colorado college,671.0,8.0
defensive rebound,,Centre,,
foul,,colorado college,663.0,22.0
free throw,good,Centre,663.0,30.0
free throw,good,Centre,663.0,30.0
subbing in,,Centre,663.0,30.0
