Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
jumper,missed,Centre,579.0,9.0
defensive rebound,,millsaps,,
turnover,,Centre,547.0,28.0
layup,good,Centre,527.0,10.0
assist,,Centre,,
three pointer,missed,millsaps,505.0,8.0
offensive rebound,,millsaps,,
turnover,,millsaps,500.0,25.0
steal,,Centre,500.0,30.0
turnover,,Centre,495.0,25.0
steal,,millsaps,495.0,30.0
three pointer,missed,millsaps,491.0,26.0
defensive rebound,,Centre,,
foul,,millsaps,479.0,18.0
free throw,missed,Centre,479.0,30.0
deadball rebound,,Centre,,
free throw,missed,Centre,479.0,30.0
defensive rebound,,millsaps,,
turnover,,millsaps,469.0,20.0
steal,,Centre,469.0,30.0
jumper,missed,Centre,456.0,17.0
offensive rebound,,Centre,,
subbing out,,Centre,455.0,29.0
subbing in,,Centre,455.0,29.0
three pointer,good,Centre,450.0,24.0
assist,,Centre,,
jumper,missed,millsaps,429.0,9.0
defensive rebound,,Centre,,
three pointer,missed,Centre,416.0,17.0
defensive rebound,,millsaps,,
jumper,good,millsaps,402.0,16.0
subbing out,,millsaps,401.0,29.0
subbing in,,millsaps,401.0,29.0
subbing in,,millsaps,401.0,29.0
subbing out,,Centre,401.0,29.0
subbing out,,Centre,401.0,29.0
subbing out,,Centre,401.0,29.0
subbing in,,Centre,401.0,29.0
subbing in,,Centre,401.0,29.0
subbing in,,Centre,401.0,29.0
subbing out,,millsaps,401.0,29.0
three pointer,missed,Centre,386.0,14.0
defensive rebound,,millsaps,,
foul,,Centre,353.0,27.0
subbing out,,millsaps,353.0,30.0
subbing in,,millsaps,353.0,30.0
free throw,missed,millsaps,353.0,30.0
deadball rebound,,Centre,,
free throw,good,millsaps,353.0,30.0
subbing out,,millsaps,353.0,30.0
subbing in,,millsaps,353.0,30.0
three pointer,missed,Centre,327.0,4.0
offensive rebound,,Centre,,
layup,missed,Centre,326.0,29.0
defensive rebound,,millsaps,,
turnover,,millsaps,318.0,22.0
steal,,Centre,318.0,30.0
jumper,missed,Centre,314.0,26.0
defensive rebound,,millsaps,,
turnover,,millsaps,301.0,17.0
steal,,Centre,301.0,30.0
layup,missed,Centre,298.0,27.0
defensive rebound,,millsaps,,
three pointer,missed,millsaps,282.0,14.0
offensive rebound,,millsaps,,
three pointer,missed,millsaps,267.0,15.0
defensive rebound,,Centre,,
jumper,missed,Centre,253.0,16.0
defensive rebound,,millsaps,,
jumper,missed,millsaps,224.0,1.0
defensive rebound,,Centre,,
three pointer,missed,Centre,204.0,10.0
defensive rebound,,millsaps,,
timeout,,Centre,184.0,10.0
subbing out,,millsaps,184.0,10.0
subbing in,,millsaps,184.0,10.0
subbing out,,Centre,184.0,10.0
subbing out,,Centre,184.0,10.0
subbing out,,Centre,184.0,10.0
subbing out,,Centre,184.0,10.0
subbing out,,Centre,184.0,10.0
subbing in,,Centre,184.0,10.0
subbing in,,Centre,184.0,10.0
subbing in,,Centre,184.0,10.0
subbing in,,Centre,184.0,10.0
subbing in,,Centre,184.0,10.0
jumper,missed,millsaps,172.0,28.0
deadball rebound,,Centre,,
turnover,,Centre,170.0,28.0
three pointer,missed,Centre,144.0,4.0
defensive rebound,,millsaps,,
jumper,good,millsaps,121.0,7.0
assist,,millsaps,,
three pointer,good,Centre,102.0,11.0
assist,,Centre,,
layup,missed,millsaps,86.0,14.0
defensive rebound,,Centre,,
foul,,millsaps,84.0,28.0
subbing out,,millsaps,84.0,30.0
subbing out,,millsaps,84.0,30.0
subbing in,,millsaps,84.0,30.0
subbing in,,millsaps,84.0,30.0
subbing out,,millsaps,84.0,30.0
subbing in,,millsaps,84.0,30.0
three pointer,good,Centre,71.0,17.0
assist,,Centre,,
turnover,,millsaps,51.0,10.0
three pointer,missed,Centre,37.0,16.0
defensive rebound,,millsaps,,
three pointer,missed,millsaps,20.0,20.0
defensive rebound,,Centre,,
foul,,millsaps,19.0,19.0
three pointer,good,Centre,0.0,0.0
,,,,
subbing out,,Centre,600.0,30.0
subbing in,,Centre,600.0,30.0
foul,,millsaps,590.0,20.0
turnover,,millsaps,590.0,30.0
subbing out,,millsaps,590.0,30.0
subbing in,,millsaps,590.0,30.0
three pointer,missed,Centre,575.0,15.0
offensive rebound,,Centre,,
turnover,,Centre,570.0,25.0
steal,,millsaps,570.0,30.0
three pointer,missed,millsaps,540.0,0.0
block,,Centre,540.0,0.0
offensive rebound,,millsaps,,
turnover,,Centre,533.0,23.0
three pointer,missed,Centre,514.0,11.0
offensive rebound,,Centre,,
layup,missed,Centre,509.0,25.0
defensive rebound,,millsaps,,
foul,,Centre,509.0,30.0
subbing out,,millsaps,509.0,30.0
subbing in,,millsaps,509.0,30.0
subbing out,,Centre,509.0,30.0
subbing in,,Centre,509.0,30.0
three pointer,missed,millsaps,493.0,14.0
offensive rebound,,millsaps,,
layup,missed,millsaps,489.0,26.0
block,,Centre,489.0,26.0
offensive rebound,,Centre,,
subbing out,,Centre,488.0,25.0
subbing in,,Centre,488.0,25.0
foul,,Centre,479.0,16.0
foul,,Centre,472.0,23.0
free throw,good,millsaps,472.0,30.0
free throw,good,millsaps,472.0,30.0
turnover,,Centre,465.0,23.0
steal,,millsaps,465.0,30.0
layup,missed,millsaps,451.0,16.0
defensive rebound,,Centre,,
three pointer,good,Centre,420.0,29.0
assist,,Centre,,
layup,missed,millsaps,403.0,13.0
defensive rebound,,Centre,,
turnover,,Centre,393.0,20.0
steal,,millsaps,393.0,30.0
foul,,Centre,388.0,25.0
subbing out,,millsaps,388.0,30.0
subbing in,,millsaps,388.0,30.0
subbing out,,Centre,388.0,30.0
subbing out,,Centre,388.0,30.0
subbing out,,Centre,388.0,30.0
subbing in,,Centre,388.0,30.0
subbing in,,Centre,388.0,30.0
subbing in,,Centre,388.0,30.0
free throw,good,millsaps,388.0,30.0
free throw,good,millsaps,388.0,30.0
foul,,millsaps,374.0,16.0
free throw,good,Centre,374.0,30.0
free throw,good,Centre,374.0,30.0
three pointer,good,millsaps,358.0,14.0
assist,,millsaps,,
three pointer,good,Centre,327.0,29.0
assist,,Centre,,
jumper,missed,millsaps,294.0,27.0
defensive rebound,,Centre,,
turnover,,Centre,287.0,23.0
steal,,millsaps,287.0,30.0
layup,missed,millsaps,283.0,26.0
defensive rebound,,Centre,,
foul,,millsaps,282.0,29.0
timeout,,Centre,282.0,30.0
subbing out,,Centre,282.0,30.0
subbing out,,Centre,282.0,30.0
subbing in,,Centre,282.0,30.0
subbing in,,Centre,282.0,30.0
turnover,,Centre,274.0,22.0
steal,,millsaps,274.0,30.0
layup,missed,millsaps,266.0,22.0
defensive rebound,,Centre,,
three pointer,missed,Centre,239.0,3.0
defensive rebound,,millsaps,,
jumper,missed,millsaps,217.0,8.0
defensive rebound,,Centre,,
jumper,missed,Centre,184.0,27.0
deadball rebound,,Centre,,
turnover,,Centre,183.0,29.0
subbing out,,Centre,183.0,30.0
subbing out,,Centre,183.0,30.0
subbing in,,Centre,183.0,30.0
subbing in,,Centre,183.0,30.0
subbing out,,millsaps,183.0,30.0
subbing in,,millsaps,183.0,30.0
layup,missed,millsaps,157.0,4.0
defensive rebound,,Centre,,
foul,,millsaps,155.0,28.0
free throw,good,Centre,155.0,30.0
free throw,good,Centre,155.0,30.0
jumper,good,Centre,135.0,10.0
assist,,Centre,,
layup,missed,millsaps,124.0,19.0
block,,Centre,124.0,30.0
defensive rebound,,Centre,,
layup,missed,Centre,115.0,21.0
block,,millsaps,115.0,21.0
offensive rebound,,Centre,,
three pointer,missed,Centre,113.0,19.0
defensive rebound,,millsaps,,
turnover,,millsaps,87.0,4.0
steal,,Centre,87.0,30.0
jumper,good,Centre,59.0,2.0
turnover,,millsaps,30.0,30.0
steal,,Centre,30.0,30.0
layup,missed,Centre,26.0,26.0
defensive rebound,,millsaps,,
three pointer,missed,millsaps,15.0,15.0
defensive rebound,,Centre,,
jumper,good,Centre,3.0,3.0
assist,,Centre,,
,,,,
subbing in,,millsaps,600.0,571.0
subbing out,,millsaps,600.0,571.0
foul,,millsaps,582.0,553.0
free throw,missed,Centre,582.0,30.0
deadball rebound,,Centre,,
free throw,missed,Centre,582.0,30.0
defensive rebound,,millsaps,,
turnover,,millsaps,574.0,22.0
jumper,missed,Centre,549.0,5.0
offensive rebound,,Centre,,
jumper,missed,Centre,547.0,28.0
defensive rebound,,millsaps,,
three pointer,missed,millsaps,528.0,11.0
defensive rebound,,Centre,,
turnover,,Centre,495.0,27.0
three pointer,missed,millsaps,480.0,15.0
offensive rebound,,millsaps,,
turnover,,millsaps,476.0,26.0
steal,,Centre,476.0,30.0
subbing out,,Centre,470.0,24.0
subbing in,,Centre,470.0,24.0
jumper,missed,Centre,455.0,9.0
offensive rebound,,Centre,,
foul,,millsaps,454.0,29.0
subbing out,,millsaps,454.0,30.0
subbing in,,millsaps,454.0,30.0
three pointer,missed,Centre,451.0,27.0
defensive rebound,,millsaps,,
layup,good,millsaps,434.0,13.0
assist,,millsaps,,
three pointer,missed,Centre,407.0,3.0
defensive rebound,,millsaps,,
foul,,Centre,391.0,14.0
subbing out,,Centre,391.0,30.0
subbing in,,Centre,391.0,30.0
free throw,good,millsaps,391.0,30.0
free throw,missed,millsaps,391.0,30.0
defensive rebound,,Centre,,
three pointer,missed,Centre,372.0,11.0
offensive rebound,,Centre,,
subbing out,,millsaps,360.0,18.0
subbing in,,millsaps,360.0,18.0
subbing out,,Centre,360.0,18.0
subbing out,,Centre,360.0,18.0
subbing in,,Centre,360.0,18.0
subbing in,,Centre,360.0,18.0
jumper,good,Centre,351.0,9.0
jumper,missed,millsaps,329.0,8.0
offensive rebound,,millsaps,,
three pointer,good,millsaps,323.0,24.0
assist,,millsaps,,
three pointer,good,Centre,290.0,27.0
three pointer,missed,millsaps,274.0,14.0
defensive rebound,,Centre,,
three pointer,missed,Centre,255.0,11.0
defensive rebound,,millsaps,,
jumper,good,millsaps,236.0,11.0
assist,,millsaps,,
turnover,,Centre,227.0,21.0
steal,,millsaps,227.0,30.0
layup,missed,millsaps,218.0,21.0
defensive rebound,,Centre,,
three pointer,missed,Centre,196.0,8.0
defensive rebound,,millsaps,,
three pointer,good,millsaps,184.0,18.0
assist,,millsaps,,
timeout,,Centre,181.0,27.0
timeout,,Centre,181.0,27.0
subbing out,,millsaps,181.0,27.0
subbing in,,millsaps,181.0,27.0
subbing out,,Centre,181.0,27.0
subbing out,,Centre,181.0,27.0
subbing out,,Centre,181.0,27.0
subbing out,,Centre,181.0,27.0
subbing in,,Centre,181.0,27.0
subbing in,,Centre,181.0,27.0
subbing in,,Centre,181.0,27.0
subbing in,,Centre,181.0,27.0
three pointer,missed,Centre,161.0,7.0
defensive rebound,,millsaps,,
three pointer,missed,millsaps,147.0,16.0
offensive rebound,,millsaps,,
foul,,Centre,139.0,22.0
timeout,,Centre,139.0,30.0
subbing out,,Centre,139.0,30.0
subbing in,,Centre,139.0,30.0
jumper,good,millsaps,129.0,20.0
jumper,missed,Centre,95.0,26.0
defensive rebound,,millsaps,,
foul,,Centre,83.0,18.0
subbing out,,Centre,83.0,30.0
subbing in,,Centre,83.0,30.0
free throw,missed,millsaps,83.0,30.0
deadball rebound,,Centre,,
free throw,good,millsaps,83.0,30.0
subbing out,,millsaps,83.0,30.0
subbing in,,millsaps,83.0,30.0
turnover,,Centre,72.0,19.0
foul,,Centre,60.0,18.0
subbing out,,Centre,60.0,30.0
subbing in,,Centre,60.0,30.0
foul,,Centre,54.0,24.0
free throw,good,millsaps,54.0,30.0
free throw,missed,millsaps,54.0,30.0
offensive rebound,,millsaps,,
foul,,Centre,52.0,28.0
free throw,good,millsaps,52.0,30.0
free throw,missed,millsaps,52.0,30.0
defensive rebound,,Centre,,
foul,,millsaps,38.0,16.0
subbing out,,Centre,38.0,30.0
subbing in,,Centre,38.0,30.0
turnover,,Centre,27.0,27.0
steal,,millsaps,27.0,27.0
jumper,good,millsaps,22.0,22.0
turnover,,Centre,0.0,0.0
steal,,millsaps,0.0,0.0
,,,,
subbing out,,millsaps,600.0,30.0
subbing out,,millsaps,600.0,30.0
subbing in,,millsaps,600.0,30.0
subbing in,,millsaps,600.0,30.0
foul,,Centre,588.0,18.0
turnover,,Centre,588.0,30.0
three pointer,good,millsaps,560.0,2.0
assist,,millsaps,,
subbing out,,millsaps,552.0,22.0
subbing in,,millsaps,552.0,22.0
subbing out,,Centre,552.0,22.0
subbing in,,Centre,552.0,22.0
jumper,good,Centre,523.0,23.0
foul,,Centre,510.0,17.0
subbing out,,millsaps,510.0,30.0
subbing in,,millsaps,510.0,30.0
foul,,Centre,500.0,20.0
subbing out,,Centre,499.0,29.0
subbing in,,Centre,499.0,29.0
free throw,good,millsaps,499.0,29.0
free throw,good,millsaps,499.0,29.0
three pointer,good,Centre,471.0,1.0
assist,,Centre,,
turnover,,millsaps,462.0,21.0
steal,,Centre,462.0,30.0
three pointer,missed,Centre,447.0,15.0
defensive rebound,,millsaps,,
foul,,Centre,443.0,26.0
subbing out,,millsaps,443.0,30.0
subbing in,,millsaps,443.0,30.0
layup,missed,millsaps,432.0,19.0
offensive rebound,,Centre,,
three pointer,missed,millsaps,423.0,21.0
defensive rebound,,Centre,,
three pointer,good,Centre,392.0,29.0
assist,,Centre,,
timeout,,Centre,389.0,27.0
timeout,,Centre,389.0,27.0
subbing out,,millsaps,389.0,27.0
subbing in,,millsaps,389.0,27.0
subbing out,,Centre,389.0,27.0
subbing in,,Centre,389.0,27.0
subbing out,,millsaps,367.0,5.0
subbing in,,millsaps,367.0,5.0
jumper,missed,millsaps,357.0,25.0
defensive rebound,,Centre,,
turnover,,Centre,330.0,3.0
subbing out,,millsaps,330.0,30.0
subbing in,,millsaps,330.0,30.0
jumper,good,millsaps,317.0,17.0
assist,,millsaps,,
turnover,,Centre,292.0,5.0
steal,,millsaps,292.0,30.0
three pointer,missed,millsaps,281.0,19.0
defensive rebound,,Centre,,
three pointer,missed,Centre,273.0,22.0
defensive rebound,,millsaps,,
foul,,Centre,270.0,27.0
subbing out,,Centre,270.0,30.0
subbing in,,Centre,270.0,30.0
free throw,good,millsaps,270.0,30.0
free throw,good,millsaps,270.0,30.0
jumper,missed,Centre,257.0,17.0
offensive rebound,,Centre,,
turnover,,Centre,253.0,26.0
steal,,millsaps,253.0,30.0
foul,,Centre,249.0,26.0
subbing out,,Centre,249.0,30.0
subbing in,,Centre,249.0,30.0
free throw,good,millsaps,249.0,30.0
free throw,missed,millsaps,249.0,30.0
offensive rebound,,millsaps,,
foul,,Centre,230.0,11.0
free throw,missed,millsaps,230.0,30.0
deadball rebound,,Centre,,
free throw,good,millsaps,230.0,30.0
timeout,,Centre,218.0,18.0
three pointer,good,Centre,203.0,3.0
assist,,Centre,,
foul,,millsaps,178.0,5.0
turnover,,millsaps,178.0,30.0
foul,,millsaps,165.0,17.0
three pointer,missed,Centre,162.0,27.0
offensive rebound,,Centre,,
layup,missed,Centre,159.0,27.0
defensive rebound,,millsaps,,
jumper,good,millsaps,141.0,12.0
three pointer,missed,Centre,109.0,28.0
defensive rebound,,millsaps,,
foul,,Centre,108.0,29.0
free throw,good,millsaps,108.0,30.0
free throw,missed,millsaps,108.0,30.0
deadball rebound,,Centre,,
foul,,millsaps,96.0,18.0
jumper,missed,Centre,78.0,12.0
defensive rebound,,millsaps,,
timeout,,Centre,64.0,16.0
three pointer,missed,millsaps,50.0,2.0
defensive rebound,,Centre,,
timeout,,Centre,47.0,27.0
subbing in,,millsaps,47.0,27.0
subbing out,,millsaps,47.0,27.0
three pointer,good,Centre,26.0,26.0
assist,,Centre,,
timeout,,Centre,25.0,25.0
foul,,Centre,16.0,16.0
free throw,good,millsaps,16.0,16.0
free throw,good,millsaps,16.0,16.0
timeout,,Centre,16.0,16.0
subbing out,,millsaps,16.0,16.0
subbing in,,millsaps,16.0,16.0
foul,,millsaps,14.0,14.0
