Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
layup,missed,Centre,1176.0,606.0
defensive rebound,,southwestern univ.,,
layup,missed,southwestern univ.,1164.0,18.0
block,,Centre,1164.0,18.0
offensive rebound,,Centre,,
jumper,missed,southwestern univ.,1156.0,10.0
defensive rebound,,Centre,,
jumper,missed,Centre,1138.0,12.0
defensive rebound,,southwestern univ.,,
three pointer,missed,southwestern univ.,1125.0,17.0
defensive rebound,,Centre,,
turnover,,Centre,1110.0,15.0
steal,,southwestern univ.,1107.0,27.0
jumper,good,southwestern univ.,1099.0,22.0
turnover,,Centre,1068.0,29.0
steal,,southwestern univ.,1064.0,26.0
layup,missed,southwestern univ.,1054.0,20.0
offensive rebound,,southwestern univ.,,
layup,good,southwestern univ.,1045.0,21.0
turnover,,Centre,1025.0,10.0
steal,,southwestern univ.,1023.0,28.0
three pointer,missed,southwestern univ.,1018.0,25.0
defensive rebound,,Centre,,
subbing in,,Centre,1016.0,28.0
subbing out,,Centre,1016.0,28.0
foul,,southwestern univ.,996.0,8.0
free throw,good,Centre,996.0,30.0
free throw,good,Centre,996.0,30.0
layup,good,southwestern univ.,981.0,15.0
layup,good,Centre,963.0,12.0
layup,missed,southwestern univ.,945.0,12.0
defensive rebound,,Centre,,
layup,good,Centre,934.0,19.0
assist,,Centre,,
layup,good,southwestern univ.,916.0,12.0
assist,,southwestern univ.,,
jumper,missed,Centre,890.0,4.0
defensive rebound,,southwestern univ.,,
three pointer,missed,southwestern univ.,880.0,20.0
defensive rebound,,Centre,,
subbing in,,southwestern univ.,876.0,26.0
subbing out,,southwestern univ.,876.0,26.0
subbing in,,Centre,876.0,26.0
subbing in,,Centre,876.0,26.0
subbing in,,Centre,876.0,26.0
subbing out,,Centre,876.0,26.0
subbing out,,Centre,876.0,26.0
subbing out,,Centre,876.0,26.0
layup,missed,Centre,871.0,21.0
defensive rebound,,southwestern univ.,,
jumper,missed,southwestern univ.,861.0,20.0
defensive rebound,,Centre,,
three pointer,missed,Centre,854.0,23.0
offensive rebound,,Centre,,
jumper,good,Centre,849.0,25.0
assist,,Centre,,
three pointer,missed,southwestern univ.,836.0,17.0
defensive rebound,,Centre,,
three pointer,good,Centre,827.0,21.0
assist,,Centre,,
three pointer,missed,southwestern univ.,815.0,18.0
defensive rebound,,Centre,,
subbing in,,southwestern univ.,811.0,26.0
subbing in,,southwestern univ.,811.0,26.0
subbing out,,southwestern univ.,811.0,26.0
subbing out,,southwestern univ.,811.0,26.0
jumper,missed,Centre,792.0,7.0
defensive rebound,,southwestern univ.,,
layup,missed,southwestern univ.,785.0,23.0
defensive rebound,,Centre,,
foul,,southwestern univ.,778.0,23.0
three pointer,good,Centre,768.0,20.0
assist,,Centre,,
timeout,,Centre,765.0,27.0
three pointer,missed,southwestern univ.,754.0,16.0
defensive rebound,,Centre,,
layup,good,Centre,739.0,15.0
three pointer,good,southwestern univ.,719.0,10.0
three pointer,missed,Centre,700.0,11.0
defensive rebound,,southwestern univ.,,
foul,,Centre,696.0,26.0
subbing in,,southwestern univ.,696.0,30.0
subbing out,,southwestern univ.,696.0,30.0
subbing in,,Centre,696.0,30.0
subbing in,,Centre,696.0,30.0
subbing in,,Centre,696.0,30.0
subbing out,,Centre,696.0,30.0
subbing out,,Centre,696.0,30.0
subbing out,,Centre,696.0,30.0
turnover,,southwestern univ.,676.0,10.0
steal,,Centre,674.0,28.0
foul,,southwestern univ.,668.0,24.0
free throw,good,Centre,668.0,30.0
free throw,good,Centre,668.0,30.0
subbing in,,southwestern univ.,668.0,30.0
subbing in,,southwestern univ.,668.0,30.0
subbing out,,southwestern univ.,668.0,30.0
subbing out,,southwestern univ.,668.0,30.0
jumper,missed,southwestern univ.,640.0,2.0
defensive rebound,,Centre,,
three pointer,good,Centre,631.0,21.0
assist,,Centre,,
layup,missed,southwestern univ.,609.0,8.0
defensive rebound,,Centre,,
jumper,missed,Centre,596.0,17.0
defensive rebound,,southwestern univ.,,
three pointer,good,southwestern univ.,589.0,23.0
assist,,southwestern univ.,,
subbing in,,southwestern univ.,585.0,26.0
subbing out,,southwestern univ.,585.0,26.0
subbing in,,Centre,585.0,26.0
subbing out,,Centre,585.0,26.0
three pointer,good,Centre,581.0,22.0
assist,,Centre,,
jumper,missed,southwestern univ.,562.0,11.0
offensive rebound,,southwestern univ.,,
layup,good,southwestern univ.,556.0,24.0
foul,,southwestern univ.,537.0,11.0
turnover,,Centre,527.0,20.0
layup,good,southwestern univ.,514.0,17.0
foul,,Centre,514.0,30.0
free throw,good,southwestern univ.,514.0,30.0
