Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
foul,,Centre,1190.0,20.0
free throw,good,trinity university,1190.0,30.0
free throw,good,trinity university,1190.0,30.0
three pointer,good,Centre,1183.0,23.0
assist,,Centre,,
three pointer,missed,trinity university,1175.0,22.0
offensive rebound,,trinity university,,
layup,good,trinity university,1170.0,25.0
assist,,trinity university,,
three pointer,missed,Centre,1159.0,19.0
defensive rebound,,trinity university,,
three pointer,missed,trinity university,1142.0,13.0
defensive rebound,,Centre,,
jumper,missed,Centre,1133.0,21.0
defensive rebound,,trinity university,,
subbing in,,Centre,1131.0,28.0
subbing out,,Centre,1131.0,28.0
jumper,missed,trinity university,1122.0,19.0
defensive rebound,,Centre,,
jumper,missed,Centre,1106.0,14.0
defensive rebound,,trinity university,,
foul,,Centre,1087.0,11.0
free throw,good,trinity university,1087.0,30.0
free throw,good,trinity university,1087.0,30.0
subbing in,,trinity university,1087.0,30.0
subbing out,,trinity university,1087.0,30.0
subbing in,,Centre,1087.0,30.0
subbing out,,Centre,1087.0,30.0
three pointer,good,Centre,1068.0,11.0
assist,,Centre,,
jumper,missed,trinity university,1053.0,15.0
defensive rebound,,Centre,,
layup,good,Centre,1030.0,7.0
layup,missed,trinity university,1016.0,16.0
block,,Centre,1016.0,16.0
offensive rebound,,Centre,,
foul,,trinity university,1006.0,6.0
turnover,,trinity university,1006.0,30.0
jumper,missed,Centre,1002.0,26.0
defensive rebound,,trinity university,,
turnover,,trinity university,990.0,18.0
steal,,Centre,988.0,28.0
three pointer,good,Centre,985.0,27.0
assist,,Centre,,
jumper,missed,trinity university,962.0,7.0
offensive rebound,,trinity university,,
layup,good,trinity university,958.0,26.0
three pointer,good,Centre,941.0,13.0
assist,,Centre,,
jumper,missed,trinity university,923.0,12.0
defensive rebound,,Centre,,
layup,good,Centre,914.0,21.0
assist,,Centre,,
timeout,,Centre,912.0,28.0
subbing in,,trinity university,912.0,28.0
subbing in,,trinity university,912.0,28.0
subbing out,,trinity university,912.0,28.0
subbing out,,trinity university,912.0,28.0
subbing in,,Centre,912.0,28.0
subbing in,,Centre,912.0,28.0
subbing out,,Centre,912.0,28.0
subbing out,,Centre,912.0,28.0
subbing in,,trinity university,888.0,4.0
subbing out,,trinity university,888.0,4.0
jumper,missed,trinity university,885.0,1.0
defensive rebound,,Centre,,
turnover,,Centre,880.0,25.0
turnover,,trinity university,866.0,16.0
steal,,Centre,866.0,30.0
turnover,,Centre,855.0,19.0
steal,,trinity university,853.0,28.0
three pointer,missed,trinity university,849.0,26.0
defensive rebound,,Centre,,
timeout,,Centre,844.0,25.0
subbing in,,Centre,844.0,25.0
subbing out,,Centre,844.0,25.0
jumper,good,Centre,831.0,12.0
assist,,Centre,,
layup,missed,trinity university,815.0,14.0
defensive rebound,,Centre,,
layup,missed,Centre,809.0,24.0
defensive rebound,,trinity university,,
turnover,,trinity university,803.0,24.0
steal,,Centre,801.0,28.0
foul,,trinity university,791.0,20.0
free throw,good,Centre,791.0,30.0
free throw,good,Centre,791.0,30.0
subbing in,,trinity university,791.0,30.0
subbing in,,trinity university,791.0,30.0
subbing out,,trinity university,791.0,30.0
subbing out,,trinity university,791.0,30.0
layup,good,trinity university,784.0,23.0
layup,missed,Centre,776.0,22.0
defensive rebound,,trinity university,,
foul,,trinity university,768.0,22.0
turnover,,trinity university,768.0,30.0
subbing in,,trinity university,768.0,30.0
subbing out,,trinity university,768.0,30.0
subbing in,,Centre,768.0,30.0
subbing in,,Centre,768.0,30.0
subbing out,,Centre,768.0,30.0
subbing out,,Centre,768.0,30.0
layup,good,Centre,750.0,12.0
assist,,Centre,,
three pointer,good,trinity university,720.0,0.0
assist,,trinity university,,
three pointer,missed,Centre,702.0,12.0
offensive rebound,,Centre,,
turnover,,Centre,697.0,25.0
steal,,trinity university,697.0,30.0
foul,,Centre,697.0,30.0
subbing in,,Centre,697.0,30.0
subbing in,,Centre,697.0,30.0
subbing out,,Centre,697.0,30.0
subbing out,,Centre,697.0,30.0
jumper,missed,trinity university,675.0,8.0
offensive rebound,,trinity university,,
turnover,,trinity university,663.0,18.0
three pointer,missed,Centre,648.0,15.0
offensive rebound,,Centre,,
foul,,Centre,641.0,23.0
turnover,,Centre,641.0,30.0
subbing in,,trinity university,641.0,30.0
subbing out,,trinity university,641.0,30.0
jumper,missed,trinity university,629.0,18.0
defensive rebound,,Centre,,
foul,,trinity university,627.0,28.0
subbing in,,trinity university,627.0,30.0
subbing out,,trinity university,627.0,30.0
turnover,,Centre,612.0,15.0
steal,,trinity university,610.0,28.0
foul,,Centre,610.0,30.0
