Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
layup,missed,Centre,1178.0,608.0
defensive rebound,,austin college,,
three pointer,missed,austin college,1159.0,11.0
defensive rebound,,Centre,,
three pointer,good,Centre,1143.0,14.0
three pointer,missed,austin college,1112.0,29.0
defensive rebound,,Centre,,
turnover,,Centre,1106.0,24.0
steal,,austin college,1106.0,30.0
three pointer,missed,austin college,1094.0,18.0
defensive rebound,,Centre,,
foul,,austin college,1085.0,21.0
layup,good,Centre,1082.0,27.0
assist,,Centre,,
jumper,missed,austin college,1056.0,4.0
defensive rebound,,Centre,,
jumper,good,Centre,1045.0,19.0
assist,,Centre,,
three pointer,missed,austin college,1037.0,22.0
offensive rebound,,austin college,,
jumper,good,austin college,1031.0,24.0
assist,,austin college,,
layup,good,Centre,1012.0,11.0
assist,,Centre,,
three pointer,good,austin college,997.0,15.0
assist,,austin college,,
three pointer,missed,Centre,979.0,12.0
defensive rebound,,Centre,,
three pointer,missed,austin college,962.0,13.0
defensive rebound,,Centre,,
three pointer,good,Centre,941.0,9.0
assist,,Centre,,
jumper,missed,austin college,922.0,11.0
defensive rebound,,Centre,,
jumper,missed,Centre,909.0,17.0
offensive rebound,,Centre,,
layup,good,Centre,906.0,27.0
timeout,,Centre,901.0,25.0
three pointer,good,austin college,881.0,5.0
assist,,austin college,,
turnover,,Centre,854.0,3.0
turnover,,austin college,835.0,11.0
steal,,Centre,834.0,29.0
three pointer,missed,Centre,830.0,26.0
defensive rebound,,austin college,,
foul,,Centre,826.0,26.0
jumper,missed,austin college,808.0,12.0
defensive rebound,,Centre,,
jumper,good,Centre,793.0,15.0
three pointer,missed,austin college,757.0,24.0
offensive rebound,,austin college,,
three pointer,missed,austin college,749.0,22.0
defensive rebound,,Centre,,
layup,missed,Centre,729.0,10.0
defensive rebound,,austin college,,
three pointer,good,austin college,718.0,19.0
assist,,austin college,,
foul,,austin college,697.0,9.0
free throw,good,Centre,697.0,30.0
free throw,good,Centre,697.0,30.0
three pointer,missed,austin college,685.0,18.0
defensive rebound,,Centre,,
turnover,,Centre,671.0,16.0
foul,,austin college,668.0,27.0
turnover,,austin college,666.0,28.0
jumper,missed,Centre,639.0,3.0
defensive rebound,,austin college,,
foul,,Centre,619.0,10.0
free throw,good,austin college,619.0,30.0
free throw,missed,austin college,619.0,30.0
defensive rebound,,Centre,,
turnover,,Centre,614.0,25.0
layup,missed,austin college,614.0,30.0
block,,Centre,614.0,30.0
defensive rebound,,Centre,,
turnover,,Centre,614.0,30.0
steal,,austin college,614.0,30.0
three pointer,good,austin college,614.0,30.0
assist,,austin college,,
three pointer,missed,Centre,603.0,19.0
offensive rebound,,Centre,,
jumper,missed,Centre,560.0,17.0
defensive rebound,,austin college,,
layup,good,austin college,536.0,6.0
foul,,Centre,534.0,28.0
free throw,good,austin college,534.0,30.0
turnover,,Centre,519.0,15.0
steal,,austin college,519.0,30.0
three pointer,good,austin college,499.0,10.0
jumper,good,Centre,478.0,9.0
assist,,Centre,,
three pointer,good,austin college,460.0,12.0
assist,,austin college,,
timeout,,Centre,455.0,25.0
foul,,austin college,444.0,14.0
free throw,good,Centre,444.0,30.0
free throw,good,Centre,444.0,30.0
turnover,,austin college,439.0,25.0
steal,,Centre,438.0,29.0
foul,,austin college,438.0,30.0
jumper,missed,Centre,435.0,27.0
defensive rebound,,austin college,,
three pointer,good,austin college,409.0,4.0
assist,,austin college,,
layup,missed,Centre,389.0,10.0
defensive rebound,,austin college,,
three pointer,missed,austin college,378.0,19.0
defensive rebound,,Centre,,
layup,missed,Centre,367.0,19.0
defensive rebound,,austin college,,
three pointer,missed,austin college,353.0,16.0
defensive rebound,,Centre,,
layup,good,Centre,332.0,9.0
assist,,Centre,,
jumper,missed,austin college,304.0,2.0
block,,Centre,304.0,2.0
offensive rebound,,austin college,,
turnover,,austin college,301.0,29.0
steal,,Centre,300.0,29.0
foul,,austin college,297.0,27.0
free throw,good,Centre,297.0,30.0
free throw,good,Centre,297.0,30.0
turnover,,austin college,293.0,26.0
steal,,Centre,292.0,29.0
foul,,Centre,286.0,24.0
turnover,,Centre,286.0,30.0
layup,good,austin college,276.0,20.0
assist,,austin college,,
turnover,,Centre,261.0,15.0
steal,,austin college,260.0,29.0
three pointer,missed,austin college,236.0,6.0
defensive rebound,,Centre,,
layup,good,Centre,221.0,15.0
jumper,missed,austin college,190.0,29.0
defensive rebound,,Centre,,
jumper,good,Centre,183.0,23.0
assist,,Centre,,
three pointer,missed,austin college,153.0,0.0
offensive rebound,,austin college,,
layup,good,austin college,150.0,27.0
three pointer,missed,Centre,129.0,9.0
defensive rebound,,austin college,,
three pointer,missed,austin college,115.0,16.0
defensive rebound,,Centre,,
foul,,austin college,112.0,27.0
free throw,good,Centre,112.0,30.0
free throw,good,Centre,112.0,30.0
jumper,missed,austin college,87.0,5.0
offensive rebound,,austin college,,
jumper,missed,austin college,82.0,25.0
defensive rebound,,Centre,,
jumper,missed,Centre,54.0,2.0
defensive rebound,,austin college,,
three pointer,good,austin college,23.0,23.0
assist,,austin college,,
jumper,missed,Centre,12.0,12.0
defensive rebound,,austin college,,
turnover,,austin college,1.0,1.0
,,,,
layup,missed,austin college,1189.0,1165.0
defensive rebound,,Centre,,
turnover,,Centre,1172.0,13.0
layup,missed,austin college,1145.0,3.0
offensive rebound,,austin college,,
turnover,,austin college,1141.0,26.0
three pointer,good,Centre,1128.0,17.0
assist,,Centre,,
three pointer,missed,austin college,1111.0,13.0
offensive rebound,,austin college,,
three pointer,missed,austin college,1105.0,24.0
defensive rebound,,Centre,,
three pointer,good,Centre,1093.0,18.0
assist,,Centre,,
three pointer,missed,austin college,1068.0,5.0
defensive rebound,,Centre,,
jumper,good,Centre,1050.0,12.0
jumper,good,austin college,1028.0,8.0
assist,,austin college,,
foul,,austin college,1010.0,12.0
free throw,missed,Centre,1010.0,30.0
deadball rebound,,Centre,,
free throw,good,Centre,1010.0,30.0
turnover,,austin college,1007.0,27.0
steal,,Centre,1006.0,29.0
layup,good,Centre,1005.0,29.0
layup,missed,austin college,996.0,21.0
defensive rebound,,Centre,,
layup,good,Centre,991.0,25.0
assist,,Centre,,
timeout,,Centre,984.0,23.0
foul,,Centre,970.0,9.0
jumper,missed,austin college,953.0,13.0
defensive rebound,,Centre,,
jumper,missed,Centre,945.0,22.0
defensive rebound,,austin college,,
three pointer,good,austin college,923.0,8.0
assist,,austin college,,
turnover,,Centre,914.0,21.0
steal,,austin college,913.0,29.0
foul,,Centre,906.0,23.0
layup,missed,austin college,888.0,12.0
defensive rebound,,Centre,,
jumper,missed,Centre,871.0,13.0
offensive rebound,,Centre,,
layup,good,Centre,864.0,23.0
jumper,good,austin college,849.0,15.0
assist,,austin college,,
foul,,austin college,816.0,27.0
free throw,good,Centre,816.0,30.0
free throw,good,Centre,816.0,30.0
layup,missed,austin college,789.0,3.0
defensive rebound,,Centre,,
three pointer,missed,Centre,768.0,9.0
defensive rebound,,austin college,,
foul,,Centre,763.0,25.0
layup,missed,austin college,747.0,14.0
block,,Centre,747.0,30.0
defensive rebound,,Centre,,
three pointer,good,Centre,739.0,22.0
assist,,Centre,,
foul,,Centre,717.0,8.0
jumper,missed,austin college,715.0,28.0
offensive rebound,,austin college,,
layup,missed,austin college,712.0,27.0
defensive rebound,,Centre,,
jumper,missed,Centre,701.0,19.0
defensive rebound,,austin college,,
jumper,missed,austin college,692.0,21.0
offensive rebound,,austin college,,
timeout,,Centre,688.0,26.0
jumper,missed,austin college,670.0,8.0
defensive rebound,,Centre,,
three pointer,missed,Centre,661.0,21.0
offensive rebound,,Centre,,
layup,good,Centre,657.0,26.0
three pointer,good,austin college,633.0,6.0
three pointer,good,Centre,617.0,14.0
assist,,Centre,,
three pointer,good,austin college,602.0,15.0
assist,,austin college,,
foul,,austin college,582.0,10.0
jumper,good,Centre,579.0,27.0
jumper,missed,austin college,548.0,29.0
defensive rebound,,Centre,,
turnover,,Centre,538.0,20.0
turnover,,austin college,527.0,19.0
layup,missed,Centre,499.0,2.0
defensive rebound,,austin college,,
turnover,,austin college,474.0,5.0
timeout,,Centre,474.0,30.0
layup,good,Centre,456.0,12.0
assist,,Centre,,
foul,,Centre,424.0,28.0
free throw,good,austin college,424.0,30.0
free throw,good,austin college,424.0,30.0
jumper,good,Centre,412.0,18.0
three pointer,good,austin college,402.0,20.0
assist,,austin college,,
jumper,good,Centre,386.0,14.0
foul,,Centre,365.0,9.0
three pointer,missed,austin college,342.0,7.0
defensive rebound,,Centre,,
jumper,good,Centre,334.0,22.0
jumper,missed,austin college,314.0,10.0
defensive rebound,,Centre,,
layup,good,Centre,305.0,21.0
assist,,Centre,,
three pointer,missed,austin college,287.0,12.0
defensive rebound,,Centre,,
jumper,missed,Centre,277.0,20.0
offensive rebound,,Centre,,
turnover,,Centre,273.0,26.0
foul,,Centre,258.0,15.0
free throw,missed,austin college,258.0,30.0
deadball rebound,,Centre,,
free throw,missed,austin college,258.0,30.0
defensive rebound,,Centre,,
turnover,,Centre,255.0,27.0
jumper,missed,austin college,236.0,11.0
defensive rebound,,Centre,,
layup,good,Centre,227.0,21.0
three pointer,missed,austin college,221.0,24.0
offensive rebound,,austin college,,
jumper,missed,austin college,215.0,24.0
defensive rebound,,Centre,,
layup,missed,Centre,198.0,13.0
defensive rebound,,austin college,,
layup,missed,austin college,181.0,13.0
block,,Centre,181.0,13.0
offensive rebound,,Centre,,
jumper,missed,austin college,174.0,6.0
offensive rebound,,austin college,,
foul,,Centre,170.0,26.0
free throw,good,austin college,170.0,30.0
free throw,good,austin college,170.0,30.0
layup,missed,Centre,148.0,8.0
block,,austin college,148.0,30.0
defensive rebound,,austin college,,
jumper,missed,austin college,131.0,13.0
offensive rebound,,austin college,,
jumper,missed,austin college,119.0,18.0
defensive rebound,,Centre,,
jumper,good,Centre,110.0,21.0
assist,,Centre,,
jumper,missed,austin college,88.0,8.0
defensive rebound,,Centre,,
timeout,,Centre,78.0,20.0
jumper,good,Centre,76.0,18.0
layup,missed,austin college,65.0,19.0
defensive rebound,,Centre,,
turnover,,Centre,51.0,16.0
steal,,austin college,50.0,29.0
three pointer,missed,austin college,45.0,25.0
defensive rebound,,Centre,,
three pointer,good,Centre,33.0,18.0
assist,,Centre,,
three pointer,missed,austin college,17.0,17.0
defensive rebound,,Centre,,
