Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
three pointer,good,Centre,1173.0,603.0
assist,,Centre,,
jumper,good,university of dallas,1154.0,11.0
assist,,university of dallas,,
steal,,university of dallas,1135.0,11.0
turnover,,Centre,1133.0,28.0
three pointer,missed,university of dallas,1128.0,25.0
defensive rebound,,Centre,,
three pointer,missed,Centre,1114.0,16.0
defensive rebound,,university of dallas,,
three pointer,missed,university of dallas,1100.0,16.0
defensive rebound,,Centre,,
turnover,,Centre,1093.0,23.0
turnover,,university of dallas,1080.0,17.0
steal,,Centre,1079.0,29.0
jumper,missed,Centre,1072.0,23.0
defensive rebound,,university of dallas,,
three pointer,missed,university of dallas,1065.0,23.0
defensive rebound,,Centre,,
steal,,university of dallas,1059.0,24.0
turnover,,Centre,1057.0,28.0
jumper,missed,university of dallas,1050.0,23.0
defensive rebound,,Centre,,
turnover,,Centre,1032.0,12.0
jumper,missed,university of dallas,1015.0,13.0
defensive rebound,,Centre,,
foul,,university of dallas,1003.0,18.0
layup,good,Centre,979.0,6.0
foul,,university of dallas,979.0,30.0
timeout,,Centre,979.0,30.0
free throw,missed,Centre,979.0,30.0
defensive rebound,,university of dallas,,
three pointer,good,university of dallas,965.0,16.0
layup,missed,Centre,947.0,12.0
defensive rebound,,Centre,,
steal,,Centre,923.0,6.0
turnover,,university of dallas,921.0,28.0
turnover,,Centre,914.0,23.0
three pointer,missed,university of dallas,895.0,11.0
defensive rebound,,Centre,,
jumper,missed,Centre,868.0,3.0
defensive rebound,,university of dallas,,
three pointer,missed,university of dallas,860.0,22.0
defensive rebound,,Centre,,
foul,,university of dallas,853.0,23.0
three pointer,missed,Centre,847.0,24.0
defensive rebound,,Centre,,
turnover,,university of dallas,832.0,15.0
three pointer,missed,Centre,810.0,8.0
offensive rebound,,Centre,,
jumper,missed,Centre,805.0,25.0
offensive rebound,,Centre,,
layup,missed,Centre,800.0,25.0
defensive rebound,,university of dallas,,
three pointer,missed,university of dallas,785.0,15.0
defensive rebound,,Centre,,
jumper,missed,Centre,776.0,21.0
defensive rebound,,university of dallas,,
jumper,missed,university of dallas,752.0,6.0
defensive rebound,,Centre,,
jumper,missed,Centre,739.0,17.0
defensive rebound,,university of dallas,,
jumper,missed,university of dallas,728.0,19.0
defensive rebound,,Centre,,
timeout,,Centre,724.0,26.0
layup,good,Centre,715.0,17.0
layup,missed,university of dallas,687.0,2.0
defensive rebound,,Centre,,
layup,good,Centre,687.0,30.0
assist,,Centre,,
jumper,good,university of dallas,672.0,15.0
assist,,university of dallas,,
foul,,university of dallas,635.0,23.0
free throw,missed,Centre,635.0,30.0
deadball rebound,,Centre,,
free throw,good,Centre,635.0,30.0
layup,missed,university of dallas,607.0,2.0
defensive rebound,,Centre,,
three pointer,missed,Centre,597.0,20.0
offensive rebound,,Centre,,
three pointer,missed,Centre,590.0,23.0
offensive rebound,,Centre,,
foul,,university of dallas,585.0,25.0
free throw,good,Centre,585.0,30.0
free throw,missed,Centre,585.0,30.0
defensive rebound,,university of dallas,,
foul,,Centre,585.0,30.0
turnover,,university of dallas,574.0,19.0
turnover,,Centre,561.0,17.0
turnover,,university of dallas,554.0,23.0
steal,,Centre,551.0,27.0
foul,,university of dallas,548.0,27.0
free throw,good,Centre,548.0,30.0
timeout,,Centre,548.0,30.0
jumper,missed,university of dallas,548.0,30.0
block,,Centre,548.0,30.0
defensive rebound,,Centre,,
free throw,good,Centre,548.0,30.0
jumper,missed,university of dallas,525.0,7.0
defensive rebound,,Centre,,
turnover,,Centre,518.0,23.0
steal,,university of dallas,517.0,29.0
turnover,,university of dallas,515.0,28.0
steal,,Centre,514.0,29.0
three pointer,missed,Centre,512.0,28.0
defensive rebound,,Centre,,
jumper,missed,university of dallas,495.0,13.0
defensive rebound,,Centre,,
jumper,missed,Centre,479.0,14.0
offensive rebound,,Centre,,
layup,missed,Centre,472.0,23.0
defensive rebound,,university of dallas,,
foul,,Centre,469.0,27.0
jumper,missed,university of dallas,455.0,16.0
offensive rebound,,Centre,,
foul,,Centre,453.0,28.0
turnover,,university of dallas,447.0,24.0
steal,,Centre,446.0,29.0
turnover,,Centre,444.0,28.0
layup,good,university of dallas,434.0,20.0
foul,,Centre,434.0,30.0
free throw,missed,university of dallas,434.0,30.0
defensive rebound,,Centre,,
layup,good,Centre,422.0,18.0
turnover,,university of dallas,406.0,14.0
steal,,Centre,405.0,29.0
foul,,university of dallas,396.0,21.0
free throw,good,Centre,396.0,30.0
free throw,good,Centre,396.0,30.0
three pointer,missed,university of dallas,383.0,17.0
offensive rebound,,university of dallas,,
