Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
turnover,,oglethorpe,1174.0,4.0
three pointer,missed,Centre,1144.0,0.0
block,,oglethorpe,1144.0,30.0
defensive rebound,,oglethorpe,,
three pointer,missed,oglethorpe,1120.0,6.0
defensive rebound,,Centre,,
foul,,oglethorpe,1104.0,14.0
free throw,good,Centre,1104.0,30.0
free throw,good,Centre,1104.0,30.0
turnover,,oglethorpe,1102.0,28.0
assist,,Centre,,
jumper,good,Centre,1090.0,18.0
jumper,missed,oglethorpe,1053.0,23.0
block,,Centre,1053.0,30.0
defensive rebound,,Centre,,
turnover,,Centre,1040.0,17.0
steal,,oglethorpe,1040.0,30.0
jumper,missed,oglethorpe,1035.0,25.0
defensive rebound,,Centre,,
three pointer,good,Centre,1021.0,16.0
assist,,Centre,,
timeout,,Centre,1021.0,30.0
three pointer,missed,oglethorpe,1005.0,14.0
defensive rebound,,Centre,,
jumper,missed,Centre,991.0,16.0
offensive rebound,,Centre,,
three pointer,missed,Centre,986.0,25.0
offensive rebound,,Centre,,
subbing in,,oglethorpe,979.0,23.0
subbing out,,oglethorpe,979.0,23.0
layup,good,Centre,976.0,20.0
assist,,Centre,,
timeout,,Centre,975.0,29.0
three pointer,good,oglethorpe,955.0,9.0
assist,,oglethorpe,,
turnover,,Centre,921.0,26.0
steal,,oglethorpe,919.0,28.0
three pointer,missed,oglethorpe,908.0,19.0
defensive rebound,,Centre,,
turnover,,Centre,890.0,12.0
steal,,oglethorpe,889.0,29.0
layup,good,oglethorpe,887.0,28.0
assist,,oglethorpe,,
turnover,,Centre,878.0,21.0
steal,,oglethorpe,876.0,28.0
jumper,missed,oglethorpe,874.0,28.0
defensive rebound,,Centre,,
timeout,,Centre,870.0,26.0
subbing in,,Centre,870.0,26.0
subbing in,,Centre,870.0,26.0
subbing out,,Centre,870.0,26.0
subbing out,,Centre,870.0,26.0
subbing in,,oglethorpe,870.0,26.0
subbing in,,oglethorpe,870.0,26.0
subbing out,,oglethorpe,870.0,26.0
subbing out,,oglethorpe,870.0,26.0
turnover,,Centre,852.0,8.0
steal,,oglethorpe,851.0,29.0
layup,missed,oglethorpe,846.0,25.0
defensive rebound,,Centre,,
foul,,oglethorpe,826.0,10.0
free throw,good,Centre,826.0,30.0
free throw,good,Centre,826.0,30.0
subbing in,,Centre,826.0,30.0
subbing in,,Centre,826.0,30.0
subbing out,,Centre,826.0,30.0
subbing out,,Centre,826.0,30.0
three pointer,good,oglethorpe,812.0,16.0
assist,,oglethorpe,,
jumper,missed,Centre,779.0,27.0
defensive rebound,,oglethorpe,,
