Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
turnover,,anderson,577.0,7.0
steal,,Centre,577.0,30.0
foul,,anderson,577.0,30.0
jumper,missed,Centre,564.0,17.0
offensive rebound,,Centre,,
layup,missed,Centre,559.0,25.0
defensive rebound,,anderson,,
foul,,Centre,530.0,1.0
free throw,good,anderson,530.0,30.0
free throw,good,anderson,530.0,30.0
subbing in,,Centre,530.0,30.0
subbing out,,Centre,530.0,30.0
three pointer,good,Centre,512.0,12.0
assist,,Centre,,
three pointer,missed,anderson,497.0,15.0
defensive rebound,,Centre,,
layup,good,Centre,471.0,4.0
assist,,Centre,,
turnover,,anderson,446.0,5.0
subbing in,,anderson,446.0,30.0
subbing in,,anderson,446.0,30.0
subbing out,,anderson,446.0,30.0
subbing out,,anderson,446.0,30.0
subbing in,,Centre,446.0,30.0
subbing out,,Centre,446.0,30.0
jumper,missed,Centre,442.0,26.0
defensive rebound,,anderson,,
foul,,Centre,432.0,20.0
subbing in,,Centre,432.0,30.0
subbing out,,Centre,432.0,30.0
foul,,Centre,420.0,18.0
subbing in,,Centre,410.0,20.0
subbing out,,Centre,410.0,20.0
layup,missed,anderson,402.0,12.0
offensive rebound,,anderson,,
layup,good,anderson,398.0,26.0
assist,,anderson,,
jumper,missed,Centre,378.0,10.0
defensive rebound,,anderson,,
subbing in,,Centre,364.0,16.0
subbing out,,Centre,364.0,16.0
foul,,Centre,354.0,6.0
subbing in,,anderson,354.0,30.0
subbing out,,anderson,354.0,30.0
subbing in,,anderson,347.0,23.0
subbing in,,anderson,347.0,23.0
subbing out,,anderson,347.0,23.0
subbing out,,anderson,347.0,23.0
foul,,Centre,331.0,7.0
free throw,good,anderson,331.0,30.0
free throw,missed,anderson,331.0,30.0
defensive rebound,,Centre,,
subbing in,,Centre,331.0,30.0
subbing out,,Centre,331.0,30.0
turnover,,Centre,314.0,13.0
steal,,anderson,310.0,26.0
turnover,,anderson,304.0,24.0
steal,,Centre,301.0,27.0
three pointer,missed,Centre,270.0,29.0
defensive rebound,,Centre,,
timeout,,Centre,270.0,30.0
subbing in,,Centre,270.0,30.0
subbing in,,Centre,270.0,30.0
subbing out,,Centre,270.0,30.0
subbing out,,Centre,270.0,30.0
foul,,anderson,269.0,29.0
subbing in,,anderson,262.0,23.0
subbing out,,anderson,262.0,23.0
subbing in,,Centre,262.0,23.0
subbing in,,Centre,262.0,23.0
subbing in,,Centre,262.0,23.0
subbing out,,Centre,262.0,23.0
subbing out,,Centre,262.0,23.0
subbing out,,Centre,262.0,23.0
layup,good,Centre,258.0,19.0
foul,,anderson,249.0,21.0
free throw,missed,Centre,245.0,30.0
defensive rebound,,anderson,,
subbing in,,anderson,245.0,26.0
subbing out,,anderson,245.0,26.0
foul,,Centre,237.0,18.0
free throw,good,anderson,232.0,30.0
free throw,good,anderson,232.0,30.0
layup,good,Centre,222.0,15.0
assist,,Centre,,
layup,missed,anderson,202.0,10.0
block,,Centre,202.0,30.0
defensive rebound,,Centre,,
foul,,anderson,200.0,28.0
subbing in,,anderson,199.0,29.0
subbing out,,anderson,199.0,29.0
jumper,missed,Centre,184.0,14.0
defensive rebound,,anderson,,
subbing in,,anderson,169.0,15.0
subbing out,,anderson,169.0,15.0
jumper,missed,anderson,154.0,0.0
defensive rebound,,Centre,,
turnover,,Centre,147.0,23.0
turnover,,anderson,145.0,28.0
turnover,,Centre,126.0,11.0
steal,,anderson,123.0,27.0
turnover,,anderson,119.0,26.0
steal,,Centre,117.0,28.0
layup,good,Centre,113.0,26.0
subbing in,,anderson,87.0,4.0
subbing in,,anderson,87.0,4.0
subbing out,,anderson,87.0,4.0
subbing out,,anderson,87.0,4.0
subbing in,,Centre,87.0,4.0
subbing out,,Centre,87.0,4.0
jumper,missed,anderson,86.0,3.0
offensive rebound,,anderson,,
subbing in,,Centre,75.0,19.0
subbing out,,Centre,75.0,19.0
turnover,,anderson,74.0,18.0
three pointer,missed,Centre,58.0,14.0
defensive rebound,,anderson,,
jumper,missed,anderson,37.0,9.0
defensive rebound,,Centre,,
jumper,good,Centre,20.0,20.0
,,,,
subbing in,,anderson,600.0,593.0
subbing in,,anderson,600.0,593.0
subbing out,,anderson,600.0,593.0
subbing out,,anderson,600.0,593.0
subbing in,,Centre,600.0,593.0
subbing in,,Centre,600.0,593.0
subbing in,,Centre,600.0,593.0
subbing out,,Centre,600.0,593.0
subbing out,,Centre,600.0,593.0
subbing out,,Centre,600.0,593.0
foul,,Centre,585.0,578.0
subbing in,,Centre,585.0,30.0
subbing out,,Centre,585.0,30.0
three pointer,missed,anderson,570.0,15.0
defensive rebound,,Centre,,
foul,,anderson,557.0,17.0
subbing in,,anderson,550.0,23.0
subbing in,,anderson,550.0,23.0
subbing out,,anderson,550.0,23.0
subbing out,,anderson,550.0,23.0
jumper,good,Centre,527.0,0.0
turnover,,anderson,488.0,21.0
subbing in,,anderson,488.0,30.0
subbing in,,anderson,488.0,30.0
subbing in,,anderson,488.0,30.0
subbing out,,anderson,488.0,30.0
subbing out,,anderson,488.0,30.0
subbing out,,anderson,488.0,30.0
subbing in,,Centre,488.0,30.0
subbing in,,Centre,488.0,30.0
subbing out,,Centre,488.0,30.0
subbing out,,Centre,488.0,30.0
foul,,anderson,473.0,15.0
free throw,good,Centre,460.0,30.0
free throw,good,Centre,460.0,30.0
subbing in,,Centre,460.0,30.0
subbing out,,Centre,460.0,30.0
turnover,,anderson,444.0,1.0
steal,,Centre,442.0,28.0
three pointer,missed,Centre,429.0,17.0
defensive rebound,,anderson,,
foul,,Centre,422.0,23.0
turnover,,anderson,407.0,15.0
subbing in,,anderson,407.0,30.0
subbing out,,anderson,407.0,30.0
layup,good,Centre,405.0,28.0
foul,,Centre,403.0,28.0
free throw,good,anderson,403.0,30.0
foul,,anderson,403.0,30.0
free throw,good,Centre,403.0,30.0
free throw,good,Centre,403.0,30.0
layup,good,Centre,403.0,30.0
subbing in,,anderson,403.0,30.0
subbing out,,anderson,403.0,30.0
subbing in,,Centre,403.0,30.0
subbing in,,Centre,403.0,30.0
subbing in,,Centre,403.0,30.0
subbing in,,Centre,403.0,30.0
subbing out,,Centre,403.0,30.0
subbing out,,Centre,403.0,30.0
subbing out,,Centre,403.0,30.0
subbing out,,Centre,403.0,30.0
layup,good,anderson,397.0,24.0
turnover,,Centre,385.0,18.0
subbing in,,anderson,384.0,29.0
subbing out,,anderson,384.0,29.0
turnover,,anderson,377.0,22.0
turnover,,Centre,369.0,22.0
steal,,anderson,367.0,28.0
timeout,,Centre,365.0,28.0
turnover,,anderson,314.0,7.0
jumper,good,Centre,292.0,8.0
three pointer,missed,anderson,270.0,8.0
defensive rebound,,Centre,,
foul,,anderson,259.0,19.0
turnover,,Centre,259.0,30.0
subbing in,,anderson,259.0,30.0
subbing in,,anderson,259.0,30.0
subbing out,,anderson,259.0,30.0
subbing out,,anderson,259.0,30.0
turnover,,anderson,251.0,22.0
jumper,missed,Centre,227.0,6.0
offensive rebound,,Centre,,
three pointer,good,Centre,221.0,24.0
assist,,Centre,,
turnover,,anderson,198.0,7.0
subbing in,,anderson,198.0,30.0
subbing out,,anderson,198.0,30.0
subbing in,,Centre,198.0,30.0
subbing in,,Centre,198.0,30.0
subbing in,,Centre,198.0,30.0
subbing out,,Centre,198.0,30.0
subbing out,,Centre,198.0,30.0
subbing out,,Centre,198.0,30.0
jumper,missed,Centre,191.0,23.0
defensive rebound,,anderson,,
foul,,Centre,172.0,11.0
free throw,missed,anderson,163.0,30.0
deadball rebound,,Centre,,
free throw,missed,anderson,163.0,30.0
offensive rebound,,anderson,,
three pointer,missed,anderson,163.0,21.0
defensive rebound,,Centre,,
jumper,good,Centre,150.0,17.0
layup,good,anderson,127.0,7.0
layup,good,Centre,108.0,11.0
assist,,Centre,,
foul,,Centre,79.0,1.0
free throw,missed,anderson,76.0,30.0
deadball rebound,,Centre,,
free throw,good,anderson,76.0,30.0
subbing in,,anderson,76.0,30.0
subbing out,,anderson,76.0,30.0
subbing in,,Centre,76.0,30.0
subbing in,,Centre,76.0,30.0
subbing in,,Centre,76.0,30.0
subbing out,,Centre,76.0,30.0
subbing out,,Centre,76.0,30.0
subbing out,,Centre,76.0,30.0
three pointer,missed,Centre,71.0,22.0
three pointer,missed,Centre,54.0,13.0
offensive rebound,,Centre,,
turnover,,Centre,44.0,20.0
turnover,,anderson,44.0,30.0
steal,,Centre,44.0,30.0
foul,,anderson,44.0,30.0
free throw,missed,Centre,44.0,30.0
deadball rebound,,Centre,,
free throw,good,Centre,44.0,30.0
subbing in,,Centre,44.0,30.0
subbing out,,Centre,44.0,30.0
three pointer,missed,anderson,26.0,26.0
defensive rebound,,Centre,,
jumper,missed,Centre,3.0,3.0
defensive rebound,,anderson,,
,,,,
jumper,missed,Centre,585.0,571.0
defensive rebound,,anderson,,
three pointer,good,anderson,558.0,3.0
turnover,,Centre,542.0,14.0
jumper,missed,anderson,524.0,12.0
defensive rebound,,Centre,,
turnover,,Centre,517.0,23.0
turnover,,anderson,507.0,20.0
steal,,Centre,507.0,30.0
jumper,missed,Centre,504.0,27.0
defensive rebound,,anderson,,
foul,,Centre,502.0,28.0
turnover,,anderson,491.0,19.0
steal,,Centre,482.0,21.0
layup,good,Centre,474.0,22.0
turnover,,anderson,453.0,9.0
steal,,Centre,450.0,27.0
three pointer,missed,Centre,441.0,21.0
offensive rebound,,Centre,,
three pointer,missed,Centre,436.0,25.0
offensive rebound,,Centre,,
layup,missed,Centre,426.0,20.0
offensive rebound,,Centre,,
jumper,missed,Centre,405.0,9.0
defensive rebound,,anderson,,
three pointer,missed,anderson,396.0,21.0
offensive rebound,,anderson,,
layup,missed,anderson,387.0,21.0
defensive rebound,,Centre,,
jumper,missed,Centre,368.0,11.0
defensive rebound,,anderson,,
turnover,,anderson,359.0,21.0
steal,,Centre,356.0,27.0
layup,good,Centre,353.0,27.0
timeout,,Centre,353.0,30.0
subbing in,,anderson,353.0,30.0
subbing in,,anderson,353.0,30.0
subbing out,,anderson,353.0,30.0
subbing out,,anderson,353.0,30.0
subbing in,,Centre,353.0,30.0
subbing in,,Centre,353.0,30.0
subbing in,,Centre,353.0,30.0
subbing in,,Centre,353.0,30.0
subbing out,,Centre,353.0,30.0
subbing out,,Centre,353.0,30.0
subbing out,,Centre,353.0,30.0
subbing out,,Centre,353.0,30.0
turnover,,anderson,340.0,17.0
steal,,Centre,335.0,25.0
layup,good,Centre,332.0,27.0
foul,,Centre,326.0,24.0
jumper,missed,anderson,308.0,12.0
defensive rebound,,Centre,,
turnover,,Centre,300.0,22.0
steal,,anderson,298.0,28.0
jumper,missed,anderson,291.0,23.0
defensive rebound,,Centre,,
three pointer,missed,Centre,263.0,2.0
defensive rebound,,Centre,,
timeout,,Centre,259.0,26.0
subbing in,,anderson,259.0,26.0
subbing out,,anderson,259.0,26.0
subbing in,,Centre,259.0,26.0
subbing out,,Centre,259.0,26.0
three pointer,missed,anderson,255.0,22.0
defensive rebound,,Centre,,
turnover,,Centre,241.0,16.0
steal,,anderson,238.0,27.0
layup,good,anderson,229.0,21.0
