Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
foul,,maryville college women,1185.0,15.0
layup,good,Centre,1173.0,18.0
layup,missed,maryville college women,1150.0,7.0
offensive rebound,,maryville college women,,
jumper,good,maryville college women,1145.0,25.0
assist,,maryville college women,,
layup,missed,Centre,1130.0,15.0
defensive rebound,,maryville college women,,
jumper,missed,maryville college women,1120.0,20.0
defensive rebound,,Centre,,
turnover,,Centre,1113.0,23.0
steal,,maryville college women,1113.0,30.0
turnover,,maryville college women,1090.0,7.0
steal,,Centre,1088.0,28.0
jumper,missed,Centre,1064.0,6.0
block,,maryville college women,1064.0,30.0
defensive rebound,,maryville college women,,
turnover,,maryville college women,1058.0,24.0
jumper,missed,Centre,1048.0,20.0
defensive rebound,,Centre,,
jumper,good,maryville college women,1026.0,8.0
jumper,missed,Centre,1000.0,4.0
defensive rebound,,maryville college women,,
jumper,missed,maryville college women,981.0,11.0
offensive rebound,,maryville college women,,
jumper,missed,maryville college women,974.0,23.0
offensive rebound,,maryville college women,,
jumper,missed,maryville college women,970.0,26.0
offensive rebound,,maryville college women,,
turnover,,maryville college women,969.0,29.0
steal,,Centre,969.0,30.0
foul,,maryville college women,963.0,24.0
subbing in,,maryville college women,963.0,30.0
subbing in,,maryville college women,963.0,30.0
subbing out,,maryville college women,963.0,30.0
subbing out,,maryville college women,963.0,30.0
jumper,good,Centre,954.0,21.0
assist,,Centre,,
layup,missed,maryville college women,941.0,17.0
block,,Centre,941.0,30.0
defensive rebound,,Centre,,
jumper,missed,Centre,935.0,24.0
defensive rebound,,maryville college women,,
jumper,missed,maryville college women,922.0,17.0
defensive rebound,,Centre,,
three pointer,good,Centre,898.0,6.0
turnover,,maryville college women,876.0,8.0
subbing in,,maryville college women,871.0,25.0
subbing out,,maryville college women,871.0,25.0
three pointer,good,Centre,856.0,10.0
assist,,Centre,,
jumper,good,maryville college women,841.0,15.0
three pointer,good,Centre,827.0,16.0
assist,,Centre,,
three pointer,good,maryville college women,810.0,13.0
assist,,maryville college women,,
layup,good,Centre,789.0,9.0
assist,,Centre,,
turnover,,maryville college women,768.0,9.0
steal,,Centre,766.0,28.0
foul,,maryville college women,764.0,28.0
free throw,missed,Centre,764.0,30.0
deadball rebound,,Centre,,
free throw,good,Centre,764.0,30.0
subbing in,,Centre,764.0,30.0
subbing in,,Centre,764.0,30.0
subbing in,,Centre,764.0,30.0
subbing in,,Centre,764.0,30.0
subbing out,,Centre,764.0,30.0
subbing out,,Centre,764.0,30.0
subbing out,,Centre,764.0,30.0
subbing out,,Centre,764.0,30.0
subbing in,,maryville college women,764.0,30.0
subbing in,,maryville college women,764.0,30.0
subbing in,,maryville college women,764.0,30.0
subbing out,,maryville college women,764.0,30.0
subbing out,,maryville college women,764.0,30.0
subbing out,,maryville college women,764.0,30.0
foul,,maryville college women,756.0,22.0
turnover,,maryville college women,756.0,30.0
steal,,Centre,756.0,30.0
foul,,maryville college women,740.0,14.0
free throw,good,Centre,740.0,30.0
free throw,missed,Centre,740.0,30.0
defensive rebound,,maryville college women,,
subbing in,,maryville college women,740.0,30.0
subbing out,,maryville college women,740.0,30.0
foul,,Centre,727.0,17.0
foul,,maryville college women,708.0,11.0
turnover,,maryville college women,708.0,30.0
steal,,Centre,708.0,30.0
layup,missed,Centre,698.0,20.0
block,,maryville college women,698.0,30.0
defensive rebound,,maryville college women,,
three pointer,missed,maryville college women,680.0,12.0
defensive rebound,,Centre,,
subbing in,,Centre,669.0,19.0
subbing in,,Centre,669.0,19.0
subbing out,,Centre,669.0,19.0
subbing out,,Centre,669.0,19.0
subbing in,,maryville college women,669.0,19.0
subbing out,,maryville college women,669.0,19.0
jumper,missed,Centre,658.0,8.0
block,,maryville college women,658.0,8.0
offensive rebound,,Centre,,
turnover,,Centre,654.0,4.0
steal,,maryville college women,654.0,30.0
jumper,good,maryville college women,640.0,16.0
assist,,maryville college women,,
jumper,missed,Centre,623.0,13.0
offensive rebound,,Centre,,
subbing in,,maryville college women,621.0,28.0
subbing out,,maryville college women,621.0,28.0
layup,good,Centre,618.0,25.0
assist,,Centre,,
foul,,Centre,604.0,16.0
subbing in,,Centre,604.0,30.0
subbing in,,Centre,604.0,30.0
subbing in,,Centre,604.0,30.0
subbing out,,Centre,604.0,30.0
subbing out,,Centre,604.0,30.0
subbing out,,Centre,604.0,30.0
subbing in,,maryville college women,604.0,30.0
subbing out,,maryville college women,604.0,30.0
subbing in,,Centre,596.0,22.0
