Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
three pointer,good,Centre,576.0,6.0
assist,,Centre,,
jumper,missed,n.c. wesleyan,563.0,17.0
offensive rebound,,n.c. wesleyan,,
jumper,good,n.c. wesleyan,555.0,22.0
jumper,missed,Centre,536.0,11.0
defensive rebound,,Centre,,
layup,good,n.c. wesleyan,516.0,10.0
layup,good,Centre,501.0,15.0
assist,,Centre,,
turnover,,n.c. wesleyan,479.0,8.0
subbing out,,n.c. wesleyan,479.0,30.0
subbing in,,n.c. wesleyan,479.0,30.0
turnover,,Centre,470.0,21.0
layup,good,n.c. wesleyan,458.0,18.0
turnover,,Centre,440.0,12.0
subbing out,,n.c. wesleyan,440.0,30.0
subbing in,,n.c. wesleyan,440.0,30.0
layup,missed,n.c. wesleyan,434.0,24.0
defensive rebound,,Centre,,
turnover,,Centre,410.0,6.0
subbing out,,Centre,410.0,30.0
subbing in,,Centre,410.0,30.0
subbing out,,n.c. wesleyan,410.0,30.0
subbing in,,n.c. wesleyan,410.0,30.0
three pointer,good,n.c. wesleyan,393.0,13.0
turnover,,Centre,374.0,11.0
jumper,good,n.c. wesleyan,363.0,19.0
three pointer,good,Centre,343.0,10.0
assist,,Centre,,
jumper,good,n.c. wesleyan,323.0,10.0
foul,,n.c. wesleyan,303.0,10.0
subbing out,,Centre,303.0,30.0
subbing out,,Centre,303.0,30.0
subbing in,,Centre,303.0,30.0
subbing in,,Centre,303.0,30.0
subbing out,,n.c. wesleyan,303.0,30.0
subbing out,,n.c. wesleyan,303.0,30.0
subbing in,,n.c. wesleyan,303.0,30.0
subbing in,,n.c. wesleyan,303.0,30.0
jumper,missed,Centre,299.0,26.0
offensive rebound,,Centre,,
three pointer,missed,Centre,292.0,23.0
defensive rebound,,n.c. wesleyan,,
foul,,Centre,285.0,23.0
timeout,,n.c. wesleyan,285.0,30.0
free throw,missed,n.c. wesleyan,285.0,30.0
deadball rebound,,n.c. wesleyan,,
free throw,missed,n.c. wesleyan,285.0,30.0
defensive rebound,,Centre,,
three pointer,missed,Centre,268.0,13.0
offensive rebound,,Centre,,
turnover,,Centre,258.0,20.0
subbing out,,Centre,242.0,14.0
subbing in,,Centre,242.0,14.0
layup,good,n.c. wesleyan,232.0,4.0
three pointer,missed,Centre,221.0,19.0
defensive rebound,,n.c. wesleyan,,
foul,,Centre,210.0,19.0
subbing out,,Centre,210.0,30.0
subbing out,,Centre,210.0,30.0
subbing in,,Centre,210.0,30.0
subbing in,,Centre,210.0,30.0
subbing out,,n.c. wesleyan,210.0,30.0
subbing in,,n.c. wesleyan,210.0,30.0
jumper,missed,n.c. wesleyan,210.0,30.0
defensive rebound,,Centre,,
three pointer,missed,Centre,179.0,29.0
offensive rebound,,Centre,,
layup,missed,Centre,174.0,25.0
defensive rebound,,Centre,,
subbing out,,Centre,172.0,28.0
subbing in,,Centre,172.0,28.0
subbing out,,n.c. wesleyan,162.0,18.0
subbing out,,n.c. wesleyan,162.0,18.0
subbing in,,n.c. wesleyan,162.0,18.0
subbing in,,n.c. wesleyan,162.0,18.0
three pointer,good,n.c. wesleyan,160.0,16.0
assist,,n.c. wesleyan,,
three pointer,missed,Centre,143.0,13.0
defensive rebound,,n.c. wesleyan,,
jumper,good,n.c. wesleyan,133.0,20.0
assist,,n.c. wesleyan,,
timeout,,Centre,132.0,29.0
jumper,good,Centre,103.0,0.0
jumper,missed,n.c. wesleyan,95.0,22.0
offensive rebound,,n.c. wesleyan,,
three pointer,missed,n.c. wesleyan,83.0,18.0
defensive rebound,,Centre,,
foul,,n.c. wesleyan,72.0,19.0
layup,good,Centre,70.0,28.0
assist,,Centre,,
subbing out,,Centre,39.0,-1.0
subbing in,,Centre,39.0,-1.0
three pointer,good,n.c. wesleyan,36.0,26.0
assist,,n.c. wesleyan,,
jumper,good,Centre,2.0,2.0
,,,,
subbing out,,Centre,600.0,594.0
subbing out,,Centre,600.0,594.0
subbing in,,Centre,600.0,594.0
subbing in,,Centre,600.0,594.0
jumper,good,n.c. wesleyan,580.0,574.0
assist,,n.c. wesleyan,,
turnover,,Centre,557.0,7.0
jumper,missed,n.c. wesleyan,529.0,2.0
offensive rebound,,n.c. wesleyan,,
jumper,good,n.c. wesleyan,523.0,24.0
foul,,Centre,523.0,30.0
free throw,good,n.c. wesleyan,523.0,30.0
subbing out,,Centre,523.0,30.0
subbing in,,Centre,523.0,30.0
turnover,,Centre,510.0,17.0
steal,,n.c. wesleyan,510.0,30.0
layup,good,n.c. wesleyan,505.0,25.0
turnover,,Centre,489.0,14.0
steal,,n.c. wesleyan,489.0,30.0
three pointer,missed,n.c. wesleyan,469.0,10.0
defensive rebound,,Centre,,
turnover,,Centre,458.0,19.0
steal,,n.c. wesleyan,458.0,30.0
foul,,Centre,456.0,28.0
subbing out,,Centre,456.0,30.0
subbing out,,Centre,456.0,30.0
subbing in,,Centre,456.0,30.0
subbing in,,Centre,456.0,30.0
subbing out,,n.c. wesleyan,456.0,30.0
subbing out,,n.c. wesleyan,456.0,30.0
subbing in,,n.c. wesleyan,456.0,30.0
subbing in,,n.c. wesleyan,456.0,30.0
jumper,missed,n.c. wesleyan,429.0,3.0
offensive rebound,,n.c. wesleyan,,
turnover,,n.c. wesleyan,425.0,26.0
three pointer,good,Centre,412.0,17.0
assist,,Centre,,
three pointer,missed,n.c. wesleyan,398.0,16.0
defensive rebound,,Centre,,
foul,,n.c. wesleyan,381.0,13.0
subbing out,,Centre,381.0,30.0
subbing out,,Centre,381.0,30.0
subbing in,,Centre,381.0,30.0
