Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
jumper,missed,thomas more,587.0,17.0
defensive rebound,,Centre,,
turnover,,Centre,559.0,2.0
steal,,thomas more,558.0,29.0
turnover,,thomas more,553.0,25.0
jumper,missed,Centre,528.0,5.0
defensive rebound,,thomas more,,
layup,missed,thomas more,521.0,23.0
offensive rebound,,thomas more,,
layup,missed,thomas more,517.0,26.0
block,,Centre,517.0,30.0
defensive rebound,,Centre,,
turnover,,Centre,511.0,24.0
turnover,,thomas more,495.0,14.0
foul,,thomas more,495.0,30.0
jumper,missed,Centre,474.0,9.0
defensive rebound,,thomas more,,
foul,,Centre,462.0,18.0
subbing in,,Centre,462.0,30.0
subbing out,,Centre,462.0,30.0
jumper,good,thomas more,455.0,23.0
foul,,Centre,455.0,30.0
free throw,good,thomas more,455.0,30.0
subbing in,,Centre,455.0,30.0
subbing out,,Centre,455.0,30.0
jumper,missed,Centre,423.0,28.0
block,,thomas more,423.0,30.0
defensive rebound,,thomas more,,
layup,good,thomas more,411.0,18.0
layup,missed,Centre,383.0,2.0
offensive rebound,,Centre,,
foul,,thomas more,380.0,27.0
free throw,missed,Centre,380.0,30.0
deadball rebound,,Centre,,
free throw,good,Centre,380.0,30.0
subbing in,,thomas more,380.0,30.0
subbing out,,thomas more,380.0,30.0
subbing in,,Centre,380.0,30.0
subbing out,,Centre,380.0,30.0
three pointer,good,thomas more,364.0,14.0
assist,,thomas more,,
subbing in,,thomas more,342.0,8.0
subbing out,,thomas more,342.0,8.0
foul,,thomas more,341.0,7.0
three pointer,missed,Centre,316.0,5.0
defensive rebound,,thomas more,,
three pointer,missed,thomas more,306.0,20.0
defensive rebound,,Centre,,
turnover,,Centre,289.0,13.0
timeout,,Centre,289.0,30.0
subbing in,,Centre,289.0,30.0
subbing in,,Centre,289.0,30.0
subbing out,,Centre,289.0,30.0
subbing out,,Centre,289.0,30.0
jumper,missed,thomas more,276.0,17.0
block,,Centre,276.0,30.0
defensive rebound,,Centre,,
jumper,good,thomas more,272.0,26.0
turnover,,Centre,255.0,13.0
steal,,thomas more,254.0,29.0
foul,,Centre,249.0,25.0
free throw,missed,thomas more,249.0,30.0
deadball rebound,,Centre,,
free throw,good,thomas more,249.0,30.0
subbing in,,Centre,249.0,30.0
subbing out,,Centre,249.0,30.0
three pointer,missed,Centre,227.0,8.0
defensive rebound,,thomas more,,
turnover,,thomas more,219.0,22.0
subbing in,,thomas more,219.0,30.0
subbing out,,thomas more,219.0,30.0
turnover,,Centre,193.0,4.0
subbing in,,Centre,190.0,27.0
subbing out,,Centre,190.0,27.0
turnover,,thomas more,174.0,11.0
steal,,Centre,168.0,24.0
jumper,missed,Centre,158.0,20.0
defensive rebound,,thomas more,,
jumper,missed,thomas more,146.0,18.0
defensive rebound,,Centre,,
foul,,thomas more,132.0,16.0
subbing in,,thomas more,132.0,30.0
subbing out,,thomas more,132.0,30.0
subbing in,,Centre,132.0,30.0
subbing in,,Centre,132.0,30.0
subbing out,,Centre,132.0,30.0
subbing out,,Centre,132.0,30.0
turnover,,Centre,123.0,21.0
steal,,thomas more,121.0,28.0
layup,good,thomas more,115.0,24.0
assist,,thomas more,,
three pointer,good,Centre,101.0,16.0
assist,,Centre,,
turnover,,thomas more,73.0,2.0
subbing in,,thomas more,73.0,30.0
subbing in,,thomas more,73.0,30.0
subbing out,,thomas more,73.0,30.0
subbing out,,thomas more,73.0,30.0
turnover,,Centre,70.0,27.0
steal,,thomas more,67.0,27.0
turnover,,thomas more,47.0,10.0
subbing in,,thomas more,47.0,30.0
subbing out,,thomas more,47.0,30.0
layup,good,Centre,30.0,30.0
turnover,,thomas more,21.0,21.0
subbing in,,Centre,21.0,21.0
subbing out,,Centre,21.0,21.0
three pointer,good,Centre,5.0,5.0
assist,,Centre,,
,,,,
subbing in,,thomas more,600.0,583.0
subbing in,,thomas more,600.0,583.0
subbing out,,thomas more,600.0,583.0
subbing out,,thomas more,600.0,583.0
subbing in,,Centre,600.0,583.0
subbing in,,Centre,600.0,583.0
subbing out,,Centre,600.0,583.0
subbing out,,Centre,600.0,583.0
foul,,thomas more,589.0,572.0
