Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
three pointer,missed,Centre,571.0,1.0
defensive rebound,,berry college,,
jumper,missed,berry college,551.0,10.0
defensive rebound,,Centre,,
layup,missed,Centre,545.0,24.0
offensive rebound,,Centre,,
jumper,missed,Centre,521.0,6.0
offensive rebound,,Centre,,
jumper,good,Centre,511.0,20.0
assist,,Centre,,
foul,,Centre,492.0,11.0
subbing in,,Centre,492.0,30.0
subbing out,,Centre,492.0,30.0
jumper,missed,berry college,484.0,22.0
block,,Centre,484.0,30.0
defensive rebound,,Centre,,
turnover,,Centre,472.0,18.0
jumper,missed,berry college,471.0,29.0
defensive rebound,,Centre,,
jumper,missed,Centre,448.0,7.0
defensive rebound,,berry college,,
three pointer,missed,berry college,438.0,20.0
offensive rebound,,berry college,,
three pointer,missed,berry college,427.0,19.0
offensive rebound,,berry college,,
turnover,,berry college,423.0,26.0
steal,,Centre,420.0,27.0
layup,missed,Centre,406.0,16.0
defensive rebound,,berry college,,
jumper,missed,berry college,387.0,11.0
offensive rebound,,berry college,,
jumper,missed,berry college,383.0,26.0
defensive rebound,,Centre,,
three pointer,missed,Centre,365.0,12.0
offensive rebound,,Centre,,
foul,,berry college,362.0,27.0
free throw,missed,Centre,362.0,30.0
deadball rebound,,Centre,,
free throw,good,Centre,362.0,30.0
subbing in,,berry college,362.0,30.0
subbing out,,berry college,362.0,30.0
subbing in,,Centre,362.0,30.0
subbing in,,Centre,362.0,30.0
subbing in,,Centre,362.0,30.0
subbing in,,Centre,362.0,30.0
subbing out,,Centre,362.0,30.0
subbing out,,Centre,362.0,30.0
subbing out,,Centre,362.0,30.0
subbing out,,Centre,362.0,30.0
layup,missed,berry college,342.0,10.0
block,,Centre,342.0,10.0
offensive rebound,,berry college,,
layup,good,berry college,340.0,8.0
assist,,berry college,,
turnover,,Centre,327.0,17.0
layup,missed,berry college,312.0,15.0
offensive rebound,,berry college,,
subbing in,,Centre,311.0,29.0
subbing out,,Centre,311.0,29.0
timeout,,Centre,297.0,15.0
turnover,,berry college,297.0,15.0
subbing in,,Centre,297.0,15.0
subbing in,,Centre,297.0,15.0
subbing out,,Centre,297.0,15.0
subbing out,,Centre,297.0,15.0
jumper,missed,Centre,270.0,18.0
offensive rebound,,Centre,,
layup,good,Centre,267.0,27.0
three pointer,missed,berry college,250.0,13.0
defensive rebound,,Centre,,
foul,,berry college,230.0,10.0
free throw,good,Centre,230.0,30.0
free throw,good,Centre,230.0,30.0
subbing in,,berry college,230.0,30.0
subbing out,,berry college,230.0,30.0
subbing in,,Centre,230.0,30.0
subbing out,,Centre,230.0,30.0
foul,,Centre,211.0,11.0
subbing in,,berry college,211.0,30.0
subbing out,,berry college,211.0,30.0
subbing in,,Centre,211.0,30.0
subbing out,,Centre,211.0,30.0
foul,,Centre,209.0,28.0
three pointer,good,berry college,209.0,30.0
assist,,berry college,,
jumper,missed,Centre,209.0,30.0
defensive rebound,,berry college,,
subbing in,,Centre,209.0,30.0
subbing out,,Centre,209.0,30.0
foul,,Centre,205.0,26.0
three pointer,missed,berry college,170.0,25.0
offensive rebound,,berry college,,
turnover,,berry college,165.0,25.0
steal,,Centre,161.0,26.0
turnover,,Centre,159.0,28.0
steal,,berry college,158.0,29.0
layup,good,berry college,155.0,27.0
jumper,good,Centre,132.0,7.0
subbing in,,Centre,122.0,20.0
subbing in,,Centre,122.0,20.0
subbing out,,Centre,122.0,20.0
subbing out,,Centre,122.0,20.0
turnover,,berry college,102.0,0.0
steal,,Centre,101.0,29.0
jumper,missed,Centre,95.0,24.0
defensive rebound,,berry college,,
three pointer,missed,berry college,80.0,15.0
defensive rebound,,Centre,,
jumper,good,Centre,61.0,11.0
assist,,Centre,,
jumper,missed,berry college,41.0,10.0
defensive rebound,,Centre,,
subbing in,,Centre,39.0,28.0
subbing out,,Centre,39.0,28.0
jumper,missed,Centre,27.0,27.0
defensive rebound,,berry college,,
layup,missed,berry college,19.0,19.0
defensive rebound,,Centre,,
three pointer,missed,Centre,10.0,10.0
defensive rebound,,berry college,,
turnover,,berry college,1.0,1.0
,,,,
subbing in,,Centre,600.0,589.0
subbing in,,Centre,600.0,589.0
subbing out,,Centre,600.0,589.0
subbing out,,Centre,600.0,589.0
jumper,missed,berry college,586.0,575.0
defensive rebound,,Centre,,
jumper,missed,Centre,572.0,16.0
defensive rebound,,berry college,,
turnover,,berry college,550.0,8.0
three pointer,missed,Centre,521.0,1.0
offensive rebound,,Centre,,
three pointer,good,Centre,514.0,23.0
assist,,Centre,,
three pointer,missed,berry college,497.0,13.0
defensive rebound,,Centre,,
three pointer,missed,Centre,488.0,21.0
defensive rebound,,berry college,,
layup,missed,berry college,483.0,25.0
offensive rebound,,berry college,,
layup,good,berry college,483.0,30.0
turnover,,Centre,483.0,30.0
steal,,berry college,483.0,30.0
layup,good,berry college,483.0,30.0
jumper,missed,Centre,483.0,30.0
defensive rebound,,berry college,,
three pointer,good,berry college,483.0,30.0
jumper,missed,Centre,483.0,30.0
offensive rebound,,Centre,,
subbing out,,berry college,473.0,20.0
subbing out,,berry college,473.0,20.0
subbing in,,Centre,473.0,20.0
subbing in,,Centre,473.0,20.0
