Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
turnover,,birmingham-southern,1188.0,18.0
steal,,Centre,1186.0,28.0
layup,missed,Centre,1177.0,21.0
defensive rebound,,birmingham-southern,,
three pointer,missed,birmingham-southern,1160.0,13.0
defensive rebound,,Centre,,
layup,missed,Centre,1141.0,11.0
block,,birmingham-southern,1141.0,30.0
defensive rebound,,Centre,,
jumper,missed,birmingham-southern,1141.0,30.0
defensive rebound,,Centre,,
layup,good,Centre,1141.0,30.0
layup,missed,birmingham-southern,1055.0,-26.0
defensive rebound,,Centre,,
three pointer,missed,Centre,1055.0,30.0
defensive rebound,,birmingham-southern,,
turnover,,birmingham-southern,1032.0,7.0
steal,,Centre,1031.0,29.0
layup,good,Centre,1020.0,19.0
jumper,good,birmingham-southern,1004.0,14.0
foul,,birmingham-southern,989.0,15.0
three pointer,missed,Centre,986.0,27.0
defensive rebound,,birmingham-southern,,
jumper,missed,birmingham-southern,974.0,18.0
offensive rebound,,birmingham-southern,,
jumper,good,birmingham-southern,968.0,24.0
assist,,birmingham-southern,,
three pointer,good,Centre,949.0,11.0
assist,,Centre,,
jumper,good,birmingham-southern,924.0,5.0
layup,good,Centre,916.0,22.0
assist,,Centre,,
foul,,Centre,902.0,16.0
subbing in,,Centre,902.0,30.0
subbing in,,Centre,902.0,30.0
subbing out,,Centre,902.0,30.0
subbing out,,Centre,902.0,30.0
subbing in,,birmingham-southern,902.0,30.0
subbing in,,birmingham-southern,902.0,30.0
subbing out,,birmingham-southern,902.0,30.0
subbing out,,birmingham-southern,902.0,30.0
foul,,Centre,896.0,24.0
free throw,good,birmingham-southern,896.0,30.0
free throw,good,birmingham-southern,896.0,30.0
turnover,,Centre,875.0,9.0
steal,,birmingham-southern,874.0,29.0
jumper,missed,birmingham-southern,869.0,25.0
defensive rebound,,Centre,,
foul,,birmingham-southern,860.0,21.0
free throw,good,Centre,860.0,30.0
free throw,good,Centre,860.0,30.0
subbing in,,Centre,860.0,30.0
subbing out,,Centre,860.0,30.0
subbing in,,birmingham-southern,860.0,30.0
subbing in,,birmingham-southern,860.0,30.0
subbing out,,birmingham-southern,860.0,30.0
subbing out,,birmingham-southern,860.0,30.0
turnover,,birmingham-southern,851.0,21.0
steal,,Centre,844.0,23.0
turnover,,Centre,840.0,26.0
turnover,,birmingham-southern,828.0,18.0
three pointer,missed,Centre,817.0,19.0
defensive rebound,,birmingham-southern,,
layup,missed,birmingham-southern,800.0,13.0
defensive rebound,,Centre,,
layup,missed,Centre,780.0,10.0
block,,birmingham-southern,780.0,30.0
defensive rebound,,birmingham-southern,,
three pointer,missed,birmingham-southern,771.0,21.0
offensive rebound,,birmingham-southern,,
foul,,Centre,770.0,29.0
free throw,good,birmingham-southern,770.0,30.0
free throw,good,birmingham-southern,770.0,30.0
subbing in,,Centre,770.0,30.0
subbing in,,Centre,770.0,30.0
subbing in,,Centre,770.0,30.0
subbing out,,Centre,770.0,30.0
subbing out,,Centre,770.0,30.0
subbing out,,Centre,770.0,30.0
foul,,birmingham-southern,755.0,15.0
layup,good,Centre,754.0,29.0
assist,,Centre,,
foul,,birmingham-southern,753.0,29.0
free throw,good,Centre,753.0,30.0
layup,good,birmingham-southern,752.0,29.0
foul,,birmingham-southern,735.0,13.0
