Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
three pointer,missed,hendrix,1187.0,617.0
offensive rebound,,hendrix,,
layup,good,hendrix,1170.0,13.0
jumper,missed,Centre,1153.0,13.0
offensive rebound,,Centre,,
turnover,,Centre,1145.0,22.0
jumper,good,hendrix,1131.0,16.0
assist,,hendrix,,
jumper,missed,Centre,1118.0,17.0
defensive rebound,,Centre,,
three pointer,missed,hendrix,1104.0,16.0
offensive rebound,,hendrix,,
turnover,,hendrix,1100.0,26.0
jumper,missed,Centre,1088.0,18.0
defensive rebound,,hendrix,,
turnover,,hendrix,1074.0,16.0
steal,,Centre,1072.0,28.0
layup,good,Centre,1067.0,25.0
assist,,Centre,,
foul,,Centre,1047.0,10.0
jumper,missed,hendrix,1043.0,26.0
defensive rebound,,Centre,,
foul,,hendrix,1035.0,22.0
free throw,missed,Centre,1035.0,30.0
deadball rebound,,Centre,,
free throw,good,Centre,1035.0,30.0
subbing in,,Centre,1035.0,30.0
subbing out,,Centre,1035.0,30.0
three pointer,missed,hendrix,1026.0,21.0
defensive rebound,,Centre,,
three pointer,missed,Centre,1017.0,21.0
offensive rebound,,Centre,,
layup,good,Centre,1011.0,24.0
layup,missed,hendrix,992.0,11.0
defensive rebound,,Centre,,
foul,,hendrix,982.0,20.0
free throw,good,Centre,982.0,30.0
free throw,good,Centre,982.0,30.0
foul,,Centre,966.0,14.0
free throw,good,hendrix,966.0,30.0
free throw,good,hendrix,966.0,30.0
subbing in,,Centre,966.0,30.0
subbing out,,Centre,966.0,30.0
turnover,,Centre,956.0,20.0
steal,,hendrix,941.0,15.0
subbing in,,Centre,941.0,30.0
subbing out,,Centre,941.0,30.0
layup,missed,Centre,927.0,16.0
defensive rebound,,Centre,,
foul,,Centre,925.0,28.0
subbing in,,Centre,925.0,30.0
subbing out,,Centre,925.0,30.0
subbing in,,hendrix,925.0,30.0
subbing out,,hendrix,925.0,30.0
three pointer,good,hendrix,910.0,15.0
assist,,hendrix,,
layup,good,Centre,892.0,12.0
free throw,good,Centre,892.0,30.0
subbing in,,Centre,892.0,30.0
subbing out,,Centre,892.0,30.0
layup,good,Centre,861.0,29.0
layup,missed,hendrix,851.0,20.0
defensive rebound,,Centre,,
foul,,hendrix,829.0,8.0
free throw,good,Centre,829.0,30.0
free throw,missed,Centre,829.0,30.0
deadball rebound,,Centre,,
subbing in,,Centre,829.0,30.0
subbing out,,Centre,829.0,30.0
subbing in,,hendrix,829.0,30.0
subbing in,,hendrix,829.0,30.0
subbing out,,hendrix,829.0,30.0
subbing out,,hendrix,829.0,30.0
layup,good,hendrix,816.0,17.0
assist,,hendrix,,
jumper,missed,Centre,798.0,12.0
defensive rebound,,hendrix,,
layup,good,hendrix,782.0,14.0
assist,,hendrix,,
jumper,good,Centre,765.0,13.0
assist,,Centre,,
timeout,,hendrix,759.0,24.0
jumper,missed,hendrix,745.0,10.0
defensive rebound,,Centre,,
foul,,Centre,734.0,19.0
subbing in,,Centre,728.0,24.0
subbing out,,Centre,728.0,24.0
jumper,good,hendrix,723.0,19.0
turnover,,Centre,717.0,24.0
three pointer,missed,hendrix,705.0,18.0
defensive rebound,,Centre,,
jumper,good,Centre,689.0,14.0
assist,,Centre,,
subbing in,,Centre,684.0,25.0
subbing out,,Centre,684.0,25.0
three pointer,missed,hendrix,676.0,17.0
offensive rebound,,hendrix,,
turnover,,hendrix,657.0,11.0
subbing in,,Centre,657.0,30.0
subbing in,,Centre,657.0,30.0
subbing out,,Centre,657.0,30.0
subbing out,,Centre,657.0,30.0
subbing in,,hendrix,657.0,30.0
subbing out,,hendrix,657.0,30.0
jumper,good,Centre,648.0,21.0
jumper,good,hendrix,630.0,12.0
assist,,hendrix,,
layup,good,Centre,610.0,10.0
assist,,Centre,,
layup,missed,hendrix,593.0,13.0
