Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
jumper,good,guilford college,1181.0,11.0
jumper,missed,Centre,1148.0,27.0
defensive rebound,,guilford college,,
jumper,good,guilford college,1122.0,4.0
assist,,guilford college,,
jumper,missed,Centre,1090.0,28.0
defensive rebound,,guilford college,,
jumper,missed,guilford college,1076.0,16.0
defensive rebound,,Centre,,
layup,missed,Centre,1066.0,20.0
block,,guilford college,1066.0,30.0
defensive rebound,,guilford college,,
jumper,missed,guilford college,1057.0,21.0
offensive rebound,,guilford college,,
,,,1054.0,30.0
block,,Centre,1052.0,25.0
defensive rebound,,Centre,,
jumper,missed,Centre,1047.0,20.0
defensive rebound,,guilford college,,
three pointer,missed,guilford college,1021.0,4.0
defensive rebound,,Centre,,
jumper,missed,Centre,1007.0,16.0
defensive rebound,,guilford college,,
three pointer,missed,guilford college,985.0,8.0
offensive rebound,,Centre,,
subbing in,,Centre,982.0,27.0
subbing in,,Centre,982.0,27.0
subbing in,,Centre,982.0,27.0
subbing in,,Centre,982.0,27.0
subbing out,,Centre,982.0,27.0
subbing out,,Centre,982.0,27.0
subbing out,,Centre,982.0,27.0
subbing out,,Centre,982.0,27.0
jumper,missed,guilford college,977.0,22.0
defensive rebound,,Centre,,
turnover,,Centre,962.0,15.0
three pointer,missed,guilford college,954.0,22.0
defensive rebound,,Centre,,
jumper,missed,Centre,943.0,19.0
offensive rebound,,Centre,,
,,,939.0,30.0
defensive rebound,,guilford college,,
jumper,missed,guilford college,921.0,8.0
block,,Centre,921.0,30.0
defensive rebound,,Centre,,
three pointer,good,Centre,909.0,18.0
assist,,Centre,,
jumper,missed,guilford college,896.0,17.0
defensive rebound,,Centre,,
layup,missed,Centre,885.0,19.0
defensive rebound,,guilford college,,
foul,,Centre,867.0,12.0
timeout,,Centre,867.0,30.0
free throw,good,guilford college,867.0,30.0
free throw,good,guilford college,867.0,30.0
subbing in,,Centre,867.0,30.0
subbing in,,Centre,867.0,30.0
subbing out,,Centre,867.0,30.0
subbing out,,Centre,867.0,30.0
jumper,missed,Centre,847.0,10.0
block,,guilford college,847.0,30.0
defensive rebound,,guilford college,,
jumper,good,guilford college,839.0,22.0
assist,,guilford college,,
subbing in,,Centre,836.0,27.0
subbing out,,Centre,836.0,27.0
foul,,guilford college,824.0,15.0
free throw,good,Centre,824.0,30.0
free throw,good,Centre,824.0,30.0
subbing in,,guilford college,824.0,30.0
subbing out,,guilford college,824.0,30.0
subbing in,,Centre,824.0,30.0
subbing out,,Centre,824.0,30.0
layup,good,guilford college,817.0,23.0
assist,,guilford college,,
three pointer,missed,Centre,800.0,13.0
defensive rebound,,guilford college,,
jumper,missed,guilford college,784.0,14.0
defensive rebound,,Centre,,
jumper,good,Centre,775.0,21.0
jumper,missed,guilford college,754.0,9.0
offensive rebound,,guilford college,,
jumper,good,guilford college,744.0,20.0
assist,,guilford college,,
jumper,missed,Centre,722.0,8.0
defensive rebound,,guilford college,,
three pointer,missed,guilford college,713.0,21.0
defensive rebound,,Centre,,
jumper,missed,Centre,704.0,21.0
block,,guilford college,704.0,21.0
offensive rebound,,Centre,,
,,,700.0,30.0
three pointer,missed,guilford college,673.0,20.0
offensive rebound,,guilford college,,
turnover,,guilford college,669.0,26.0
steal,,Centre,669.0,30.0
timeout,,Centre,666.0,27.0
subbing in,,guilford college,666.0,27.0
subbing in,,guilford college,666.0,27.0
subbing out,,guilford college,666.0,27.0
subbing out,,guilford college,666.0,27.0
subbing in,,Centre,666.0,27.0
subbing in,,Centre,666.0,27.0
subbing in,,Centre,666.0,27.0
subbing out,,Centre,666.0,27.0
subbing out,,Centre,666.0,27.0
subbing out,,Centre,666.0,27.0
jumper,missed,Centre,651.0,12.0
defensive rebound,,guilford college,,
jumper,good,guilford college,623.0,2.0
assist,,guilford college,,
layup,missed,Centre,608.0,15.0
defensive rebound,,guilford college,,
three pointer,missed,guilford college,583.0,5.0
defensive rebound,,Centre,,
three pointer,missed,Centre,566.0,13.0
defensive rebound,,guilford college,,
three pointer,missed,guilford college,546.0,10.0
defensive rebound,,Centre,,
foul,,guilford college,539.0,23.0
free throw,good,Centre,539.0,30.0
free throw,good,Centre,539.0,30.0
subbing in,,guilford college,539.0,30.0
subbing in,,guilford college,539.0,30.0
subbing in,,guilford college,539.0,30.0
subbing out,,guilford college,539.0,30.0
subbing out,,guilford college,539.0,30.0
subbing out,,guilford college,539.0,30.0
subbing in,,Centre,539.0,30.0
subbing in,,Centre,539.0,30.0
subbing in,,Centre,539.0,30.0
subbing out,,Centre,539.0,30.0
subbing out,,Centre,539.0,30.0
subbing out,,Centre,539.0,30.0
layup,missed,guilford college,523.0,14.0
block,,Centre,523.0,14.0
offensive rebound,,Centre,,
jumper,good,guilford college,514.0,5.0
assist,,guilford college,,
foul,,guilford college,499.0,15.0
jumper,missed,Centre,496.0,27.0
defensive rebound,,guilford college,,
jumper,missed,guilford college,486.0,20.0
defensive rebound,,Centre,,
layup,good,Centre,462.0,6.0
jumper,good,guilford college,431.0,29.0
jumper,good,Centre,409.0,8.0
three pointer,missed,guilford college,381.0,2.0
offensive rebound,,guilford college,,
jumper,good,guilford college,377.0,26.0
turnover,,Centre,358.0,11.0
timeout,,Centre,358.0,30.0
subbing in,,guilford college,358.0,30.0
subbing in,,guilford college,358.0,30.0
subbing in,,guilford college,358.0,30.0
subbing out,,guilford college,358.0,30.0
subbing out,,guilford college,358.0,30.0
subbing out,,guilford college,358.0,30.0
subbing in,,Centre,358.0,30.0
subbing in,,Centre,358.0,30.0
subbing in,,Centre,358.0,30.0
subbing in,,Centre,358.0,30.0
subbing out,,Centre,358.0,30.0
subbing out,,Centre,358.0,30.0
subbing out,,Centre,358.0,30.0
subbing out,,Centre,358.0,30.0
three pointer,missed,guilford college,336.0,8.0
offensive rebound,,guilford college,,
turnover,,guilford college,330.0,24.0
three pointer,missed,Centre,325.0,25.0
defensive rebound,,guilford college,,
foul,,guilford college,293.0,28.0
turnover,,guilford college,293.0,30.0
subbing in,,guilford college,293.0,30.0
