Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
layup,good,washington univ.,1188.0,618.0
assist,,washington univ.,,
three pointer,missed,Centre,1162.0,4.0
defensive rebound,,washington univ.,,
jumper,missed,washington univ.,1146.0,14.0
defensive rebound,,Centre,,
three pointer,missed,Centre,1135.0,19.0
offensive rebound,,Centre,,
jumper,missed,Centre,1119.0,14.0
defensive rebound,,washington univ.,,
jumper,missed,washington univ.,1100.0,11.0
defensive rebound,,Centre,,
jumper,missed,Centre,1078.0,8.0
defensive rebound,,washington univ.,,
layup,missed,washington univ.,1070.0,22.0
block,,Centre,1070.0,22.0
offensive rebound,,Centre,,
subbing in,,Centre,1067.0,19.0
subbing in,,Centre,1067.0,19.0
subbing out,,Centre,1067.0,19.0
subbing out,,Centre,1067.0,19.0
jumper,missed,washington univ.,1066.0,18.0
offensive rebound,,washington univ.,,
three pointer,missed,washington univ.,1059.0,23.0
defensive rebound,,Centre,,
jumper,missed,Centre,1051.0,22.0
offensive rebound,,Centre,,
jumper,missed,Centre,1021.0,0.0
defensive rebound,,washington univ.,,
turnover,,washington univ.,1009.0,18.0
jumper,missed,Centre,997.0,18.0
defensive rebound,,washington univ.,,
jumper,missed,washington univ.,992.0,25.0
offensive rebound,,washington univ.,,
three pointer,good,washington univ.,978.0,16.0
jumper,missed,Centre,956.0,8.0
defensive rebound,,washington univ.,,
jumper,missed,washington univ.,945.0,19.0
defensive rebound,,Centre,,
jumper,missed,Centre,934.0,19.0
defensive rebound,,washington univ.,,
three pointer,missed,washington univ.,926.0,22.0
defensive rebound,,Centre,,
foul,,washington univ.,918.0,22.0
timeout,,Centre,918.0,30.0
free throw,good,Centre,918.0,30.0
free throw,good,Centre,918.0,30.0
subbing in,,washington univ.,918.0,30.0
subbing out,,washington univ.,918.0,30.0
subbing in,,Centre,918.0,30.0
subbing in,,Centre,918.0,30.0
subbing in,,Centre,918.0,30.0
subbing in,,Centre,918.0,30.0
subbing out,,Centre,918.0,30.0
subbing out,,Centre,918.0,30.0
subbing out,,Centre,918.0,30.0
subbing out,,Centre,918.0,30.0
jumper,missed,washington univ.,903.0,15.0
offensive rebound,,washington univ.,,
,,,899.0,30.0
block,,Centre,899.0,30.0
offensive rebound,,washington univ.,,
jumper,missed,washington univ.,884.0,11.0
defensive rebound,,Centre,,
layup,missed,Centre,859.0,5.0
offensive rebound,,Centre,,
jumper,missed,Centre,853.0,24.0
defensive rebound,,washington univ.,,
three pointer,good,washington univ.,833.0,10.0
assist,,washington univ.,,
jumper,good,Centre,803.0,0.0
foul,,washington univ.,802.0,29.0
free throw,good,Centre,802.0,30.0
subbing in,,washington univ.,802.0,30.0
subbing out,,washington univ.,802.0,30.0
jumper,missed,washington univ.,788.0,16.0
offensive rebound,,washington univ.,,
jumper,good,washington univ.,770.0,12.0
assist,,washington univ.,,
layup,good,Centre,750.0,10.0
foul,,washington univ.,729.0,9.0
turnover,,washington univ.,729.0,30.0
subbing in,,washington univ.,729.0,30.0
subbing in,,washington univ.,729.0,30.0
subbing out,,washington univ.,729.0,30.0
subbing out,,washington univ.,729.0,30.0
jumper,good,Centre,715.0,16.0
layup,missed,washington univ.,689.0,4.0
defensive rebound,,Centre,,
jumper,good,Centre,670.0,11.0
assist,,Centre,,
jumper,good,washington univ.,656.0,16.0
assist,,washington univ.,,
foul,,Centre,632.0,6.0
turnover,,Centre,632.0,30.0
timeout,,Centre,632.0,30.0
subbing in,,washington univ.,632.0,30.0
subbing in,,washington univ.,632.0,30.0
subbing out,,washington univ.,632.0,30.0
subbing out,,washington univ.,632.0,30.0
subbing in,,Centre,632.0,30.0
subbing in,,Centre,632.0,30.0
subbing out,,Centre,632.0,30.0
subbing out,,Centre,632.0,30.0
three pointer,missed,washington univ.,611.0,9.0
defensive rebound,,Centre,,
turnover,,Centre,603.0,22.0
steal,,washington univ.,602.0,29.0
turnover,,washington univ.,597.0,25.0
steal,,Centre,596.0,29.0
layup,missed,Centre,590.0,24.0
defensive rebound,,washington univ.,,
layup,missed,washington univ.,568.0,8.0
defensive rebound,,Centre,,
layup,missed,Centre,564.0,26.0
defensive rebound,,washington univ.,,
jumper,missed,washington univ.,550.0,16.0
defensive rebound,,Centre,,
three pointer,missed,Centre,538.0,18.0
defensive rebound,,washington univ.,,
layup,good,washington univ.,533.0,25.0
jumper,missed,Centre,511.0,8.0
defensive rebound,,washington univ.,,
layup,good,washington univ.,487.0,6.0
assist,,washington univ.,,
jumper,missed,Centre,463.0,6.0
defensive rebound,,washington univ.,,
turnover,,washington univ.,453.0,20.0
steal,,Centre,452.0,29.0
layup,good,Centre,449.0,27.0
timeout,,Centre,445.0,26.0
subbing in,,washington univ.,445.0,26.0
subbing in,,washington univ.,445.0,26.0
subbing out,,washington univ.,445.0,26.0
subbing out,,washington univ.,445.0,26.0
subbing in,,Centre,445.0,26.0
subbing in,,Centre,445.0,26.0
subbing in,,Centre,445.0,26.0
subbing in,,Centre,445.0,26.0
subbing in,,Centre,445.0,26.0
subbing out,,Centre,445.0,26.0
subbing out,,Centre,445.0,26.0
subbing out,,Centre,445.0,26.0
subbing out,,Centre,445.0,26.0
subbing out,,Centre,445.0,26.0
layup,missed,washington univ.,419.0,0.0
offensive rebound,,washington univ.,,
,,,415.0,30.0
turnover,,Centre,404.0,15.0
steal,,washington univ.,403.0,29.0
jumper,good,washington univ.,389.0,16.0
assist,,washington univ.,,
timeout,,Centre,384.0,25.0
subbing in,,Centre,384.0,25.0
subbing in,,Centre,384.0,25.0
subbing in,,Centre,384.0,25.0
subbing out,,Centre,384.0,25.0
subbing out,,Centre,384.0,25.0
subbing out,,Centre,384.0,25.0
turnover,,Centre,373.0,14.0
steal,,washington univ.,372.0,29.0
foul,,Centre,354.0,12.0
timeout,,Centre,354.0,30.0
free throw,good,washington univ.,354.0,30.0
free throw,good,washington univ.,354.0,30.0
jumper,good,Centre,341.0,17.0
assist,,Centre,,
foul,,Centre,309.0,28.0
free throw,good,washington univ.,309.0,30.0
free throw,good,washington univ.,309.0,30.0
three pointer,missed,Centre,289.0,10.0
defensive rebound,,washington univ.,,
layup,good,washington univ.,271.0,12.0
three pointer,missed,Centre,246.0,5.0
offensive rebound,,Centre,,
layup,missed,Centre,237.0,21.0
defensive rebound,,washington univ.,,
turnover,,washington univ.,219.0,12.0
steal,,Centre,218.0,29.0
jumper,missed,Centre,212.0,24.0
offensive rebound,,Centre,,
jumper,missed,Centre,199.0,17.0
defensive rebound,,washington univ.,,
turnover,,washington univ.,193.0,24.0
timeout,,Centre,193.0,30.0
subbing in,,washington univ.,193.0,30.0
subbing in,,washington univ.,193.0,30.0
subbing out,,washington univ.,193.0,30.0
