Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
three pointer,missed,Centre,571.0,1.0
defensive rebound,,covenant,,
jumper,good,covenant,558.0,17.0
assist,,covenant,,
three pointer,missed,Centre,527.0,29.0
defensive rebound,,covenant,,
three pointer,missed,covenant,515.0,18.0
defensive rebound,,Centre,,
foul,,covenant,489.0,4.0
free throw,missed,Centre,489.0,30.0
deadball rebound,,Centre,,
free throw,good,Centre,489.0,30.0
layup,good,covenant,466.0,7.0
assist,,covenant,,
turnover,,Centre,458.0,22.0
steal,,covenant,454.0,26.0
layup,good,covenant,446.0,22.0
assist,,covenant,,
turnover,,Centre,424.0,8.0
three pointer,missed,covenant,412.0,18.0
offensive rebound,,covenant,,
three pointer,missed,covenant,402.0,20.0
offensive rebound,,covenant,,
layup,missed,covenant,394.0,22.0
defensive rebound,,Centre,,
three pointer,good,Centre,377.0,13.0
assist,,Centre,,
layup,missed,covenant,355.0,8.0
defensive rebound,,Centre,,
foul,,covenant,354.0,29.0
subbing in,,covenant,354.0,30.0
subbing in,,covenant,354.0,30.0
subbing out,,covenant,354.0,30.0
subbing out,,covenant,354.0,30.0
subbing in,,Centre,354.0,30.0
subbing in,,Centre,354.0,30.0
subbing in,,Centre,354.0,30.0
subbing out,,Centre,354.0,30.0
subbing out,,Centre,354.0,30.0
subbing out,,Centre,354.0,30.0
foul,,covenant,350.0,26.0
turnover,,Centre,321.0,1.0
subbing in,,covenant,321.0,30.0
subbing out,,covenant,321.0,30.0
turnover,,covenant,310.0,19.0
steal,,Centre,309.0,29.0
three pointer,missed,Centre,303.0,24.0
defensive rebound,,covenant,,
turnover,,covenant,294.0,21.0
timeout,,Centre,294.0,30.0
turnover,,Centre,283.0,19.0
steal,,covenant,283.0,30.0
three pointer,missed,covenant,259.0,6.0
defensive rebound,,Centre,,
turnover,,Centre,242.0,13.0
foul,,Centre,242.0,30.0
subbing in,,covenant,242.0,30.0
subbing out,,covenant,242.0,30.0
subbing in,,Centre,242.0,30.0
subbing in,,Centre,242.0,30.0
subbing in,,Centre,242.0,30.0
subbing out,,Centre,242.0,30.0
subbing out,,Centre,242.0,30.0
subbing out,,Centre,242.0,30.0
jumper,missed,covenant,217.0,5.0
defensive rebound,,Centre,,
jumper,good,Centre,206.0,19.0
assist,,Centre,,
turnover,,covenant,196.0,20.0
subbing in,,covenant,196.0,30.0
subbing in,,covenant,196.0,30.0
subbing out,,covenant,196.0,30.0
subbing out,,covenant,196.0,30.0
three pointer,missed,Centre,179.0,13.0
defensive rebound,,covenant,,
jumper,missed,covenant,161.0,12.0
defensive rebound,,Centre,,
turnover,,Centre,148.0,17.0
steal,,covenant,146.0,28.0
layup,good,covenant,142.0,26.0
turnover,,Centre,133.0,21.0
subbing in,,Centre,131.0,28.0
subbing out,,Centre,131.0,28.0
turnover,,covenant,130.0,27.0
steal,,Centre,129.0,29.0
jumper,missed,Centre,121.0,22.0
offensive rebound,,Centre,,
jumper,missed,Centre,100.0,9.0
defensive rebound,,covenant,,
turnover,,covenant,95.0,25.0
subbing in,,covenant,94.0,29.0
subbing out,,covenant,94.0,29.0
three pointer,missed,Centre,82.0,17.0
defensive rebound,,covenant,,
foul,,Centre,73.0,21.0
subbing in,,Centre,73.0,30.0
subbing out,,Centre,73.0,30.0
layup,missed,covenant,60.0,17.0
defensive rebound,,Centre,,
turnover,,Centre,30.0,30.0
steal,,covenant,29.0,29.0
layup,good,covenant,23.0,23.0
jumper,missed,Centre,0.0,0.0
block,,covenant,0.0,0.0
offensive rebound,,Centre,,
,,,,
subbing in,,covenant,600.0,30.0
subbing in,,covenant,600.0,30.0
subbing out,,covenant,600.0,30.0
subbing out,,covenant,600.0,30.0
subbing out,,covenant,600.0,30.0
subbing out,,covenant,600.0,30.0
subbing out,,Centre,600.0,30.0
layup,good,covenant,598.0,28.0
assist,,covenant,,
subbing in,,covenant,595.0,27.0
subbing in,,covenant,595.0,27.0
subbing in,,Centre,595.0,27.0
layup,missed,Centre,594.0,26.0
defensive rebound,,covenant,,
layup,missed,covenant,545.0,11.0
offensive rebound,,covenant,,
layup,good,covenant,542.0,27.0
subbing in,,Centre,538.0,26.0
subbing in,,Centre,538.0,26.0
subbing out,,Centre,538.0,26.0
subbing out,,Centre,538.0,26.0
timeout,,Centre,535.0,23.0
turnover,,Centre,530.0,18.0
steal,,covenant,528.0,28.0
jumper,good,covenant,521.0,23.0
assist,,covenant,,
turnover,,Centre,489.0,28.0
subbing in,,Centre,489.0,30.0
subbing in,,Centre,489.0,30.0
subbing out,,Centre,489.0,30.0
subbing out,,Centre,489.0,30.0
turnover,,covenant,469.0,10.0
steal,,Centre,465.0,26.0
layup,missed,Centre,461.0,26.0
offensive rebound,,Centre,,
layup,good,Centre,460.0,29.0
foul,,covenant,460.0,30.0
free throw,missed,Centre,460.0,30.0
defensive rebound,,covenant,,
subbing in,,covenant,460.0,30.0
subbing out,,covenant,460.0,30.0
subbing in,,Centre,460.0,30.0
subbing out,,Centre,460.0,30.0
jumper,missed,covenant,447.0,17.0
defensive rebound,,Centre,,
jumper,good,Centre,418.0,1.0
layup,good,covenant,391.0,3.0
assist,,covenant,,
