Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
three pointer,good,Centre,584.0,14.0
assist,,Centre,,
layup,missed,d'youville,565.0,11.0
defensive rebound,,Centre,,
turnover,,Centre,556.0,21.0
layup,missed,d'youville,545.0,19.0
defensive rebound,,Centre,,
jumper,good,Centre,533.0,18.0
foul,,Centre,517.0,14.0
layup,missed,d'youville,504.0,17.0
defensive rebound,,Centre,,
turnover,,Centre,489.0,15.0
layup,missed,d'youville,477.0,18.0
defensive rebound,,Centre,,
foul,,d'youville,477.0,30.0
subbing out,,Centre,469.0,22.0
subbing in,,Centre,469.0,22.0
foul,,d'youville,468.0,21.0
subbing out,,d'youville,468.0,30.0
subbing in,,d'youville,468.0,30.0
free throw,good,Centre,468.0,30.0
free throw,good,Centre,468.0,30.0
turnover,,d'youville,465.0,27.0
steal,,Centre,465.0,30.0
turnover,,Centre,456.0,21.0
foul,,Centre,430.0,4.0
subbing out,,Centre,430.0,30.0
subbing in,,Centre,430.0,30.0
jumper,missed,d'youville,424.0,24.0
defensive rebound,,Centre,,
jumper,missed,Centre,412.0,18.0
block,,d'youville,412.0,18.0
offensive rebound,,Centre,,
layup,missed,Centre,403.0,9.0
defensive rebound,,d'youville,,
turnover,,d'youville,396.0,23.0
subbing out,,Centre,396.0,30.0
subbing out,,Centre,396.0,30.0
subbing in,,Centre,396.0,30.0
subbing in,,Centre,396.0,30.0
subbing out,,d'youville,396.0,30.0
subbing in,,d'youville,396.0,30.0
jumper,missed,Centre,385.0,19.0
offensive rebound,,Centre,,
foul,,d'youville,379.0,24.0
subbing out,,d'youville,379.0,30.0
subbing in,,d'youville,379.0,30.0
three pointer,missed,Centre,376.0,27.0
defensive rebound,,d'youville,,
turnover,,d'youville,358.0,12.0
foul,,d'youville,336.0,8.0
free throw,good,Centre,336.0,30.0
free throw,good,Centre,336.0,30.0
subbing out,,Centre,336.0,30.0
subbing out,,Centre,336.0,30.0
subbing in,,Centre,336.0,30.0
subbing in,,Centre,336.0,30.0
jumper,missed,d'youville,325.0,19.0
defensive rebound,,Centre,,
three pointer,good,Centre,307.0,12.0
assist,,Centre,,
timeout,,Centre,303.0,26.0
turnover,,d'youville,279.0,2.0
turnover,,Centre,266.0,17.0
subbing out,,d'youville,266.0,30.0
subbing out,,d'youville,266.0,30.0
subbing in,,d'youville,266.0,30.0
subbing in,,d'youville,266.0,30.0
layup,missed,d'youville,255.0,19.0
offensive rebound,,d'youville,,
foul,,d'youville,246.0,21.0
turnover,,d'youville,246.0,30.0
three pointer,missed,Centre,233.0,17.0
defensive rebound,,d'youville,,
turnover,,d'youville,225.0,22.0
subbing out,,Centre,225.0,30.0
subbing out,,Centre,225.0,30.0
subbing out,,Centre,225.0,30.0
subbing in,,Centre,225.0,30.0
subbing in,,Centre,225.0,30.0
subbing in,,Centre,225.0,30.0
subbing out,,d'youville,225.0,30.0
subbing in,,d'youville,225.0,30.0
turnover,,Centre,212.0,17.0
steal,,d'youville,212.0,30.0
turnover,,d'youville,207.0,25.0
foul,,d'youville,198.0,21.0
free throw,missed,Centre,198.0,30.0
deadball rebound,,Centre,,
free throw,good,Centre,198.0,30.0
jumper,missed,d'youville,185.0,17.0
defensive rebound,,Centre,,
foul,,d'youville,183.0,28.0
subbing out,,d'youville,183.0,30.0
subbing out,,d'youville,183.0,30.0
subbing in,,d'youville,183.0,30.0
subbing in,,d'youville,183.0,30.0
free throw,good,Centre,183.0,30.0
free throw,good,Centre,183.0,30.0
three pointer,missed,d'youville,178.0,25.0
defensive rebound,,Centre,,
three pointer,missed,Centre,166.0,18.0
