Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
three pointer,good,Centre,1184.0,14.0
layup,good,defiance college,1155.0,1.0
turnover,,Centre,1127.0,2.0
steal,,defiance college,1127.0,30.0
layup,missed,defiance college,1116.0,19.0
defensive rebound,,Centre,,
foul,,defiance college,1105.0,19.0
layup,good,Centre,1095.0,20.0
assist,,Centre,,
three pointer,good,defiance college,1063.0,28.0
assist,,defiance college,,
foul,,defiance college,1037.0,4.0
free throw,good,Centre,1037.0,30.0
free throw,good,Centre,1037.0,30.0
turnover,,defiance college,1028.0,21.0
jumper,missed,Centre,1023.0,25.0
offensive rebound,,Centre,,
layup,missed,Centre,1019.0,26.0
defensive rebound,,defiance college,,
jumper,missed,defiance college,998.0,9.0
offensive rebound,,defiance college,,
jumper,missed,defiance college,990.0,22.0
defensive rebound,,Centre,,
layup,good,Centre,975.0,15.0
three pointer,missed,defiance college,955.0,10.0
defensive rebound,,Centre,,
jumper,missed,Centre,944.0,19.0
defensive rebound,,defiance college,,
layup,missed,defiance college,927.0,13.0
defensive rebound,,Centre,,
foul,,defiance college,913.0,16.0
free throw,missed,Centre,913.0,30.0
deadball rebound,,Centre,,
free throw,good,Centre,913.0,30.0
subbing in,,defiance college,913.0,30.0
subbing in,,defiance college,913.0,30.0
subbing out,,defiance college,913.0,30.0
subbing out,,defiance college,913.0,30.0
subbing in,,Centre,913.0,30.0
subbing in,,Centre,913.0,30.0
subbing in,,Centre,913.0,30.0
subbing out,,Centre,913.0,30.0
subbing out,,Centre,913.0,30.0
subbing out,,Centre,913.0,30.0
turnover,,defiance college,901.0,18.0
layup,good,Centre,872.0,1.0
turnover,,defiance college,870.0,28.0
timeout,,Centre,870.0,30.0
subbing in,,Centre,847.0,7.0
subbing out,,Centre,847.0,7.0
turnover,,Centre,842.0,2.0
steal,,defiance college,840.0,28.0
turnover,,defiance college,815.0,5.0
steal,,Centre,815.0,30.0
subbing in,,Centre,815.0,30.0
subbing out,,Centre,815.0,30.0
three pointer,good,Centre,804.0,19.0
assist,,Centre,,
turnover,,defiance college,787.0,13.0
layup,missed,Centre,777.0,20.0
block,,defiance college,777.0,30.0
defensive rebound,,defiance college,,
turnover,,defiance college,755.0,8.0
steal,,Centre,754.0,29.0
foul,,defiance college,750.0,26.0
free throw,good,Centre,750.0,30.0
free throw,good,Centre,750.0,30.0
subbing in,,defiance college,750.0,30.0
subbing out,,defiance college,750.0,30.0
turnover,,defiance college,747.0,27.0
turnover,,Centre,738.0,21.0
steal,,defiance college,737.0,29.0
turnover,,defiance college,720.0,13.0
subbing in,,defiance college,720.0,30.0
subbing out,,defiance college,720.0,30.0
subbing in,,Centre,720.0,30.0
subbing in,,Centre,720.0,30.0
subbing in,,Centre,720.0,30.0
subbing out,,Centre,720.0,30.0
subbing out,,Centre,720.0,30.0
subbing out,,Centre,720.0,30.0
turnover,,Centre,710.0,20.0
layup,good,Centre,707.0,27.0
foul,,Centre,689.0,12.0
jumper,missed,defiance college,678.0,19.0
offensive rebound,,defiance college,,
jumper,good,defiance college,669.0,21.0
three pointer,missed,Centre,649.0,10.0
defensive rebound,,defiance college,,
jumper,missed,defiance college,638.0,19.0
offensive rebound,,defiance college,,
layup,missed,defiance college,633.0,25.0
offensive rebound,,defiance college,,
foul,,defiance college,613.0,10.0
turnover,,defiance college,613.0,30.0
three pointer,good,Centre,605.0,22.0
timeout,,Centre,602.0,27.0
subbing in,,defiance college,602.0,27.0
subbing out,,defiance college,602.0,27.0
turnover,,defiance college,591.0,16.0
steal,,Centre,588.0,27.0
turnover,,defiance college,587.0,29.0
layup,missed,defiance college,583.0,26.0
defensive rebound,,Centre,,
layup,good,Centre,571.0,18.0
assist,,Centre,,
foul,,Centre,563.0,22.0
subbing in,,defiance college,563.0,30.0
subbing in,,defiance college,563.0,30.0
subbing out,,defiance college,563.0,30.0
subbing out,,defiance college,563.0,30.0
subbing in,,Centre,563.0,30.0
subbing out,,Centre,563.0,30.0
jumper,missed,defiance college,546.0,13.0
defensive rebound,,Centre,,
foul,,defiance college,524.0,8.0
free throw,missed,Centre,524.0,30.0
deadball rebound,,Centre,,
free throw,good,Centre,524.0,30.0
free throw,good,Centre,524.0,30.0
turnover,,defiance college,505.0,11.0
three pointer,good,Centre,491.0,16.0
assist,,Centre,,
foul,,defiance college,464.0,3.0
turnover,,defiance college,464.0,30.0
subbing in,,defiance college,464.0,30.0
subbing in,,defiance college,464.0,30.0
subbing out,,defiance college,464.0,30.0
subbing out,,defiance college,464.0,30.0
subbing in,,Centre,464.0,30.0
subbing in,,Centre,464.0,30.0
subbing in,,Centre,464.0,30.0
subbing in,,Centre,464.0,30.0
subbing out,,Centre,464.0,30.0
subbing out,,Centre,464.0,30.0
subbing out,,Centre,464.0,30.0
subbing out,,Centre,464.0,30.0
turnover,,Centre,446.0,12.0
steal,,defiance college,445.0,29.0
turnover,,defiance college,436.0,21.0
steal,,Centre,435.0,29.0
layup,good,Centre,433.0,28.0
turnover,,defiance college,406.0,3.0
subbing in,,defiance college,406.0,30.0
subbing out,,defiance college,406.0,30.0
three pointer,good,Centre,394.0,18.0
assist,,Centre,,
jumper,missed,defiance college,365.0,1.0
defensive rebound,,Centre,,
jumper,missed,Centre,353.0,18.0
block,,defiance college,353.0,30.0
defensive rebound,,defiance college,,
layup,good,defiance college,341.0,18.0
assist,,defiance college,,
layup,good,Centre,320.0,9.0
assist,,Centre,,
subbing in,,defiance college,318.0,28.0
subbing out,,defiance college,318.0,28.0
turnover,,defiance college,301.0,11.0
steal,,Centre,299.0,28.0
jumper,missed,Centre,289.0,20.0
defensive rebound,,defiance college,,
three pointer,missed,defiance college,280.0,21.0
