Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
jumper,missed,Centre,1177.0,607.0
offensive rebound,,Centre,,
turnover,,Centre,1170.0,23.0
three pointer,missed,lagrange,1150.0,10.0
defensive rebound,,Centre,,
layup,good,Centre,1136.0,16.0
assist,,Centre,,
jumper,missed,lagrange,1115.0,9.0
block,,Centre,1115.0,30.0
defensive rebound,,Centre,,
three pointer,missed,Centre,1108.0,23.0
defensive rebound,,lagrange,,
layup,missed,lagrange,1089.0,11.0
offensive rebound,,lagrange,,
layup,good,lagrange,1077.0,18.0
jumper,missed,Centre,1066.0,19.0
offensive rebound,,Centre,,
turnover,,Centre,1059.0,23.0
jumper,missed,lagrange,1039.0,10.0
defensive rebound,,Centre,,
foul,,lagrange,1033.0,24.0
free throw,good,Centre,1033.0,30.0
free throw,missed,Centre,1033.0,30.0
defensive rebound,,lagrange,,
jumper,missed,lagrange,1004.0,1.0
defensive rebound,,Centre,,
foul,,lagrange,1004.0,30.0
three pointer,good,Centre,1004.0,30.0
turnover,,lagrange,1004.0,30.0
steal,,Centre,1003.0,29.0
three pointer,missed,Centre,1000.0,27.0
defensive rebound,,Centre,,
subbing in,,lagrange,997.0,27.0
subbing out,,lagrange,997.0,27.0
assist,,lagrange,,
free throw,good,Centre,967.0,30.0
layup,good,Centre,967.0,27.0
subbing in,,Centre,966.0,-4.0
subbing out,,Centre,966.0,-4.0
layup,good,lagrange,963.0,23.0
foul,,Centre,963.0,30.0
free throw,good,lagrange,963.0,30.0
three pointer,good,Centre,947.0,14.0
assist,,Centre,,
three pointer,missed,lagrange,929.0,12.0
defensive rebound,,Centre,,
turnover,,Centre,897.0,28.0
timeout,,Centre,897.0,30.0
subbing in,,Centre,897.0,30.0
subbing in,,Centre,897.0,30.0
subbing in,,Centre,897.0,30.0
subbing out,,Centre,897.0,30.0
subbing out,,Centre,897.0,30.0
subbing out,,Centre,897.0,30.0
turnover,,lagrange,870.0,3.0
subbing in,,lagrange,870.0,30.0
subbing in,,lagrange,870.0,30.0
subbing out,,lagrange,870.0,30.0
subbing out,,lagrange,870.0,30.0
layup,missed,Centre,856.0,16.0
defensive rebound,,lagrange,,
jumper,missed,lagrange,843.0,17.0
offensive rebound,,Centre,,
subbing in,,Centre,843.0,30.0
subbing out,,Centre,843.0,30.0
jumper,missed,lagrange,836.0,23.0
offensive rebound,,lagrange,,
three pointer,good,lagrange,823.0,17.0
assist,,lagrange,,
three pointer,missed,Centre,811.0,18.0
defensive rebound,,Centre,,
subbing in,,Centre,807.0,26.0
subbing out,,Centre,807.0,26.0
turnover,,lagrange,778.0,27.0
subbing in,,lagrange,761.0,13.0
subbing out,,lagrange,761.0,13.0
layup,good,Centre,755.0,7.0
assist,,Centre,,
jumper,missed,lagrange,743.0,18.0
defensive rebound,,Centre,,
foul,,lagrange,725.0,12.0
jumper,good,Centre,715.0,20.0
layup,good,lagrange,699.0,14.0
turnover,,Centre,692.0,23.0
subbing in,,Centre,692.0,30.0
subbing out,,Centre,692.0,30.0
jumper,missed,lagrange,674.0,12.0
block,,Centre,674.0,30.0
defensive rebound,,Centre,,
layup,missed,Centre,668.0,24.0
block,,lagrange,668.0,24.0
offensive rebound,,Centre,,
subbing in,,lagrange,668.0,24.0
subbing in,,lagrange,668.0,24.0
