Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
layup,missed,carthage (wis.),1171.0,601.0
defensive rebound,,Centre,,
three pointer,good,Centre,1158.0,17.0
assist,,Centre,,
three pointer,missed,carthage (wis.),1105.0,7.0
defensive rebound,,Centre,,
turnover,,Centre,1080.0,5.0
steal,,carthage (wis.),1077.0,27.0
jumper,good,Centre,1074.0,27.0
jumper,missed,carthage (wis.),1066.0,22.0
defensive rebound,,Centre,,
jumper,missed,Centre,1050.0,14.0
defensive rebound,,carthage (wis.),,
foul,,Centre,1035.0,15.0
free throw,good,carthage (wis.),1035.0,30.0
free throw,good,carthage (wis.),1035.0,30.0
subbing in,,Centre,1035.0,30.0
subbing out,,Centre,1035.0,30.0
layup,missed,carthage (wis.),1018.0,13.0
defensive rebound,,Centre,,
free throw,missed,Centre,1008.0,30.0
foul,,carthage (wis.),1008.0,30.0
deadball rebound,,Centre,,
free throw,good,Centre,1008.0,30.0
subbing in,,Centre,1008.0,30.0
subbing out,,Centre,1008.0,30.0
foul,,Centre,998.0,10.0
free throw,good,carthage (wis.),998.0,30.0
free throw,good,carthage (wis.),998.0,30.0
jumper,missed,Centre,988.0,20.0
defensive rebound,,carthage (wis.),,
layup,missed,carthage (wis.),965.0,7.0
defensive rebound,,Centre,,
three pointer,good,Centre,957.0,22.0
assist,,Centre,,
layup,missed,carthage (wis.),949.0,22.0
defensive rebound,,Centre,,
layup,good,Centre,934.0,15.0
assist,,Centre,,
subbing in,,Centre,918.0,14.0
subbing in,,Centre,918.0,14.0
subbing out,,Centre,918.0,14.0
subbing out,,Centre,918.0,14.0
three pointer,good,carthage (wis.),905.0,1.0
assist,,carthage (wis.),,
foul,,carthage (wis.),858.0,13.0
free throw,good,Centre,858.0,30.0
free throw,good,Centre,858.0,30.0
subbing in,,carthage (wis.),858.0,30.0
subbing out,,carthage (wis.),858.0,30.0
jumper,good,carthage (wis.),817.0,19.0
assist,,carthage (wis.),,
jumper,missed,Centre,762.0,5.0
defensive rebound,,carthage (wis.),,
foul,,Centre,702.0,0.0
deadball rebound,,Centre,,
free throw,missed,carthage (wis.),702.0,30.0
free throw,good,carthage (wis.),702.0,30.0
layup,missed,Centre,692.0,20.0
defensive rebound,,carthage (wis.),,
jumper,good,carthage (wis.),672.0,10.0
three pointer,missed,Centre,665.0,23.0
defensive rebound,,carthage (wis.),,
jumper,good,carthage (wis.),652.0,17.0
layup,good,Centre,643.0,21.0
assist,,Centre,,
jumper,missed,Centre,619.0,6.0
defensive rebound,,carthage (wis.),,
turnover,,carthage (wis.),614.0,25.0
steal,,Centre,613.0,29.0
layup,good,Centre,610.0,27.0
layup,good,carthage (wis.),605.0,25.0
jumper,missed,carthage (wis.),587.0,12.0
defensive rebound,,Centre,,
foul,,carthage (wis.),579.0,22.0
free throw,good,Centre,579.0,30.0
free throw,missed,Centre,579.0,30.0
defensive rebound,,carthage (wis.),,
subbing in,,carthage (wis.),579.0,30.0
