Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
layup,good,marietta,587.0,17.0
assist,,marietta,,
layup,missed,Centre,570.0,13.0
defensive rebound,,marietta,,
three pointer,missed,marietta,562.0,22.0
defensive rebound,,Centre,,
jumper,missed,Centre,544.0,12.0
offensive rebound,,Centre,,
turnover,,Centre,526.0,12.0
steal,,marietta,524.0,28.0
layup,good,marietta,522.0,28.0
assist,,marietta,,
turnover,,Centre,508.0,16.0
layup,missed,marietta,496.0,18.0
offensive rebound,,marietta,,
layup,good,marietta,493.0,27.0
turnover,,Centre,473.0,10.0
steal,,marietta,472.0,29.0
subbing in,,Centre,470.0,28.0
subbing in,,Centre,470.0,28.0
subbing in,,Centre,470.0,28.0
subbing out,,Centre,470.0,28.0
subbing out,,Centre,470.0,28.0
subbing out,,Centre,470.0,28.0
layup,good,marietta,464.0,22.0
assist,,marietta,,
turnover,,Centre,455.0,21.0
jumper,missed,marietta,436.0,11.0
offensive rebound,,marietta,,
foul,,Centre,431.0,25.0
free throw,missed,marietta,431.0,30.0
deadball rebound,,Centre,,
free throw,missed,marietta,431.0,30.0
defensive rebound,,Centre,,
subbing in,,Centre,431.0,30.0
subbing out,,Centre,431.0,30.0
jumper,good,Centre,405.0,4.0
assist,,Centre,,
three pointer,missed,marietta,396.0,21.0
defensive rebound,,Centre,,
jumper,missed,Centre,386.0,20.0
defensive rebound,,Centre,,
subbing in,,marietta,383.0,27.0
subbing out,,marietta,383.0,27.0
layup,good,marietta,366.0,10.0
assist,,marietta,,
turnover,,Centre,351.0,15.0
steal,,marietta,348.0,27.0
jumper,missed,marietta,330.0,12.0
offensive rebound,,marietta,,
layup,missed,marietta,319.0,19.0
defensive rebound,,Centre,,
timeout,,Centre,316.0,27.0
subbing in,,marietta,316.0,27.0
subbing out,,marietta,316.0,27.0
subbing in,,Centre,316.0,27.0
subbing in,,Centre,316.0,27.0
subbing out,,Centre,316.0,27.0
subbing out,,Centre,316.0,27.0
subbing out,,Centre,316.0,27.0
subbing out,,Centre,316.0,27.0
foul,,marietta,301.0,12.0
subbing in,,marietta,301.0,30.0
subbing out,,marietta,301.0,30.0
jumper,good,Centre,295.0,24.0
turnover,,marietta,282.0,17.0
steal,,Centre,281.0,29.0
three pointer,good,Centre,273.0,22.0
assist,,Centre,,
layup,missed,marietta,261.0,18.0
defensive rebound,,Centre,,
turnover,,Centre,253.0,22.0
steal,,marietta,252.0,29.0
subbing in,,marietta,232.0,10.0
subbing in,,marietta,232.0,10.0
subbing out,,marietta,232.0,10.0
subbing out,,marietta,232.0,10.0
subbing in,,Centre,232.0,10.0
subbing in,,Centre,232.0,10.0
subbing in,,Centre,232.0,10.0
subbing out,,Centre,232.0,10.0
subbing out,,Centre,232.0,10.0
layup,missed,marietta,219.0,27.0
defensive rebound,,Centre,,
layup,missed,Centre,202.0,13.0
defensive rebound,,marietta,,
turnover,,marietta,184.0,12.0
steal,,Centre,184.0,30.0
subbing in,,Centre,184.0,30.0
three pointer,good,Centre,159.0,5.0
assist,,Centre,,
layup,missed,marietta,148.0,19.0
block,,Centre,148.0,30.0
defensive rebound,,Centre,,
turnover,,Centre,142.0,24.0
subbing in,,marietta,142.0,30.0
subbing in,,marietta,142.0,30.0
subbing out,,marietta,142.0,30.0
subbing out,,marietta,142.0,30.0
subbing in,,Centre,142.0,30.0
subbing out,,Centre,142.0,30.0
turnover,,marietta,131.0,19.0
turnover,,Centre,106.0,5.0
steal,,marietta,105.0,29.0
foul,,Centre,99.0,24.0
free throw,missed,marietta,99.0,30.0
deadball rebound,,Centre,,
free throw,good,marietta,99.0,30.0
subbing in,,Centre,99.0,30.0
subbing out,,Centre,99.0,30.0
three pointer,missed,Centre,87.0,18.0
defensive rebound,,marietta,,
turnover,,marietta,81.0,24.0
three pointer,missed,Centre,62.0,11.0
defensive rebound,,marietta,,
layup,good,marietta,48.0,16.0
assist,,marietta,,
three pointer,missed,Centre,34.0,16.0
offensive rebound,,Centre,,
layup,missed,Centre,23.0,23.0
block,,marietta,23.0,23.0
defensive rebound,,marietta,,
layup,good,marietta,14.0,14.0
assist,,marietta,,
foul,,marietta,6.0,6.0
subbing in,,Centre,6.0,6.0
subbing in,,Centre,6.0,6.0
subbing out,,Centre,6.0,6.0
subbing out,,Centre,6.0,6.0
layup,missed,Centre,5.0,5.0
defensive rebound,,marietta,,
foul,,Centre,3.0,3.0
subbing in,,marietta,3.0,3.0
subbing out,,marietta,3.0,3.0
three pointer,missed,marietta,1.0,1.0
deadball rebound,,Centre,,
,,,,
subbing in,,Centre,597.0,593.0
subbing out,,Centre,597.0,593.0
layup,missed,marietta,571.0,567.0
defensive rebound,,Centre,,
foul,,marietta,557.0,16.0
foul,,marietta,552.0,25.0
free throw,missed,Centre,552.0,30.0
deadball rebound,,Centre,,
free throw,missed,Centre,552.0,30.0
defensive rebound,,marietta,,
subbing in,,marietta,533.0,11.0
subbing out,,marietta,533.0,11.0
jumper,missed,marietta,527.0,5.0
offensive rebound,,marietta,,
layup,good,marietta,513.0,16.0
jumper,missed,Centre,498.0,15.0
block,,marietta,498.0,15.0
offensive rebound,,Centre,,
layup,good,Centre,491.0,8.0
assist,,Centre,,
jumper,good,marietta,475.0,14.0
assist,,marietta,,
three pointer,missed,Centre,467.0,22.0
offensive rebound,,Centre,,
layup,good,Centre,463.0,26.0
foul,,marietta,463.0,30.0
free throw,good,Centre,463.0,30.0
subbing in,,marietta,463.0,30.0
subbing out,,marietta,463.0,30.0
three pointer,good,marietta,438.0,5.0
assist,,marietta,,
turnover,,Centre,421.0,13.0
steal,,marietta,420.0,29.0
foul,,Centre,417.0,27.0
free throw,good,marietta,417.0,30.0
free throw,good,marietta,417.0,30.0
subbing in,,Centre,417.0,30.0
subbing in,,Centre,417.0,30.0
subbing in,,Centre,417.0,30.0
subbing in,,Centre,417.0,30.0
subbing out,,Centre,417.0,30.0
subbing out,,Centre,417.0,30.0
subbing out,,Centre,417.0,30.0
subbing out,,Centre,417.0,30.0
turnover,,Centre,406.0,19.0
steal,,marietta,404.0,28.0
jumper,good,marietta,398.0,24.0
timeout,,Centre,395.0,27.0
turnover,,Centre,375.0,7.0
steal,,marietta,373.0,28.0
turnover,,marietta,362.0,19.0
turnover,,Centre,352.0,20.0
layup,good,marietta,338.0,16.0
assist,,marietta,,
layup,missed,Centre,312.0,4.0
offensive rebound,,Centre,,
turnover,,Centre,308.0,26.0
subbing in,,marietta,308.0,30.0
subbing out,,marietta,308.0,30.0
subbing in,,Centre,308.0,30.0
subbing in,,Centre,308.0,30.0
subbing in,,Centre,308.0,30.0
subbing out,,Centre,308.0,30.0
subbing out,,Centre,308.0,30.0
subbing out,,Centre,308.0,30.0
