Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
jumper,missed,otterbein,585.0,15.0
defensive rebound,,Centre,,
three pointer,missed,Centre,569.0,14.0
defensive rebound,,otterbein,,
foul,,Centre,566.0,27.0
three pointer,missed,otterbein,553.0,17.0
defensive rebound,,Centre,,
turnover,,Centre,545.0,22.0
subbing out,,Centre,535.0,20.0
subbing in,,Centre,535.0,20.0
layup,missed,otterbein,518.0,3.0
defensive rebound,,Centre,,
foul,,otterbein,501.0,13.0
turnover,,Centre,490.0,19.0
steal,,otterbein,490.0,30.0
layup,missed,otterbein,466.0,6.0
defensive rebound,,Centre,,
block,,Centre,466.0,30.0
jumper,good,Centre,449.0,13.0
jumper,missed,otterbein,436.0,17.0
defensive rebound,,Centre,,
jumper,good,Centre,420.0,14.0
jumper,good,otterbein,404.0,14.0
jumper,missed,Centre,372.0,28.0
defensive rebound,,otterbein,,
jumper,missed,otterbein,351.0,9.0
defensive rebound,,Centre,,
subbing out,,Centre,348.0,27.0
subbing out,,Centre,348.0,27.0
subbing out,,Centre,348.0,27.0
subbing out,,Centre,348.0,27.0
subbing in,,Centre,348.0,27.0
subbing in,,Centre,348.0,27.0
subbing in,,Centre,348.0,27.0
subbing in,,Centre,348.0,27.0
subbing out,,otterbein,348.0,27.0
subbing out,,otterbein,348.0,27.0
subbing in,,otterbein,348.0,27.0
subbing in,,otterbein,348.0,27.0
jumper,missed,Centre,334.0,13.0
defensive rebound,,otterbein,,
jumper,good,otterbein,315.0,11.0
assist,,otterbein,,
jumper,missed,Centre,283.0,28.0
offensive rebound,,Centre,,
foul,,otterbein,273.0,20.0
timeout,,otterbein,272.0,29.0
subbing out,,Centre,272.0,29.0
subbing in,,Centre,272.0,29.0
foul,,otterbein,267.0,24.0
subbing out,,otterbein,264.0,27.0
subbing in,,otterbein,264.0,27.0
free throw,good,Centre,264.0,27.0
free throw,good,Centre,264.0,27.0
subbing out,,Centre,263.0,26.0
subbing in,,Centre,263.0,26.0
subbing out,,otterbein,263.0,26.0
subbing in,,otterbein,263.0,26.0
layup,missed,otterbein,252.0,15.0
offensive rebound,,otterbein,,
layup,missed,otterbein,247.0,25.0
defensive rebound,,Centre,,
foul,,otterbein,244.0,27.0
layup,missed,Centre,230.0,16.0
defensive rebound,,otterbein,,
jumper,missed,otterbein,214.0,14.0
offensive rebound,,otterbein,,
layup,good,otterbein,209.0,25.0
foul,,Centre,209.0,30.0
subbing out,,Centre,209.0,30.0
subbing in,,Centre,209.0,30.0
free throw,missed,otterbein,209.0,30.0
offensive rebound,,otterbein,,
turnover,,otterbein,209.0,30.0
three pointer,missed,Centre,190.0,11.0
defensive rebound,,otterbein,,
jumper,good,otterbein,174.0,14.0
layup,missed,Centre,152.0,8.0
defensive rebound,,Centre,,
subbing out,,Centre,149.0,27.0
subbing out,,Centre,149.0,27.0
subbing out,,Centre,149.0,27.0
subbing in,,Centre,149.0,27.0
subbing in,,Centre,149.0,27.0
subbing in,,Centre,149.0,27.0
subbing out,,otterbein,149.0,27.0
subbing in,,otterbein,149.0,27.0
turnover,,otterbein,147.0,25.0
steal,,Centre,147.0,30.0
turnover,,Centre,133.0,16.0
subbing out,,otterbein,122.0,19.0
subbing in,,otterbein,122.0,19.0
jumper,good,otterbein,115.0,12.0
assist,,otterbein,,
turnover,,Centre,96.0,11.0
subbing out,,Centre,90.0,24.0
subbing in,,Centre,90.0,24.0
layup,good,otterbein,75.0,9.0
assist,,otterbein,,
three pointer,missed,Centre,54.0,9.0
defensive rebound,,otterbein,,
jumper,good,otterbein,25.0,25.0
turnover,,Centre,10.0,10.0
turnover,,otterbein,4.0,4.0
steal,,Centre,4.0,4.0
three pointer,good,Centre,0.0,0.0
,,,,
subbing out,,otterbein,595.0,25.0
subbing out,,otterbein,595.0,25.0
