Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
three pointer,missed,Centre,1195.0,625.0
defensive rebound,,rose-hulman,,
jumper,good,rose-hulman,1182.0,17.0
three pointer,missed,Centre,1159.0,7.0
offensive rebound,,Centre,,
jumper,good,Centre,1133.0,4.0
foul,,Centre,1122.0,19.0
jumper,missed,rose-hulman,1113.0,21.0
defensive rebound,,Centre,,
three pointer,missed,Centre,1106.0,23.0
offensive rebound,,Centre,,
jumper,good,Centre,1102.0,26.0
jumper,missed,rose-hulman,1076.0,4.0
offensive rebound,,rose-hulman,,
turnover,,rose-hulman,1070.0,24.0
steal,,Centre,1069.0,29.0
three pointer,good,Centre,1063.0,24.0
assist,,Centre,,
layup,good,rose-hulman,1034.0,1.0
three pointer,missed,Centre,1005.0,1.0
offensive rebound,,Centre,,
layup,good,Centre,1001.0,26.0
three pointer,missed,rose-hulman,992.0,21.0
defensive rebound,,Centre,,
three pointer,good,Centre,981.0,19.0
assist,,Centre,,
jumper,missed,rose-hulman,959.0,8.0
block,,Centre,959.0,30.0
defensive rebound,,Centre,,
layup,good,Centre,954.0,25.0
assist,,Centre,,
timeout,,Centre,946.0,22.0
subbing in,,rose-hulman,946.0,22.0
subbing out,,rose-hulman,946.0,22.0
subbing in,,Centre,946.0,22.0
subbing in,,Centre,946.0,22.0
subbing out,,Centre,946.0,22.0
subbing out,,Centre,946.0,22.0
jumper,missed,rose-hulman,929.0,5.0
defensive rebound,,Centre,,
jumper,good,Centre,922.0,23.0
assist,,Centre,,
jumper,missed,rose-hulman,907.0,15.0
defensive rebound,,Centre,,
turnover,,Centre,896.0,19.0
steal,,rose-hulman,896.0,30.0
subbing in,,rose-hulman,896.0,30.0
subbing out,,rose-hulman,896.0,30.0
subbing in,,Centre,896.0,30.0
subbing out,,Centre,896.0,30.0
turnover,,rose-hulman,887.0,21.0
steal,,Centre,886.0,29.0
foul,,rose-hulman,881.0,25.0
free throw,good,Centre,881.0,30.0
free throw,good,Centre,881.0,30.0
turnover,,rose-hulman,866.0,15.0
steal,,Centre,866.0,30.0
turnover,,Centre,866.0,30.0
subbing in,,Centre,866.0,30.0
subbing out,,Centre,866.0,30.0
foul,,Centre,854.0,18.0
jumper,good,rose-hulman,845.0,21.0
assist,,rose-hulman,,
jumper,good,Centre,819.0,4.0
assist,,Centre,,
jumper,missed,rose-hulman,806.0,17.0
defensive rebound,,Centre,,
layup,good,Centre,797.0,21.0
assist,,Centre,,
turnover,,rose-hulman,785.0,18.0
subbing in,,Centre,785.0,30.0
subbing out,,Centre,785.0,30.0
turnover,,Centre,766.0,11.0
three pointer,missed,rose-hulman,741.0,5.0
defensive rebound,,Centre,,
turnover,,Centre,713.0,2.0
subbing in,,rose-hulman,713.0,30.0
subbing out,,rose-hulman,713.0,30.0
turnover,,rose-hulman,708.0,25.0
steal,,Centre,706.0,28.0
layup,good,Centre,701.0,25.0
timeout,,Centre,687.0,16.0
jumper,missed,rose-hulman,674.0,3.0
defensive rebound,,Centre,,
foul,,rose-hulman,664.0,20.0
free throw,good,Centre,664.0,30.0
free throw,good,Centre,664.0,30.0
subbing in,,rose-hulman,664.0,30.0
subbing out,,rose-hulman,664.0,30.0
subbing in,,Centre,658.0,24.0
subbing in,,Centre,658.0,24.0
subbing out,,Centre,658.0,24.0
subbing out,,Centre,658.0,24.0
layup,good,rose-hulman,643.0,9.0
assist,,rose-hulman,,
three pointer,missed,Centre,624.0,11.0
defensive rebound,,rose-hulman,,
foul,,Centre,614.0,20.0
subbing in,,Centre,614.0,30.0
subbing in,,Centre,614.0,30.0
subbing out,,Centre,614.0,30.0
subbing out,,Centre,614.0,30.0
jumper,missed,rose-hulman,605.0,21.0
defensive rebound,,Centre,,
jumper,good,Centre,597.0,22.0
foul,,Centre,572.0,5.0
subbing in,,rose-hulman,572.0,30.0
subbing out,,rose-hulman,572.0,30.0
subbing in,,Centre,572.0,30.0
subbing out,,Centre,572.0,30.0
turnover,,rose-hulman,567.0,25.0
steal,,Centre,565.0,28.0
layup,missed,Centre,562.0,27.0
offensive rebound,,Centre,,
foul,,rose-hulman,558.0,26.0
free throw,good,Centre,558.0,30.0
free throw,good,Centre,558.0,30.0
turnover,,rose-hulman,550.0,22.0
three pointer,good,Centre,546.0,26.0
assist,,Centre,,
layup,good,rose-hulman,527.0,11.0
jumper,missed,Centre,512.0,15.0
offensive rebound,,Centre,,
three pointer,missed,Centre,507.0,25.0
defensive rebound,,rose-hulman,,
three pointer,missed,rose-hulman,484.0,7.0
defensive rebound,,Centre,,
subbing in,,rose-hulman,478.0,24.0
subbing out,,rose-hulman,478.0,24.0
subbing in,,Centre,478.0,24.0
subbing in,,Centre,478.0,24.0
subbing out,,Centre,478.0,24.0
subbing out,,Centre,478.0,24.0
three pointer,missed,Centre,466.0,12.0
defensive rebound,,rose-hulman,,
three pointer,good,rose-hulman,443.0,7.0
three pointer,missed,Centre,426.0,13.0
defensive rebound,,rose-hulman,,
turnover,,rose-hulman,407.0,11.0
steal,,Centre,405.0,28.0
jumper,good,Centre,402.0,27.0
turnover,,rose-hulman,392.0,20.0
timeout,,Centre,392.0,30.0
three pointer,good,Centre,383.0,21.0
assist,,Centre,,
jumper,missed,rose-hulman,373.0,20.0
offensive rebound,,rose-hulman,,
three pointer,missed,rose-hulman,357.0,14.0
defensive rebound,,Centre,,
three pointer,good,Centre,347.0,20.0
assist,,Centre,,
layup,good,rose-hulman,332.0,15.0
three pointer,missed,Centre,306.0,4.0
defensive rebound,,rose-hulman,,
layup,missed,rose-hulman,295.0,19.0
defensive rebound,,Centre,,
layup,missed,Centre,287.0,22.0
offensive rebound,,Centre,,
layup,missed,Centre,282.0,25.0
offensive rebound,,Centre,,
subbing in,,rose-hulman,281.0,29.0
subbing out,,rose-hulman,281.0,29.0
subbing in,,Centre,281.0,29.0
subbing in,,Centre,281.0,29.0
subbing out,,Centre,281.0,29.0
subbing out,,Centre,281.0,29.0
jumper,missed,Centre,261.0,9.0
defensive rebound,,rose-hulman,,
jumper,good,rose-hulman,253.0,22.0
jumper,missed,Centre,238.0,15.0
defensive rebound,,rose-hulman,,
jumper,missed,rose-hulman,210.0,2.0
offensive rebound,,rose-hulman,,
layup,good,rose-hulman,207.0,27.0
timeout,,Centre,203.0,26.0
three pointer,missed,Centre,189.0,12.0
offensive rebound,,Centre,,
layup,missed,Centre,184.0,25.0
defensive rebound,,rose-hulman,,
turnover,,rose-hulman,172.0,18.0
steal,,Centre,170.0,28.0
foul,,rose-hulman,168.0,28.0
free throw,good,Centre,168.0,30.0
free throw,good,Centre,168.0,30.0
subbing in,,Centre,168.0,30.0
subbing out,,Centre,168.0,30.0
three pointer,missed,rose-hulman,156.0,18.0
defensive rebound,,Centre,,
turnover,,Centre,151.0,25.0
defensive rebound,,Centre,,
jumper,missed,rose-hulman,133.0,12.0
three pointer,missed,Centre,121.0,18.0
offensive rebound,,Centre,,
jumper,missed,Centre,106.0,15.0
defensive rebound,,rose-hulman,,
turnover,,rose-hulman,102.0,26.0
steal,,Centre,99.0,27.0
three pointer,missed,Centre,89.0,20.0
defensive rebound,,rose-hulman,,
foul,,rose-hulman,85.0,26.0
turnover,,rose-hulman,85.0,30.0
turnover,,Centre,67.0,12.0
subbing in,,Centre,63.0,26.0
subbing out,,Centre,63.0,26.0
turnover,,rose-hulman,61.0,24.0
steal,,Centre,60.0,29.0
turnover,,Centre,57.0,27.0
turnover,,rose-hulman,46.0,19.0
steal,,Centre,41.0,25.0
three pointer,good,Centre,35.0,24.0
assist,,Centre,,
turnover,,rose-hulman,20.0,20.0
steal,,Centre,17.0,17.0
three pointer,missed,Centre,10.0,10.0
defensive rebound,,rose-hulman,,
,,,,
jumper,missed,rose-hulman,1185.0,1180.0
offensive rebound,,rose-hulman,,
jumper,good,rose-hulman,1182.0,27.0
foul,,Centre,1182.0,30.0
free throw,good,rose-hulman,1182.0,30.0
foul,,rose-hulman,1169.0,17.0
free throw,good,Centre,1169.0,30.0
free throw,good,Centre,1169.0,30.0
