Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
jumper,missed,capital,1191.0,621.0
defensive rebound,,Centre,,
three pointer,good,Centre,1173.0,12.0
assist,,Centre,,
layup,good,capital,1156.0,13.0
assist,,capital,,
three pointer,missed,Centre,1127.0,1.0
defensive rebound,,capital,,
three pointer,missed,capital,1107.0,10.0
defensive rebound,,Centre,,
jumper,good,Centre,1093.0,16.0
jumper,good,capital,1081.0,18.0
jumper,missed,Centre,1064.0,13.0
offensive rebound,,Centre,,
turnover,,Centre,1059.0,25.0
steal,,capital,1058.0,29.0
layup,good,capital,1053.0,25.0
assist,,capital,,
foul,,Centre,1053.0,30.0
free throw,good,capital,1053.0,30.0
subbing in,,Centre,1053.0,30.0
subbing out,,Centre,1053.0,30.0
jumper,good,Centre,1041.0,18.0
assist,,Centre,,
turnover,,capital,1026.0,15.0
steal,,Centre,1024.0,28.0
layup,missed,Centre,1022.0,28.0
block,,capital,1022.0,28.0
offensive rebound,,Centre,,
subbing in,,capital,1022.0,28.0
subbing out,,capital,1022.0,28.0
layup,good,Centre,1020.0,26.0
assist,,Centre,,
jumper,missed,capital,1001.0,11.0
defensive rebound,,Centre,,
turnover,,Centre,994.0,23.0
subbing in,,Centre,994.0,30.0
subbing out,,Centre,994.0,30.0
three pointer,missed,capital,981.0,17.0
defensive rebound,,Centre,,
jumper,missed,Centre,973.0,22.0
defensive rebound,,capital,,
jumper,missed,capital,951.0,8.0
defensive rebound,,Centre,,
jumper,good,Centre,937.0,16.0
assist,,Centre,,
jumper,good,capital,914.0,7.0
jumper,good,Centre,884.0,0.0
assist,,Centre,,
jumper,good,capital,859.0,5.0
assist,,capital,,
jumper,good,Centre,845.0,16.0
assist,,Centre,,
three pointer,missed,capital,829.0,14.0
defensive rebound,,Centre,,
jumper,missed,Centre,816.0,17.0
block,,capital,816.0,30.0
defensive rebound,,capital,,
foul,,Centre,810.0,24.0
subbing in,,Centre,810.0,30.0
subbing in,,Centre,810.0,30.0
subbing in,,Centre,810.0,30.0
subbing out,,Centre,810.0,30.0
subbing out,,Centre,810.0,30.0
subbing out,,Centre,810.0,30.0
subbing in,,capital,810.0,30.0
subbing in,,capital,810.0,30.0
subbing in,,capital,810.0,30.0
subbing out,,capital,810.0,30.0
subbing out,,capital,810.0,30.0
subbing out,,capital,810.0,30.0
layup,missed,capital,796.0,16.0
offensive rebound,,capital,,
layup,missed,capital,792.0,26.0
defensive rebound,,Centre,,
three pointer,missed,Centre,762.0,0.0
block,,capital,762.0,30.0
defensive rebound,,capital,,
turnover,,capital,751.0,19.0
timeout,,Centre,751.0,30.0
turnover,,Centre,743.0,22.0
steal,,capital,741.0,28.0
turnover,,capital,739.0,28.0
steal,,Centre,737.0,28.0
turnover,,Centre,732.0,25.0
steal,,capital,731.0,29.0
turnover,,capital,711.0,10.0
subbing in,,capital,711.0,30.0
subbing in,,capital,711.0,30.0
subbing out,,capital,711.0,30.0
subbing out,,capital,711.0,30.0
turnover,,Centre,690.0,9.0
turnover,,capital,674.0,14.0
steal,,Centre,672.0,28.0
jumper,missed,Centre,667.0,25.0
defensive rebound,,capital,,
layup,good,capital,660.0,23.0
assist,,capital,,
turnover,,Centre,647.0,17.0
steal,,capital,646.0,29.0
layup,good,capital,643.0,27.0
timeout,,Centre,641.0,28.0
subbing in,,Centre,641.0,28.0
subbing in,,Centre,641.0,28.0
subbing in,,Centre,641.0,28.0
subbing in,,Centre,641.0,28.0
subbing out,,Centre,641.0,28.0
subbing out,,Centre,641.0,28.0
subbing out,,Centre,641.0,28.0
subbing out,,Centre,641.0,28.0
turnover,,Centre,621.0,8.0
subbing in,,capital,621.0,30.0
subbing out,,capital,621.0,30.0
foul,,capital,610.0,19.0
turnover,,capital,610.0,30.0
turnover,,Centre,587.0,7.0
steal,,capital,587.0,30.0
foul,,Centre,587.0,30.0
turnover,,capital,577.0,20.0
subbing in,,capital,577.0,30.0
subbing out,,capital,577.0,30.0
jumper,missed,Centre,567.0,20.0
offensive rebound,,Centre,,
layup,good,Centre,562.0,25.0
three pointer,missed,capital,540.0,8.0
defensive rebound,,Centre,,
turnover,,Centre,528.0,18.0
steal,,capital,526.0,28.0
layup,missed,capital,522.0,26.0
offensive rebound,,capital,,
subbing in,,Centre,516.0,24.0
subbing in,,Centre,516.0,24.0
subbing in,,Centre,516.0,24.0
subbing in,,Centre,516.0,24.0
subbing out,,Centre,516.0,24.0
subbing out,,Centre,516.0,24.0
subbing out,,Centre,516.0,24.0
subbing out,,Centre,516.0,24.0
subbing in,,capital,516.0,24.0
subbing in,,capital,516.0,24.0
subbing out,,capital,516.0,24.0
subbing out,,capital,516.0,24.0
jumper,missed,capital,511.0,19.0
defensive rebound,,Centre,,
layup,missed,capital,492.0,11.0
defensive rebound,,Centre,,
block,,Centre,492.0,30.0
three pointer,missed,Centre,483.0,21.0
offensive rebound,,Centre,,
turnover,,Centre,476.0,23.0
steal,,capital,475.0,29.0
layup,missed,capital,472.0,27.0
defensive rebound,,Centre,,
turnover,,Centre,464.0,22.0
steal,,capital,462.0,28.0
turnover,,capital,444.0,12.0
steal,,Centre,443.0,29.0
foul,,capital,441.0,28.0
jumper,missed,Centre,428.0,17.0
block,,capital,428.0,30.0
defensive rebound,,capital,,
layup,missed,capital,415.0,17.0
block,,Centre,415.0,17.0
offensive rebound,,Centre,,
turnover,,capital,402.0,4.0
steal,,Centre,400.0,28.0
three pointer,missed,Centre,392.0,22.0
defensive rebound,,capital,,
foul,,Centre,386.0,24.0
subbing in,,Centre,386.0,30.0
subbing in,,Centre,386.0,30.0
subbing out,,Centre,386.0,30.0
subbing out,,Centre,386.0,30.0
subbing in,,capital,386.0,30.0
