Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
foul,,depauw university,1187.0,17.0
jumper,good,Centre,1171.0,14.0
jumper,good,depauw university,1151.0,10.0
turnover,,Centre,1127.0,6.0
steal,,depauw university,1125.0,28.0
jumper,good,depauw university,1122.0,27.0
foul,,Centre,1122.0,30.0
free throw,good,depauw university,1122.0,30.0
subbing in,,depauw university,1122.0,30.0
subbing out,,depauw university,1122.0,30.0
turnover,,Centre,1099.0,7.0
foul,,Centre,1086.0,17.0
jumper,good,depauw university,1062.0,6.0
layup,missed,Centre,1041.0,9.0
offensive rebound,,Centre,,
foul,,depauw university,1035.0,24.0
free throw,good,Centre,1035.0,30.0
free throw,good,Centre,1035.0,30.0
subbing in,,Centre,1035.0,30.0
subbing out,,Centre,1035.0,30.0
jumper,missed,depauw university,1012.0,7.0
defensive rebound,,Centre,,
foul,,depauw university,1009.0,27.0
foul,,Centre,1002.0,23.0
three pointer,missed,depauw university,974.0,2.0
offensive rebound,,depauw university,,
jumper,missed,depauw university,961.0,17.0
defensive rebound,,Centre,,
layup,missed,Centre,935.0,4.0
defensive rebound,,depauw university,,
jumper,missed,depauw university,928.0,23.0
offensive rebound,,depauw university,,
layup,good,depauw university,918.0,20.0
subbing in,,Centre,917.0,29.0
subbing in,,Centre,917.0,29.0
subbing out,,Centre,917.0,29.0
subbing out,,Centre,917.0,29.0
turnover,,Centre,900.0,12.0
jumper,missed,depauw university,885.0,15.0
defensive rebound,,Centre,,
layup,good,Centre,862.0,7.0
assist,,Centre,,
three pointer,missed,depauw university,838.0,6.0
offensive rebound,,depauw university,,
foul,,Centre,828.0,20.0
subbing in,,depauw university,828.0,30.0
subbing in,,depauw university,828.0,30.0
subbing out,,depauw university,828.0,30.0
subbing out,,depauw university,828.0,30.0
jumper,missed,depauw university,821.0,23.0
offensive rebound,,depauw university,,
foul,,depauw university,811.0,20.0
subbing in,,depauw university,811.0,30.0
subbing in,,depauw university,811.0,30.0
subbing out,,depauw university,811.0,30.0
subbing out,,depauw university,811.0,30.0
layup,good,Centre,795.0,14.0
three pointer,missed,depauw university,771.0,6.0
offensive rebound,,depauw university,,
jumper,good,depauw university,763.0,22.0
turnover,,Centre,749.0,16.0
steal,,depauw university,747.0,28.0
three pointer,missed,depauw university,738.0,21.0
defensive rebound,,Centre,,
layup,good,Centre,716.0,8.0
jumper,missed,depauw university,695.0,9.0
defensive rebound,,Centre,,
layup,good,Centre,676.0,11.0
assist,,Centre,,
subbing in,,depauw university,674.0,28.0
subbing in,,depauw university,674.0,28.0
subbing out,,depauw university,674.0,28.0
subbing out,,depauw university,674.0,28.0
subbing in,,Centre,674.0,28.0
subbing in,,Centre,674.0,28.0
subbing in,,Centre,674.0,28.0
subbing out,,Centre,674.0,28.0
subbing out,,Centre,674.0,28.0
subbing out,,Centre,674.0,28.0
three pointer,missed,depauw university,652.0,6.0
defensive rebound,,Centre,,
jumper,good,depauw university,629.0,7.0
jumper,missed,Centre,615.0,16.0
defensive rebound,,depauw university,,
