Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
jumper,missed,Centre,591.0,21.0
defensive rebound,,maryville (tn),,
layup,missed,maryville (tn),575.0,14.0
defensive rebound,,Centre,,
jumper,missed,Centre,554.0,9.0
defensive rebound,,maryville (tn),,
three pointer,missed,maryville (tn),547.0,23.0
defensive rebound,,Centre,,
jumper,missed,Centre,527.0,10.0
foul,,Centre,526.0,29.0
subbing out,,Centre,526.0,30.0
subbing in,,Centre,526.0,30.0
defensive rebound,,maryville (tn),,
foul,,Centre,513.0,17.0
free throw,good,maryville (tn),513.0,30.0
free throw,good,maryville (tn),513.0,30.0
layup,missed,Centre,486.0,3.0
offensive rebound,,Centre,,
jumper,good,Centre,465.0,9.0
assist,,Centre,,
layup,missed,maryville (tn),449.0,14.0
defensive rebound,,Centre,,
three pointer,missed,Centre,417.0,28.0
defensive rebound,,maryville (tn),,
foul,,Centre,411.0,24.0
subbing out,,Centre,411.0,30.0
subbing out,,Centre,411.0,30.0
subbing in,,Centre,411.0,30.0
subbing in,,Centre,411.0,30.0
subbing out,,maryville (tn),411.0,30.0
subbing in,,maryville (tn),411.0,30.0
free throw,good,maryville (tn),411.0,30.0
free throw,good,maryville (tn),411.0,30.0
subbing out,,maryville (tn),411.0,30.0
subbing in,,maryville (tn),411.0,30.0
subbing out,,maryville (tn),384.0,3.0
subbing out,,maryville (tn),384.0,3.0
subbing in,,maryville (tn),384.0,3.0
subbing in,,maryville (tn),384.0,3.0
foul,,maryville (tn),374.0,23.0
subbing out,,Centre,374.0,30.0
subbing out,,Centre,374.0,30.0
subbing in,,Centre,374.0,30.0
subbing in,,Centre,374.0,30.0
layup,missed,Centre,354.0,10.0
defensive rebound,,maryville (tn),,
turnover,,maryville (tn),336.0,12.0
turnover,,Centre,317.0,11.0
turnover,,maryville (tn),306.0,19.0
layup,good,Centre,282.0,6.0
foul,,Centre,257.0,5.0
timeout,,maryville (tn),257.0,30.0
subbing out,,Centre,257.0,30.0
subbing out,,Centre,257.0,30.0
subbing out,,Centre,257.0,30.0
subbing out,,Centre,257.0,30.0
subbing out,,Centre,257.0,30.0
subbing in,,Centre,257.0,30.0
subbing in,,Centre,257.0,30.0
subbing in,,Centre,257.0,30.0
subbing in,,Centre,257.0,30.0
subbing in,,Centre,257.0,30.0
subbing out,,maryville (tn),257.0,30.0
subbing in,,maryville (tn),257.0,30.0
free throw,missed,maryville (tn),257.0,30.0
deadball rebound,,Centre,,
free throw,missed,maryville (tn),257.0,30.0
defensive rebound,,Centre,,
foul,,maryville (tn),231.0,4.0
subbing out,,maryville (tn),231.0,30.0
subbing in,,maryville (tn),231.0,30.0
free throw,missed,Centre,231.0,30.0
deadball rebound,,Centre,,
free throw,good,Centre,231.0,30.0
three pointer,good,maryville (tn),200.0,29.0
jumper,good,Centre,182.0,12.0
layup,missed,maryville (tn),162.0,10.0
defensive rebound,,Centre,,
jumper,missed,Centre,145.0,13.0
defensive rebound,,maryville (tn),,
layup,good,maryville (tn),131.0,16.0
assist,,maryville (tn),,
layup,good,Centre,114.0,13.0
assist,,Centre,,
three pointer,good,maryville (tn),96.0,12.0
three pointer,missed,Centre,73.0,7.0
offensive rebound,,Centre,,
layup,good,Centre,67.0,24.0
layup,good,maryville (tn),53.0,16.0
foul,,Centre,53.0,30.0
subbing out,,Centre,53.0,30.0
subbing out,,Centre,53.0,30.0
subbing out,,Centre,53.0,30.0
subbing out,,Centre,53.0,30.0
subbing in,,Centre,53.0,30.0
subbing in,,Centre,53.0,30.0
subbing in,,Centre,53.0,30.0
subbing in,,Centre,53.0,30.0
subbing out,,maryville (tn),53.0,30.0
subbing out,,maryville (tn),53.0,30.0
subbing in,,maryville (tn),53.0,30.0
subbing in,,maryville (tn),53.0,30.0
free throw,good,maryville (tn),53.0,30.0
foul,,maryville (tn),35.0,12.0
three pointer,missed,Centre,17.0,17.0
defensive rebound,,maryville (tn),,
turnover,,maryville (tn),6.0,6.0
three pointer,missed,Centre,0.0,0.0
defensive rebound,,Centre,,
,,,,
subbing out,,maryville (tn),578.0,8.0
subbing in,,maryville (tn),578.0,8.0
layup,missed,maryville (tn),572.0,2.0
defensive rebound,,Centre,,
subbing out,,Centre,554.0,12.0
subbing out,,Centre,554.0,12.0
subbing out,,Centre,554.0,12.0
subbing in,,Centre,554.0,12.0
subbing in,,Centre,554.0,12.0
subbing in,,Centre,554.0,12.0
jumper,good,Centre,548.0,6.0
turnover,,maryville (tn),528.0,10.0
steal,,Centre,528.0,30.0
three pointer,good,Centre,521.0,23.0
assist,,Centre,,
turnover,,maryville (tn),505.0,14.0
subbing out,,maryville (tn),505.0,30.0
subbing out,,maryville (tn),505.0,30.0
subbing in,,maryville (tn),505.0,30.0
subbing in,,maryville (tn),505.0,30.0
jumper,missed,Centre,486.0,11.0
defensive rebound,,maryville (tn),,
layup,missed,maryville (tn),479.0,23.0
deadball rebound,,Centre,,
layup,missed,Centre,467.0,18.0
offensive rebound,,Centre,,
layup,good,Centre,463.0,26.0
foul,,Centre,443.0,10.0
subbing out,,maryville (tn),443.0,30.0
subbing in,,maryville (tn),443.0,30.0
free throw,good,maryville (tn),443.0,30.0
free throw,good,maryville (tn),443.0,30.0
jumper,good,Centre,428.0,15.0
three pointer,good,maryville (tn),399.0,1.0
layup,missed,Centre,378.0,9.0
defensive rebound,,maryville (tn),,
turnover,,maryville (tn),364.0,16.0
subbing out,,Centre,351.0,17.0
subbing out,,Centre,351.0,17.0
subbing out,,Centre,351.0,17.0
subbing out,,Centre,351.0,17.0
subbing in,,Centre,351.0,17.0
subbing in,,Centre,351.0,17.0
subbing in,,Centre,351.0,17.0
subbing in,,Centre,351.0,17.0
subbing out,,maryville (tn),351.0,17.0
subbing out,,maryville (tn),351.0,17.0
subbing in,,maryville (tn),351.0,17.0
subbing in,,maryville (tn),351.0,17.0
subbing out,,maryville (tn),351.0,17.0
subbing in,,maryville (tn),351.0,17.0
foul,,maryville (tn),351.0,17.0
free throw,good,Centre,351.0,17.0
free throw,missed,Centre,351.0,17.0
defensive rebound,,maryville (tn),,
layup,good,maryville (tn),337.0,3.0
turnover,,Centre,333.0,26.0
steal,,maryville (tn),333.0,30.0
layup,good,maryville (tn),324.0,21.0
assist,,maryville (tn),,
turnover,,Centre,296.0,2.0
subbing out,,Centre,296.0,30.0
subbing out,,Centre,296.0,30.0
subbing in,,Centre,296.0,30.0
subbing in,,Centre,296.0,30.0
timeout,,maryville (tn),296.0,30.0
foul,,Centre,285.0,19.0
foul,,Centre,280.0,25.0
free throw,good,maryville (tn),280.0,30.0
free throw,missed,maryville (tn),280.0,30.0
defensive rebound,,Centre,,
subbing out,,Centre,269.0,19.0
subbing out,,Centre,269.0,19.0
subbing out,,Centre,269.0,19.0
subbing out,,Centre,269.0,19.0
subbing in,,Centre,269.0,19.0
subbing in,,Centre,269.0,19.0
subbing in,,Centre,269.0,19.0
subbing in,,Centre,269.0,19.0
layup,missed,Centre,268.0,18.0
offensive rebound,,Centre,,
layup,good,Centre,252.0,14.0
assist,,Centre,,
layup,missed,maryville (tn),247.0,25.0
defensive rebound,,Centre,,
jumper,good,Centre,225.0,8.0
assist,,Centre,,
turnover,,maryville (tn),207.0,12.0
three pointer,missed,Centre,190.0,13.0
offensive rebound,,Centre,,
foul,,maryville (tn),186.0,26.0
free throw,missed,Centre,186.0,30.0
deadball rebound,,Centre,,
free throw,missed,Centre,186.0,30.0
defensive rebound,,maryville (tn),,
subbing out,,maryville (tn),179.0,23.0
subbing in,,maryville (tn),179.0,23.0
layup,missed,maryville (tn),178.0,22.0
offensive rebound,,Centre,,
subbing out,,Centre,174.0,26.0
subbing in,,Centre,174.0,26.0
jumper,missed,maryville (tn),171.0,23.0
defensive rebound,,Centre,,
subbing out,,maryville (tn),168.0,27.0
subbing in,,maryville (tn),168.0,27.0
three pointer,missed,Centre,160.0,19.0
defensive rebound,,maryville (tn),,
three pointer,missed,maryville (tn),150.0,20.0
offensive rebound,,maryville (tn),,
three pointer,missed,maryville (tn),144.0,24.0
defensive rebound,,Centre,,
turnover,,Centre,137.0,23.0
steal,,maryville (tn),137.0,30.0
foul,,Centre,131.0,24.0
