Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
foul,,mt. st. joseph,569.0,29.0
three pointer,good,Centre,568.0,29.0
turnover,,mt. st. joseph,568.0,30.0
jumper,missed,Centre,568.0,30.0
defensive rebound,,mt. st. joseph,,
foul,,Centre,566.0,28.0
layup,good,mt. st. joseph,566.0,30.0
assist,,mt. st. joseph,,
three pointer,good,Centre,558.0,22.0
assist,,Centre,,
three pointer,good,mt. st. joseph,533.0,5.0
jumper,missed,Centre,508.0,5.0
defensive rebound,,mt. st. joseph,,
jumper,missed,mt. st. joseph,481.0,3.0
defensive rebound,,Centre,,
three pointer,good,Centre,473.0,22.0
assist,,Centre,,
jumper,good,mt. st. joseph,448.0,5.0
assist,,mt. st. joseph,,
three pointer,missed,Centre,434.0,16.0
offensive rebound,,Centre,,
turnover,,Centre,434.0,30.0
steal,,mt. st. joseph,434.0,30.0
layup,good,mt. st. joseph,434.0,30.0
turnover,,mt. st. joseph,434.0,30.0
steal,,Centre,434.0,30.0
jumper,missed,Centre,434.0,30.0
block,,mt. st. joseph,434.0,30.0
offensive rebound,,Centre,,
free throw,good,mt. st. joseph,434.0,30.0
subbing in,,Centre,434.0,30.0
subbing in,,Centre,434.0,30.0
subbing out,,Centre,434.0,30.0
subbing out,,Centre,434.0,30.0
subbing in,,mt. st. joseph,434.0,30.0
subbing in,,mt. st. joseph,434.0,30.0
subbing in,,mt. st. joseph,434.0,30.0
subbing out,,mt. st. joseph,434.0,30.0
subbing out,,mt. st. joseph,434.0,30.0
subbing out,,mt. st. joseph,434.0,30.0
jumper,missed,mt. st. joseph,417.0,13.0
defensive rebound,,Centre,,
jumper,missed,Centre,408.0,21.0
offensive rebound,,Centre,,
jumper,missed,Centre,379.0,1.0
defensive rebound,,mt. st. joseph,,
jumper,missed,mt. st. joseph,325.0,6.0
defensive rebound,,Centre,,
steal,,Centre,325.0,30.0
jumper,good,Centre,325.0,30.0
assist,,Centre,,
layup,good,mt. st. joseph,325.0,30.0
three pointer,missed,Centre,325.0,30.0
defensive rebound,,mt. st. joseph,,
three pointer,missed,mt. st. joseph,325.0,30.0
defensive rebound,,Centre,,
subbing in,,Centre,325.0,30.0
subbing in,,Centre,325.0,30.0
subbing out,,Centre,325.0,30.0
subbing out,,Centre,325.0,30.0
subbing in,,mt. st. joseph,325.0,30.0
subbing in,,mt. st. joseph,325.0,30.0
subbing in,,mt. st. joseph,325.0,30.0
subbing out,,mt. st. joseph,325.0,30.0
subbing out,,mt. st. joseph,325.0,30.0
subbing out,,mt. st. joseph,325.0,30.0
subbing in,,Centre,297.0,2.0
subbing in,,Centre,297.0,2.0
subbing out,,Centre,297.0,2.0
subbing out,,Centre,297.0,2.0
three pointer,good,Centre,294.0,29.0
jumper,missed,mt. st. joseph,286.0,22.0
defensive rebound,,Centre,,
jumper,missed,Centre,275.0,19.0
defensive rebound,,mt. st. joseph,,
jumper,missed,mt. st. joseph,251.0,6.0
offensive rebound,,mt. st. joseph,,
layup,good,mt. st. joseph,243.0,22.0
assist,,mt. st. joseph,,
foul,,mt. st. joseph,163.0,-20.0
free throw,good,Centre,163.0,30.0
free throw,good,Centre,163.0,30.0
steal,,mt. st. joseph,154.0,21.0
jumper,good,mt. st. joseph,145.0,21.0
subbing in,,mt. st. joseph,73.0,-42.0
subbing out,,mt. st. joseph,73.0,-42.0
three pointer,missed,Centre,71.0,-14.0
defensive rebound,,mt. st. joseph,,
steal,,mt. st. joseph,64.0,23.0
jumper,missed,mt. st. joseph,61.0,27.0
offensive rebound,,mt. st. joseph,,
jumper,missed,mt. st. joseph,53.0,22.0
defensive rebound,,Centre,,
,,,,
subbing in,,Centre,600.0,577.0
subbing out,,Centre,600.0,577.0
subbing in,,mt. st. joseph,600.0,577.0
subbing out,,mt. st. joseph,600.0,577.0
steal,,mt. st. joseph,590.0,567.0
jumper,missed,mt. st. joseph,563.0,3.0
defensive rebound,,Centre,,
steal,,Centre,545.0,12.0
jumper,good,Centre,541.0,26.0
turnover,,mt. st. joseph,518.0,7.0
jumper,good,Centre,513.0,25.0
assist,,Centre,,
turnover,,mt. st. joseph,489.0,6.0
steal,,Centre,487.0,28.0
jumper,missed,Centre,484.0,27.0
offensive rebound,,Centre,,
jumper,missed,Centre,477.0,23.0
offensive rebound,,Centre,,
subbing in,,mt. st. joseph,431.0,-16.0
subbing out,,mt. st. joseph,431.0,-16.0
turnover,,Centre,427.0,10.0
steal,,mt. st. joseph,425.0,28.0
three pointer,missed,mt. st. joseph,408.0,13.0
defensive rebound,,Centre,,
three pointer,good,Centre,394.0,16.0
assist,,Centre,,
foul,,Centre,383.0,19.0
free throw,missed,mt. st. joseph,383.0,30.0
defensive rebound,,Centre,,
free throw,good,mt. st. joseph,383.0,30.0
subbing in,,Centre,383.0,30.0
subbing out,,Centre,383.0,30.0
subbing in,,mt. st. joseph,364.0,11.0
subbing out,,mt. st. joseph,364.0,11.0
turnover,,mt. st. joseph,351.0,28.0
subbing in,,Centre,341.0,20.0
subbing in,,Centre,341.0,20.0
subbing out,,Centre,341.0,20.0
subbing out,,Centre,341.0,20.0
three pointer,missed,Centre,318.0,27.0
defensive rebound,,mt. st. joseph,,
foul,,Centre,310.0,22.0
free throw,missed,mt. st. joseph,310.0,30.0
offensive rebound,,Centre,,
free throw,missed,mt. st. joseph,310.0,30.0
defensive rebound,,Centre,,
three pointer,missed,Centre,286.0,6.0
defensive rebound,,mt. st. joseph,,
layup,missed,mt. st. joseph,282.0,26.0
defensive rebound,,Centre,,
three pointer,good,Centre,282.0,30.0
assist,,Centre,,
foul,,Centre,268.0,16.0
layup,missed,mt. st. joseph,268.0,30.0
defensive rebound,,Centre,,
three pointer,missed,Centre,268.0,30.0
offensive rebound,,Centre,,
foul,,Centre,268.0,30.0
subbing in,,Centre,268.0,30.0
subbing out,,Centre,268.0,30.0
subbing in,,mt. st. joseph,268.0,30.0
subbing out,,mt. st. joseph,268.0,30.0
subbing in,,mt. st. joseph,265.0,27.0
subbing out,,mt. st. joseph,265.0,27.0
three pointer,good,mt. st. joseph,247.0,9.0
assist,,mt. st. joseph,,
layup,missed,Centre,222.0,5.0
offensive rebound,,Centre,,
layup,missed,Centre,216.0,24.0
defensive rebound,,mt. st. joseph,,
three pointer,missed,mt. st. joseph,199.0,13.0
defensive rebound,,Centre,,
jumper,good,Centre,186.0,17.0
assist,,Centre,,
turnover,,mt. st. joseph,157.0,1.0
subbing in,,Centre,154.0,27.0
subbing in,,Centre,154.0,27.0
subbing out,,Centre,154.0,27.0
subbing out,,Centre,154.0,27.0
subbing in,,mt. st. joseph,154.0,27.0
subbing out,,mt. st. joseph,154.0,27.0
turnover,,Centre,152.0,25.0
layup,missed,mt. st. joseph,135.0,13.0
defensive rebound,,Centre,,
foul,,mt. st. joseph,126.0,21.0
subbing in,,Centre,123.0,27.0
subbing out,,Centre,123.0,27.0
layup,good,Centre,104.0,8.0
assist,,Centre,,
turnover,,mt. st. joseph,77.0,3.0
steal,,Centre,72.0,25.0
turnover,,Centre,66.0,24.0
steal,,mt. st. joseph,66.0,30.0
foul,,mt. st. joseph,66.0,30.0
foul,,Centre,66.0,30.0
free throw,good,mt. st. joseph,66.0,30.0
free throw,good,mt. st. joseph,66.0,30.0
subbing in,,mt. st. joseph,66.0,30.0
subbing out,,mt. st. joseph,66.0,30.0
foul,,mt. st. joseph,49.0,13.0
free throw,good,Centre,49.0,30.0
free throw,good,Centre,30.0,30.0
subbing in,,Centre,7.0,7.0
subbing in,,Centre,7.0,7.0
subbing out,,Centre,7.0,7.0
subbing out,,Centre,7.0,7.0
layup,missed,mt. st. joseph,3.0,3.0
defensive rebound,,Centre,,
turnover,,Centre,0.0,0.0
,,,,
jumper,missed,mt. st. joseph,588.0,18.0
defensive rebound,,Centre,,
turnover,,Centre,571.0,13.0
jumper,good,mt. st. joseph,544.0,3.0
foul,,Centre,536.0,22.0
free throw,missed,mt. st. joseph,536.0,30.0
defensive rebound,,Centre,,
layup,missed,Centre,536.0,30.0
defensive rebound,,mt. st. joseph,,
layup,good,mt. st. joseph,536.0,30.0
foul,,mt. st. joseph,536.0,30.0
free throw,good,Centre,536.0,30.0
free throw,good,Centre,536.0,30.0
subbing in,,Centre,536.0,30.0
subbing in,,Centre,536.0,30.0
subbing in,,Centre,536.0,30.0
subbing out,,Centre,536.0,30.0
subbing out,,Centre,536.0,30.0
subbing out,,Centre,536.0,30.0
jumper,missed,mt. st. joseph,518.0,12.0
offensive rebound,,mt. st. joseph,,
layup,missed,mt. st. joseph,506.0,18.0
defensive rebound,,Centre,,
timeout,,Centre,492.0,16.0
subbing in,,mt. st. joseph,467.0,-9.0
subbing out,,mt. st. joseph,467.0,-9.0
foul,,Centre,451.0,5.0
jumper,missed,mt. st. joseph,451.0,30.0
defensive rebound,,Centre,,
foul,,Centre,450.0,29.0
subbing in,,mt. st. joseph,434.0,14.0
subbing out,,mt. st. joseph,434.0,14.0
subbing in,,Centre,427.0,7.0
subbing out,,Centre,427.0,7.0
layup,missed,mt. st. joseph,411.0,21.0
defensive rebound,,Centre,,
jumper,missed,Centre,397.0,16.0
defensive rebound,,mt. st. joseph,,
layup,good,mt. st. joseph,384.0,17.0
assist,,mt. st. joseph,,
layup,missed,Centre,365.0,11.0
block,,mt. st. joseph,365.0,30.0
defensive rebound,,mt. st. joseph,,
layup,good,mt. st. joseph,347.0,12.0
assist,,mt. st. joseph,,
subbing in,,Centre,320.0,3.0
subbing in,,Centre,320.0,3.0
subbing in,,Centre,320.0,3.0
subbing out,,Centre,320.0,3.0
subbing out,,Centre,320.0,3.0
subbing out,,Centre,320.0,3.0
subbing in,,mt. st. joseph,304.0,-13.0
subbing out,,mt. st. joseph,304.0,-13.0
layup,good,Centre,294.0,7.0
three pointer,missed,mt. st. joseph,277.0,13.0
offensive rebound,,mt. st. joseph,,
jumper,missed,mt. st. joseph,265.0,18.0
defensive rebound,,Centre,,
jumper,missed,Centre,244.0,9.0
defensive rebound,,mt. st. joseph,,
