Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
turnover,,franklin,1181.0,11.0
steal,,Centre,1180.0,29.0
layup,missed,Centre,1157.0,7.0
defensive rebound,,franklin,,
jumper,missed,franklin,1132.0,5.0
defensive rebound,,Centre,,
foul,,franklin,1104.0,2.0
three pointer,missed,Centre,1101.0,27.0
defensive rebound,,franklin,,
turnover,,franklin,1067.0,26.0
jumper,missed,Centre,1052.0,15.0
defensive rebound,,franklin,,
jumper,missed,franklin,1039.0,17.0
defensive rebound,,Centre,,
layup,missed,Centre,1028.0,19.0
offensive rebound,,Centre,,
jumper,good,Centre,1024.0,26.0
foul,,Centre,1008.0,14.0
free throw,good,franklin,1008.0,30.0
free throw,missed,franklin,1008.0,30.0
defensive rebound,,Centre,,
three pointer,missed,Centre,987.0,9.0
defensive rebound,,Centre,,
subbing in,,Centre,985.0,28.0
subbing out,,Centre,985.0,28.0
subbing in,,franklin,985.0,28.0
subbing out,,franklin,985.0,28.0
layup,missed,franklin,963.0,6.0
defensive rebound,,Centre,,
three pointer,good,Centre,955.0,22.0
assist,,Centre,,
timeout,,Centre,952.0,27.0
layup,good,franklin,928.0,3.0
foul,,Centre,928.0,30.0
free throw,good,franklin,928.0,30.0
subbing in,,Centre,928.0,30.0
subbing out,,Centre,928.0,30.0
turnover,,Centre,896.0,28.0
steal,,franklin,894.0,28.0
turnover,,franklin,880.0,16.0
subbing in,,Centre,880.0,30.0
subbing out,,Centre,880.0,30.0
foul,,franklin,863.0,13.0
subbing in,,Centre,863.0,30.0
subbing out,,Centre,863.0,30.0
subbing in,,franklin,863.0,30.0
subbing out,,franklin,863.0,30.0
turnover,,Centre,853.0,20.0
steal,,franklin,851.0,28.0
layup,good,franklin,848.0,27.0
assist,,franklin,,
layup,good,Centre,823.0,5.0
assist,,Centre,,
foul,,Centre,795.0,2.0
free throw,good,franklin,795.0,30.0
free throw,good,franklin,795.0,30.0
subbing in,,Centre,795.0,30.0
subbing in,,Centre,795.0,30.0
subbing out,,Centre,795.0,30.0
subbing out,,Centre,795.0,30.0
jumper,missed,Centre,776.0,11.0
defensive rebound,,franklin,,
turnover,,franklin,755.0,9.0
three pointer,good,Centre,742.0,17.0
assist,,Centre,,
turnover,,franklin,727.0,15.0
jumper,missed,Centre,708.0,11.0
block,,franklin,708.0,11.0
offensive rebound,,Centre,,
subbing in,,franklin,708.0,11.0
subbing out,,franklin,708.0,11.0
turnover,,Centre,706.0,9.0
layup,missed,franklin,688.0,12.0
offensive rebound,,franklin,,
three pointer,missed,franklin,661.0,3.0
offensive rebound,,franklin,,
three pointer,missed,franklin,651.0,20.0
defensive rebound,,Centre,,
timeout,,Centre,649.0,28.0
subbing in,,Centre,649.0,28.0
subbing out,,Centre,649.0,28.0
foul,,franklin,631.0,10.0
layup,missed,Centre,627.0,26.0
offensive rebound,,Centre,,
layup,good,Centre,623.0,26.0
three pointer,good,franklin,600.0,7.0
assist,,franklin,,
three pointer,missed,Centre,582.0,12.0
offensive rebound,,Centre,,
jumper,good,Centre,578.0,26.0
jumper,good,franklin,563.0,15.0
foul,,franklin,549.0,16.0
subbing in,,Centre,549.0,30.0
subbing in,,Centre,549.0,30.0
subbing out,,Centre,549.0,30.0
subbing out,,Centre,549.0,30.0
subbing in,,franklin,549.0,30.0
subbing out,,franklin,549.0,30.0
turnover,,Centre,526.0,7.0
steal,,franklin,523.0,27.0
turnover,,franklin,504.0,11.0
jumper,missed,Centre,490.0,16.0
defensive rebound,,franklin,,
layup,good,franklin,468.0,8.0
three pointer,missed,Centre,456.0,18.0
defensive rebound,,franklin,,
layup,missed,franklin,436.0,10.0
defensive rebound,,Centre,,
subbing in,,Centre,434.0,28.0
subbing out,,Centre,434.0,28.0
subbing in,,franklin,434.0,28.0
subbing in,,franklin,434.0,28.0
subbing out,,franklin,434.0,28.0
subbing out,,franklin,434.0,28.0
turnover,,Centre,411.0,5.0
subbing in,,Centre,411.0,30.0
subbing out,,Centre,411.0,30.0
layup,missed,franklin,399.0,18.0
defensive rebound,,Centre,,
jumper,missed,Centre,388.0,19.0
defensive rebound,,franklin,,
jumper,missed,franklin,362.0,4.0
defensive rebound,,Centre,,
layup,missed,Centre,350.0,18.0
offensive rebound,,Centre,,
layup,good,Centre,346.0,26.0
foul,,Centre,331.0,15.0
free throw,good,franklin,331.0,30.0
free throw,good,franklin,331.0,30.0
subbing in,,Centre,331.0,30.0
subbing in,,Centre,331.0,30.0
subbing out,,Centre,331.0,30.0
subbing out,,Centre,331.0,30.0
subbing in,,franklin,331.0,30.0
subbing out,,franklin,331.0,30.0
layup,missed,Centre,312.0,11.0
block,,franklin,312.0,11.0
offensive rebound,,Centre,,
layup,missed,Centre,306.0,5.0
defensive rebound,,franklin,,
