Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
layup,good,hanover college,1189.0,619.0
assist,,hanover college,,
three pointer,good,Centre,1172.0,13.0
assist,,Centre,,
three pointer,good,hanover college,1156.0,14.0
assist,,hanover college,,
turnover,,Centre,1122.0,26.0
jumper,missed,hanover college,1107.0,15.0
defensive rebound,,Centre,,
jumper,missed,Centre,1098.0,21.0
defensive rebound,,hanover college,,
layup,good,hanover college,1090.0,22.0
assist,,hanover college,,
turnover,,Centre,1081.0,21.0
foul,,Centre,1056.0,5.0
subbing in,,Centre,1056.0,30.0
subbing out,,Centre,1056.0,30.0
jumper,missed,hanover college,1047.0,21.0
offensive rebound,,hanover college,,
foul,,Centre,1043.0,26.0
free throw,good,hanover college,1043.0,30.0
free throw,good,hanover college,1043.0,30.0
three pointer,missed,Centre,1026.0,13.0
defensive rebound,,hanover college,,
jumper,missed,hanover college,1018.0,22.0
defensive rebound,,Centre,,
jumper,missed,Centre,1009.0,21.0
offensive rebound,,Centre,,
foul,,hanover college,1003.0,24.0
free throw,missed,Centre,1003.0,30.0
deadball rebound,,Centre,,
free throw,missed,Centre,1003.0,30.0
defensive rebound,,hanover college,,
subbing in,,hanover college,1003.0,30.0
subbing in,,hanover college,1003.0,30.0
subbing out,,hanover college,1003.0,30.0
subbing out,,hanover college,1003.0,30.0
layup,good,hanover college,998.0,25.0
three pointer,missed,Centre,984.0,16.0
defensive rebound,,hanover college,,
layup,missed,hanover college,973.0,19.0
defensive rebound,,Centre,,
subbing in,,hanover college,964.0,21.0
subbing out,,hanover college,964.0,21.0
subbing in,,Centre,964.0,21.0
subbing out,,Centre,964.0,21.0
three pointer,missed,Centre,961.0,18.0
defensive rebound,,hanover college,,
layup,missed,hanover college,952.0,21.0
defensive rebound,,Centre,,
foul,,hanover college,938.0,16.0
free throw,good,Centre,938.0,30.0
free throw,missed,Centre,938.0,30.0
defensive rebound,,hanover college,,
layup,good,hanover college,923.0,15.0
assist,,hanover college,,
three pointer,good,Centre,909.0,16.0
assist,,Centre,,
turnover,,hanover college,888.0,9.0
subbing in,,Centre,888.0,30.0
subbing in,,Centre,888.0,30.0
subbing out,,Centre,888.0,30.0
subbing out,,Centre,888.0,30.0
layup,missed,Centre,865.0,7.0
offensive rebound,,Centre,,
layup,good,Centre,861.0,26.0
three pointer,missed,hanover college,855.0,24.0
defensive rebound,,Centre,,
three pointer,missed,Centre,836.0,11.0
defensive rebound,,Centre,,
subbing in,,hanover college,830.0,24.0
subbing out,,hanover college,830.0,24.0
turnover,,hanover college,820.0,14.0
steal,,Centre,819.0,29.0
layup,good,Centre,817.0,28.0
timeout,,Centre,816.0,29.0
turnover,,Centre,801.0,14.0
subbing in,,hanover college,801.0,30.0
subbing in,,hanover college,801.0,30.0
subbing in,,hanover college,801.0,30.0
subbing out,,hanover college,801.0,30.0
subbing out,,hanover college,801.0,30.0
subbing out,,hanover college,801.0,30.0
layup,good,Centre,788.0,17.0
assist,,Centre,,
turnover,,hanover college,777.0,19.0
turnover,,Centre,764.0,17.0
layup,good,hanover college,756.0,22.0
jumper,missed,Centre,742.0,16.0
offensive rebound,,Centre,,
layup,good,Centre,738.0,26.0
jumper,good,hanover college,730.0,22.0
assist,,hanover college,,
three pointer,missed,Centre,714.0,14.0
defensive rebound,,hanover college,,
turnover,,hanover college,704.0,20.0
steal,,Centre,704.0,30.0
subbing in,,Centre,704.0,30.0
subbing out,,Centre,704.0,30.0
turnover,,Centre,697.0,23.0
foul,,Centre,680.0,13.0
free throw,good,hanover college,680.0,30.0
free throw,good,hanover college,680.0,30.0
layup,missed,Centre,662.0,12.0
offensive rebound,,Centre,,
layup,good,Centre,658.0,26.0
layup,good,hanover college,648.0,20.0
subbing in,,Centre,632.0,14.0
subbing out,,Centre,632.0,14.0
jumper,missed,Centre,631.0,13.0
defensive rebound,,Centre,,
subbing in,,Centre,628.0,27.0
subbing out,,Centre,628.0,27.0
layup,good,hanover college,615.0,14.0
three pointer,missed,Centre,597.0,12.0
defensive rebound,,hanover college,,
layup,good,hanover college,586.0,19.0
assist,,hanover college,,
timeout,,Centre,584.0,28.0
subbing in,,hanover college,584.0,28.0
subbing out,,hanover college,584.0,28.0
subbing in,,Centre,584.0,28.0
subbing in,,Centre,584.0,28.0
subbing out,,Centre,584.0,28.0
subbing out,,Centre,584.0,28.0
three pointer,missed,Centre,568.0,12.0
defensive rebound,,hanover college,,
layup,good,hanover college,558.0,20.0
assist,,hanover college,,
jumper,good,Centre,524.0,26.0
assist,,Centre,,
turnover,,hanover college,516.0,22.0
subbing in,,hanover college,508.0,22.0
subbing out,,hanover college,508.0,22.0
layup,missed,Centre,494.0,8.0
block,,hanover college,494.0,30.0
defensive rebound,,hanover college,,
jumper,missed,hanover college,483.0,19.0
offensive rebound,,Centre,,
three pointer,missed,hanover college,478.0,25.0
defensive rebound,,Centre,,
foul,,hanover college,476.0,28.0
subbing in,,hanover college,476.0,30.0
subbing in,,hanover college,476.0,30.0
subbing in,,hanover college,476.0,30.0
subbing out,,hanover college,476.0,30.0
subbing out,,hanover college,476.0,30.0
subbing out,,hanover college,476.0,30.0
turnover,,Centre,462.0,16.0
steal,,hanover college,462.0,30.0
turnover,,hanover college,451.0,19.0
steal,,Centre,450.0,29.0
layup,good,Centre,437.0,17.0
turnover,,hanover college,423.0,16.0
steal,,Centre,422.0,29.0
jumper,missed,Centre,406.0,14.0
defensive rebound,,hanover college,,
layup,missed,hanover college,395.0,19.0
defensive rebound,,Centre,,
three pointer,missed,Centre,369.0,4.0
defensive rebound,,hanover college,,
foul,,Centre,342.0,3.0
free throw,missed,hanover college,342.0,30.0
deadball rebound,,Centre,,
free throw,good,hanover college,342.0,30.0
subbing in,,hanover college,342.0,30.0
subbing out,,hanover college,342.0,30.0
subbing in,,Centre,342.0,30.0
subbing in,,Centre,342.0,30.0
subbing in,,Centre,342.0,30.0
subbing out,,Centre,342.0,30.0
subbing out,,Centre,342.0,30.0
subbing out,,Centre,342.0,30.0
three pointer,missed,Centre,330.0,18.0
defensive rebound,,hanover college,,
three pointer,good,hanover college,319.0,19.0
assist,,hanover college,,
jumper,good,Centre,298.0,9.0
jumper,missed,hanover college,269.0,1.0
defensive rebound,,Centre,,
turnover,,Centre,264.0,25.0
subbing in,,hanover college,264.0,30.0
subbing out,,hanover college,264.0,30.0
layup,good,hanover college,246.0,12.0
assist,,hanover college,,
foul,,hanover college,226.0,10.0
free throw,missed,Centre,226.0,30.0
deadball rebound,,Centre,,
free throw,missed,Centre,226.0,30.0
defensive rebound,,hanover college,,
subbing in,,hanover college,226.0,30.0
subbing out,,hanover college,226.0,30.0
layup,good,hanover college,220.0,24.0
jumper,missed,Centre,202.0,12.0
offensive rebound,,Centre,,
jumper,missed,Centre,187.0,15.0
offensive rebound,,Centre,,
block,,hanover college,184.0,27.0
jumper,missed,Centre,184.0,27.0
offensive rebound,,Centre,,
layup,good,Centre,184.0,27.0
foul,,hanover college,181.0,27.0
free throw,missed,Centre,181.0,30.0
defensive rebound,,hanover college,,
jumper,missed,hanover college,162.0,11.0
defensive rebound,,Centre,,
foul,,Centre,132.0,0.0
turnover,,Centre,132.0,30.0
subbing in,,hanover college,132.0,30.0
subbing out,,hanover college,132.0,30.0
three pointer,good,hanover college,117.0,15.0
assist,,hanover college,,
turnover,,Centre,85.0,28.0
