Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
three pointer,good,ohio northern,589.0,19.0
assist,,ohio northern,,
foul,,ohio northern,576.0,17.0
three pointer,missed,Centre,550.0,4.0
offensive rebound,,Centre,,
jumper,missed,Centre,534.0,14.0
defensive rebound,,ohio northern,,
layup,good,ohio northern,521.0,17.0
assist,,ohio northern,,
three pointer,missed,Centre,502.0,11.0
defensive rebound,,ohio northern,,
three pointer,missed,ohio northern,488.0,16.0
defensive rebound,,Centre,,
subbing in,,Centre,483.0,25.0
subbing out,,Centre,483.0,25.0
layup,good,Centre,468.0,10.0
assist,,Centre,,
foul,,Centre,456.0,18.0
free throw,good,ohio northern,456.0,30.0
free throw,good,ohio northern,456.0,30.0
subbing in,,Centre,456.0,30.0
subbing out,,Centre,456.0,30.0
three pointer,missed,Centre,437.0,11.0
defensive rebound,,ohio northern,,
three pointer,good,ohio northern,428.0,21.0
assist,,ohio northern,,
timeout,,Centre,424.0,26.0
turnover,,Centre,394.0,26.0
steal,,ohio northern,392.0,28.0
turnover,,ohio northern,382.0,20.0
steal,,Centre,380.0,28.0
three pointer,good,Centre,372.0,22.0
three pointer,good,ohio northern,364.0,22.0
assist,,ohio northern,,
foul,,Centre,350.0,16.0
turnover,,Centre,350.0,30.0
subbing in,,ohio northern,350.0,30.0
subbing in,,ohio northern,350.0,30.0
subbing in,,ohio northern,350.0,30.0
subbing in,,ohio northern,350.0,30.0
subbing out,,ohio northern,350.0,30.0
subbing out,,ohio northern,350.0,30.0
subbing out,,ohio northern,350.0,30.0
subbing out,,ohio northern,350.0,30.0
jumper,missed,ohio northern,343.0,23.0
offensive rebound,,ohio northern,,
subbing in,,Centre,339.0,26.0
subbing in,,Centre,339.0,26.0
subbing in,,Centre,339.0,26.0
subbing out,,Centre,339.0,26.0
subbing out,,Centre,339.0,26.0
subbing out,,Centre,339.0,26.0
layup,good,ohio northern,329.0,16.0
assist,,ohio northern,,
jumper,missed,Centre,308.0,9.0
defensive rebound,,ohio northern,,
layup,good,ohio northern,297.0,19.0
assist,,ohio northern,,
jumper,missed,Centre,279.0,12.0
defensive rebound,,ohio northern,,
jumper,missed,ohio northern,270.0,21.0
defensive rebound,,Centre,,
jumper,good,Centre,253.0,13.0
assist,,Centre,,
layup,missed,ohio northern,245.0,22.0
offensive rebound,,Centre,,
subbing in,,Centre,242.0,27.0
subbing out,,Centre,242.0,27.0
subbing in,,ohio northern,242.0,27.0
subbing out,,ohio northern,242.0,27.0
foul,,Centre,235.0,20.0
three pointer,missed,ohio northern,234.0,29.0
defensive rebound,,Centre,,
layup,good,Centre,211.0,7.0
assist,,Centre,,
jumper,missed,ohio northern,189.0,8.0
defensive rebound,,Centre,,
jumper,good,Centre,178.0,19.0
assist,,Centre,,
timeout,,Centre,175.0,27.0
jumper,good,ohio northern,157.0,9.0
assist,,ohio northern,,
three pointer,good,Centre,148.0,21.0
assist,,Centre,,
subbing in,,ohio northern,132.0,14.0
subbing in,,ohio northern,132.0,14.0
subbing in,,ohio northern,132.0,14.0
subbing in,,ohio northern,132.0,14.0
subbing out,,ohio northern,132.0,14.0
subbing out,,ohio northern,132.0,14.0
subbing out,,ohio northern,132.0,14.0
subbing out,,ohio northern,132.0,14.0
turnover,,ohio northern,125.0,7.0
subbing in,,Centre,125.0,30.0
subbing out,,Centre,125.0,30.0
jumper,missed,Centre,116.0,21.0
defensive rebound,,ohio northern,,
three pointer,missed,ohio northern,96.0,10.0
offensive rebound,,ohio northern,,
three pointer,missed,ohio northern,90.0,24.0
defensive rebound,,Centre,,
three pointer,missed,Centre,81.0,21.0
offensive rebound,,Centre,,
jumper,missed,Centre,73.0,22.0
block,,ohio northern,73.0,30.0
defensive rebound,,ohio northern,,
turnover,,ohio northern,65.0,22.0
subbing in,,Centre,65.0,30.0
subbing in,,Centre,65.0,30.0
subbing in,,Centre,65.0,30.0
subbing out,,Centre,65.0,30.0
subbing out,,Centre,65.0,30.0
subbing out,,Centre,65.0,30.0
turnover,,Centre,47.0,12.0
jumper,missed,ohio northern,24.0,24.0
offensive rebound,,ohio northern,,
jumper,missed,ohio northern,11.0,11.0
defensive rebound,,Centre,,
three pointer,missed,Centre,0.0,0.0
defensive rebound,,ohio northern,,
,,,,
subbing in,,Centre,600.0,30.0
subbing in,,Centre,600.0,30.0
subbing out,,Centre,600.0,30.0
subbing out,,Centre,600.0,30.0
jumper,missed,Centre,596.0,26.0
defensive rebound,,ohio northern,,
layup,good,ohio northern,585.0,19.0
assist,,ohio northern,,
foul,,ohio northern,561.0,6.0
subbing in,,Centre,561.0,30.0
subbing out,,Centre,561.0,30.0
subbing in,,ohio northern,561.0,30.0
subbing out,,ohio northern,561.0,30.0
layup,good,Centre,542.0,11.0
jumper,missed,ohio northern,530.0,18.0
deadball rebound,,Centre,,
foul,,ohio northern,529.0,29.0
three pointer,missed,Centre,505.0,6.0
defensive rebound,,ohio northern,,
jumper,good,ohio northern,495.0,20.0
assist,,ohio northern,,
turnover,,Centre,487.0,22.0
steal,,ohio northern,486.0,29.0
layup,good,ohio northern,484.0,28.0
jumper,missed,Centre,472.0,18.0
defensive rebound,,ohio northern,,
three pointer,missed,ohio northern,458.0,16.0
offensive rebound,,Centre,,
subbing in,,Centre,455.0,27.0
subbing in,,Centre,455.0,27.0
subbing in,,Centre,455.0,27.0
subbing in,,Centre,455.0,27.0
subbing out,,Centre,455.0,27.0
subbing out,,Centre,455.0,27.0
subbing out,,Centre,455.0,27.0
subbing out,,Centre,455.0,27.0
layup,missed,ohio northern,452.0,24.0
defensive rebound,,Centre,,
layup,missed,Centre,443.0,21.0
defensive rebound,,ohio northern,,
turnover,,ohio northern,437.0,24.0
subbing in,,ohio northern,437.0,30.0
subbing in,,ohio northern,437.0,30.0
subbing in,,ohio northern,437.0,30.0
subbing out,,ohio northern,437.0,30.0
subbing out,,ohio northern,437.0,30.0
subbing out,,ohio northern,437.0,30.0
three pointer,missed,Centre,414.0,7.0
defensive rebound,,ohio northern,,
