Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
three pointer,missed,north park,1187.0,617.0
defensive rebound,,Centre,,
three pointer,missed,Centre,1161.0,4.0
defensive rebound,,north park,,
jumper,missed,north park,1151.0,20.0
defensive rebound,,Centre,,
three pointer,missed,Centre,1124.0,3.0
offensive rebound,,Centre,,
layup,good,Centre,1119.0,25.0
assist,,Centre,,
layup,good,north park,1097.0,8.0
assist,,north park,,
jumper,missed,Centre,1082.0,15.0
defensive rebound,,north park,,
foul,,Centre,1073.0,21.0
free throw,good,north park,1073.0,30.0
free throw,missed,north park,1073.0,30.0
defensive rebound,,Centre,,
jumper,good,Centre,1064.0,21.0
assist,,Centre,,
three pointer,good,north park,1049.0,15.0
assist,,north park,,
jumper,missed,Centre,1032.0,13.0
defensive rebound,,north park,,
foul,,Centre,1021.0,19.0
subbing in,,Centre,1021.0,30.0
subbing in,,Centre,1021.0,30.0
subbing out,,Centre,1021.0,30.0
subbing out,,Centre,1021.0,30.0
jumper,good,north park,1016.0,25.0
jumper,missed,Centre,999.0,13.0
defensive rebound,,north park,,
turnover,,north park,990.0,21.0
foul,,north park,973.0,13.0
layup,missed,Centre,968.0,25.0
defensive rebound,,north park,,
three pointer,missed,north park,958.0,20.0
defensive rebound,,Centre,,
layup,good,Centre,945.0,17.0
assist,,Centre,,
layup,good,north park,928.0,13.0
layup,good,Centre,904.0,6.0
layup,good,north park,885.0,11.0
assist,,north park,,
layup,missed,Centre,869.0,14.0
defensive rebound,,north park,,
layup,missed,north park,858.0,19.0
defensive rebound,,Centre,,
subbing in,,north park,851.0,23.0
subbing in,,north park,851.0,23.0
subbing in,,north park,851.0,23.0
subbing in,,north park,851.0,23.0
subbing in,,north park,851.0,23.0
subbing out,,north park,851.0,23.0
subbing out,,north park,851.0,23.0
subbing out,,north park,851.0,23.0
subbing out,,north park,851.0,23.0
subbing out,,north park,851.0,23.0
subbing in,,Centre,851.0,23.0
subbing out,,Centre,851.0,23.0
jumper,missed,Centre,849.0,21.0
offensive rebound,,Centre,,
jumper,good,Centre,845.0,26.0
jumper,missed,north park,834.0,19.0
defensive rebound,,Centre,,
subbing in,,Centre,833.0,29.0
subbing out,,Centre,833.0,29.0
foul,,north park,832.0,28.0
jumper,good,Centre,820.0,18.0
layup,missed,north park,803.0,13.0
block,,Centre,803.0,13.0
offensive rebound,,Centre,,
foul,,Centre,801.0,11.0
free throw,missed,north park,801.0,30.0
deadball rebound,,Centre,,
free throw,good,north park,801.0,30.0
turnover,,Centre,794.0,23.0
three pointer,good,north park,781.0,17.0
jumper,missed,Centre,768.0,17.0
defensive rebound,,north park,,
layup,missed,north park,759.0,21.0
defensive rebound,,Centre,,
turnover,,Centre,749.0,20.0
timeout,,Centre,749.0,30.0
subbing in,,north park,749.0,30.0
subbing out,,north park,749.0,30.0
subbing in,,Centre,749.0,30.0
subbing out,,Centre,749.0,30.0
layup,good,north park,727.0,8.0
layup,missed,Centre,716.0,19.0
defensive rebound,,north park,,
turnover,,north park,711.0,25.0
steal,,Centre,709.0,28.0
turnover,,Centre,695.0,16.0
steal,,north park,693.0,28.0
jumper,missed,north park,669.0,6.0
defensive rebound,,Centre,,
layup,good,Centre,654.0,15.0
assist,,Centre,,
turnover,,north park,638.0,14.0
subbing in,,north park,638.0,30.0
subbing in,,north park,638.0,30.0
subbing out,,north park,638.0,30.0
subbing out,,north park,638.0,30.0
subbing in,,Centre,638.0,30.0
subbing in,,Centre,638.0,30.0
subbing out,,Centre,638.0,30.0
subbing out,,Centre,638.0,30.0
turnover,,Centre,616.0,8.0
steal,,north park,614.0,28.0
layup,good,north park,611.0,27.0
assist,,north park,,
three pointer,missed,Centre,599.0,18.0
defensive rebound,,north park,,
jumper,missed,north park,591.0,22.0
defensive rebound,,Centre,,
turnover,,Centre,574.0,13.0
steal,,north park,572.0,28.0
layup,good,north park,564.0,22.0
assist,,north park,,
timeout,,Centre,562.0,28.0
three pointer,good,Centre,536.0,2.0
assist,,Centre,,
three pointer,missed,north park,515.0,9.0
defensive rebound,,Centre,,
jumper,good,Centre,503.0,18.0
assist,,Centre,,
timeout,,Centre,494.0,21.0
subbing in,,north park,494.0,21.0
subbing in,,north park,494.0,21.0
subbing in,,north park,494.0,21.0
subbing out,,north park,494.0,21.0
subbing out,,north park,494.0,21.0
subbing out,,north park,494.0,21.0
subbing in,,Centre,494.0,21.0
subbing in,,Centre,494.0,21.0
subbing out,,Centre,494.0,21.0
subbing out,,Centre,494.0,21.0
three pointer,missed,north park,484.0,11.0
offensive rebound,,north park,,
layup,missed,north park,481.0,27.0
defensive rebound,,Centre,,
turnover,,Centre,473.0,22.0
steal,,north park,470.0,27.0
layup,missed,north park,450.0,10.0
offensive rebound,,north park,,
foul,,Centre,448.0,28.0
free throw,missed,north park,448.0,30.0
deadball rebound,,Centre,,
free throw,missed,north park,448.0,30.0
defensive rebound,,Centre,,
