Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
subbing in,,rust,1200.0,30.0
subbing out,,rust,1200.0,30.0
three pointer,missed,rust,1175.0,5.0
defensive rebound,,Centre,,
turnover,,Centre,1167.0,22.0
steal,,rust,1165.0,28.0
layup,missed,rust,1153.0,18.0
defensive rebound,,Centre,,
three pointer,good,Centre,1146.0,23.0
assist,,Centre,,
layup,missed,rust,1119.0,3.0
defensive rebound,,Centre,,
three pointer,missed,Centre,1111.0,22.0
defensive rebound,,rust,,
three pointer,missed,rust,1092.0,11.0
defensive rebound,,Centre,,
layup,missed,Centre,1078.0,16.0
defensive rebound,,rust,,
foul,,Centre,1049.0,1.0
free throw,good,rust,1049.0,30.0
free throw,good,rust,1049.0,30.0
subbing in,,Centre,1049.0,30.0
subbing out,,Centre,1049.0,30.0
turnover,,Centre,1033.0,14.0
layup,good,rust,1023.0,20.0
assist,,rust,,
timeout,,Centre,1019.0,26.0
three pointer,missed,Centre,1009.0,16.0
defensive rebound,,rust,,
layup,missed,rust,992.0,13.0
defensive rebound,,Centre,,
jumper,missed,Centre,969.0,7.0
offensive rebound,,Centre,,
jumper,missed,Centre,966.0,27.0
offensive rebound,,Centre,,
subbing in,,Centre,964.0,28.0
subbing in,,Centre,964.0,28.0
subbing out,,Centre,964.0,28.0
subbing out,,Centre,964.0,28.0
layup,missed,Centre,962.0,26.0
defensive rebound,,rust,,
jumper,missed,rust,938.0,6.0
defensive rebound,,Centre,,
foul,,rust,931.0,23.0
free throw,good,Centre,931.0,30.0
free throw,good,Centre,931.0,30.0
subbing in,,rust,931.0,30.0
subbing out,,rust,931.0,30.0
subbing in,,Centre,931.0,30.0
subbing out,,Centre,931.0,30.0
jumper,missed,rust,914.0,13.0
offensive rebound,,rust,,
layup,missed,rust,911.0,27.0
offensive rebound,,rust,,
jumper,good,rust,906.0,25.0
assist,,rust,,
foul,,rust,887.0,11.0
three pointer,missed,Centre,882.0,25.0
defensive rebound,,rust,,
layup,good,rust,871.0,19.0
layup,good,Centre,839.0,28.0
turnover,,rust,815.0,6.0
subbing in,,Centre,815.0,30.0
subbing in,,Centre,815.0,30.0
subbing in,,Centre,815.0,30.0
subbing out,,Centre,815.0,30.0
subbing out,,Centre,815.0,30.0
subbing out,,Centre,815.0,30.0
three pointer,good,Centre,794.0,9.0
three pointer,good,rust,776.0,12.0
assist,,rust,,
three pointer,missed,Centre,762.0,16.0
defensive rebound,,rust,,
jumper,good,rust,743.0,11.0
foul,,rust,714.0,1.0
subbing in,,rust,714.0,30.0
subbing out,,rust,714.0,30.0
subbing in,,Centre,714.0,30.0
subbing in,,Centre,714.0,30.0
subbing out,,Centre,714.0,30.0
subbing out,,Centre,714.0,30.0
three pointer,missed,Centre,707.0,23.0
defensive rebound,,rust,,
foul,,Centre,691.0,14.0
free throw,missed,rust,691.0,30.0
deadball rebound,,rust,,
free throw,good,rust,691.0,30.0
timeout,,Centre,691.0,30.0
jumper,good,Centre,676.0,15.0
assist,,Centre,,
layup,good,rust,653.0,7.0
assist,,rust,,
jumper,missed,Centre,648.0,25.0
defensive rebound,,rust,,
turnover,,rust,628.0,10.0
subbing in,,rust,628.0,30.0
subbing out,,rust,628.0,30.0
layup,missed,Centre,613.0,15.0
defensive rebound,,rust,,
turnover,,rust,598.0,15.0
jumper,missed,Centre,587.0,19.0
defensive rebound,,rust,,
layup,good,rust,562.0,5.0
foul,,rust,533.0,1.0
subbing in,,rust,533.0,30.0
subbing out,,rust,533.0,30.0
subbing in,,Centre,533.0,30.0
subbing out,,Centre,533.0,30.0
three pointer,missed,Centre,523.0,20.0
defensive rebound,,rust,,
foul,,Centre,501.0,8.0
timeout,,Centre,501.0,30.0
free throw,good,rust,501.0,30.0
free throw,missed,rust,501.0,30.0
deadball rebound,,rust,,
subbing in,,Centre,501.0,30.0
subbing out,,Centre,501.0,30.0
turnover,,rust,500.0,29.0
layup,missed,Centre,492.0,22.0
defensive rebound,,rust,,
three pointer,good,rust,478.0,16.0
assist,,rust,,
three pointer,good,Centre,448.0,0.0
assist,,Centre,,
jumper,missed,rust,429.0,11.0
defensive rebound,,Centre,,
turnover,,Centre,423.0,24.0
subbing in,,Centre,423.0,30.0
subbing out,,Centre,423.0,30.0
jumper,good,rust,403.0,10.0
assist,,rust,,
foul,,rust,373.0,0.0
free throw,good,Centre,373.0,30.0
free throw,good,Centre,373.0,30.0
subbing in,,rust,373.0,30.0
subbing in,,rust,373.0,30.0
subbing out,,rust,373.0,30.0
subbing out,,rust,373.0,30.0
subbing in,,Centre,373.0,30.0
subbing out,,Centre,373.0,30.0
jumper,missed,rust,359.0,16.0
offensive rebound,,rust,,
layup,good,rust,355.0,26.0
foul,,rust,335.0,10.0
free throw,good,Centre,335.0,30.0
free throw,good,Centre,335.0,30.0
subbing in,,Centre,335.0,30.0
subbing out,,Centre,335.0,30.0
jumper,missed,rust,318.0,13.0
defensive rebound,,Centre,,
subbing in,,Centre,315.0,27.0
subbing out,,Centre,315.0,27.0
three pointer,missed,Centre,290.0,2.0
defensive rebound,,rust,,
jumper,missed,rust,277.0,17.0
offensive rebound,,rust,,
foul,,Centre,274.0,27.0
free throw,missed,rust,274.0,30.0
deadball rebound,,rust,,
free throw,missed,rust,274.0,30.0
defensive rebound,,Centre,,
subbing in,,rust,274.0,30.0
subbing out,,rust,274.0,30.0
subbing in,,Centre,274.0,30.0
subbing out,,Centre,274.0,30.0
layup,missed,Centre,265.0,21.0
defensive rebound,,rust,,
turnover,,rust,261.0,26.0
steal,,Centre,260.0,29.0
turnover,,Centre,232.0,2.0
steal,,rust,231.0,29.0
jumper,missed,rust,212.0,11.0
offensive rebound,,rust,,
jumper,good,rust,208.0,26.0
three pointer,good,Centre,197.0,19.0
assist,,Centre,,
three pointer,good,rust,185.0,18.0
assist,,rust,,
three pointer,missed,Centre,168.0,13.0
defensive rebound,,rust,,
foul,,Centre,155.0,17.0
free throw,missed,rust,155.0,30.0
deadball rebound,,rust,,
free throw,good,rust,155.0,30.0
subbing in,,rust,155.0,30.0
subbing in,,rust,155.0,30.0
subbing out,,rust,155.0,30.0
subbing out,,rust,155.0,30.0
subbing in,,Centre,155.0,30.0
subbing in,,Centre,155.0,30.0
subbing in,,Centre,155.0,30.0
