Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
turnover,,sewanee,1184.0,14.0
steal,,Centre,1181.0,27.0
turnover,,Centre,1168.0,17.0
steal,,sewanee,1166.0,28.0
three pointer,missed,sewanee,1152.0,16.0
defensive rebound,,Centre,,
turnover,,Centre,1138.0,16.0
steal,,sewanee,1135.0,27.0
three pointer,missed,sewanee,1123.0,18.0
defensive rebound,,Centre,,
foul,,sewanee,1108.0,15.0
free throw,good,Centre,1108.0,30.0
free throw,good,Centre,1108.0,30.0
three pointer,missed,sewanee,1080.0,2.0
defensive rebound,,Centre,,
three pointer,missed,Centre,1072.0,22.0
defensive rebound,,Centre,,
turnover,,sewanee,1045.0,3.0
steal,,Centre,1043.0,28.0
three pointer,missed,Centre,1037.0,24.0
defensive rebound,,Centre,,
three pointer,missed,sewanee,1003.0,26.0
block,,Centre,1003.0,30.0
defensive rebound,,Centre,,
three pointer,missed,Centre,991.0,18.0
offensive rebound,,Centre,,
jumper,good,Centre,976.0,15.0
assist,,Centre,,
three pointer,missed,sewanee,952.0,6.0
defensive rebound,,Centre,,
layup,missed,Centre,939.0,17.0
block,,sewanee,939.0,30.0
defensive rebound,,sewanee,,
jumper,missed,sewanee,906.0,27.0
defensive rebound,,Centre,,
timeout,,Centre,879.0,3.0
jumper,missed,Centre,853.0,7.0
offensive rebound,,Centre,,
layup,good,Centre,848.0,25.0
three pointer,missed,sewanee,821.0,3.0
defensive rebound,,Centre,,
turnover,,Centre,810.0,19.0
steal,,sewanee,809.0,29.0
three pointer,missed,sewanee,783.0,4.0
defensive rebound,,Centre,,
three pointer,good,Centre,767.0,14.0
assist,,Centre,,
three pointer,missed,sewanee,747.0,10.0
defensive rebound,,Centre,,
foul,,sewanee,746.0,29.0
foul,,sewanee,727.0,11.0
free throw,missed,Centre,727.0,30.0
deadball rebound,,Centre,,
free throw,good,Centre,727.0,30.0
three pointer,missed,sewanee,700.0,3.0
defensive rebound,,Centre,,
three pointer,missed,Centre,686.0,16.0
defensive rebound,,sewanee,,
foul,,Centre,667.0,11.0
jumper,good,sewanee,667.0,30.0
assist,,sewanee,,
turnover,,Centre,666.0,29.0
steal,,sewanee,666.0,30.0
jumper,good,sewanee,662.0,26.0
jumper,missed,Centre,623.0,21.0
defensive rebound,,Centre,,
layup,good,sewanee,595.0,2.0
assist,,sewanee,,
jumper,good,Centre,586.0,21.0
assist,,Centre,,
turnover,,sewanee,582.0,26.0
jumper,good,Centre,576.0,24.0
assist,,Centre,,
foul,,Centre,567.0,21.0
jumper,missed,sewanee,551.0,14.0
defensive rebound,,Centre,,
turnover,,Centre,527.0,6.0
foul,,Centre,527.0,30.0
three pointer,missed,sewanee,509.0,12.0
defensive rebound,,Centre,,
turnover,,Centre,502.0,23.0
steal,,sewanee,500.0,28.0
layup,good,sewanee,498.0,28.0
foul,,sewanee,489.0,21.0
foul,,sewanee,470.0,11.0
free throw,good,Centre,467.0,30.0
free throw,missed,Centre,467.0,30.0
deadball rebound,,Centre,,
three pointer,good,sewanee,459.0,19.0
layup,missed,Centre,446.0,17.0
defensive rebound,,sewanee,,
three pointer,missed,sewanee,423.0,7.0
defensive rebound,,Centre,,
