Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
turnover,,augustana college,1183.0,13.0
steal,,Centre,1181.0,28.0
three pointer,missed,Centre,1163.0,12.0
defensive rebound,,augustana college,,
foul,,Centre,1152.0,19.0
jumper,missed,augustana college,1149.0,27.0
offensive rebound,,augustana college,,
layup,good,augustana college,1146.0,27.0
foul,,augustana college,1127.0,11.0
free throw,good,Centre,1127.0,30.0
free throw,good,Centre,1127.0,30.0
turnover,,augustana college,1106.0,9.0
steal,,Centre,1105.0,29.0
layup,good,Centre,1097.0,22.0
turnover,,augustana college,1079.0,12.0
steal,,Centre,1077.0,28.0
jumper,missed,Centre,1063.0,16.0
offensive rebound,,Centre,,
foul,,augustana college,1058.0,25.0
foul,,augustana college,1050.0,22.0
layup,good,Centre,1040.0,20.0
turnover,,augustana college,1022.0,12.0
steal,,Centre,1021.0,29.0
foul,,augustana college,1017.0,26.0
subbing in,,augustana college,1017.0,30.0
subbing out,,augustana college,1017.0,30.0
foul,,augustana college,1013.0,26.0
subbing in,,augustana college,1013.0,30.0
subbing out,,augustana college,1013.0,30.0
three pointer,missed,Centre,1003.0,20.0
defensive rebound,,augustana college,,
three pointer,missed,augustana college,991.0,18.0
offensive rebound,,augustana college,,
foul,,Centre,985.0,24.0
subbing in,,Centre,985.0,30.0
subbing out,,Centre,985.0,30.0
jumper,missed,augustana college,979.0,24.0
block,,Centre,979.0,30.0
defensive rebound,,Centre,,
jumper,good,Centre,972.0,23.0
timeout,,Centre,968.0,26.0
subbing in,,Centre,968.0,26.0
subbing out,,Centre,968.0,26.0
three pointer,missed,augustana college,945.0,3.0
defensive rebound,,Centre,,
turnover,,Centre,939.0,24.0
turnover,,augustana college,919.0,10.0
foul,,augustana college,919.0,30.0
subbing in,,augustana college,919.0,30.0
subbing in,,augustana college,919.0,30.0
subbing in,,augustana college,919.0,30.0
subbing out,,augustana college,919.0,30.0
subbing out,,augustana college,919.0,30.0
subbing out,,augustana college,919.0,30.0
three pointer,missed,Centre,911.0,22.0
defensive rebound,,augustana college,,
jumper,good,augustana college,895.0,14.0
three pointer,missed,Centre,879.0,14.0
defensive rebound,,augustana college,,
turnover,,augustana college,863.0,14.0
subbing in,,Centre,863.0,30.0
subbing in,,Centre,863.0,30.0
subbing in,,Centre,863.0,30.0
subbing out,,Centre,863.0,30.0
subbing out,,Centre,863.0,30.0
subbing out,,Centre,863.0,30.0
jumper,missed,Centre,838.0,5.0
offensive rebound,,Centre,,
layup,missed,Centre,835.0,27.0
defensive rebound,,augustana college,,
jumper,missed,augustana college,810.0,5.0
defensive rebound,,Centre,,
three pointer,missed,Centre,789.0,9.0
defensive rebound,,augustana college,,
three pointer,missed,augustana college,776.0,17.0
offensive rebound,,augustana college,,
foul,,Centre,773.0,27.0
subbing in,,augustana college,773.0,30.0
subbing out,,augustana college,773.0,30.0
turnover,,augustana college,753.0,10.0
foul,,augustana college,753.0,30.0
layup,missed,Centre,731.0,8.0
block,,augustana college,731.0,8.0
offensive rebound,,Centre,,
layup,good,Centre,728.0,5.0
layup,good,augustana college,705.0,7.0
assist,,augustana college,,
three pointer,missed,Centre,689.0,14.0
offensive rebound,,Centre,,
turnover,,Centre,660.0,1.0
timeout,,Centre,660.0,30.0
subbing in,,Centre,660.0,30.0
subbing in,,Centre,660.0,30.0
subbing in,,Centre,660.0,30.0
subbing in,,Centre,660.0,30.0
subbing in,,Centre,660.0,30.0
subbing out,,Centre,660.0,30.0
subbing out,,Centre,660.0,30.0
subbing out,,Centre,660.0,30.0
subbing out,,Centre,660.0,30.0
subbing out,,Centre,660.0,30.0
subbing in,,augustana college,654.0,24.0
subbing out,,augustana college,654.0,24.0
three pointer,missed,augustana college,652.0,22.0
defensive rebound,,Centre,,
subbing in,,augustana college,632.0,10.0
subbing out,,augustana college,632.0,10.0
three pointer,good,Centre,623.0,1.0
assist,,Centre,,
foul,,Centre,594.0,1.0
free throw,good,augustana college,594.0,30.0
free throw,good,augustana college,594.0,30.0
subbing in,,augustana college,594.0,30.0
subbing in,,augustana college,594.0,30.0
subbing in,,augustana college,594.0,30.0
subbing out,,augustana college,594.0,30.0
subbing out,,augustana college,594.0,30.0
subbing out,,augustana college,594.0,30.0
three pointer,good,Centre,581.0,17.0
assist,,Centre,,
jumper,good,augustana college,559.0,8.0
turnover,,Centre,525.0,26.0
foul,,Centre,525.0,30.0
subbing in,,augustana college,525.0,30.0
subbing out,,augustana college,525.0,30.0
subbing in,,Centre,525.0,30.0
subbing out,,Centre,525.0,30.0
turnover,,augustana college,515.0,20.0
steal,,Centre,511.0,26.0
jumper,missed,Centre,510.0,29.0
defensive rebound,,augustana college,,
foul,,Centre,508.0,28.0
subbing in,,Centre,508.0,30.0
subbing out,,Centre,508.0,30.0
three pointer,missed,augustana college,492.0,14.0
offensive rebound,,augustana college,,
layup,good,augustana college,487.0,25.0
assist,,augustana college,,
layup,good,Centre,462.0,5.0
jumper,good,augustana college,440.0,8.0
assist,,augustana college,,
three pointer,missed,Centre,414.0,4.0
defensive rebound,,Centre,,
three pointer,missed,augustana college,403.0,19.0
defensive rebound,,Centre,,
turnover,,Centre,375.0,2.0
foul,,Centre,375.0,30.0
jumper,good,augustana college,352.0,7.0
assist,,augustana college,,
timeout,,Centre,349.0,27.0
subbing in,,Centre,349.0,27.0
subbing out,,Centre,349.0,27.0
three pointer,missed,Centre,335.0,13.0
defensive rebound,,augustana college,,
three pointer,good,augustana college,323.0,18.0
assist,,augustana college,,
jumper,missed,Centre,299.0,6.0
defensive rebound,,augustana college,,
jumper,missed,augustana college,282.0,13.0
defensive rebound,,Centre,,
layup,missed,Centre,274.0,22.0
defensive rebound,,augustana college,,
layup,missed,augustana college,250.0,6.0
defensive rebound,,Centre,,
three pointer,good,Centre,242.0,22.0
assist,,Centre,,
three pointer,missed,augustana college,214.0,2.0
defensive rebound,,Centre,,
jumper,missed,Centre,199.0,15.0
defensive rebound,,augustana college,,
three pointer,good,augustana college,192.0,23.0
assist,,augustana college,,
timeout,,Centre,189.0,27.0
subbing in,,augustana college,189.0,27.0
subbing in,,augustana college,189.0,27.0
subbing out,,augustana college,189.0,27.0
subbing out,,augustana college,189.0,27.0
subbing in,,Centre,189.0,27.0
subbing in,,Centre,189.0,27.0
subbing in,,Centre,189.0,27.0
subbing out,,Centre,189.0,27.0
subbing out,,Centre,189.0,27.0
subbing out,,Centre,189.0,27.0
three pointer,missed,Centre,170.0,8.0
defensive rebound,,augustana college,,
layup,good,augustana college,159.0,19.0
assist,,augustana college,,
layup,good,Centre,148.0,19.0
three pointer,good,augustana college,122.0,4.0
assist,,augustana college,,
three pointer,missed,Centre,99.0,7.0
defensive rebound,,Centre,,
subbing in,,augustana college,94.0,25.0
subbing out,,augustana college,94.0,25.0
subbing in,,Centre,94.0,25.0
subbing in,,Centre,94.0,25.0
subbing out,,Centre,94.0,25.0
subbing out,,Centre,94.0,25.0
turnover,,augustana college,83.0,14.0
steal,,Centre,82.0,29.0
foul,,augustana college,65.0,13.0
free throw,missed,Centre,65.0,30.0
deadball rebound,,Centre,,
free throw,good,Centre,65.0,30.0
subbing in,,augustana college,65.0,30.0
subbing out,,augustana college,65.0,30.0
subbing in,,Centre,65.0,30.0
subbing out,,Centre,65.0,30.0
jumper,good,augustana college,53.0,18.0
three pointer,good,Centre,38.0,15.0
assist,,Centre,,
