Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
turnover,,belhaven,590.0,20.0
jumper,missed,Centre,578.0,18.0
defensive rebound,,belhaven,,
layup,missed,belhaven,569.0,21.0
defensive rebound,,Centre,,
jumper,good,Centre,562.0,23.0
foul,,Centre,545.0,13.0
free throw,missed,belhaven,545.0,30.0
deadball rebound,,Centre,,
free throw,good,belhaven,545.0,30.0
subbing in,,Centre,545.0,30.0
subbing out,,Centre,545.0,30.0
three pointer,missed,Centre,536.0,21.0
defensive rebound,,belhaven,,
three pointer,good,belhaven,527.0,21.0
assist,,belhaven,,
three pointer,missed,Centre,513.0,16.0
defensive rebound,,belhaven,,
foul,,Centre,505.0,22.0
free throw,good,belhaven,505.0,30.0
free throw,good,belhaven,505.0,30.0
subbing in,,Centre,505.0,30.0
subbing out,,Centre,505.0,30.0
layup,good,Centre,495.0,20.0
assist,,Centre,,
assist,,belhaven,,
three pointer,good,belhaven,487.0,22.0
jumper,missed,Centre,483.0,26.0
defensive rebound,,belhaven,,
turnover,,belhaven,475.0,22.0
jumper,missed,Centre,462.0,17.0
block,,belhaven,462.0,17.0
offensive rebound,,Centre,,
three pointer,good,Centre,445.0,0.0
jumper,missed,belhaven,422.0,7.0
defensive rebound,,Centre,,
turnover,,Centre,415.0,23.0
steal,,belhaven,414.0,29.0
assist,,belhaven,,
three pointer,good,belhaven,409.0,25.0
turnover,,Centre,386.0,7.0
steal,,belhaven,384.0,28.0
layup,missed,Centre,382.0,28.0
offensive rebound,,Centre,,
foul,,Centre,382.0,30.0
free throw,missed,belhaven,382.0,30.0
deadball rebound,,Centre,,
free throw,good,belhaven,382.0,30.0
subbing in,,belhaven,382.0,30.0
subbing out,,belhaven,382.0,30.0
subbing in,,Centre,382.0,30.0
subbing in,,Centre,382.0,30.0
subbing in,,Centre,382.0,30.0
subbing out,,Centre,382.0,30.0
subbing out,,Centre,382.0,30.0
subbing out,,Centre,382.0,30.0
turnover,,Centre,381.0,29.0
steal,,belhaven,380.0,29.0
jumper,good,belhaven,378.0,28.0
assist,,belhaven,,
turnover,,Centre,361.0,13.0
steal,,belhaven,360.0,29.0
layup,good,belhaven,358.0,28.0
assist,,belhaven,,
timeout,,Centre,354.0,26.0
subbing in,,Centre,323.0,-5.0
subbing in,,Centre,323.0,-5.0
subbing out,,Centre,323.0,-5.0
subbing out,,Centre,323.0,-5.0
turnover,,Centre,310.0,12.0
steal,,belhaven,308.0,28.0
three pointer,missed,belhaven,301.0,23.0
offensive rebound,,belhaven,,
layup,missed,belhaven,293.0,22.0
defensive rebound,,Centre,,
turnover,,Centre,286.0,23.0
steal,,belhaven,285.0,29.0
layup,good,belhaven,283.0,28.0
turnover,,Centre,257.0,4.0
foul,,belhaven,257.0,30.0
turnover,,belhaven,257.0,30.0
three pointer,good,Centre,242.0,15.0
assist,,Centre,,
three pointer,missed,belhaven,233.0,21.0
