Play Type,Shot Outcome,Team,Time(seconds),Shot Clock
,,,,30.0
layup,good,Centre,588.0,18.0
assist,,Centre,,
turnover,,rockford university,576.0,18.0
steal,,Centre,574.0,28.0
three pointer,good,Centre,562.0,18.0
assist,,Centre,,
jumper,missed,rockford university,544.0,12.0
offensive rebound,,rockford university,,
three pointer,good,rockford university,540.0,26.0
assist,,rockford university,,
foul,,rockford university,531.0,21.0
jumper,missed,Centre,531.0,30.0
defensive rebound,,rockford university,,
layup,missed,rockford university,515.0,14.0
defensive rebound,,Centre,,
three pointer,missed,Centre,511.0,26.0
defensive rebound,,rockford university,,
turnover,,rockford university,503.0,22.0
steal,,Centre,501.0,28.0
turnover,,Centre,497.0,26.0
foul,,Centre,497.0,30.0
subbing in,,Centre,497.0,30.0
subbing out,,Centre,497.0,30.0
turnover,,Centre,486.0,19.0
layup,missed,Centre,476.0,20.0
offensive rebound,,Centre,,
three pointer,missed,Centre,460.0,14.0
defensive rebound,,rockford university,,
jumper,missed,rockford university,446.0,16.0
defensive rebound,,Centre,,
layup,missed,Centre,437.0,21.0
block,,rockford university,437.0,30.0
defensive rebound,,rockford university,,
foul,,Centre,417.0,10.0
free throw,good,rockford university,417.0,30.0
free throw,good,rockford university,417.0,30.0
subbing in,,Centre,417.0,30.0
subbing in,,Centre,417.0,30.0
subbing out,,Centre,417.0,30.0
subbing out,,Centre,417.0,30.0
subbing in,,rockford university,417.0,30.0
subbing in,,rockford university,417.0,30.0
subbing out,,rockford university,417.0,30.0
subbing out,,rockford university,417.0,30.0
subbing in,,Centre,411.0,24.0
subbing out,,Centre,411.0,24.0
jumper,missed,Centre,381.0,24.0
defensive rebound,,rockford university,,
subbing in,,Centre,370.0,19.0
subbing out,,Centre,370.0,19.0
three pointer,good,rockford university,362.0,11.0
assist,,rockford university,,
three pointer,missed,Centre,335.0,3.0
defensive rebound,,rockford university,,
subbing in,,rockford university,335.0,30.0
subbing out,,rockford university,335.0,30.0
layup,good,rockford university,326.0,21.0
turnover,,Centre,306.0,10.0
steal,,rockford university,303.0,27.0
jumper,missed,rockford university,289.0,16.0
defensive rebound,,Centre,,
turnover,,Centre,272.0,13.0
foul,,Centre,262.0,20.0
subbing in,,Centre,262.0,30.0
subbing in,,Centre,262.0,30.0
subbing in,,Centre,262.0,30.0
subbing out,,Centre,262.0,30.0
subbing out,,Centre,262.0,30.0
subbing out,,Centre,262.0,30.0
jumper,missed,rockford university,260.0,28.0
defensive rebound,,Centre,,
three pointer,missed,Centre,251.0,21.0
defensive rebound,,rockford university,,
turnover,,rockford university,231.0,10.0
subbing in,,Centre,231.0,30.0
subbing out,,Centre,231.0,30.0
three pointer,missed,Centre,226.0,25.0
defensive rebound,,rockford university,,
jumper,missed,rockford university,212.0,16.0
defensive rebound,,Centre,,
foul,,rockford university,197.0,15.0
subbing in,,rockford university,197.0,30.0
subbing in,,rockford university,197.0,30.0
subbing in,,rockford university,197.0,30.0
subbing out,,rockford university,197.0,30.0
subbing out,,rockford university,197.0,30.0
subbing out,,rockford university,197.0,30.0
jumper,missed,Centre,186.0,19.0
defensive rebound,,rockford university,,
jumper,missed,rockford university,162.0,6.0
defensive rebound,,Centre,,
jumper,missed,Centre,154.0,22.0
offensive rebound,,Centre,,
jumper,good,Centre,150.0,26.0
assist,,Centre,,
jumper,missed,rockford university,131.0,11.0
